animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	84	     8.9	     0.0	113	    49.6	   731.5	28	     1.3	    55.4	2	     0.1
Animal01	Dose1A	1	     0.0	    60.0	84	     8.9	     0.0	113	    49.6	   731.5	28	     1.3	    55.4	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	62	    32.6	     0.0	106	    17.2	   266.2	65	    10.1	   592.3	2	     0.1
Animal02	Dose1A	1	     0.0	    60.0	62	    32.6	     0.0	106	    17.2	   266.2	65	    10.1	   592.3	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	61	    37.3	     0.0	95	    17.1	   254.1	53	     5.5	   259.4	2	     0.1
Animal03	Dose1A	1	     0.0	    60.0	61	    37.3	     0.0	95	    17.1	   254.1	53	     5.5	   259.4	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	45	     3.0	     0.0	207	    50.1	   984.2	170	     6.8	   172.2	0	     0.0
Animal04	Dose1B	1	     0.0	    60.0	45	     3.0	     0.0	207	    50.1	   984.2	170	     6.8	   172.2	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	111	    18.1	     0.0	136	    38.0	   561.4	34	     3.5	   270.6	9	     0.4
Animal05	Dose1B	1	     0.0	    60.0	111	    18.1	     0.0	136	    38.0	   561.4	34	     3.5	   270.6	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	68	    11.6	     0.0	158	    39.3	   704.0	107	     9.0	   469.1	2	     0.1
Animal06	Dose1B	1	     0.0	    60.0	68	    11.6	     0.0	158	    39.3	   704.0	107	     9.0	   469.1	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	84	    25.9	     0.0	144	    24.2	   360.4	94	     9.4	   658.4	11	     0.5
Animal07	Dose1C	1	     0.0	    60.0	84	    25.9	     0.0	144	    24.2	   360.4	94	     9.4	   658.4	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	30	     2.1	     0.0	253	    48.6	   998.0	236	     9.2	   225.1	0	     0.0
Animal08	Dose1C	1	     0.0	    60.0	30	     2.1	     0.0	253	    48.6	   998.0	236	     9.2	   225.1	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	82	    34.2	     0.0	102	    20.5	   289.6	38	     5.3	   295.8	1	     0.0
Animal09	Dose1C	1	     0.0	    60.0	82	    34.2	     0.0	102	    20.5	   289.6	38	     5.3	   295.8	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
