animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	62	    10.7	     0.0	225	    33.4	   688.3	187	    12.5	   883.4	52	     3.3
Animal01	Dose1A	1	     0.0	    60.0	62	    10.7	     0.0	225	    33.4	   688.3	187	    12.5	   883.4	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	65	     9.0	     0.0	190	    26.7	   471.8	173	    23.4	  1708.7	21	     0.7
Animal02	Dose1A	1	     0.0	    60.0	65	     9.0	     0.0	190	    26.7	   471.8	173	    23.4	  1708.7	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	60	     7.5	     0.0	316	    39.1	   849.1	314	    13.3	   306.2	0	     0.0
Animal03	Dose1A	1	     0.0	    60.0	60	     7.5	     0.0	316	    39.1	   849.1	314	    13.3	   306.2	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	81	    21.5	     0.0	158	    22.8	   312.6	104	    15.3	  1009.7	11	     0.3
Animal04	Dose1B	1	     0.0	    60.0	81	    21.5	     0.0	158	    22.8	   312.6	104	    15.3	  1009.7	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal05	Dose1B	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	82	    11.4	     0.0	191	    28.1	   448.2	152	    19.6	  1428.8	24	     0.8
Animal06	Dose1B	1	     0.0	    60.0	82	    11.4	     0.0	191	    28.1	   448.2	152	    19.6	  1428.8	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	79	    15.5	     0.0	170	    24.3	   395.9	137	    19.8	  1214.9	11	     0.3
Animal07	Dose1C	1	     0.0	    60.0	79	    15.5	     0.0	170	    24.3	   395.9	137	    19.8	  1214.9	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	76	     8.9	     0.0	133	    48.1	   796.3	64	     2.9	   110.4	0	     0.0
Animal08	Dose1C	1	     0.0	    60.0	76	     8.9	     0.0	133	    48.1	   796.3	64	     2.9	   110.4	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	79	    11.9	     0.0	176	    22.7	   394.6	157	    24.5	  1462.7	20	     0.8
Animal09	Dose1C	1	     0.0	    60.0	79	    11.9	     0.0	176	    22.7	   394.6	157	    24.5	  1462.7	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
