animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	37	     4.1	     0.0	183	    44.3	   868.8	157	    10.6	   756.0	19	     0.9
Animal01	Dose1A	1	     0.0	    60.0	37	     4.1	     0.0	183	    44.3	   868.8	157	    10.6	   756.0	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	65	    28.5	     0.0	125	    22.4	   347.3	71	     8.8	   634.6	7	     0.2
Animal02	Dose1A	1	     0.0	    60.0	65	    28.5	     0.0	125	    22.4	   347.3	71	     8.8	   634.6	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	84	    17.9	     0.0	172	    34.7	   580.8	111	     7.3	   321.0	2	     0.1
Animal03	Dose1A	1	     0.0	    60.0	84	    17.9	     0.0	172	    34.7	   580.8	111	     7.3	   321.0	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	70	    23.4	     0.0	137	    33.1	   531.9	69	     3.2	   197.9	4	     0.2
Animal04	Dose1B	1	     0.0	    60.0	70	    23.4	     0.0	137	    33.1	   531.9	69	     3.2	   197.9	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	84	    17.0	     0.0	181	    28.1	   443.2	134	    14.8	   776.4	2	     0.1
Animal05	Dose1B	1	     0.0	    60.0	84	    17.0	     0.0	181	    28.1	   443.2	134	    14.8	   776.4	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	83	    27.3	     0.0	167	    26.8	   464.4	131	     5.9	   158.0	0	     0.0
Animal06	Dose1B	1	     0.0	    60.0	83	    27.3	     0.0	167	    26.8	   464.4	131	     5.9	   158.0	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	59	    33.3	     0.0	71	    25.2	   382.7	16	     1.5	    57.6	1	     0.0
Animal07	Dose1C	1	     0.0	    60.0	59	    33.3	     0.0	71	    25.2	   382.7	16	     1.5	    57.6	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal08	Dose1C	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	76	    11.9	     0.0	162	    41.3	   718.5	110	     6.8	   227.7	0	     0.0
Animal09	Dose1C	1	     0.0	    60.0	76	    11.9	     0.0	162	    41.3	   718.5	110	     6.8	   227.7	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal11	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	81	    17.9	     0.0	140	    24.8	   389.6	110	    16.7	  1100.3	16	     0.5
Animal13	Dose2A	1	     0.0	    60.0	81	    17.9	     0.0	140	    24.8	   389.6	110	    16.7	  1100.3	0	     0.0
Animal14	Dose2A	0	     0.0	    60.0	81	    29.4	     0.0	105	    25.9	   382.0	34	     4.6	   233.0	3	     0.1
Animal14	Dose2A	1	     0.0	    60.0	81	    29.4	     0.0	105	    25.9	   382.0	34	     4.6	   233.0	0	     0.0
Animal15	Dose2A	0	     0.0	    60.0	74	    17.3	     0.0	113	    39.8	   631.9	42	     2.7	   209.8	4	     0.2
Animal15	Dose2A	1	     0.0	    60.0	74	    17.3	     0.0	113	    39.8	   631.9	42	     2.7	   209.8	0	     0.0
Animal16	Dose2B	0	     0.0	    60.0	89	    22.4	     0.0	154	    23.5	   376.2	120	    13.7	   874.1	10	     0.3
Animal16	Dose2B	1	     0.0	    60.0	89	    22.4	     0.0	154	    23.5	   376.2	120	    13.7	   874.1	0	     0.0
Animal17	Dose2B	0	     0.0	    60.0	71	    13.6	     0.0	118	    41.3	   657.3	62	     5.2	   190.1	0	     0.0
Animal17	Dose2B	1	     0.0	    60.0	71	    13.6	     0.0	118	    41.3	   657.3	62	     5.2	   190.1	0	     0.0
Animal18	Dose2B	0	     0.0	    60.0	52	    41.4	     0.0	75	    17.3	   272.2	26	     1.2	    38.8	0	     0.0
Animal18	Dose2B	1	     0.0	    60.0	52	    41.4	     0.0	75	    17.3	   272.2	26	     1.2	    38.8	0	     0.0
