animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	59	     5.8	     0.0	181	    47.5	   910.8	135	     6.6	   233.2	2	     0.1
Animal01	Dose1A	1	     0.0	    60.0	59	     5.8	     0.0	181	    47.5	   910.8	135	     6.6	   233.2	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	55	    35.4	     0.0	101	    14.3	   215.9	67	     9.9	   741.2	12	     0.4
Animal02	Dose1A	1	     0.0	    60.0	55	    35.4	     0.0	101	    14.3	   215.9	67	     9.9	   741.2	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	81	    18.3	     0.0	161	    25.1	   405.7	127	    16.4	   945.3	6	     0.2
Animal03	Dose1A	1	     0.0	    60.0	81	    18.3	     0.0	161	    25.1	   405.7	127	    16.4	   945.3	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	89	    18.8	     0.0	133	    38.0	   600.8	48	     3.2	   142.1	0	     0.0
Animal04	Dose1B	1	     0.0	    60.0	89	    18.8	     0.0	133	    38.0	   600.8	48	     3.2	   142.1	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	22	    52.7	     0.0	44	     5.2	    75.7	24	     2.0	    91.0	2	     0.1
Animal05	Dose1B	1	     0.0	    60.0	22	    52.7	     0.0	44	     5.2	    75.7	24	     2.0	    91.0	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	61	    18.7	     0.0	84	    20.5	   309.8	31	     2.7	   162.4	5	    18.0
Animal06	Dose1B	1	     0.0	    60.0	61	    18.7	     0.0	84	    20.5	   309.8	31	     2.7	   162.4	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	69	    26.6	     0.0	144	    26.1	   434.8	99	     6.2	   252.3	5	     1.0
Animal07	Dose1C	1	     0.0	    60.0	69	    26.6	     0.0	144	    26.1	   434.8	99	     6.2	   252.3	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	77	    29.3	     0.0	116	    19.0	   289.7	76	    11.4	   782.8	5	     0.3
Animal08	Dose1C	1	     0.0	    60.0	77	    29.3	     0.0	116	    19.0	   289.7	76	    11.4	   782.8	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal09	Dose1C	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal11	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	51	     6.3	     0.0	213	    47.1	   924.6	172	     6.5	   194.3	0	     0.0
Animal13	Dose2A	1	     0.0	    60.0	51	     6.3	     0.0	213	    47.1	   924.6	172	     6.5	   194.3	0	     0.0
Animal14	Dose2A	0	     0.0	    60.0	108	    29.0	     0.0	131	    26.3	   369.0	45	     4.6	   293.9	1	     0.1
Animal14	Dose2A	1	     0.0	    60.0	108	    29.0	     0.0	131	    26.3	   369.0	45	     4.6	   293.9	0	     0.0
Animal15	Dose2A	0	     0.0	    60.0	86	    22.7	     0.0	130	    27.7	   410.5	72	     9.3	   632.0	7	     0.2
Animal15	Dose2A	1	     0.0	    60.0	86	    22.7	     0.0	130	    27.7	   410.5	72	     9.3	   632.0	0	     0.0
Animal16	Dose2B	0	     0.0	    60.0	80	    20.2	     0.0	152	    23.3	   351.7	112	    16.3	  1053.1	5	     0.2
Animal16	Dose2B	1	     0.0	    60.0	80	    20.2	     0.0	152	    23.3	   351.7	112	    16.3	  1053.1	0	     0.0
Animal17	Dose2B	0	     0.0	    60.0	89	    17.1	     0.0	157	    25.0	   363.8	114	    17.8	  1036.2	4	     0.1
Animal17	Dose2B	1	     0.0	    60.0	89	    17.1	     0.0	157	    25.0	   363.8	114	    17.8	  1036.2	0	     0.0
Animal18	Dose2B	0	     0.0	    60.0	74	    24.1	     0.0	121	    24.0	   369.8	77	     9.6	   547.9	7	     2.2
Animal18	Dose2B	1	     0.0	    60.0	74	    24.1	     0.0	121	    24.0	   369.8	77	     9.6	   547.9	0	     0.0
Animal19	Dose2C	0	     0.0	    60.0	81	    19.7	     0.0	149	    25.2	   410.3	112	    14.9	   801.8	3	     0.1
Animal19	Dose2C	1	     0.0	    60.0	81	    19.7	     0.0	149	    25.2	   410.3	112	    14.9	   801.8	0	     0.0
Animal20	Dose2C	0	     0.0	    60.0	55	     4.1	     0.0	312	    43.3	   879.9	276	    12.3	   355.4	1	     0.2
Animal20	Dose2C	1	     0.0	    60.0	55	     4.1	     0.0	312	    43.3	   879.9	276	    12.3	   355.4	0	     0.0
Animal21	Dose2C	0	     0.0	    60.0	71	    26.5	     0.0	126	    26.6	   410.5	71	     6.8	   299.6	1	     0.0
Animal21	Dose2C	1	     0.0	    60.0	71	    26.5	     0.0	126	    26.6	   410.5	71	     6.8	   299.6	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	42	     2.6	     0.0	359	    40.5	   908.7	227	     9.5	   373.9	185	     7.3
