Chemical,Cycle,term,df,sumsq,meansq,statistic,P_value
17betaestradiol,Light_1,Dose,5,2267503.989693058,453500.79793861165,2.5180409243760504,4.71e-02
17betaestradiol,Light_1,Residuals,263,47366469.9819798,180100.64631931484,NA,      NA
17betaestradiol,Dark_1,Dose,5,4279217.226934634,855843.4453869269,7.24622336162663,3.51e-05
17betaestradiol,Dark_1,Residuals,262,30944530.895751957,118108.89654867159,NA,      NA
17betaestradiol,Light_2,Dose,5,2144073.907888891,428814.7815777782,2.631808873156972,4.02e-02
17betaestradiol,Light_2,Residuals,264,43014940.59511111,162935.38104208754,NA,      NA
17betaestradiol,Dark_2,Dose,5,1062313.4386015777,212462.68772031553,2.321048411331226,6.37e-02
17betaestradiol,Dark_2,Residuals,263,24074330.633368652,91537.37883410134,NA,      NA
17betaestradiol,Light_3,Dose,5,5985994.83985185,1197198.9679703698,5.808774348964516,2.78e-04
17betaestradiol,Light_3,Residuals,264,54410880.60177777,206101.82046127942,NA,      NA
17betaestradiol,Dark_3,Dose,5,2361042.8300740803,472208.56601481605,4.544198681120359,2.05e-03
17betaestradiol,Dark_3,Residuals,264,27433453.10711109,103914.59510269352,NA,      NA
1decanol,Light_1,Dose,5,5129418.665777778,1025883.7331555557,5.7980025473175125,2.78e-04
1decanol,Light_1,Residuals,264,46711484.40222222,176937.44091750841,NA,      NA
1decanol,Dark_1,Dose,5,3175047.351220855,635009.470244171,6.288216717020574,1.46e-04
1decanol,Dark_1,Residuals,263,26558800.084318176,100984.03073885238,NA,      NA
1decanol,Light_2,Dose,5,6527037.727888894,1305407.545577779,9.417520877725606,1.37e-06
1decanol,Light_2,Residuals,264,36594300.825777784,138614.77585521888,NA,      NA
1decanol,Dark_2,Dose,5,2401471.8797407406,480294.37594814814,6.469458631395871,1.16e-04
1decanol,Dark_2,Residuals,264,19599432.112444445,74240.27315319865,NA,      NA
1decanol,Light_3,Dose,5,1505890.918518521,301178.18370370416,2.910820984169972,2.65e-02
1decanol,Light_3,Residuals,264,27315675.175555557,103468.46657407407,NA,      NA
1decanol,Dark_3,Dose,5,1530705.6561851879,306141.1312370376,3.549860566436068,1.04e-02
1decanol,Dark_3,Residuals,264,22767445.969777778,86240.32564309765,NA,      NA
1octanol,Light_1,Dose,5,613003.8687777781,122600.77375555562,0.8197714939864613,5.55e-01
1octanol,Light_1,Residuals,264,39482471.04088889,149554.81454882157,NA,      NA
1octanol,Dark_1,Dose,5,4808295.678851856,961659.1357703712,11.617426016486478,5.72e-08
1octanol,Dark_1,Residuals,264,21853206.681333333,82777.29803535354,NA,      NA
1octanol,Light_2,Dose,5,1518605.0306666677,303721.00613333355,3.135020052934717,1.98e-02
1octanol,Light_2,Residuals,264,25576342.181333333,96880.08402020202,NA,      NA
1octanol,Dark_2,Dose,5,2453312.6641851924,490662.5328370385,10.554480484519354,3.11e-07
1octanol,Dark_2,Residuals,264,12272978.178222205,46488.553705387145,NA,      NA
1octanol,Light_3,Dose,5,6089971.42577778,1217994.285155556,10.07995911265447,5.28e-07
1octanol,Light_3,Residuals,264,31899979.72088889,120833.25651851852,NA,      NA
1octanol,Dark_3,Dose,5,3188749.2204444506,637749.8440888901,14.93423117236049,7.94e-10
1octanol,Dark_3,Residuals,264,11273828.354222216,42703.89528114476,NA,      NA
24DMP,Light_1,Dose,5,1381227.7250740763,276245.5450148153,1.5135199182596348,2.28e-01
24DMP,Light_1,Residuals,264,48184911.876,182518.6055909091,NA,      NA
24DMP,Dark_1,Dose,5,320840.98246952746,64168.19649390549,0.6091490325860478,6.93e-01
24DMP,Dark_1,Residuals,263,27704608.847939394,105340.7180530015,NA,      NA
24DMP,Light_2,Dose,5,895147.462962964,179029.49259259278,1.5730639565451427,2.14e-01
24DMP,Light_2,Residuals,264,30045686.221333336,113809.41750505051,NA,      NA
24DMP,Dark_2,Dose,5,378512.3795555561,75702.47591111122,0.9429214225854751,4.98e-01
24DMP,Dark_2,Residuals,264,21195248.25911111,80285.03128451179,NA,      NA
24DMP,Light_3,Dose,5,2353127.350104993,470625.4700209986,3.9625879198337275,5.43e-03
24DMP,Light_3,Residuals,263,31235773.469151516,118767.19950247725,NA,      NA
24DMP,Dark_3,Dose,5,356313.1355555558,71262.62711111116,1.3528095942788798,2.83e-01
24DMP,Dark_3,Residuals,264,13906859.943111109,52677.499784511776,NA,      NA
24DNP,Light_1,Dose,5,2034918.2576163553,406983.65152327105,3.124093970545795,1.99e-02
24DNP,Light_1,Residuals,261,34001132.50403159,130272.53832962296,NA,      NA
24DNP,Dark_1,Dose,5,1900686.7468518552,380137.349370371,5.0180264350438835,1.01e-03
24DNP,Dark_1,Residuals,264,19999149.373333327,75754.35368686866,NA,      NA
24DNP,Light_2,Dose,5,2574034.0392962988,514806.8078592598,5.9070243967588665,2.51e-04
24DNP,Light_2,Residuals,264,23008030.464444447,87151.63054713806,NA,      NA
24DNP,Dark_2,Dose,5,2641985.430851853,528397.0861703706,7.269340081579536,3.49e-05
24DNP,Dark_2,Residuals,264,19189751.63955556,72688.45318013469,NA,      NA
24DNP,Light_3,Dose,5,3322978.6006296314,664595.7201259263,5.81715648618654,2.78e-04
24DNP,Light_3,Residuals,264,30161346.102666672,114247.52311616164,NA,      NA
24DNP,Dark_3,Dose,5,2930726.100185186,586145.2200370373,10.108574713082495,5.28e-07
24DNP,Dark_3,Residuals,264,15308027.341333358,57984.95205050514,NA,      NA
34DCA,Light_1,Dose,5,1072628.569777778,214525.71395555558,1.9634536568881724,1.12e-01
34DCA,Light_1,Residuals,264,28844474.268888883,109259.37223063971,NA,      NA
34DCA,Dark_1,Dose,5,2534993.658518515,506998.731703703,7.757952329146352,1.85e-05
34DCA,Dark_1,Residuals,264,17252963.087555546,65352.13290740737,NA,      NA
34DCA,Light_2,Dose,5,616545.974851852,123309.19497037042,1.1410475900597525,3.86e-01
34DCA,Light_2,Residuals,264,28529596.62311111,108066.65387542087,NA,      NA
34DCA,Dark_2,Dose,5,3426969.5741111,685393.91482222,10.822569560361696,2.07e-07
34DCA,Dark_2,Residuals,264,16719134.25955553,63330.05401346792,NA,      NA
34DCA,Light_3,Dose,5,1969678.1171617277,393935.6234323456,4.327098286821536,2.89e-03
34DCA,Light_3,Residuals,263,23943313.069232326,91039.21319099744,NA,      NA
34DCA,Dark_3,Dose,5,1182175.5036878332,236435.10073756665,4.94992587463048,1.07e-03
34DCA,Dark_3,Residuals,263,12562295.490661675,47765.382093770626,NA,      NA
4C3MP,Light_1,Dose,5,917885.908888889,183577.1817777778,1.0418767773068083,4.37e-01
4C3MP,Light_1,Residuals,264,46516418.29911111,176198.55416329968,NA,      NA
4C3MP,Dark_1,Dose,5,3243718.1621043156,648743.6324208631,7.413920451301428,3.02e-05
4C3MP,Dark_1,Residuals,263,23013407.878787894,87503.45201060036,NA,      NA
4C3MP,Light_2,Dose,5,3063871.4275555555,612774.2855111111,3.42135248152957,1.25e-02
4C3MP,Light_2,Residuals,264,47283175.95111112,179102.93920875425,NA,      NA
4C3MP,Dark_2,Dose,5,937263.7122962932,187452.74245925865,2.2225171403328394,7.45e-02
4C3MP,Dark_2,Residuals,264,22266430.755999994,84342.54074242421,NA,      NA
4C3MP,Light_3,Dose,5,560226.4745555535,112045.2949111107,0.900463742999285,5.10e-01
4C3MP,Light_3,Residuals,264,32849693.379111115,124430.65673905726,NA,      NA
4C3MP,Dark_3,Dose,5,1458226.0971851875,291645.2194370375,3.1494046028086182,1.96e-02
4C3MP,Dark_3,Residuals,264,24447267.86222223,92603.28735690238,NA,      NA
4TOP,Light_1,Dose,5,4569374.3552962905,913874.8710592581,6.171363468403866,1.78e-04
4TOP,Light_1,Residuals,264,39093948.556888886,148083.13847306397,NA,      NA
4TOP,Dark_1,Dose,5,267783.1060740753,53556.62121481505,0.9140792152849906,5.07e-01
