plate_id,Cycle,term,df,sumsq,meansq,statistic,P_value
17betaestradiol,Dark,Dose_mg_L,5,6115012.452093645,1223002.490418729,11.722442975293557,1.18e-10
17betaestradiol,Dark,Group,2,1576363.8768734965,788181.9384367482,7.554700746617242,5.62e-04
17betaestradiol,Dark,Residuals,799,83359671.0091988,104330.00126307734,NA, NA
17betaestradiol,Light,Dose_mg_L,5,4237210.330321423,847442.0660642845,4.463730215680267,1.02e-03
17betaestradiol,Light,Group,2,1074071.639906163,537035.8199530815,2.828727900610677,5.97e-02
17betaestradiol,Light,Residuals,801,152070367.63399988,189850.64623470648,NA, NA
1decanol,Dark,Dose_mg_L,5,4555166.984885859,911033.3969771719,10.383889865071875,2.30e-09
1decanol,Dark,Group,2,1815905.571036378,907952.785518189,10.348777288284573,3.65e-05
1decanol,Dark,Residuals,801,70275952.50536333,87735.27154227631,NA, NA
1decanol,Light,Dose_mg_L,5,6907511.763913524,1381502.3527827049,9.2656051232711,2.74e-08
1decanol,Light,Group,2,229263.31772839458,114631.65886419729,0.7688236531206496,4.64e-01
1decanol,Light,Residuals,802,119578254.43575312,149100.06787500388,NA, NA
1octanol,Dark,Dose_mg_L,5,9537278.771555541,1907455.7543111083,33.04221069578256,2.09e-30
1octanol,Dark,Group,2,661416.5760740725,330708.28803703625,5.728747787446207,3.39e-03
1octanol,Dark,Residuals,802,46297735.01059259,57727.84914038976,NA, NA
1octanol,Light,Dose_mg_L,5,3213372.498629621,642674.4997259242,5.075151483230437,1.38e-04
1octanol,Light,Group,2,4828127.360074088,2414063.680037044,19.06367666925889,1.63e-08
1octanol,Light,Residuals,802,101558534.85029629,126631.58958889812,NA, NA
24DMP,Dark,Dose_mg_L,5,347111.733543211,69422.3467086422,0.8828632224898935,4.92e-01
24DMP,Dark,Group,2,1348430.726987655,674215.3634938275,8.574183626556312,4.14e-04
24DMP,Dark,Residuals,802,63063814.01108642,78633.18455247683,NA, NA
24DMP,Light,Dose_mg_L,5,3218523.1399989,643704.62799978,4.686218012120302,6.35e-04
24DMP,Light,Group,2,911873.8839038755,455936.94195193774,3.3192551627373876,3.67e-02
24DMP,Light,Residuals,801,110026338.01805024,137361.2209963174,NA, NA
24DNP,Dark,Dose_mg_L,5,7136793.385098728,1427358.6770197456,21.12534738237942,1.41e-19
24DNP,Dark,Group,2,975191.1189135828,487595.5594567914,7.216564232570859,7.83e-04
24DNP,Dark,Residuals,802,54188063.19486424,67566.16358461876,NA, NA
24DNP,Light,Dose_mg_L,5,6929094.403802491,1385818.880760498,12.778794091897785,1.14e-11
24DNP,Light,Group,2,2223062.55335802,1111531.27667901,10.249556784498827,4.02e-05
24DNP,Light,Residuals,802,86974305.58604932,108446.76506988693,NA, NA
34DCA,Dark,Dose_mg_L,5,6614221.404543207,1322844.2809086414,23.11054321034666,2.02e-21
34DCA,Dark,Group,2,1594069.859950613,797034.9299753065,13.92447354173659,1.14e-06
34DCA,Dark,Residuals,802,45906368.519012265,57239.86099627464,NA, NA
34DCA,Light,Dose_mg_L,5,2074190.8823703805,414838.1764740761,4.014209066454125,2.65e-03
34DCA,Light,Group,2,472768.50585184846,236384.25292592423,2.287387866100911,1.02e-01
34DCA,Light,Residuals,802,82880640.25177778,103342.4442042117,NA, NA
4C3MP,Dark,Dose_mg_L,5,3559029.399061701,711805.8798123401,10.129572649032097,2.02e-09
4C3MP,Dark,Group,2,16041383.571432214,8020691.785716107,114.14092302851721,4.78e-44
4C3MP,Dark,Residuals,802,56356604.11241974,70270.079940673,NA, NA
4C3MP,Light,Dose_mg_L,5,2562511.4935926027,512502.29871852056,3.2230033139755947,6.89e-03
4C3MP,Light,Group,2,3954665.9822962875,1977332.9911481438,12.434970144014772,9.61e-06
4C3MP,Light,Residuals,802,127529140.8451111,159013.8913280687,NA, NA
4TOP,Dark,Dose_mg_L,5,2039447.473728388,407889.4947456776,6.38878368935244,1.57e-05
4TOP,Dark,Group,2,813485.7636543253,406742.88182716264,6.370824261600134,1.80e-03
4TOP,Dark,Residuals,802,51203388.73441976,63844.62435713188,NA, NA
4TOP,Light,Dose_mg_L,5,7697868.225246934,1539573.645049387,11.767397857752917,1.07e-10
4TOP,Light,Group,2,1908498.7089135903,954249.3544567951,7.293598357899136,7.26e-04
4TOP,Light,Residuals,802,104928725.81138273,130833.82270745975,NA, NA
4TPP,Dark,Dose_mg_L,5,3123641.441691356,624728.2883382712,6.735396915309038,7.35e-06
4TPP,Dark,Group,2,909415.758617294,454707.879308647,4.902352118244165,7.65e-03
4TPP,Dark,Residuals,802,74387908.17338265,92753.00270995343,NA, NA
