.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
spearman_fitted,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_fitted,1decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,1octanol,10,10,10,10,10,0,0.001,10.0000000
spearman_fitted,24DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,24DNP,10,10,10,10,10,0,0.001,10.0000000
spearman_fitted,34DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,4C3MP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_fitted,4TPP,0.9454658867097185,1,0.8415114270246329,0.9266855800703603,0.9680620339913523,0.33,9.999999999999999e-5,1.0000000
spearman_fitted,Aniline,10,10,10,10,10,0,0.001,10.0000000
spearman_fitted,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,ClofibricAcid,10,10,10,10,10,0,0.001,10.0000000
spearman_fitted,DES,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_fitted,DMSO,10,10,10,10,10,0,0.001,10.0000000
spearman_fitted,Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
spearman_fitted,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
spearman_fitted,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Fenitrothion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Fluoxetine,0.04961231604126261,0.05111000696623326,0.013669959938085513,0.04393069349114097,0.09999999999999999,0.88,9.999999999999999e-6,0.1000000
spearman_fitted,Flutamide,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_fitted,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
spearman_fitted,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_fitted,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_fitted,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
