.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
spearman_rcurvep,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.21,9.999999999999999e-6,0.1000000
spearman_rcurvep,1decanol,1,1,1,1,1,0.44,9.999999999999999e-5,1.0000000
spearman_rcurvep,1octanol,10,10,10,10,10,0.204,0.001,10.0000000
spearman_rcurvep,24DMP,1,1,1,1,1,0.161,9.999999999999999e-5,1.0000000
spearman_rcurvep,24DNP,10,10,10,10,10,0.12,0.001,10.0000000
spearman_rcurvep,34DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_rcurvep,4C3MP,1,1,1,1,1,0.322,9.999999999999999e-5,1.0000000
spearman_rcurvep,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_rcurvep,4TPP,0.32987162747449666,0.7009567232213033,0.188872904945789,0.7009567232213033,0.004625860713376819,0.56,9.999999999999999e-5,1.0000000
spearman_rcurvep,Aniline,10,10,10,10,10,0,0.001,10.0000000
spearman_rcurvep,BPA,1,1,1,1,1,0.12,9.999999999999999e-5,1.0000000
spearman_rcurvep,BPAF,1,1,1,1,1,0.269,9.999999999999999e-5,1.0000000
spearman_rcurvep,ClofibricAcid,2.8000727804925916,8.281923509022489,1.8025953110974267,8.281923509022489,0.026347282340787995,0.504,0.001,10.0000000
spearman_rcurvep,DES,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
spearman_rcurvep,Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
spearman_rcurvep,DMSO,10,10,10,10,10,0,0.001,10.0000000
spearman_rcurvep,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
spearman_rcurvep,Fadrozole,1,1,1,1,1,0.356,9.999999999999999e-5,1.0000000
spearman_rcurvep,Fenitrothion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_rcurvep,Fluoxetine,0.02592763482185805,0.06335856574501321,0.00574917830485104,0.06335856574501321,8.748112380493235e-6,0.569,9.999999999999999e-6,0.1000000
spearman_rcurvep,Flutamide,1,1,1,1,1,0.339,9.999999999999999e-5,1.0000000
spearman_rcurvep,Glyphosate,1,1,1,1,1,0.368,9.999999999999999e-5,1.0000000
spearman_rcurvep,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
spearman_rcurvep,Prochloraz,1,1,1,1,1,0.338,9.999999999999999e-5,1.0000000
spearman_rcurvep,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.138,9.999999999999999e-6,0.1000000
spearman_rcurvep,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
spearman_rcurvep,TGSH,1,1,1,1,1,0.086,9.999999999999999e-5,1.0000000
spearman_rcurvep,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.499,9.999999999999999e-6,0.1000000
spearman_rcurvep,Vinclozolin,1,1,1,1,1,0.343,9.999999999999999e-5,1.0000000
