"",".id","dose","diff","lwr.ci","upr.ci","pval","is.significant"
"1","17beta_estradiol","Dose1-C",9.03307654365908,-29.0254668426073,47.0916199299255,0.957921596001347,FALSE
"2","17beta_estradiol","Dose2-C",15.571763391801,-22.4867799944654,53.6303067780674,0.731141085435461,FALSE
"3","17beta_estradiol","Dose3-C",20.8986977825217,-17.1598456037447,58.9572411687881,0.476997338732032,FALSE
"4","17beta_estradiol","Dose4-C",32.8307355802028,-5.22780780606358,70.8892789664692,0.111711064743975,FALSE
"5","17beta_estradiol","Dose5-C",23.1070342944827,-14.9515090917837,61.1655776807491,0.382108159413179,FALSE
"6","1decanol","Dose1-C",-4.5201372553233,-48.6411469402517,39.6008724296051,0.999026499738968,FALSE
"7","1decanol","Dose2-C",-4.70262831002475,-48.8236379949532,39.4183813749037,0.998824307898114,FALSE
"8","1decanol","Dose3-C",-22.7965496868966,-66.9175593718251,21.3244599980318,0.534277485983324,FALSE
"9","1decanol","Dose4-C",0.772069123579331,-43.3489405613491,44.8930788085078,0.999999842746717,FALSE
"10","1decanol","Dose5-C",21.4549792546947,-22.6660304302337,65.5759889396231,0.589779263688175,FALSE
"11","1octanol","Dose1-C",0.484120265567162,-39.5551345237761,40.5233750549104,0.9999999752221,FALSE
"12","1octanol","Dose2-C",-29.5341381928152,-69.5733929821584,10.5051165965281,0.213956089053504,FALSE
"13","1octanol","Dose3-C",8.28189286954695,-31.7573619197963,48.3211476588902,0.976084167900318,FALSE
"14","1octanol","Dose4-C",16.9952494713735,-23.0440053179697,57.0345042607168,0.703590622671789,FALSE
"15","1octanol","Dose5-C",7.87915728085226,-32.160097508491,47.9184120701955,0.980637888759294,FALSE
"16","24DMP","Dose1-C",6.33047956999111,-25.6358589757169,38.2968181156991,0.980109771699008,FALSE
"17","24DMP","Dose2-C",9.21574569631602,-22.750592849392,41.182084242024,0.911715829641694,FALSE
"18","24DMP","Dose3-C",13.4357552257532,-18.5305833199548,45.4020937714612,0.711098451347272,FALSE
"19","24DMP","Dose4-C",-5.16900999354407,-37.1353485392521,26.7973285521639,0.991825165818629,FALSE
"20","24DMP","Dose5-C",9.18896407736004,-22.777374468348,41.155302623068,0.91261038256632,FALSE
"21","24DNP","Dose1-C",5.80009221913869,-21.284908030513,32.8850924687904,0.972343408428324,FALSE
"22","24DNP","Dose2-C",18.7815449318582,-8.30345531779351,45.8665451815098,0.263484200924671,FALSE
"23","24DNP","Dose3-C",22.1586092878062,-4.92639096184551,49.2436095374578,0.14212929759836,FALSE
"24","24DNP","Dose4-C",0.658199967301381,-26.4268002823503,27.7432002169531,0.999999190148307,FALSE
"25","24DNP","Dose5-C",9.65604683344919,-17.4289534162025,36.7410470831009,0.819650686513368,FALSE
"26","34DCA","Dose2-C",-3.43834253013734,-54.0211650616228,47.1444800013481,0.999343221970398,FALSE
"27","34DCA","Dose3-C",25.1343740227452,-25.4484485087403,75.7171965542306,0.530232807281598,FALSE
"28","34DCA","Dose4-C",-17.9167498588908,-68.4995723903763,32.6660726725946,0.778464921743091,FALSE
"29","34DCA","Dose5-C",-2.32386698715136,-52.9066895186368,48.2589555443341,0.999860386874772,FALSE
"30","4TOP","Dose1-C",6.63143594546527,-15.0767502947686,28.3396221856991,0.891531997893846,FALSE
"31","4TOP","Dose2-C",10.2093936225097,-11.4987926177242,31.9175798627436,0.61935195491968,FALSE
"32","4TOP","Dose3-C",15.6442221551435,-6.06396408509038,37.3524083953774,0.231945092803367,FALSE
"33","4TOP","Dose4-C",4.11061579022275,-17.5975704500111,25.8188020304566,0.983591717660738,FALSE
"34","4TOP","Dose5-C",11.34681049122,-10.3613757490139,33.0549967314539,0.523533912870205,FALSE
"35","4TPP","Dose1-C",-22.4106079394204,-64.7240127087393,19.9027968298985,0.511187017099026,FALSE
"36","4TPP","Dose2-C",21.7333204689729,-20.580084300346,64.0467252382918,0.53990654980966,FALSE
"37","4TPP","Dose3-C",11.8904151729468,-30.4229895963721,54.2038199422657,0.919561612762577,FALSE
"38","4TPP","Dose4-C",25.6190913525794,-16.6943134167395,67.9324961218983,0.384612509688987,FALSE
"39","4TPP","Dose5-C",21.9140231848558,-20.3993815844631,64.2274279541747,0.532140953517446,FALSE
"40","Aniline","Dose1-C",-0.736271465307337,-29.6188424938923,28.1462995632776,0.999998973229406,FALSE
"41","Aniline","Dose2-C",-1.88276093808908,-30.7653319666741,26.9998100904959,0.999891869112584,FALSE
"42","Aniline","Dose3-C",-14.0288165623183,-42.9113875909033,14.8537544662667,0.590773128352148,FALSE
"43","Aniline","Dose4-C",-13.1921781710781,-42.0747491996631,15.6903928575069,0.64434152085668,FALSE
"44","Aniline","Dose5-C",-1.17696912978164,-30.0595401583666,27.7056018988033,0.999989387434792,FALSE
"45","BPA","Dose1-C",4.20487471362999,-30.2395310372568,38.6492804645168,0.997762234294518,FALSE
"46","BPA","Dose2-C",8.13606068016411,-26.3083450707227,42.5804664310509,0.958740796903274,FALSE
"47","BPA","Dose3-C",-15.2880686554267,-49.7324744063135,19.1563370954601,0.668149390861899,FALSE
"48","BPA","Dose4-C",4.22187118172373,-30.2225345691631,38.6662769326105,0.997718012620766,FALSE
"49","BPA","Dose5-C",10.3305906781827,-24.1138150727041,44.7749964290695,0.898299738161238,FALSE
"50","BPAF","Dose1-C",-0.428345931957981,-37.4202182529314,36.5635263890154,0.999999980037069,FALSE
"51","BPAF","Dose2-C",-10.481271232272,-47.4731435532454,26.5106010887014,0.917106105439995,FALSE
"52","BPAF","Dose3-C",5.19167796487508,-31.8001943560983,42.1835502858485,0.995714158599731,FALSE
"53","BPAF","Dose4-C",0.815776206313791,-36.1760961146596,37.8076485272872,0.999999501052175,FALSE
"54","BPAF","Dose5-C",5.7376360197715,-31.2542363012019,42.7295083407449,0.993226448453057,FALSE
"55","Clofibric_Acid","Dose1-C",-8.19312427827317,-48.4441411622011,32.0578926056548,0.977646658588047,FALSE
"56","Clofibric_Acid","Dose2-C",17.7120639978176,-22.5389528861104,57.9630808817455,0.675225977855185,FALSE
"57","Clofibric_Acid","Dose3-C",11.7310220370737,-28.5199948468543,51.9820389210017,0.908173136570147,FALSE
"58","Clofibric_Acid","Dose4-C",31.2412873758457,-9.00972950808226,71.4923042597737,0.17667261544547,FALSE
"59","Clofibric_Acid","Dose5-C",24.08348372091,-16.167533163018,64.3345006048379,0.3958071108352,FALSE
"60","DES","Dose1-C",12.0046326512533,-16.8974474184885,40.906712720995,0.720000222704068,FALSE
