"",".id","Df","Sum Sq","Mean Sq","F value","Pr(>F)","is.significant"
"1","17beta_estradiol",5,5242.26654858543,1048.45330971709,0.986317767723462,0.435951591318926,FALSE
"2","1decanol",5,9624.4114089401,1924.88228178802,1.56452231534096,0.188102159647949,FALSE
"3","1octanol",5,12178.220068881,2435.6440137762,2.30438585422883,0.0590031130046964,FALSE
"4","24DMP",5,2490.70111977533,498.140223955067,0.699181088136914,0.626711057417686,FALSE
"5","24DNP",5,3701.99264176886,740.398528353771,1.57506995340593,0.185095060127879,FALSE
"6","34DCA",5,87243.2839845761,17448.6567969152,11.4682098826527,0.000000258560939924686,TRUE
"7","4TOP",5,1390.98659610835,278.197319221671,0.888701640064225,0.496102572515402,FALSE
"8","4TPP",5,14484.0332972059,2896.80665944118,2.34700548614311,0.0551383521199043,FALSE
"9","Analine",5,3065.81565921948,613.163131843895,1.43731718168974,0.228085871953706,FALSE
"10","BPA",5,4081.25738960607,816.251477921214,0.895703550501449,0.491611317211405,FALSE
"11","BPAF",5,1586.35518895178,317.271037790355,0.368802549318104,0.867468284167564,FALSE
"12","Clofibric Acid",5,11696.5517692251,2339.31035384503,1.88351038715556,0.114751035077081,FALSE
"13","DES",5,3261.41358118385,652.28271623677,1.18266514163162,0.331619977631905,FALSE
"14","Dimethylformamide",5,2197.27423030064,439.454846060128,0.581054995475798,0.714255843163727,FALSE
"15","DMSO",5,6267.88944182449,1253.5778883649,1.05606216328458,0.396324693854551,FALSE
"16","EE2",5,5183.88024095657,1036.77604819131,0.920474672178266,0.475937548281402,FALSE
"17","Fadrozole",5,4500.42947895612,900.085895791224,1.03826874786053,0.406164908863739,FALSE
"18","Fenitrothione",5,2732.89229040894,546.578458081788,0.923958068446691,0.473760671174747,FALSE
"19","Fluoxetine",5,4701.43497286957,940.286994573913,1.62451018834975,0.171586461496183,FALSE
"20","Flutamide",5,4561.99971024068,912.399942048136,1.11207101222856,0.366556430686434,FALSE
"21","Glyphosate",5,3612.5442483412,722.50884966824,0.942506929271153,0.462283439396564,FALSE
"22","Prochloraz",5,7773.20213232126,1554.64042646425,2.14809621225501,0.0756107618276027,FALSE
"23","SDS",5,2214.98990880562,442.997981761124,0.564593087489837,0.726578766363017,FALSE
"24","TEG",5,2261.95099729148,452.390199458296,0.568839878629559,0.723400115446459,FALSE
"25","TGSH",5,1778.76591389825,355.753182779649,0.321146975200796,0.897830256078493,FALSE
"26","Vinclozilin",5,4246.65740523374,849.331481046747,0.846649400701043,0.523624671438802,FALSE
