Signaling Pathway Analyses
Organism Code: mmu
Signaling Pathway File Creation Date: 11/15/21
Pathway DB Name: BioPlanet
Deduplicate Gene Sets: false
Data Source: bmdexpress_input_BitA_6h2
Work Source: bmdexpress_input_BitA_6h2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 02/23/2022 15:13.03
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1532
Total Run Time: 59 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
1	Inhibition of matrix metalloproteinases	6	9	2	2	0	2	2	2	2	0	0	637	9	8341	0.51584	1.0	1.0	0.0																														0	0	0															0															0																							
10	Adhesion and diapedesis of granulocytes	3	14	1	1	0	1	1	1	1	0	0	637	14	8336	0.357	1.0	0.61812	0.0																														0	0	0															0															0																							
100	Phospholipase C epsilon pathway	9	11	4	4	3	4	4	4	4	3	3	634	8	8342	0.99448	0.038085	0.038085	27.27	223864;18749;11555	rapgef3;prkacb;adrb2	Rapgef3_66779;Prkacb_29599;Adrb2_30408,Adrb2_74836	223864(0.2908);18749(-0.4368)	5.525831666666666	5.5007	5.35184	0.18782279230257118	5.484973302363129	0.19679511447996897	2.8679633333333334	3.0171099999999997	2.15457	0.6517472965293639	3.0798727993541757	0.5802985825581884	13.34984	10.87392	10.0231	5.043225255211194	11.940951072361662	4.213103908620931	0.0	5.35184	0.5	5.426270000000001	5.35184;5.5007;5.724955	3.43221;2.15457;3.0171099999999997	10.0231;19.1525;10.87392	0	4	0															3	223864;18749;11555	Rapgef3_66779;Prkacb_29599;Adrb2_30408,Adrb2_74836	5.525831666666666	5.5007	0.18782279230257118	2.8679633333333334	3.0171099999999997	0.6517472965293639	13.34984	10.87392	5.043225255211194	5.35184;5.5007;5.724955	3.43221;2.15457;3.0171099999999997	10.0231;19.1525;10.87392	0						Exp 2,1(0.25);Exp 4,2(0.5);Exp 5,1(0.25)	3.8394270349582023	19.89576005935669	1.9970262050628662	11.790014266967773	4.578578319017259	3.054359793663025	5.3132901688628325	5.738373164470501	2.13044183822745	3.605484828439217	7.642893380987001	19.056786619013	DOWN	0.0	1.0	0.0	
1000	Platelet adhesion to exposed collagen	7	13	3	3	0	3	3	3	3	0	0	637	13	8337	0.38428	1.0	1.0	0.0																														0	0	0															0															0																							
1002	Integrin-mediated cell adhesion	72	97	34	32	12	31	32	29	33	11	11	626	86	8264	0.9592	0.081072	0.10887	11.34	23797;12927;22793;22330;21961;14083;23938;26395;320910;16400;330662	akt3;bcar1;zyx;vcl;tns1;ptk2;map2k5;map2k1;itgb8;itga3;dock1	Akt3_31925;Bcar1_60042;Zyx_64548;Vcl_59505;Tns1_76336;Ptk2_31747;Map2k5_31654;Map2k1_71481;Itgb8_57829;Itga3_73165;Dock1_73668	21961(0.436);14083(-0.4945);23938(0.2514)	8.604970909090909	9.38351	2.35338	5.694479869254882	8.643373905840562	5.053263190497289	5.63686	6.75756	1.26903	4.1140812786550525	5.794638524136725	3.707484474122386	16.725996363636362	15.6598	4.10809	10.679921499419624	15.736179420893261	8.896092392212957	3.5	3.4712050000000003	8.5	13.04725	12.2674;3.32401;13.6787;2.35338;9.38351;3.39777;3.42783;19.2923;3.51458;12.4158;11.5994	8.40845;1.26903;9.71737;1.57722;6.75756;1.78781;1.47042;12.4724;1.85381;8.68016;8.01123	21.6951;15.6598;22.769;4.10809;14.8221;6.52362;7.02623;41.599;8.51132;21.1502;20.1215	2	9	2	22793;26395	Zyx_64548;Map2k1_71481	16.485500000000002	16.485500000000002	3.9694146268687818	11.094885000000001	11.094885000000001	1.9481003953723692	32.184	32.184	13.314820689742694	13.6787;19.2923	9.71737;12.4724	22.769;41.599	9	23797;12927;22330;21961;14083;23938;320910;16400;330662	Akt3_31925;Bcar1_60042;Vcl_59505;Tns1_76336;Ptk2_31747;Map2k5_31654;Itgb8_57829;Itga3_73165;Dock1_73668	6.8537422222222215	3.51458	4.425890625127835	4.423965555555556	1.85381	3.4029667630213156	13.290884444444444	14.8221	6.8849753486997205	12.2674;3.32401;2.35338;9.38351;3.39777;3.42783;3.51458;12.4158;11.5994	8.40845;1.26903;1.57722;6.75756;1.78781;1.47042;1.85381;8.68016;8.01123	21.6951;15.6598;4.10809;14.8221;6.52362;7.02623;8.51132;21.1502;20.1215	0						Exp 2,3(0.28);Exp 4,3(0.28);Exp 5,1(0.1);Hill,1(0.1);Linear,3(0.28)	2.3368497148456218	26.46010708808899	1.7841383218765259	3.628378391265869	0.6354364194434028	2.2100701332092285	5.239748356272816	11.970193461909002	3.2055933310622	8.0681266689378	10.414566080737412	23.037426646535312	DOWN	0.18181818181818182	0.8181818181818182	0.0	
1003	Apoptotic cleavage of cell adhesion  proteins	5	12	2	2	1	2	2	2	2	1	1	636	11	8339	0.7928	0.58637	0.58637	8.33	21872	tjp1	Tjp1_75295	21872(-0.1468)	5.27373	5.27373	5.27373		5.27373		3.39383	3.39383	3.39383		3.39383		10.9074	10.9074	10.9074		10.9074		0.0	5.27373			5.27373	3.39383	10.9074	0	1	0															1	21872	Tjp1_75295	5.27373	5.27373		3.39383	3.39383		10.9074	10.9074		5.27373	3.39383	10.9074	0						Poly 2,1(1)	1.9027138948440552	1.9027138948440552	1.9027138948440552	1.9027138948440552	0.0	1.9027138948440552	5.27373	5.27373	3.39383	3.39383	10.9074	10.9074	DOWN	0.0	1.0	0.0	
1004	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	4	4	3	3	0	3	3	3	3	0	0	637	4	8346	0.74519	1.0	1.0	0.0																														0	0	0															0															0																							
1005	Apoptotic execution  phase	36	49	16	16	5	16	15	15	16	5	5	632	44	8306	0.86919	0.26537	0.39382	10.2	16211;14272;12370;21872;14083	kpnb1;fnta;casp8;tjp1;ptk2	Kpnb1_61900;Fnta_69909;Casp8_76424;Tjp1_75295;Ptk2_31747	16211(0.338);12370(0.4364);21872(-0.1468);14083(-0.4945)	8.787367999999999	9.70474	3.39777	4.3094346559693895	8.626531401070883	4.573307667551662	5.8271299999999995	6.89894	1.78781	3.0842646974197923	5.695776885517592	3.3062781832221	16.217104	15.7502	6.52362	7.99638870772801	15.96133080486147	8.266032812366687	1.5	7.489234999999999	3.5	12.7803	12.4949;9.70474;13.0657;5.27373;3.39777	8.72822;6.89894;8.32685;3.39383;1.78781	21.3318;15.7502;26.5725;10.9074;6.52362	1	4	1	16211	Kpnb1_61900	12.4949	12.4949		8.72822	8.72822		21.3318	21.3318		12.4949	8.72822	21.3318	4	14272;12370;21872;14083	Fnta_69909;Casp8_76424;Tjp1_75295;Ptk2_31747	7.860485	7.489234999999999	4.362822721682986	5.1018574999999995	5.1463849999999995	3.029320655959849	14.93843	13.328800000000001	8.623007702165182	9.70474;13.0657;5.27373;3.39777	6.89894;8.32685;3.39383;1.78781	15.7502;26.5725;10.9074;6.52362	0						Exp 2,2(0.4);Exp 5,1(0.2);Linear,1(0.2);Poly 2,1(0.2)	2.030955504416612	10.40115761756897	1.6326367855072021	3.035736322402954	0.5490479444311451	1.9027138948440552	5.009981976546339	12.56475402345366	3.123652794578878	8.530607205421123	9.207960259803325	23.22624774019668	DOWN	0.2	0.8	0.0	
1006	Apoptosis	185	230	76	74	33	76	71	71	76	31	31	606	199	8151	0.99983	3.7949E-4	5.7442E-4	13.48	171543;170770;12125;56455;16151;22190;22059;23997;69077;67151;19173;26445;18049;18037;18036;18035;16476;108960;16001;12371;12363;12028;14102;11798;16211;14272;12370;21872;23797;14083;18749	bmf;bbc3;bcl2l11;dynll1;ikbkg;ubc;trp53;psmd13;psmd11;psmd9;psmb5;psmb2;ngf;nfkbie;nfkbib;nfkbia;jun;irak2;igf1r;casp9;casp4;bax;fas;xiap;kpnb1;fnta;casp8;tjp1;akt3;ptk2;prkacb	Bmf_30266;Bbc3_31767;Bcl2l11_67930;Dynll1_79280;Ikbkg_80620;Ubc_56074;Trp53_31258;Psmd13_74866;Psmd11_71576;Psmd9_29183,Psmd9_71205;Psmb5_71178;Psmb2_56689;Ngf_80426;Nfkbie_29261;Nfkbib_31167;Nfkbia_29762;Jun_29880,Jun_77116;Irak2_68753;Igf1r_30022;Casp9_66180;Casp4_65759;Bax_65736;Fas_30425;Xiap_78640;Kpnb1_61900;Fnta_69909;Casp8_76424;Tjp1_75295;Akt3_31925;Ptk2_31747;Prkacb_29599	12125(0.004931);16151(0.3827);22059(0.2127);23997(0.01333);69077(0.2136);18037(0.4951);18036(0.08409);12371(0.103);16211(0.338);12370(0.4364);21872(-0.1468);14083(-0.4945);18749(-0.4368)	12.215056290322583	12.2674	1.07328	7.431569914582421	12.601482087368375	8.373480400632582	7.654816403225806	8.32685	0.296329	4.510501283458894	7.635523704906866	4.933241437768423	23.64781661290323	21.6951	5.38074	13.97842747788148	24.745542659992235	15.382691500464357	10.5	7.2778849999999995	22.0	16.5689	26.7022;3.67001;7.4413;6.77215;22.0802;20.1362;2.99367;7.11447;16.3975;11.115645;19.9938;19.2854;14.8847;23.9333;27.2105;7.82668;18.11445;16.5689;1.07328;13.8548;5.57947;4.81456;15.2894;4.10922;12.4949;9.70474;13.0657;5.27373;12.2674;3.39777;5.5007	13.6903;2.51909;5.34199;4.94825;14.1839;13.2308;1.4575;4.21106;11.2173;6.9033695;12.8178;12.469;10.1303;12.8854;14.998;5.71118;11.514949999999999;11.0614;0.296329;9.31347;4.1362;2.27129;10.7123;1.57946;8.72822;6.89894;8.32685;3.39383;8.40845;1.78781;2.15457	37.7665;6.48054;11.7432;10.3027;50.9069;42.6561;7.379;18.9369;30.2565;26.080865;44.4083;41.5721;27.3032;52.1916;44.695;11.9736;22.697499999999998;32.1777;5.38074;25.7734;8.22195;12.8625;26.5546;12.8278;21.3318;15.7502;26.5725;10.9074;21.6951;6.52362;19.1525	19	14	17	170770;16151;22190;22059;23997;69077;67151;26445;18049;18037;18036;18035;16476;12363;12028;14102;16211	Bbc3_31767;Ikbkg_80620;Ubc_56074;Trp53_31258;Psmd13_74866;Psmd11_71576;Psmd9_29183,Psmd9_71205;Psmb2_56689;Ngf_80426;Nfkbie_29261;Nfkbib_31167;Nfkbia_29762;Jun_29880,Jun_77116;Casp4_65759;Bax_65736;Fas_30425;Kpnb1_61900	13.702415	14.8847	7.528749647424447	8.663521147058823	10.1303	4.52388534882163	26.594156176470587	26.080865	15.177350000983536	3.67001;22.0802;20.1362;2.99367;7.11447;16.3975;11.115645;19.2854;14.8847;23.9333;27.2105;7.82668;18.11445;5.57947;4.81456;15.2894;12.4949	2.51909;14.1839;13.2308;1.4575;4.21106;11.2173;6.9033695;12.469;10.1303;12.8854;14.998;5.71118;11.514949999999999;4.1362;2.27129;10.7123;8.72822	6.48054;50.9069;42.6561;7.379;18.9369;30.2565;26.080865;41.5721;27.3032;52.1916;44.695;11.9736;22.697499999999998;8.22195;12.8625;26.5546;21.3318	14	171543;12125;56455;19173;108960;16001;12371;11798;14272;12370;21872;23797;14083;18749	Bmf_30266;Bcl2l11_67930;Dynll1_79280;Psmb5_71178;Irak2_68753;Igf1r_30022;Casp9_66180;Xiap_78640;Fnta_69909;Casp8_76424;Tjp1_75295;Akt3_31925;Ptk2_31747;Prkacb_29599	10.408977857142858	8.57302	7.161107137629121	6.429960642857144	6.120464999999999	4.337572736327891	20.070118571428573	17.451349999999998	11.927625600084133	26.7022;7.4413;6.77215;19.9938;16.5689;1.07328;13.8548;4.10922;9.70474;13.0657;5.27373;12.2674;3.39777;5.5007	13.6903;5.34199;4.94825;12.8178;11.0614;0.296329;9.31347;1.57946;6.89894;8.32685;3.39383;8.40845;1.78781;2.15457	37.7665;11.7432;10.3027;44.4083;32.1777;5.38074;25.7734;12.8278;15.7502;26.5725;10.9074;21.6951;6.52362;19.1525	0						Exp 2,10(0.31);Exp 3,1(0.04);Exp 4,5(0.16);Exp 5,1(0.04);Hill,4(0.13);Linear,9(0.28);Poly 2,3(0.1)	2.514239774767507	106.72581887245178	1.550549030303955	20.92448616027832	3.653087497561357	1.9715685844421387	9.598947546600906	14.831165034044252	6.067000910422537	9.242631896029076	18.727041222415647	28.5685920033908	CONFLICT	0.5483870967741935	0.45161290322580644	0.0	
1007	Apoptotic factor-mediated response	7	7	3	3	2	3	3	3	3	2	2	635	5	8345	0.99	0.083015	0.083015	28.57	12371;11798	casp9;xiap	Casp9_66180;Xiap_78640	12371(0.103)	8.982009999999999	8.982009999999999	4.10922	6.891165704595993	10.30896849027792	6.630725985769477	5.446465	5.446465	1.57946	5.468770916764571	6.499528053547797	5.262088154958559	19.3006	19.3006	12.8278	9.153921546528572	21.063273317723713	8.807964874474102	0.0	4.10922	0.0	4.10922	13.8548;4.10922	9.31347;1.57946	25.7734;12.8278	0	2	0															2	12371;11798	Casp9_66180;Xiap_78640	8.982009999999999	8.982009999999999	6.891165704595993	5.446465	5.446465	5.468770916764571	19.3006	19.3006	9.153921546528572	13.8548;4.10922	9.31347;1.57946	25.7734;12.8278	0						Exp 2,1(0.5);Exp 4,1(0.5)	1.62857098045639	3.258649468421936	1.5797702074050903	1.6788792610168457	0.07008068388585331	1.629324734210968	-0.5686584000000003	18.532678399999998	-2.1328648	13.0257948	6.613912000000001	31.987288	DOWN	0.0	1.0	0.0	
1008	Apoptotic cleavage of cellular proteins	14	17	5	5	3	5	4	4	5	3	3	634	14	8336	0.97166	0.11481	0.11481	17.65	14272;12370;14083	fnta;casp8;ptk2	Fnta_69909;Casp8_76424;Ptk2_31747	12370(0.4364);14083(-0.4945)	8.722736666666666	9.70474	3.39777	4.908203900739387	7.845654794645824	5.383041757673236	5.6712	6.89894	1.78781	3.4380619774954595	4.95172788244097	3.7421570910662054	16.282106666666667	15.7502	6.52362	10.035018228191381	15.038613410375788	10.943444056988586	0.0	3.39777	0.5	6.551254999999999	9.70474;13.0657;3.39777	6.89894;8.32685;1.78781	15.7502;26.5725;6.52362	0	3	0															3	14272;12370;14083	Fnta_69909;Casp8_76424;Ptk2_31747	8.722736666666666	9.70474	4.908203900739387	5.6712	6.89894	3.4380619774954595	16.282106666666667	15.7502	10.035018228191381	9.70474;13.0657;3.39777	6.89894;8.32685;1.78781	15.7502;26.5725;6.52362	0						Exp 2,2(0.67);Exp 5,1(0.34)	2.13790550030863	6.639941692352295	1.6326367855072021	3.035736322402954	0.7321220355108139	1.9715685844421387	3.168581093740931	14.276892239592401	1.7806666239326616	9.561733376067338	4.926414534943239	27.637798798390094	DOWN	0.0	1.0	0.0	
1009	Apoptosis modulation by HSP70	17	18	5	5	3	5	4	4	5	3	3	634	15	8335	0.96555	0.13088	0.13088	16.67	12371;14102;12370	casp9;fas;casp8	Casp9_66180;Fas_30425;Casp8_76424	12371(0.103);12370(0.4364)	14.069966666666666	13.8548	13.0657	1.1273566176385008	13.823273323591492	0.8969999102975579	9.450873333333334	9.31347	8.32685	1.198646187427024	9.210613105211886	0.9697899333153673	26.30016666666667	26.5546	25.7734	0.4562811012227207	26.164235671375227	0.48577415785844436	0.0	13.0657	0.5	13.460249999999998	13.8548;15.2894;13.0657	9.31347;10.7123;8.32685	25.7734;26.5546;26.5725	1	2	1	14102	Fas_30425	15.2894	15.2894		10.7123	10.7123		26.5546	26.5546		15.2894	10.7123	26.5546	2	12371;12370	Casp9_66180;Casp8_76424	13.460249999999998	13.460249999999998	0.5579779610343667	8.820160000000001	8.820160000000001	0.6976456924542569	26.17295	26.17295	0.5650490288461456	13.8548;13.0657	9.31347;8.32685	25.7734;26.5725	0						Exp 2,3(1)	2.2946525161765994	7.085264682769775	1.6788792610168457	3.035736322402954	0.6784722554545018	2.3706490993499756	12.794242559200722	15.34569077413261	8.094477483344079	10.807269183322589	25.78383599409681	26.81649733923653	DOWN	0.3333333333333333	0.6666666666666666	0.0	
