Benchmark Dose Analyses
Data Source: bmdexpress_input_BitA_24h2
Work Source: bmdexpress_input_BitA_24h2_williams_0.05_NOMTC_foldfilter1.5
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 02/23/2022 10:14.38
Operating System: Windows 10
hill version: Hill Model. (Version: 2.18;  Date: 03/14/2017)
power version: Power Model. (Version: 2.19;  Date: 03/14/2017)
linear version: Polynomial Model. (Version: 2.21;  Date: 03/14/2017)
poly 2 version: Polynomial Model. (Version: 2.21;  Date: 03/14/2017)
exponential 2 version: Exponential Model. (Version: 1.11;  Date: 03/14/2017)
exponential 3 version: Exponential Model. (Version: 1.11;  Date: 03/14/2017)
exponential 4 version: Exponential Model. (Version: 1.11;  Date: 03/14/2017)
exponential 5 version: Exponential Model. (Version: 1.11;  Date: 03/14/2017)
Models fit: hill, power, linear, poly 2, exponential 2, exponential 3, exponential 4, exponential 5
Maximum Iterations: 250
Confidence Level: 0.95
Constant Variance: 1
BMR Type: Standard Deviation
BMR Factor: 1.0
Restrict Power: 1
Highest Dose: 57.0
Lowest Positive Dose: 1.0
Best Model Selection: Lowest AIC
Fit Selected Models with Multiple Threads: 12
Number of Available Processors On Machine: 4
Destory Model Processes If Run More Than: 30000 milliseconds.
BMDL and BMDU Model Selection: Compute and utilize in best model selection
Flag Hill Model with 'k' Parameter <: 1/3 of Lowest Positive Dose
Best Model Selection with Flagged Hill Model: Exclude Flagged Hill from Best Models
Total Run Time: 5311 seconds
Hill # of model timeouts: 658
Poly 2 # of model timeouts: 2116

Probe ID	Entrez Gene IDs	Genes Symbols	Hill BMD	Hill BMDL	Hill BMDU	Hill fitPValue	Hill fitLogLikelihood	Hill AIC	Hill adverseDirection	Hill BMD/BMDL	Flagged Hill	Hill Parameter Intercept	Hill Parameter v	Hill Parameter n	Hill Parameter k	Hill Execution Complete	Power BMD	Power BMDL	Power BMDU	Power fitPValue	Power fitLogLikelihood	Power AIC	Power adverseDirection	Power BMD/BMDL	Power Parameter control	Power Parameter slope	Power Parameter power	Power Execution Complete	Linear BMD	Linear BMDL	Linear BMDU	Linear fitPValue	Linear fitLogLikelihood	Linear AIC	Linear adverseDirection	Linear BMD/BMDL	Linear Execution Complete	Linear Parameter beta_0	Linear Parameter beta_1	Poly 2 BMD	Poly 2 BMDL	Poly 2 BMDU	Poly 2 fitPValue	Poly 2 fitLogLikelihood	Poly 2 AIC	Poly 2 adverseDirection	Poly 2 BMD/BMDL	Poly 2 Execution Complete	Poly 2 Parameter beta_0	Poly 2 Parameter beta_1	Poly 2 Parameter beta_2	Exp 2 BMD	Exp 2 BMDL	Exp 2 BMDU	Exp 2 fitPValue	Exp 2 fitLogLikelihood	Exp 2 AIC	Exp 2 adverseDirection	Exp 2 BMD/BMDL	Exp 2 Execution Complete	Exp 2 Parameter sign	Exp 2 Parameter a	Exp 2 Parameter b	Exp 3 BMD	Exp 3 BMDL	Exp 3 BMDU	Exp 3 fitPValue	Exp 3 fitLogLikelihood	Exp 3 AIC	Exp 3 adverseDirection	Exp 3 BMD/BMDL	Exp 3 Execution Complete	Exp 3 Parameter sign	Exp 3 Parameter a	Exp 3 Parameter b	Exp 3 Parameter d	Exp 4 BMD	Exp 4 BMDL	Exp 4 BMDU	Exp 4 fitPValue	Exp 4 fitLogLikelihood	Exp 4 AIC	Exp 4 adverseDirection	Exp 4 BMD/BMDL	Exp 4 Execution Complete	Exp 4 Parameter a	Exp 4 Parameter b	Exp 4 Parameter c	Exp 5 BMD	Exp 5 BMDL	Exp 5 BMDU	Exp 5 fitPValue	Exp 5 fitLogLikelihood	Exp 5 AIC	Exp 5 adverseDirection	Exp 5 BMD/BMDL	Exp 5 Execution Complete	Exp 5 Parameter a	Exp 5 Parameter b	Exp 5 Parameter c	Exp 5 Parameter d	Best Poly	Best Model	Best BMD	Best BMDL	Best BMDU	Best fitPValue	Best fitLogLikelihood	Best AIC	Best adverseDirection	Best BMD/BMDL	Best BMDU/BMDL	Best BMDU/BMD	wAUC	Prefilter P-Value	Prefilter Adjusted P-Value	Max Fold Change	Max Fold Change Absolute Value	NOTEL	LOTEL	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6
Nme1_29042	18102	nme1	0.1235	1.90105E-7	3.1366	0.0541	12.55961	-17.119219	-1	649640.9878751216	1	10.8021	-0.659496	1.0	0.229365	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	32.9407	16.4628	NaN	0.008738	9.501743	-13.003486	-1	2.0009172194280436	true	10.3872	-0.00886529	21.069	7.48518	3.249E7	0.004498	9.657875	-11.31575	-1	2.8147619696520323	true	10.4246	-0.0170577	1.59596E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	10.1616	8.64018E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	10.1616	8.64018E-4	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Poly 2	21.069	7.48518	3.249E7	0.004498	9.657875	-11.31575	-1	2.8147619696520323	4340576.980112703	1542076.0358821016	-0.018563416	0.014705882352941176	0.1454072339318241	-1.9003055095672607	1.9003055095672607			-1.5183353	-1.385977	-1.4466661	-1.8718412	-1.3707637	-1.9003055	
Tmem109_29052	68539	tmem109	53.3192	27.4884	56.1248	3.825E-4	7.081319	-4.162638	-1	1.9396981999679868	0	8.47149	-6101.36	18.0	91.7044	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	24.7328	13.8732	110.834	7.006E-4	5.561694	-5.123389	-1	1.782775423117954	true	8.58197	-0.0159874	37.1895	14.6454	61.4756	4.64E-4	6.147481	-4.294962	1	2.5393297554180836	true	8.48567	0.00514987	-4.11777E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	8.16138	0.00201187	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	8.16138	0.00201187	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	1	Linear	24.7328	13.8732	110.834	7.006E-4	5.561694	-5.123389	-1	1.782775423117954	7.989072456246576	4.481255660499418	-0.021280266	0.013986013986013986	0.1454072339318241	-3.412097692489624	3.412097692489624			-1.6468176	-1.7667446	-1.6874298	-1.9090005	-1.2990085	-3.4120977	
Sgo1_29058	72415	sgo1	13.8008	9.77333	22.1569	0.005775	-6.540035	21.08007	-1	1.412087794027215	0	6.74709	-4.32751	18.0	14.7508	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	17.9577	11.1338	45.253	1.15E-4	-11.989625	29.97925	-1	1.6128994593041008	true	6.62656	-0.084946	3.46407	2.36559	6.2125	0.007421	-6.254094	20.508189	-1	1.464357728938658	true	7.59545	-0.29762	0.00414312	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	3.82359	0.020869	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	3.82359	0.020869	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Poly 2	3.46407	2.36559	6.2125	0.007421	-6.254094	20.508189	-1	1.464357728938658	2.6261947336605247	1.7934106412399289	-0.29709834	0.015625	0.1454072339318241	-78.0165023803711	78.0165023803711			-2.0024586	-2.8029733	-2.4233742	-4.458922	-78.0165	-9.417676	
Snx7_29060	76561	snx7	0.159225	1.26354E-6	2.11989	0.00559	7.222826	-6.445653	-1	126015.00546084809	0	6.58008	-1.08004	1.0	0.334962	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	26.1549	14.372	140.966	0.001088	4.366376	-2.732752	-1	1.8198510993598664	true	5.94632	-0.0165742	11.9818	5.71553	NaN	7.447E-4	4.966668	-1.933336	-1	2.09635851793272	true	6.05313	-0.0400194	4.56738E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	5.5151	0.00290715	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	5.5151	0.00290715	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	1	Hill	0.159225	1.26354E-6	2.11989	0.00559	7.222826	-6.445653	-1	126015.00546084809	1677738.7340329548	13.313801224682052	-0.46035644	0.007042253521126761	0.11057213930348259	-2.7827301025390625	2.7827301025390625	0.0	1.0	-1.7214664	-2.2858624	-1.763304	-1.4718198	-2.78273	-2.4329348	
Cdk6_29089	12571	cdk6	0.313892	4.81589E-7	3.249E7	9.0E-5	9.630503	-9.261005	-1	651783.99008283	0	8.01473	-0.828844	1.07751	0.560154	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	195.166	29.5177	3.249E7	9.0E-5	5.327117	-4.654235	-1	6.611829512462014	true	7.41571	-0.00206293	5.40773	3.36094	14.5601	9.0E-5	10.407825	-12.815649	-1	1.6089933173457427	true	7.66168	-0.0560543	0.00105181	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	7.35432	2.73668E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	7.35432	2.73668E-4	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Poly 2	5.40773	3.36094	14.5601	9.0E-5	10.407825	-12.815649	-1	1.6089933173457427	4.332151124387821	2.692460607315824	-0.048189398	0.016	0.145955223880597	-2.211150646209717	2.211150646209717	3.0	7.0	-1.5390334	-1.3002199	-2.2111506	-1.8469456	-1.9456224	-1.1462095	
Fgf21_29090	56636	fgf21	19.7127	13.9413	27.1885	9.0E-5	-8.400819	24.801638	1	1.4139786103161112	0	0.704262	3.17893	18.0	20.3329	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	22.7663	13.1432	82.9054	9.0E-5	-11.326618	28.653236	1	1.7321732911315357	true	0.638562	0.0636724	21.8738	8.08361	3.249E7	9.0E-5	-11.32472	30.64944	1	2.705944497569774	true	0.618013	0.0681825	-8.7861E-5	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	1.09554E-205	11.5323	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	1.09554E-205	11.5323	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	1	Hill	19.7127	13.9413	27.1885	9.0E-5	-8.400819	24.801638	1	1.4139786103161112	1.950212677440411	1.3792377502828126	0.052414775	0.006944444444444444	0.11057213930348259	-8.645525932312012	8.645525932312012	0.0	1.0	-8.645526	-8.645526	-8.645526	-6.495652	1.8341393	1.4589703	
Wfs1_29097	22393	wfs1	0.224619	0.106018	0.63807	0.3696	8.491174	-8.982348	1	2.118687392706899	0	1.8993	2.47333	1.0	1.5355	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	16.1074	10.2639	36.444	4.868E-4	-0.452714	6.905429	1	1.5693255000535857	true	3.01315	0.0389898	5.46332	3.43118	12.4963	0.001624	1.935918	4.128163	1	1.5922568912152673	true	2.72424	0.102408	-0.00123545	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	2.9209	0.0116183	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	2.9209	0.0116183	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Hill	0.224619	0.106018	0.63807	0.3696	8.491174	-8.982348	1	2.118687392706899	6.018506291384482	2.8406768795159802	0.60055745	0.00625	0.11057213930348259	6.9720635414123535	6.9720635414123535			2.1476493	3.3703234	3.6047013	4.149668	5.5962906	6.9720635	
Fhl2_29099	14200	fhl2	0.835255	NaN	NaN	9.0E-5	5.556722	-1.113444	-1	NaN	0	7.11746	-1.47843	14.0573	0.897288	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	298.453	31.1747	3.249E7	9.0E-5	-1.020009	8.040018	-1	9.573564460925043	true	5.93474	-0.00219812	73.5125	44.8792	3.249E7	9.0E-5	-0.722387	9.444775	-1	1.6380082532665468	true	6.04987	-0.0274707	4.92336E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	5.86302	1.35618E-4	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	5.86302	1.35618E-4	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	1	Linear	298.453	31.1747	3.249E7	9.0E-5	-1.020009	8.040018	-1	9.573564460925043	1042191.2640699028	108861.3617554523	0.0	0.015503875968992248	0.1454072339318241	-4.689488887786865	4.689488887786865	1.0	3.0	-2.3196003	-4.689489	-2.8252923	-1.9967457	-2.600028	-2.140395	
Hmgcr_29103	15357	hmgcr	5.53866E-14	5.53866E-14	5.53868E-14	0.002608	-6.485234	20.970468	-1	1.0	1	3.90419	-2.02957	1.09288	5.7E-14	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	49.7468	20.1823	3.249E7	9.403E-4	-8.649369	23.298738	-1	2.4648726854719234	true	2.48422	-0.0237159	50.041	30.2097	97.9322	0.001099	-7.449403	22.898806	1	1.6564547148763475	true	2.08239	0.064489	-0.00171833	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	1.60399E-76	9.6196	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	1.60399E-76	9.6196	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Poly 2	50.041	30.2097	97.9322	0.001099	-7.449403	22.898806	1	1.6564547148763475	3.2417468561422322	1.9570392278331767	0.040131085	0.030534351145038167	0.1918956043956044	-14.971982955932617	14.971982955932617	14.0	28.0	-5.4876165	-7.6498904	-2.804501	-2.6032603	-1.933029	-14.971983	
Gadd45a_29109	320172;13197	e230016m11rik;gadd45a	1.59944	0.549991	5.97092	0.005199	4.645044	-1.290087	1	2.9081203146960584	0	7.82062	3.17276	1.0	10.3606	true	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	-1	NaN	-9999.0	-9999.0	-9999.0	true	12.7035	8.50182	24.3859	1.598E-4	-0.314614	6.629228	1	1.4942094751476742	true	8.40001	0.0489146	3.15593	2.18516	5.44333	0.008258	5.172778	-2.345557	1	1.4442557982024198	true	8.01079	0.13435	-0.00166437	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	8.38164	0.00533362	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	1.0	8.38164	0.00533362	1.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	NaN	NaN	NaN	-9999.0	-9999.0	-9999.0	1	NaN	true	-9999.0	-9999.0	-9999.0	-9999.0	2	Poly 2	3.15593	2.18516	5.44333	0.008258	5.172778	-2.345557	1	1.4442557982024198	2.4910441340679856	1.7247942761721582	0.13995026	0.006944444444444444	0.11057213930348259	8.769258499145508	8.769258499145508	0.0	1.0	2.2811723	2.3655162	2.7626905	3.7337794	8.7692585	7.082341	
