sample,chemical,dose
BitA_24h_1,BitA_24h,1
BitA_24h_1,BitA_24h,1
BitA_24h_14,BitA_24h,14
BitA_24h_14,BitA_24h,14
BitA_24h_28,BitA_24h,28
BitA_24h_28,BitA_24h,28
BitA_24h_3,BitA_24h,3
BitA_24h_3,BitA_24h,3
BitA_24h_57,BitA_24h,57
BitA_24h_57,BitA_24h,57
BitA_24h_7,BitA_24h,7
BitA_24h_7,BitA_24h,7
BitA_6h_1,BitA_6h,1
BitA_6h_1,BitA_6h,1
BitA_6h_14,BitA_6h,14
BitA_6h_14,BitA_6h,14
BitA_6h_28,BitA_6h,28
BitA_6h_28,BitA_6h,28
BitA_6h_3,BitA_6h,3
BitA_6h_3,BitA_6h,3
BitA_6h_57,BitA_6h,57
BitA_6h_57,BitA_6h,57
BitA_6h_7,BitA_6h,7
BitA_6h_7,BitA_6h,7
BitB_24h_10,BitB_24h,10
BitB_24h_10,BitB_24h,10
BitB_24h_2,BitB_24h,2
BitB_24h_2,BitB_24h,2
BitB_24h_20,BitB_24h,20
BitB_24h_20,BitB_24h,20
BitB_24h_41,BitB_24h,41
BitB_24h_41,BitB_24h,41
BitB_24h_5,BitB_24h,5
BitB_24h_5,BitB_24h,5
BitB_24h_82,BitB_24h,82
BitB_24h_82,BitB_24h,82
BitB_6h_10,BitB_6h,10
BitB_6h_10,BitB_6h,10
BitB_6h_2,BitB_6h,2
BitB_6h_2,BitB_6h,2
BitB_6h_20,BitB_6h,20
BitB_6h_20,BitB_6h,20
BitB_6h_41,BitB_6h,41
BitB_6h_41,BitB_6h,41
BitB_6h_5,BitB_6h,5
BitB_6h_5,BitB_6h,5
BitB_6h_82,BitB_6h,82
BitB_6h_82,BitB_6h,82
BitC_24h_1,BitC_24h,1
BitC_24h_1,BitC_24h,1
BitC_24h_12,BitC_24h,12
BitC_24h_12,BitC_24h,12
BitC_24h_24,BitC_24h,24
BitC_24h_24h,BitC_24h,24
BitC_24h_3,BitC_24h,3
BitC_24h_3,BitC_24h,3
BitC_24h_45,BitC_24h,45
BitC_24h_45,BitC_24h,45
BitC_24h_6,BitC_24h,6
BitC_24h_6,BitC_24h,6
BitC_6h_1,BitC_6h,1
BitC_6h_1,BitC_6h,1
BitC_6h_12,BitC_6h,12
BitC_6h_12,BitC_6h,12
BitC_6h_24,BitC_6h,24
BitC_6h_24,BitC_6h,24
BitC_6h_3,BitC_6h,3
BitC_6h_3,BitC_6h,3
BitC_6h_45,BitC_6h,45
BitC_6h_45,BitC_6h,45
BitC_6h_6,BitC_6h,6
BitC_6h_6,BitC_6h,6
