Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 03/16/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: EE2_DESeq_normData
Work Source: EE2_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/24/2022 10:21.18
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 280
Total Run Time: 13 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	177	307	3	2	0	2	2	2	3	0	0	11	307	4574	0.48984	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168249	Innate Immune System	256	502	3	2	1	2	2	1	3	1	1	10	501	4380	0.6862	0.69647	1.0	0.2	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-168256	Immune System	416	839	5	2	1	2	2	1	5	1	1	10	838	4043	0.41344	0.87406	0.70213	0.12	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-6798695	Neutrophil degranulation	136	300	3	2	1	2	2	1	3	1	1	10	299	4582	0.8569	0.50186	0.50186	0.33	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-1430728	Metabolism	536	1029	8	2	1	2	2	1	8	0	0	11	1029	3852	0.07422	1.0	0.13509	0.0																														0	0	0															0															0																							
R-DRE-156580	Phase II - Conjugation of compounds	25	48	1	0	0	0	0	0	1	0	0	11	48	4833	0.89711	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-211859	Biological oxidations	49	112	1	0	0	0	0	0	1	0	0	11	112	4769	0.77489	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1266738	Developmental Biology	158	204	3	3	2	1	1	1	3	0	0	11	204	4677	0.6256	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-392499	Metabolism of proteins	547	976	8	6	3	6	6	4	8	2	2	9	974	3907	0.61903	0.67673	1.0	0.2	393598;386967	alg9;stam	ENSDARG00000012840;ENSDARG00000002127		0.30047675	0.30047675	0.0135395	0.40579055050003937	0.17291601802780612	0.3634865749825724	0.15020251999999998	0.15020251999999998	0.00272404	0.20856606657416923	0.08463953415920533	0.1868228944789699	0.6132183	0.6132183	0.0672966	0.7720498721337762	0.3705235238721029	0.6915630819688395					0.587414;0.0135395	0.297681;0.00272404	1.15914;0.0672966	1	1	1	393598	ENSDARG00000012840	0.587414	0.587414		0.297681	0.297681		1.15914	1.15914		0.587414	0.297681	1.15914	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.3090264817984276	4.692501425743103	1.929970622062683	2.76253080368042	0.5887089501678053	2.3462507128715515	-0.26192025999999985	0.8628737599999998	-0.13885530079999994	0.43926034079999987	-0.45678823200000007	1.683224832	CONFLICT	0.5	0.5	0.0	
R-DRE-597592	Post-translational protein modification	410	751	7	5	3	6	6	4	7	2	2	9	749	4132	0.76822	0.52136	0.68092	0.27	393598;386967	alg9;stam	ENSDARG00000012840;ENSDARG00000002127		0.30047675	0.30047675	0.0135395	0.40579055050003937	0.17291601802780612	0.3634865749825724	0.15020251999999998	0.15020251999999998	0.00272404	0.20856606657416923	0.08463953415920533	0.1868228944789699	0.6132183	0.6132183	0.0672966	0.7720498721337762	0.3705235238721029	0.6915630819688395					0.587414;0.0135395	0.297681;0.00272404	1.15914;0.0672966	1	1	1	393598	ENSDARG00000012840	0.587414	0.587414		0.297681	0.297681		1.15914	1.15914		0.587414	0.297681	1.15914	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.5);Linear,1(0.5)	2.3090264817984276	4.692501425743103	1.929970622062683	2.76253080368042	0.5887089501678053	2.3462507128715515	-0.26192025999999985	0.8628737599999998	-0.13885530079999994	0.43926034079999987	-0.45678823200000007	1.683224832	CONFLICT	0.5	0.5	0.0	
R-DRE-1257604	PIP3 activates AKT signaling	94	159	1	0	0	0	0	0	1	0	0	11	159	4722	0.695	1.0	1.0	0.0																														0	0	0															0															0																							
