.id,Probe.Id,BMD,BMDL,BMDU,fitPValue,logBMD
Analine,ENSDARG00000094067,0.0102643,0.0021883,0.0481452,0.186660269390283,-1.98867066309839
Analine,ENSDARG00000017354,0.172267,0.116021,0.255781,0.159060747665019,-0.763797909380348
Analine,ENSDARG00000079474,0.219699,0.140892,0.342587,0.416526954299019,-0.658171919845399
Analine,ENSDARG00000056213,0.222539,0.142401,0.347778,0.846589941645251,-0.652593867826605
Analine,ENSDARG00000103980,0.276461,0.166296,0.459607,0.461677494828499,-0.558366125405984
Analine,ENSDARG00000015482,0.295853,0.173876,0.503401,0.178092962832247,-0.528924022544347
Analine,ENSDARG00000042990,0.316143,0.181287,0.551318,0.205218250911312,-0.500116429840102
Analine,ENSDARG00000092636,0.336115,0.187886,0.601287,0.354326406289269,-0.473512105585075
Analine,ENSDARG00000056029,0.347031,0.192514,0.625567,0.92001338884838,-0.459631728299628
Analine,ENSDARG00000006292,0.348422,0.192417,0.630911,0.136300994259865,-0.457894430653605
Analine,ENSDARG00000086950,0.352159,0.192936,0.642784,0.196475854397491,-0.453261208023061
Analine,ENSDARG00000044278,0.353425,0.193666,0.644973,0.117746842345428,-0.451702733329443
Analine,ENSDARG00000086494,0.355037,0.194063,0.649536,0.777016402242644,-0.449726384808299
Analine,ENSDARG00000039264,0.411874,0.208614,0.813175,0.130147525870089,-0.385235622495928
Analine,ENSDARG00000087985,0.413028,0.208888,0.81667,0.775225523674787,-0.384020505647957
Analine,ENSDARG00000074226,0.414258,0.210199,0.816413,0.107065600275707,-0.382729095890382
Analine,ENSDARG00000060559,0.420612,0.211245,0.837484,0.152722753063579,-0.376118341113702
Analine,ENSDARG00000088584,0.422801,0.211198,0.846412,0.249896934259993,-0.373863994179256
Analine,ENSDARG00000070991,0.425567,0.210968,0.858456,0.935692425542034,-0.37103205616779
Analine,ENSDARG00000104023,0.44683,0.215944,0.924576,0.291966820414239,-0.349857676207566
Analine,ENSDARG00000089519,0.448593,0.216106,0.93119,0.831307380336639,-0.348147507581166
Analine,ENSDARG00000020600,0.451288,0.216629,0.940139,0.903361939691406,-0.345546214459183
Analine,ENSDARG00000042956,0.451483,0.216613,0.941021,0.25759622021913,-0.345358597831515
Analine,ENSDARG00000007671,0.459226,0.217815,0.968202,0.545254600774066,-0.337973531461839
Analine,ENSDARG00000100280,0.503048,0.226987,1.11485,0.391982111956356,-0.298390573312764
Analine,ENSDARG00000075592,0.511283,0.226053,1.15641,0.906870801555627,-0.291338647189231
Analine,ENSDARG00000104177,0.530053,0.228112,1.23166,0.585978078810137,-0.275680703122348
Analine,ENSDARG00000063357,0.55775,0.23069,1.3485,0.474117483313468,-0.253560421044125
Analine,ENSDARG00000103600,0.565326,0.231341,1.38148,0.703498791683334,-0.247701040372417
Analine,ENSDARG00000094809,0.568121,0.231004,1.39721,0.566733644556515,-0.245559157183648
Analine,ENSDARG00000024728,0.571793,0.232364,1.40704,0.465848759900902,-0.242761165662153
Analine,ENSDARG00000027290,0.578946,0.232649,1.4407,0.199387378888504,-0.237361942310047
Analine,ENSDARG00000059043,0.582777,0.235811,1.44026,0.161852988140128,-0.234497596521455
Analine,ENSDARG00000093438,0.585577,0.233189,1.47048,0.546279399647724,-0.232415989615731
Analine,ENSDARG00000016773,0.593134,0.233289,1.50804,0.672007878749039,-0.226847180351822
Analine,ENSDARG00000040277,0.59911,0.231099,1.55316,0.204513711618111,-0.222493431355097
Analine,ENSDARG00000078979,0.60297,0.233344,1.5581,0.233180831567733,-0.219704295087988
Analine,ENSDARG00000089529,0.610461,0.232695,1.60151,0.110472201703928,-0.214342076233133
Analine,ENSDARG00000054916,0.612396,0.232213,1.61502,0.842942661129905,-0.212967654655032
Analine,ENSDARG00000054690,0.630523,0.235678,1.68687,0.113889497079823,-0.200299066757992
Analine,ENSDARG00000000002,0.636766,0.235358,1.72278,0.251120468313122,-0.19602013372295
Analine,ENSDARG00000113737,0.647829,0.235006,1.78584,0.903763965274575,-0.188539614741905
Analine,ENSDARG00000027017,0.653854,0.240619,1.77678,0.192817138264799,-0.18451921509003
Analine,ENSDARG00000091834,0.666408,0.240331,1.84787,0.125149186846838,-0.176259798013332
Analine,ENSDARG00000039356,0.672207,0.2354,1.91955,0.303187780218297,-0.172496969335234
Analine,ENSDARG00000029766,0.688319,0.235701,2.0101,0.15535403813005,-0.162210242241605
Analine,ENSDARG00000079705,0.701289,0.233583,2.10548,0.752564985254155,-0.1541029731314
Analine,ENSDARG00000044935,0.729259,0.234041,2.27233,0.490610363187463,-0.137118202417106
Analine,ENSDARG00000071029,0.771072,0.234418,2.53629,0.720496177988236,-0.112905067159487
Analine,ENSDARG00000014646,0.773393,0.231527,2.58345,0.279066884725939,-0.111599763055727
Analine,ENSDARG00000059054,0.782001,0.229878,2.66022,0.353109897614753,-0.10679269157672
Analine,ENSDARG00000013771,0.837901,0.225375,3.11515,0.131812971264697,-0.0768072912666189
Analine,ENSDARG00000101073,0.847533,0.227207,3.16149,0.799344953536599,-0.071843382872508
Analine,ENSDARG00000077497,0.906482,0.221084,3.71672,0.369965243727249,-0.042640815262116
Analine,ENSDARG00000045066,0.908682,0.221095,3.73461,0.766073051924815,-0.0415880747626022
Analine,ENSDARG00000041998,0.911663,0.222129,3.74166,0.189048141379686,-0.0401656707591371
Analine,ENSDARG00000041492,0.912422,0.219312,3.79602,0.367526541076274,-0.0398042517125594
Analine,ENSDARG00000093954,0.928754,0.218843,3.94157,0.374600478531711,-0.0320993027880986
Analine,ENSDARG00000017321,0.933474,0.217766,4.00142,0.505927518108647,-0.0298977739267732
Analine,ENSDARG00000068219,0.939821,0.216157,4.08621,0.519071862901836,-0.0269548550331931
Analine,ENSDARG00000062483,0.948687,0.211494,4.25547,0.498762442075089,-0.0228770505808519
Analine,ENSDARG00000101093,0.959542,0.214993,4.28257,0.760497837363196,-0.0179360110597909
Analine,ENSDARG00000028027,0.960912,0.213091,4.33314,0.822381834861011,-0.0173163830539791
Analine,ENSDARG00000040278,0.963947,0.211263,4.39828,0.601015628280352,-0.0159468439398139
Analine,ENSDARG00000100747,1.0029,0.205378,4.89738,0.232375440816303,0.00125763131223092
Analine,ENSDARG00000090392,1.0541,0.202195,5.49536,0.492159331620022,0.0228818133320308
Analine,ENSDARG00000088475,1.06784,0.198097,5.75614,0.822417399286104,0.0285061849746987
Analine,ENSDARG00000040479,1.33181,0.957242,1.85296,0.596785646599077,0.124442271503
Analine,ENSDARG00000093957,1.84788,1.28865,2.64981,0.700900135211333,0.26667376502805
Analine,ENSDARG00000100295,2.14439,1.46798,3.13246,0.662795731552107,0.331303773299144
Analine,ENSDARG00000076997,2.23222,1.51908,3.28014,0.331100265202676,0.348736994959797
Analine,ENSDARG00000087188,2.46761,1.65185,3.68622,0.125631026254883,0.392276521555739
Analine,ENSDARG00000063288,2.49365,1.66598,3.7325,0.417315106417943,0.396835497364065
Analine,ENSDARG00000094677,2.60462,1.72633,3.92975,0.411334060549502,0.415744371036246
Analine,ENSDARG00000020084,2.61005,1.72934,3.93928,0.524034729021646,0.416648827076251
Analine,ENSDARG00000071475,2.63606,1.74306,3.98654,0.350968922057671,0.420955291116342
Analine,ENSDARG00000099101,2.82706,1.8426,4.33749,0.807929919029455,0.451335025819691
Analine,ENSDARG00000098995,2.84327,1.8507,4.36819,0.282725103737327,0.453818102723292
Analine,ENSDARG00000034409,2.93188,1.89547,4.53496,0.322999764332376,0.467146190933504
Analine,ENSDARG00000025670,3.08118,1.96843,4.82295,0.212575897718486,0.488717070184288
Analine,ENSDARG00000015922,3.18083,2.01569,5.01945,0.516787173525485,0.502540458785195
Analine,ENSDARG00000092985,3.18763,2.01926,5.03202,0.505962831399751,0.503467905483227
Analine,ENSDARG00000068194,3.20454,2.02709,5.06593,0.690139447268139,0.505765696943913
Analine,ENSDARG00000074656,3.32469,2.08285,5.30694,0.25423541207351,0.521751157138123
Analine,ENSDARG00000070726,3.34308,2.09081,5.3454,0.17236919042856,0.52414676939629
Analine,ENSDARG00000088039,3.36356,2.09771,5.39327,0.381711625208147,0.52679917913834
Analine,ENSDARG00000096398,3.49085,2.15645,5.65098,0.110371350415857,0.5429311878082
Analine,ENSDARG00000099418,3.53418,2.17436,5.74442,0.335419369169935,0.548288664869666
Analine,ENSDARG00000032838,3.61994,2.2117,5.92486,0.245879066926522,0.55870137222243
Analine,ENSDARG00000060756,3.74626,2.26387,6.19932,0.204988016644116,0.57359791523005
