.id,GO.Pathway.Gene.Set.Gene.ID,GO.Level,GO.Pathway.Gene.Set.Gene.Name,All.Genes..Expression.Data.,Genes.That.Passed.All.Filters,Fisher.s.Exact.Two.Tail,Percentage,BMD.Mean,BMD.Median,BMD.List,logBMD,rank,Note,Discussion?
Analine,GO:0020037,5,heme binding,110,4,0.0058261,2.63,0.98948175,0.399257,0.451483;0.347031;0.316143;2.84327,-0.39874746082574,1,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0005506,7,iron ion binding,138,5,0.0015498,2.81,1.3187974,0.451483,0.451483;0.347031;0.316143;2.84327;2.63606,-0.345358597831515,2,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0008395,5,steroid hydroxylase activity,41,3,0.0031414,4.84,1.203632,0.451483,0.451483;0.316143;2.84327,-0.345358597831515,2,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0016712,5,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",34,3,0.0014172,6.38,1.203632,0.451483,0.451483;0.316143;2.84327,-0.345358597831515,2,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0004713,5,protein tyrosine kinase activity,111,3,0.02364,2.31,0.561562333333333,0.578946,0.933474;0.578946;0.172267,-0.237361942310047,5,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0004714,6,transmembrane receptor protein tyrosine kinase activity,67,3,0.0049773,4.11,0.561562333333333,0.578946,0.933474;0.578946;0.172267,-0.237361942310047,5,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0007167,6,enzyme-linked receptor protein signaling pathway,293,7,0.001498,1.96,1.11972371428571,0.578946,2.93188;2.23222;0.459226;0.933474;0.578946;0.530053;0.172267,-0.237361942310047,5,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0007169,7,transmembrane receptor protein tyrosine kinase signaling pathway,205,7,0.00017651,2.81,1.11972371428571,0.578946,2.93188;2.23222;0.459226;0.933474;0.578946;0.530053;0.172267,-0.237361942310047,5,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0019199,5,transmembrane receptor protein kinase activity,85,3,0.0097071,3.23,0.561562333333333,0.578946,0.933474;0.578946;0.172267,-0.237361942310047,5,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0010562,7,positive regulation of phosphorus metabolic process,182,4,0.026936,1.67,0.64196675,0.69635,1.0029;0.459226;0.933474;0.172267,-0.157172420070024,10,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0045937,8,positive regulation of phosphate metabolic process,182,4,0.026936,1.67,0.64196675,0.69635,1.0029;0.459226;0.933474;0.172267,-0.157172420070024,10,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0046914,6,transition metal ion binding,763,9,0.048219,0.93,1.31596344444444,0.773393,0.451483;0.688319;0.347031;0.773393;0.960912;0.316143;2.84327;2.63606;2.82706,-0.111599763055727,12,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0019220,7,regulation of phosphate metabolic process,332,5,0.043101,1.23,1.0999494,0.933474,1.0029;2.93188;0.459226;0.933474;0.172267,-0.0298977739267732,13,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0051174,6,regulation of phosphorus metabolic process,332,5,0.043101,1.23,1.0999494,0.933474,1.0029;2.93188;0.459226;0.933474;0.172267,-0.0298977739267732,13,Corresponds to low dose effects in multimodal distribution of gene BMDs,"Despite low number of genes, seems to have a specific overall toxic mechanism of action. First mode"
Analine,GO:0071310,5,cellular response to organic substance,172,4,0.029886,1.61,2.261524,1.538932,2.14439;0.933474;0.908682;5.05955,0.18721943030762,15,Corresponds to high dose effects in multimodal distribution of gene BMDs,Death? Second Mode
Decanol,GO:0008028,6,monocarboxylic acid transmembrane transporter activity,42,3,0.020103,6.38,0.135235496666667,0.00424868,0.399247;0.00424868;0.00221081,-2.37174597765788,1,Corresponds to earlier than low dose effects in multimodal distribution of gene BMDs. Could have more than two modes!! Looks like it could be 4 modes,Transcriptional effects observed early on before first mode. First mode tPOD not sensitive enough... probability density problem? 20th gene tPOD or GSEA tPOD likely better measure of most sensitive effects
