Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 10/06/22
Deduplicate Gene Sets: false
Data Source: Trenbolone_DESeq_normData
Work Source: Trenbolone_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:40.58
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 2163
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	17370	19076	239	206	126	190	190	179	239	87	87	0	18989	0	1.0	1.0	1.0	0.46	108449885;100534940;100334710;100329827;100170660;100151273;100150288;100136845;100126142;100126141;100038797;100034640;100034551;100007318;100006303;100005237;100003999;100000938;798270;795635;795445;794238;794081;792608;791587;791184;767678;751109;724016;641576;571442;570453;570411;569688;568741;568424;568180;568045;567320;566073;564926;564655;563369;563281;562522;562258;561324;560341;559470;559384;559296;559250;558749;557131;557050;555988;555604;553759;553363;550351;541431;541405;541322;494086;492459;445073;436935;436649;436584;431763;393541;393416;393311;393141;378866;335409;323099;322795;317638;117509;117508;114453;60640;58148;30399;30300;30079	npas4l;si:dkey-11n14.1;btr23;gad1a;gbp3;si:ch73-382f3.1;elovl6l;plekhs1;sik2a;znf1069;rhcga;si:ch211-127b11.1;drc1;si:dkey-285b23.3;gls2a;ifitm5;eevs;cass4;zgc:173517;vhll;sprb;abcg4b;ucp3;knstrn;zgc:174259;slco1f4;cish;epor;npas4a;zgc:122979;ftr13;abcg2b;si:dkey-183n20.15;tmprss5;efl1;rangap1b;hspb3;ftr38;cenpw;si:ch211-203b8.6;cep76;qpctlb;cyp2r1;p4ha3;nsl1;rorcb;npffr1l3;mych;faap24;prf1.5;gbp4;im:7152348;mmd2a;si:ch211-285c6.3;si:dkey-19a16.4;tmem216;nox1;otol1a;fto;zgc:112492;miga2;pex7;zgc:113054;pih1d2;colec11;socs1a;rgs2;ppp1r3ca;gcgb;gadd45ab;zgc:64189;arhgap4a;plekhf1;mycb;ddit4;socs3a;nfkbiab;csrnp1b;igfbp1a;klf2b;klf2a;cebp1;cyp19a1b;slc34a2a;tbxta;her2;btg2	ENSDARG00000116511;ENSDARG00000101374;ENSDARG00000099509;ENSDARG00000093411;ENSDARG00000003244;ENSDARG00000093833;ENSDARG00000038639;ENSDARG00000079227;ENSDARG00000079618;ENSDARG00000104124;ENSDARG00000003203;ENSDARG00000077090;ENSDARG00000042182;ENSDARG00000099796;ENSDARG00000069095;ENSDARG00000105153;ENSDARG00000087873;ENSDARG00000006775;ENSDARG00000102401;ENSDARG00000078613;ENSDARG00000058553;ENSDARG00000078068;ENSDARG00000091209;ENSDARG00000074379;ENSDARG00000091136;ENSDARG00000101014;ENSDARG00000060316;ENSDARG00000090834;ENSDARG00000055752;ENSDARG00000004187;ENSDARG00000079537;ENSDARG00000079361;ENSDARG00000094265;ENSDARG00000087717;ENSDARG00000079672;ENSDARG00000056059;ENSDARG00000067714;ENSDARG00000095678;ENSDARG00000092136;ENSDARG00000068274;ENSDARG00000058319;ENSDARG00000062293;ENSDARG00000056587;ENSDARG00000103692;ENSDARG00000024471;ENSDARG00000017780;ENSDARG00000010712;ENSDARG00000077473;ENSDARG00000051731;ENSDARG00000037598;ENSDARG00000068857;ENSDARG00000097082;ENSDARG00000087446;ENSDARG00000026505;ENSDARG00000071657;ENSDARG00000091576;ENSDARG00000087574;ENSDARG00000001771;ENSDARG00000044216;ENSDARG00000076848;ENSDARG00000089357;ENSDARG00000042553;ENSDARG00000053483;ENSDARG00000014849;ENSDARG00000013266;ENSDARG00000038095;ENSDARG00000098761;ENSDARG00000071005;ENSDARG00000040907;ENSDARG00000104571;ENSDARG00000075666;ENSDARG00000039265;ENSDARG00000102435;ENSDARG00000007241;ENSDARG00000037618;ENSDARG00000025428;ENSDARG00000007693;ENSDARG00000038429;ENSDARG00000099351;ENSDARG00000040432;ENSDARG00000042667;ENSDARG00000101096;ENSDARG00000098360;ENSDARG00000012903;ENSDARG00000101576;ENSDARG00000038205;ENSDARG00000020298	393541(-0.0809)	0.02448929529655173	0.00795182	5.38918E-5	0.024355482596476685	0.020003483705734605	0.02128370377590552	0.012970029133333335	0.00288759	1.29887E-5	0.012346539734168039	0.01097574307791985	0.011469399533661325	0.047575242356321844	0.0193839	2.21673E-4	0.051405115033030406	0.03763719944835622	0.04193080485617739									0.0509402;0.0538738;0.0370915;0.0074353;0.0533181;0.0332715;0.00498666;0.00593201;0.00431647;0.0529168;0.0070979;0.00483055;0.0527823;0.00575014;5.32303E-4;0.00643106;0.0195437;0.00325008;0.0042678;0.00419726;0.0039033;0.00880103;0.0049864;0.0553504;0.0510286;5.38918E-5;0.00312077;0.0408477;0.00319789;0.0357513;0.0605195;0.00505395;0.0368279;0.0551054;0.0482128;0.00703431;0.00422379;0.049459;0.00346644;0.00795182;0.00708197;0.0737909;0.00366012;0.0396471;0.00278055;0.0065972;0.0043961;0.00339516;0.00299837;0.0571028;0.00315527;0.00359561;0.0512018;0.0074815;0.0048111;0.0488754;1.42044E-4;0.086781;0.0426408;0.0371537;0.00431549;0.010736;0.0220418;0.0814256;0.0646492;0.00477414;0.0312353;1.01606E-4;0.0379502;0.00365995;0.00678154;0.00802365;0.0348477;0.00449116;0.0409535;0.0327499;0.00685071;0.037413;1.83246E-4;0.00441861;0.0396183;0.0736478;0.00833195;0.00442612;0.0584316;0.0772299;0.0463306	0.0278768;0.0285907;0.0229788;0.00289182;0.0284636;0.021298;0.00257421;0.00274725;0.00238282;0.0283655;0.00288507;0.00251204;0.0283628;0.00268679;9.86167E-5;0.00282327;0.0138624;0.00200825;0.00237242;0.00235723;0.00224931;0.00285305;0.00256242;0.0289954;0.0278421;1.29887E-5;0.00194972;0.0244783;0.00197719;0.0224021;0.0301431;0.00258502;0.0228791;0.0289328;0.027023;0.00281062;0.00235224;0.0273918;0.00209006;0.0029365;0.00286497;0.032227;0.00216762;0.0240568;0.0017945;0.00284502;0.00241096;0.00206745;0.00189398;0.0293851;0.00196358;0.00213998;0.0278889;0.00288759;0.00251433;0.0271864;3.41062E-5;0.033188;0.0251485;0.0229991;0.00237892;0.00255151;0.0153777;0.0329078;0.0309132;0.00252081;0.0203242;4.65724E-5;0.0233317;0.00216675;0.00287395;0.00292611;0.0220053;0.00243701;0.0245184;0.0210497;0.00287817;0.0231084;2.99406E-5;0.00242097;0.0240032;0.0322607;0.00397335;0.00241888;0.0297018;0.0325847;0.0264137	0.0930844;0.101515;0.0598715;0.0191173;0.0998755;0.0519762;0.00965997;0.0128087;0.00781926;0.098718;0.0174623;0.00928894;0.098226;0.0123062;0.00287321;0.0146491;0.0275535;0.00525982;0.00767746;0.0074736;0.00677353;0.0271492;0.00970342;0.10566;0.0935243;2.23604E-4;0.00499518;0.0681638;0.00517224;0.0570552;0.121507;0.00988095;0.0592809;0.104954;0.0860185;0.0176052;0.00758444;0.0893037;0.00574919;0.021533;0.017506;0.168961;0.00618025;0.0653408;0.00430842;0.0152979;0.00801576;0.00557552;0.00474672;0.110965;0.00507019;0.00604138;0.0940025;0.0193839;0.00920592;0.0878675;5.91578E-4;0.226918;0.0723;0.0600195;0.00782854;0.045174;0.031594;0.201476;0.135202;0.00904169;0.0480041;2.21673E-4;0.0617278;0.00618218;0.0160021;0.0220015;0.0551851;0.00827675;0.0684052;0.0509536;0.0163063;0.0605724;0.00112153;0.00806459;0.0653918;0.16813;0.0174717;0.00809898;0.114951;0.183045;0.0812654	45	42	45	108449885;100334710;100329827;100151273;100136845;100126141;100006303;100005237;100003999;798270;795635;795445;791184;724016;571442;570411;569688;568741;568180;568045;566073;564926;564655;563281;561324;559296;558749;557131;555988;553759;553363;550351;541431;541322;494086;492459;436649;436584;393416;393311;317638;117509;60640;30399;30300	ENSDARG00000116511;ENSDARG00000099509;ENSDARG00000093411;ENSDARG00000093833;ENSDARG00000079227;ENSDARG00000104124;ENSDARG00000069095;ENSDARG00000105153;ENSDARG00000087873;ENSDARG00000102401;ENSDARG00000078613;ENSDARG00000058553;ENSDARG00000101014;ENSDARG00000055752;ENSDARG00000079537;ENSDARG00000094265;ENSDARG00000087717;ENSDARG00000079672;ENSDARG00000067714;ENSDARG00000095678;ENSDARG00000068274;ENSDARG00000058319;ENSDARG00000062293;ENSDARG00000103692;ENSDARG00000010712;ENSDARG00000068857;ENSDARG00000087446;ENSDARG00000026505;ENSDARG00000091576;ENSDARG00000001771;ENSDARG00000044216;ENSDARG00000076848;ENSDARG00000089357;ENSDARG00000053483;ENSDARG00000014849;ENSDARG00000013266;ENSDARG00000071005;ENSDARG00000040907;ENSDARG00000039265;ENSDARG00000102435;ENSDARG00000099351;ENSDARG00000040432;ENSDARG00000098360;ENSDARG00000101576;ENSDARG00000038205	0.028803795928888886	0.0220418	0.026293367786706278	0.014999777742222222	0.0153777	0.012743496460896401	0.05696509926666667	0.031594	0.058462955071101226	0.0509402;0.0370915;0.0074353;0.0332715;0.00593201;0.0529168;5.32303E-4;0.00643106;0.0195437;0.0042678;0.00419726;0.0039033;5.38918E-5;0.00319789;0.0605195;0.0368279;0.0551054;0.0482128;0.00422379;0.049459;0.00795182;0.00708197;0.0737909;0.0396471;0.0043961;0.00315527;0.0512018;0.0074815;0.0488754;0.086781;0.0426408;0.0371537;0.00431549;0.0220418;0.0814256;0.0646492;1.01606E-4;0.0379502;0.00802365;0.0348477;1.83246E-4;0.00441861;0.00833195;0.0584316;0.0772299	0.0278768;0.0229788;0.00289182;0.021298;0.00274725;0.0283655;9.86167E-5;0.00282327;0.0138624;0.00237242;0.00235723;0.00224931;1.29887E-5;0.00197719;0.0301431;0.0228791;0.0289328;0.027023;0.00235224;0.0273918;0.0029365;0.00286497;0.032227;0.0240568;0.00241096;0.00196358;0.0278889;0.00288759;0.0271864;0.033188;0.0251485;0.0229991;0.00237892;0.0153777;0.0329078;0.0309132;4.65724E-5;0.0233317;0.00292611;0.0220053;2.99406E-5;0.00242097;0.00397335;0.0297018;0.0325847	0.0930844;0.0598715;0.0191173;0.0519762;0.0128087;0.098718;0.00287321;0.0146491;0.0275535;0.00767746;0.0074736;0.00677353;2.23604E-4;0.00517224;0.121507;0.0592809;0.104954;0.0860185;0.00758444;0.0893037;0.021533;0.017506;0.168961;0.0653408;0.00801576;0.00507019;0.0940025;0.0193839;0.0878675;0.226918;0.0723;0.0600195;0.00782854;0.031594;0.201476;0.135202;2.21673E-4;0.0617278;0.0220015;0.0551851;0.00112153;0.00806459;0.0174717;0.114951;0.183045	42	100534940;100170660;100150288;100126142;100038797;100034640;100034551;100007318;100000938;794238;794081;792608;791587;767678;751109;641576;570453;568424;567320;563369;562522;562258;560341;559470;559384;559250;557050;555604;541405;445073;436935;431763;393541;393141;378866;335409;323099;322795;117508;114453;58148;30079	ENSDARG00000101374;ENSDARG00000003244;ENSDARG00000038639;ENSDARG00000079618;ENSDARG00000003203;ENSDARG00000077090;ENSDARG00000042182;ENSDARG00000099796;ENSDARG00000006775;ENSDARG00000078068;ENSDARG00000091209;ENSDARG00000074379;ENSDARG00000091136;ENSDARG00000060316;ENSDARG00000090834;ENSDARG00000004187;ENSDARG00000079361;ENSDARG00000056059;ENSDARG00000092136;ENSDARG00000056587;ENSDARG00000024471;ENSDARG00000017780;ENSDARG00000077473;ENSDARG00000051731;ENSDARG00000037598;ENSDARG00000097082;ENSDARG00000071657;ENSDARG00000087574;ENSDARG00000042553;ENSDARG00000038095;ENSDARG00000098761;ENSDARG00000104571;ENSDARG00000075666;ENSDARG00000007241;ENSDARG00000037618;ENSDARG00000025428;ENSDARG00000007693;ENSDARG00000038429;ENSDARG00000042667;ENSDARG00000101096;ENSDARG00000012903;ENSDARG00000020298	0.019866616047619048	0.00668937	0.021447673922129998	0.010795298480952382	0.0027487049999999997	0.011666189657337766	0.03751468138095239	0.015649999999999997	0.040918354552300355	0.0538738;0.0533181;0.00498666;0.00431647;0.0070979;0.00483055;0.0527823;0.00575014;0.00325008;0.00880103;0.0049864;0.0553504;0.0510286;0.00312077;0.0408477;0.0357513;0.00505395;0.00703431;0.00346644;0.00366012;0.00278055;0.0065972;0.00339516;0.00299837;0.0571028;0.00359561;0.0048111;1.42044E-4;0.010736;0.00477414;0.0312353;0.00365995;0.00678154;0.00449116;0.0409535;0.0327499;0.00685071;0.037413;0.0396183;0.0736478;0.00442612;0.0463306	0.0285907;0.0284636;0.00257421;0.00238282;0.00288507;0.00251204;0.0283628;0.00268679;0.00200825;0.00285305;0.00256242;0.0289954;0.0278421;0.00194972;0.0244783;0.0224021;0.00258502;0.00281062;0.00209006;0.00216762;0.0017945;0.00284502;0.00206745;0.00189398;0.0293851;0.00213998;0.00251433;3.41062E-5;0.00255151;0.00252081;0.0203242;0.00216675;0.00287395;0.00243701;0.0245184;0.0210497;0.00287817;0.0231084;0.0240032;0.0322607;0.00241888;0.0264137	0.101515;0.0998755;0.00965997;0.00781926;0.0174623;0.00928894;0.098226;0.0123062;0.00525982;0.0271492;0.00970342;0.10566;0.0935243;0.00499518;0.0681638;0.0570552;0.00988095;0.0176052;0.00574919;0.00618025;0.00430842;0.0152979;0.00557552;0.00474672;0.110965;0.00604138;0.00920592;5.91578E-4;0.045174;0.00904169;0.0480041;0.00618218;0.0160021;0.00827675;0.0684052;0.0509536;0.0163063;0.0605724;0.0653918;0.16813;0.00809898;0.0812654	0						Exp 5,1(0.02);Hill,4(0.05);Linear,39(0.45);Poly 2,42(0.49);Power,1(0.02)	2.0189758158856277	210.80299842357635	1.5056514739990234	34.15071105957031	3.5328397728497656	1.7577377557754517	0.01937137893254526	0.029607211660558175	0.010375600651201937	0.01556445761546472	0.03677327699271047	0.058377207719933204	CONFLICT	0.5172413793103449	0.4827586206896552	0.0	
GO:0000038	7	very long-chain fatty acid metabolic process	28	28	1	1	1	1	1	1	1	1	1	86	27	18962	0.9928	0.12022	0.12022	3.57	100150288	elovl6l	ENSDARG00000038639		0.00498666	0.00498666	0.00498666		0.00498666		0.00257421	0.00257421	0.00257421		0.00257421		0.00965997	0.00965997	0.00965997		0.00965997										0.00498666	0.00257421	0.00965997	0	1	0															1	100150288	ENSDARG00000038639	0.00498666	0.00498666		0.00257421	0.00257421		0.00965997	0.00965997		0.00498666	0.00257421	0.00965997	0						Poly 2,1(1)	2.1966047286987305	2.1966047286987305	2.1966047286987305	2.1966047286987305	0.0	2.1966047286987305	0.00498666	0.00498666	0.00257421	0.00257421	0.00965997	0.00965997	DOWN	0.0	1.0	0.0	
GO:0000045	7	autophagosome assembly	42	42	1	1	0	1	1	1	1	0	0	87	42	18947	0.82515	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000070	6	mitotic sister chromatid segregation	19	19	2	2	2	2	2	2	2	2	2	85	17	18972	0.99992	0.0033431	0.0033431	10.53	792608;562522	knstrn;nsl1	ENSDARG00000074379;ENSDARG00000024471		0.029065475	0.029065475	0.00278055	0.03717249742095963	0.03328254953593221	0.03669096795163674	0.015394950000000001	0.015394950000000001	0.0017945	0.01923394084437716	0.01757696540891668	0.018984785959170053	0.054984210000000006	0.054984210000000006	0.00430842	0.07166638950197086	0.06311448176593612	0.07073802899623542	0.0	0.00278055	0.5	0.029065475	0.0017945	0.015394950000000001	0.00430842	0.054984210000000006	0.0553504;0.00278055	0.0289954;0.0017945	0.10566;0.00430842	0	2	0															2	792608;562522	ENSDARG00000074379;ENSDARG00000024471	0.029065475	0.029065475	0.03717249742095963	0.015394950000000001	0.015394950000000001	0.01923394084437716	0.054984210000000006	0.054984210000000006	0.07166638950197086	0.0553504;0.00278055	0.0289954;0.0017945	0.10566;0.00430842	0						Linear,1(0.5);Poly 2,1(0.5)	1.7921235394912314	3.6175793409347534	1.56381356716156	2.0537657737731934	0.3464485277523983	1.8087896704673767	-0.022452978	0.080583928	-0.011261931999999995	0.042051832	-0.044340338399999984	0.1543087584	DOWN	0.0	1.0	0.0	
GO:0000122	9	negative regulation of transcription by RNA polymerase II	214	223	4	4	3	3	3	3	4	2	2	85	221	18768	0.91805	0.27055	0.27055	0.9	393141;30300	mycb;her2	ENSDARG00000007241;ENSDARG00000038205		0.04086053	0.04086053	0.00449116	0.05143405630896518	0.017738158434388227	0.03970105810626937	0.017510855	0.017510855	0.00243701	0.02131763603610987	0.00792743232832768	0.016454714399229294	0.095660875	0.095660875	0.00827675	0.12357981471110584	0.04010510905778367	0.0953891206856348									0.00449116;0.0772299	0.00243701;0.0325847	0.00827675;0.183045	1	1	1	30300	ENSDARG00000038205	0.0772299	0.0772299		0.0325847	0.0325847		0.183045	0.183045		0.0772299	0.0325847	0.183045	1	393141	ENSDARG00000007241	0.00449116	0.00449116		0.00243701	0.00243701		0.00827675	0.00827675		0.00449116	0.00243701	0.00827675	0						Linear,1(0.5);Poly 2,1(0.5)	1.7342481185707848	3.4699172973632812	1.6853101253509521	1.784607172012329	0.07021361504605668	1.7349586486816406	-0.030423435199999987	0.1121444952	-0.012033881200000002	0.047055591199999997	-0.07561200999999998	0.26693376	CONFLICT	0.5	0.5	0.0	
GO:0000123	5	histone acetyltransferase complex	69	69	1	1	0	1	1	1	1	0	0	87	69	18920	0.72908	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000124	6	SAGA complex	14	14	1	1	0	1	1	1	1	0	0	87	14	18975	0.93799	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000149	4	SNARE binding	109	112	1	1	0	1	1	1	1	0	0	87	112	18877	0.59842	1.0	1.0	0.0																																		0	0	0															0															0																							
GO:0000151	4	ubiquitin ligase complex	216	219	2	2	1	2	2	2	2	1	1	86	218	18771	0.73622	0.63463	1.0	0.46	795635	vhll	ENSDARG00000078613		0.00419726	0.00419726	0.00419726		0.00419726		0.00235723	0.00235723	0.00235723		0.00235723		0.0074736	0.0074736	0.0074736		0.0074736										0.00419726	0.00235723	0.0074736	1	0	1	795635	ENSDARG00000078613	0.00419726	0.00419726		0.00235723	0.00235723		0.0074736	0.0074736		0.00419726	0.00235723	0.0074736	0															0						Poly 2,1(1)	2.490286350250244	2.490286350250244	2.490286350250244	2.490286350250244	0.0	2.490286350250244	0.00419726	0.00419726	0.00235723	0.00235723	0.0074736	0.0074736	UP	1.0	0.0	0.0	
GO:0000153	5	cytoplasmic ubiquitin ligase complex	9	9	1	1	1	1	1	1	1	1	1	86	8	18981	0.99928	0.040314	0.040314	11.11	795635	vhll	ENSDARG00000078613		0.00419726	0.00419726	0.00419726		0.00419726		0.00235723	0.00235723	0.00235723		0.00235723		0.0074736	0.0074736	0.0074736		0.0074736		0.0	0.00419726	0.0	0.00419726	0.00235723	0.00235723	0.0074736	0.0074736	0.00419726	0.00235723	0.0074736	1	0	1	795635	ENSDARG00000078613	0.00419726	0.00419726		0.00235723	0.00235723		0.0074736	0.0074736		0.00419726	0.00235723	0.0074736	0															0						Poly 2,1(1)	2.490286350250244	2.490286350250244	2.490286350250244	2.490286350250244	0.0	2.490286350250244	0.00419726	0.00419726	0.00235723	0.00235723	0.0074736	0.0074736	UP	1.0	0.0	0.0	
