Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Analine_DESeq_normData
Work Source: Analine_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:41.34
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 633
Total Run Time: 19 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	266	308	9	9	2	8	8	8	9	1	1	21	307	4573	0.59343	0.76088	1.0	0.32	799085	abhd6a	ENSDARG00000060756		3.63752	3.63752	3.63752		3.63752		2.23684	2.23684	2.23684		2.23684		5.91527	5.91527	5.91527		5.91527										3.63752	2.23684	5.91527	0	1	0															1	799085	ENSDARG00000060756	3.63752	3.63752		2.23684	2.23684		5.91527	5.91527		3.63752	2.23684	5.91527	0						Linear,1(1)	1.75432550907135	1.75432550907135	1.75432550907135	1.75432550907135	0.0	1.75432550907135	3.63752	3.63752	2.23684	2.23684	5.91527	5.91527	DOWN	0.0	1.0	0.0	
R-DRE-168249	Innate Immune System	440	502	18	15	7	15	15	15	18	6	6	16	496	4384	0.99509	0.020031	0.020031	1.2	792922;393136;386968;325875;30671;100126123	si:ch211-160j14.2;cpne3;calcoco1b;dgat1a;hsp70.3;hsp70.1	ENSDARG00000073961;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000103503;ENSDARG00000021924;ENSDARG00000092362		2.964624833333333	2.838161	0.541544	2.5481155206885275	4.123768993266293	2.1181364110223977	1.5106188333333332	1.46795	0.232352	1.3983387141216417	2.174206157199958	1.1709318918346234	5.934926666666666	5.689679999999999	1.26218	4.5748928877151505	7.893587976521197	3.785272254786016									0.759482;0.541544;0.692853;5.9475;4.92953;4.91684	0.239041;0.232352;0.23966;2.95618;2.70024;2.69624	2.41303;1.26218;2.00302;11.9657;8.9993;8.96633	2	4	2	30671;100126123	ENSDARG00000021924;ENSDARG00000092362	4.923185	4.923185	0.00897318505275497	2.69824	2.69824	0.002828427124315829	8.982814999999999	8.982814999999999	0.02331331057634922	4.92953;4.91684	2.70024;2.69624	8.9993;8.96633	4	792922;393136;386968;325875	ENSDARG00000073961;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000103503	1.9853447499999999	0.7261675000000001	2.643010230555225	0.91680825	0.23935050000000002	1.3595851929311318	4.4109825	2.208025	5.058946243454097	0.759482;0.541544;0.692853;5.9475	0.239041;0.232352;0.23966;2.95618	2.41303;1.26218;2.00302;11.9657	0						Linear,3(0.5);Poly 2,3(0.5)	2.382919318851889	15.769134759902954	1.7559336423873901	5.70545768737793	1.523249292246609	2.0632722973823547	0.9257077750912988	5.0035418915753676	0.3917148298553239	2.629522836811343	2.274249953755274	9.595603379578058	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168256	Immune System	715	837	32	26	10	25	25	24	32	8	8	14	829	4051	0.99291	0.023741	0.039844	0.96	792922;406452;393136;386968;325875;30671;100270764;100126123	si:ch211-160j14.2;sqstm1;cpne3;calcoco1b;dgat1a;hsp70.3;cd40;hsp70.1	ENSDARG00000073961;ENSDARG00000075014;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000103503;ENSDARG00000021924;ENSDARG00000054968;ENSDARG00000092362		2.4016037499999996	0.7506014999999999	0.541544	2.3926671401148463	3.2087381704806597	2.392606010802398	1.1925945	0.23935050000000002	0.232352	1.3203951638148763	1.6535245618488232	1.3404048716404218	4.9843275	2.362155	1.26218	4.249360597470602	6.359261322598193	4.1589523260588805									0.759482;0.741721;0.541544;0.692853;5.9475;4.92953;0.68336;4.91684	0.239041;0.238029;0.232352;0.23966;2.95618;2.70024;0.239014;2.69624	2.41303;2.31128;1.26218;2.00302;11.9657;8.9993;1.95378;8.96633	2	6	2	30671;100126123	ENSDARG00000021924;ENSDARG00000092362	4.923185	4.923185	0.00897318505275497	2.69824	2.69824	0.002828427124315829	8.982814999999999	8.982814999999999	0.02331331057634922	4.92953;4.91684	2.70024;2.69624	8.9993;8.96633	6	792922;406452;393136;386968;325875;100270764	ENSDARG00000073961;ENSDARG00000075014;ENSDARG00000104177;ENSDARG00000016391;ENSDARG00000103503;ENSDARG00000054968	1.5610766666666667	0.717287	2.150267570236008	0.6907126666666666	0.2390275	1.1098510466958467	3.651498333333334	2.1571499999999997	4.093030877002598	0.759482;0.741721;0.541544;0.692853;5.9475;0.68336	0.239041;0.238029;0.232352;0.23966;2.95618;0.239014	2.41303;2.31128;1.26218;2.00302;11.9657;1.95378	0						Linear,3(0.38);Poly 2,5(0.63)	2.3308596251282423	20.226433753967285	1.7559336423873901	5.70545768737793	1.3232851224565199	2.0632722973823547	0.7435700133005179	4.059637486699482	0.2776073333041672	2.107581666695833	2.039670839705186	7.928984160294814	DOWN	0.25	0.75	0.0	
R-DRE-6798695	Neutrophil degranulation	257	300	12	9	6	9	9	9	12	5	5	17	295	4585	0.99838	0.0092211	0.0092211	1.67	792922;393136;325875;30671;100126123	si:ch211-160j14.2;cpne3;dgat1a;hsp70.3;hsp70.1	ENSDARG00000073961;ENSDARG00000104177;ENSDARG00000103503;ENSDARG00000021924;ENSDARG00000092362		3.4189792	4.91684	0.541544	2.5627781223994406	4.338672220913729	1.9966967834977334	1.7648106	2.69624	0.232352	1.3998528645739166	2.295380856327296	1.0983134210902368	6.721307999999999	8.96633	1.26218	4.639406121150638	8.262557101185154	3.6018339833839286									0.759482;0.541544;5.9475;4.92953;4.91684	0.239041;0.232352;2.95618;2.70024;2.69624	2.41303;1.26218;11.9657;8.9993;8.96633	2	3	2	30671;100126123	ENSDARG00000021924;ENSDARG00000092362	4.923185	4.923185	0.00897318505275497	2.69824	2.69824	0.002828427124315829	8.982814999999999	8.982814999999999	0.02331331057634922	4.92953;4.91684	2.70024;2.69624	8.9993;8.96633	3	792922;393136;325875	ENSDARG00000073961;ENSDARG00000104177;ENSDARG00000103503	2.4161753333333333	0.759482	3.060157621596857	1.1425243333333333	0.239041	1.570675441841609	5.213636666666667	2.41303	5.8757027982730134	0.759482;0.541544;5.9475	0.239041;0.232352;2.95618	2.41303;1.26218;11.9657	0						Linear,3(0.6);Poly 2,2(0.4)	2.4156577319479937	13.543371200561523	1.7559336423873901	5.70545768737793	1.688720405142615	1.9007810354232788	1.1726051315697061	5.665353268430294	0.5377854638354467	2.9918357361645533	2.654689234848391	10.787926765151607	DOWN	0.4	0.6	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	121	141	4	4	2	3	3	3	4	1	1	21	140	4740	0.86934	0.47454	0.47454	0.71	799085	abhd6a	ENSDARG00000060756		3.63752	3.63752	3.63752		3.63752		2.23684	2.23684	2.23684		2.23684		5.91527	5.91527	5.91527		5.91527										3.63752	2.23684	5.91527	0	1	0															1	799085	ENSDARG00000060756	3.63752	3.63752		2.23684	2.23684		5.91527	5.91527		3.63752	2.23684	5.91527	0						Linear,1(1)	1.75432550907135	1.75432550907135	1.75432550907135	1.75432550907135	0.0	1.75432550907135	3.63752	3.63752	2.23684	2.23684	5.91527	5.91527	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	967	1029	44	31	8	34	34	28	44	5	5	17	1024	3856	0.69201	0.50396	0.79522	0.49	791518;565669;393136;325875;322614	hmox1a;plcd4a;cpne3;dgat1a;arg2	ENSDARG00000027529;ENSDARG00000057975;ENSDARG00000104177;ENSDARG00000103503;ENSDARG00000039269		2.4318454	1.03076	0.541544	2.382673395938856	3.191697303396697	2.4990617844453507	1.1936822	0.23649	0.210979	1.3424955994304784	1.634856875639726	1.3716603010642776	5.439673999999999	5.03587	1.26218	4.172784095934032	6.5285951409723335	4.507790034050519									3.86685;1.03076;0.541544;5.9475;0.772573	2.33241;0.210979;0.232352;2.95618;0.23649	6.41076;5.03587;1.26218;11.9657;2.52386	1	4	1	791518	ENSDARG00000027529	3.86685	3.86685		2.33241	2.33241		6.41076	6.41076		3.86685	2.33241	6.41076	4	565669;393136;325875;322614	ENSDARG00000057975;ENSDARG00000104177;ENSDARG00000103503;ENSDARG00000039269	2.07309425	0.9016664999999999	2.5906551484346414	0.90900025	0.234421	1.3648322833282178	5.1969025	3.779865	4.777368467433195	1.03076;0.541544;5.9475;0.772573	0.210979;0.232352;2.95618;0.23649	5.03587;1.26218;11.9657;2.52386	0						Linear,2(0.4);Poly 2,3(0.6)	1.9312212317322455	9.739905834197998	1.676107406616211	2.4351484775543213	0.29619724565961975	1.9007810354232788	0.3433400848521755	4.520350715147824	0.016932923430216018	2.370431476569784	1.7820674735761064	9.097280526423893	DOWN	0.2	0.8	0.0	
R-DRE-211859	Biological oxidations	105	112	4	2	0	3	3	2	4	0	0	22	112	4768	0.60074	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9748784	Drug ADME	59	67	5	3	0	3	3	3	5	0	0	22	67	4813	0.73829	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9753281	Paracetamol ADME	24	27	1	1	0	1	1	1	1	0	0	22	27	4853	0.88535	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	52	53	1	1	0	1	1	1	1	0	0	22	53	4827	0.78688	1.0	1.0	0.0																																		0	0	0															0															0																							
