Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF
Work Source: Analine_R-ODAF_DESeq2_Norm_Data_renamed_4_Tylers_WF_williams_0.05_NOMTC_foldfilter1.5_BMD_1
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 07/14/2023 21:06.40
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 275
Total Run Time: 9 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	261	308	4	4	3	4	4	4	4	3	3	20	305	4574	0.94751	0.17253	0.17253	0.97	799085;474346;393153	abhd6a;mag;serpine2	ENSDARG00000060756;ENSDARG00000104023;ENSDARG00000029353		2.7767	3.74626	0.44683	2.027163548730097	2.7456322345321893	2.0787584367203915	1.6317946666666667	2.26387	0.215944	1.228506432716302	1.606215895876523	1.2541959220229373	4.736372	6.19932	0.924576	3.3306975638313365	4.704807880796731	3.4308350422630958									3.74626;0.44683;4.13701	2.26387;0.215944;2.41557	6.19932;0.924576;7.08522	1	2	1	393153	ENSDARG00000029353	4.13701	4.13701		2.41557	2.41557		7.08522	7.08522		4.13701	2.41557	7.08522	2	799085;474346	ENSDARG00000060756;ENSDARG00000104023	2.096545	2.096545	2.3330493270503307	1.2399069999999999	1.2399069999999999	1.4481023619682414	3.561948	3.561948	3.729807251423054	3.74626;0.44683	2.26387;0.215944	6.19932;0.924576	0						Linear,2(0.67);Poly 2,1(0.34)	1.90212993970883	5.77913510799408	1.6004385948181152	2.344782590866089	0.380689179758774	1.8339139223098755	0.4827484957205912	5.070651504279409	0.24160876819197696	3.0219805651413565	0.9673328952681843	8.505411104731817	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168249	Innate Immune System	421	502	4	4	3	4	4	4	4	3	3	20	499	4380	0.796	0.42371	0.72504	0.6	474346;393136;30671	mag;cpne3;hsp70.3	ENSDARG00000104023;ENSDARG00000104177;ENSDARG00000021924		2.012144333333333	0.530053	0.44683	2.639458749413662	2.904813708418669	2.7867576083671075	1.0524353333333334	0.228112	0.215944	1.4383205598257063	1.5363063497265115	1.5220623209185693	3.8636886666666665	1.23166	0.924576	4.827192451388833	5.507896658215031	5.079875465822444									0.44683;0.530053;5.05955	0.215944;0.228112;2.71325	0.924576;1.23166;9.43483	1	2	1	30671	ENSDARG00000021924	5.05955	5.05955		2.71325	2.71325		9.43483	9.43483		5.05955	2.71325	9.43483	2	474346;393136	ENSDARG00000104023;ENSDARG00000104177	0.4884415	0.4884415	0.05884754765068784	0.222028	0.222028	0.008604075313478444	1.078118	1.078118	0.21714117879389025	0.44683;0.530053	0.215944;0.228112	0.924576;1.23166	0						Linear,1(0.34);Poly 2,2(0.67)	3.0318987958568293	11.520869731903076	1.5608360767364502	7.615251064300537	3.292626887155682	2.344782590866089	-0.9746844168648923	4.998973083531558	-0.5751776009635023	2.680048267630169	-1.5987938213626993	9.326171154696032	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-168256	Immune System	679	837	6	6	3	5	5	5	6	3	3	20	834	4045	0.43004	0.77869	0.78488	0.36	474346;393136;30671	mag;cpne3;hsp70.3	ENSDARG00000104023;ENSDARG00000104177;ENSDARG00000021924		2.012144333333333	0.530053	0.44683	2.639458749413662	2.904813708418669	2.7867576083671075	1.0524353333333334	0.228112	0.215944	1.4383205598257063	1.5363063497265115	1.5220623209185693	3.8636886666666665	1.23166	0.924576	4.827192451388833	5.507896658215031	5.079875465822444									0.44683;0.530053;5.05955	0.215944;0.228112;2.71325	0.924576;1.23166;9.43483	1	2	1	30671	ENSDARG00000021924	5.05955	5.05955		2.71325	2.71325		9.43483	9.43483		5.05955	2.71325	9.43483	2	474346;393136	ENSDARG00000104023;ENSDARG00000104177	0.4884415	0.4884415	0.05884754765068784	0.222028	0.222028	0.008604075313478444	1.078118	1.078118	0.21714117879389025	0.44683;0.530053	0.215944;0.228112	0.924576;1.23166	0						Linear,1(0.34);Poly 2,2(0.67)	3.0318987958568293	11.520869731903076	1.5608360767364502	7.615251064300537	3.292626887155682	2.344782590866089	-0.9746844168648923	4.998973083531558	-0.5751776009635023	2.680048267630169	-1.5987938213626993	9.326171154696032	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-6798695	Neutrophil degranulation	244	300	4	4	3	4	4	4	4	3	3	20	297	4582	0.95159	0.16325	0.16325	1.0	474346;393136;30671	mag;cpne3;hsp70.3	ENSDARG00000104023;ENSDARG00000104177;ENSDARG00000021924		2.012144333333333	0.530053	0.44683	2.639458749413662	2.904813708418669	2.7867576083671075	1.0524353333333334	0.228112	0.215944	1.4383205598257063	1.5363063497265115	1.5220623209185693	3.8636886666666665	1.23166	0.924576	4.827192451388833	5.507896658215031	5.079875465822444									0.44683;0.530053;5.05955	0.215944;0.228112;2.71325	0.924576;1.23166;9.43483	1	2	1	30671	ENSDARG00000021924	5.05955	5.05955		2.71325	2.71325		9.43483	9.43483		5.05955	2.71325	9.43483	2	474346;393136	ENSDARG00000104023;ENSDARG00000104177	0.4884415	0.4884415	0.05884754765068784	0.222028	0.222028	0.008604075313478444	1.078118	1.078118	0.21714117879389025	0.44683;0.530053	0.215944;0.228112	0.924576;1.23166	0						Linear,1(0.34);Poly 2,2(0.67)	3.0318987958568293	11.520869731903076	1.5608360767364502	7.615251064300537	3.292626887155682	2.344782590866089	-0.9746844168648923	4.998973083531558	-0.5751776009635023	2.680048267630169	-1.5987938213626993	9.326171154696032	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	121	141	2	2	1	2	2	2	2	1	1	22	140	4739	0.85947	0.48972	0.48972	0.71	799085	abhd6a	ENSDARG00000060756		3.74626	3.74626	3.74626		3.7462599999999995		2.26387	2.26387	2.26387		2.26387		6.19932	6.19932	6.19932		6.19932										3.74626	2.26387	6.19932	0	1	0															1	799085	ENSDARG00000060756	3.74626	3.74626		2.26387	2.26387		6.19932	6.19932		3.74626	2.26387	6.19932	0						Linear,1(1)	1.8339139223098755	1.8339139223098755	1.8339139223098755	1.8339139223098755	0.0	1.8339139223098755	3.74626	3.74626	2.26387	2.26387	6.19932	6.19932	DOWN	0.0	1.0	0.0	
R-DRE-1430728	Metabolism	948	1029	14	13	8	12	12	11	14	7	7	16	1022	3857	0.91005	0.19148	0.30156	0.68	799957;554036;445151;402987;393481;393136;100151256	cyp2ad6;cyp26c1;entpd1;cga;cyp2k6;cpne3;cmbl	ENSDARG00000042956;ENSDARG00000056029;ENSDARG00000045066;ENSDARG00000040479;ENSDARG00000098995;ENSDARG00000104177;ENSDARG00000073786		1.4584612857142858	0.908682	0.347031	1.342604005883804	1.0261406186245352	0.9763800182762831	0.8501494285714285	0.228112	0.192514	0.8838551209234571	0.5616823516245117	0.6670858471730402	2.7234025714285717	1.85296	0.625567	2.1272419041638444	2.177514620364235	1.7356874120522714									0.451483;0.347031;0.908682;1.33181;2.84327;0.530053;3.7969	0.216613;0.192514;0.221095;0.957242;1.8507;0.228112;2.28477	0.941021;0.625567;3.73461;1.85296;4.36819;1.23166;6.30981	4	3	4	554036;402987;393481;100151256	ENSDARG00000056029;ENSDARG00000040479;ENSDARG00000098995;ENSDARG00000073786	2.07975275	2.0875399999999997	1.5376709974753755	1.3213065	1.403971	0.9336728302589011	3.28913175	3.110575	2.545979200612654	0.347031;1.33181;2.84327;3.7969	0.192514;0.957242;1.8507;2.28477	0.625567;1.85296;4.36819;6.30981	3	799957;445151;393136	ENSDARG00000042956;ENSDARG00000045066;ENSDARG00000104177	0.6300726666666666	0.530053	0.244459979731516	0.22194	0.221095	0.005795883798008347	1.9690969999999999	1.23166	1.535869418914577	0.451483;0.908682;0.530053	0.216613;0.221095;0.228112	0.941021;3.73461;1.23166	0						Linear,3(0.43);Poly 2,4(0.58)	2.2962583415654847	21.27164351940155	1.5608360767364502	10.44390869140625	3.2775996560608145	1.6659071445465088	0.4638463192481447	2.4530762521804266	0.1953803919785997	1.5049184651642575	1.1475197154985237	4.299285427358619	CONFLICT	0.5714285714285714	0.42857142857142855	0.0	
R-DRE-211859	Biological oxidations	101	112	5	4	4	5	5	4	5	4	4	19	108	4771	0.99986	0.001635	0.001635	3.57	799957;554036;393481;100151256	cyp2ad6;cyp26c1;cyp2k6;cmbl	ENSDARG00000042956;ENSDARG00000056029;ENSDARG00000098995;ENSDARG00000073786		1.859671	1.6473765	0.347031	1.7312227282266908	1.1481169774181652	1.4843425260223333	1.1361492499999999	1.0336565	0.192514	1.0902456606598274	0.6972284514983413	0.9438627530711095	3.061147	2.6546055	0.625567	2.750100415360259	1.903790175502153	2.3379392766767886									0.451483;0.347031;2.84327;3.7969	0.216613;0.192514;1.8507;2.28477	0.941021;0.625567;4.36819;6.30981	3	1	3	554036;393481;100151256	ENSDARG00000056029;ENSDARG00000098995;ENSDARG00000073786	2.3290669999999998	2.84327	1.7814888641799027	1.4426613333333334	1.8507	1.1041990117299205	3.767855666666667	4.36819	2.8892828876031382	0.347031;2.84327;3.7969	0.192514;1.8507;2.28477	0.625567;4.36819;6.30981	1	799957	ENSDARG00000042956	0.451483	0.451483		0.216613	0.216613		0.941021	0.941021		0.451483	0.216613	0.941021	0						Linear,2(0.5);Poly 2,2(0.5)	1.8832963363932298	7.62536346912384	1.5749021768569946	2.298490285873413	0.3433858382908147	1.8759855031967163	0.1630727263378431	3.5562692736621573	0.06770850255336902	2.2045899974466305	0.36604859294694636	5.756245407053054	UP	0.75	0.25	0.0	
R-DRE-9748784	Drug ADME	56	67	2	2	2	1	1	1	2	1	1	22	66	4813	0.96129	0.27185	0.27185	1.49	799957	cyp2ad6	ENSDARG00000042956		0.451483	0.451483	0.451483		0.451483		0.216613	0.216613	0.216613		0.216613		0.941021	0.941021	0.941021		0.941021										0.451483	0.216613	0.941021	0	1	0															1	799957	ENSDARG00000042956	0.451483	0.451483		0.216613	0.216613		0.941021	0.941021		0.451483	0.216613	0.941021	0						Poly 2,1(1)	2.298490285873413	2.298490285873413	2.298490285873413	2.298490285873413	0.0	2.298490285873413	0.451483	0.451483	0.216613	0.216613	0.941021	0.941021	DOWN	0.0	1.0	0.0	
R-DRE-9753281	Paracetamol ADME	21	27	1	1	1	0	0	0	1	0	0	23	27	4852	0.88045	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	52	53	1	1	1	1	1	1	1	1	1	22	52	4827	0.9749	0.22166	0.22166	1.89	445151	entpd1	ENSDARG00000045066		0.908682	0.908682	0.908682		0.908682		0.221095	0.221095	0.221095		0.221095		3.73461	3.73461	3.73461		3.73461										0.908682	0.221095	3.73461	0	1	0															1	445151	ENSDARG00000045066	0.908682	0.908682		0.221095	0.221095		3.73461	3.73461		0.908682	0.221095	3.73461	0						Poly 2,1(1)	1.6415352821350098	1.6415352821350098	1.6415352821350098	1.6415352821350098	0.0	1.6415352821350098	0.908682	0.908682	0.221095	0.221095	3.73461	3.73461	DOWN	0.0	1.0	0.0	
