,rRNA,not rRNA,Percent_rRNA
Individual_Gene_countsAnaline_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,12334,11956270,0.103052954212538
Individual_Gene_countsAnaline_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,20679,13239411,0.15594916776583
Individual_Gene_countsAnaline_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,11526,13979211,0.0823830796047413
Individual_Gene_countsAnaline_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,10006,12473945,0.0801509073529686
Individual_Gene_countsAnaline_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,18598,13706884,0.135499795198449
Individual_Gene_countsAnaline_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,17502,12414702,0.140779543192824
Individual_Gene_countsAnaline_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,23910,14329717,0.166578106007631
Individual_Gene_countsAnaline_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,27443,13367063,0.204882509291496
Individual_Gene_countsAnaline_0_A_Gene_Counts_Illuminaseq-Salmon.csv,12213,12059266,0.101172358416065
Individual_Gene_countsAnaline_0_B_Gene_Counts_Illuminaseq-Salmon.csv,13582,13267212,0.102267981869156
Individual_Gene_countsAnaline_0_C_Gene_Counts_Illuminaseq-Salmon.csv,130631,7327668,1.75148515767469
Individual_Gene_countsAnaline_1_A_Gene_Counts_Illuminaseq-Salmon.csv,18782,11987791,0.156430981596497
Individual_Gene_countsAnaline_1_C_Gene_Counts_Illuminaseq-Salmon.csv,16980,12493678,0.135724276053266
Individual_Gene_countsAnaline_10_A_Gene_Counts_Illuminaseq-Salmon.csv,11267,12337112,0.091242745302845
Individual_Gene_countsAnaline_10_B_Gene_Counts_Illuminaseq-Salmon.csv,14579,11695755,0.124496876007123
Individual_Gene_countsAnaline_10_C_Gene_Counts_Illuminaseq-Salmon.csv,21887,16581482,0.131822643946539
Individual_Gene_countsX1.Decanol_0.0001_A_Gene_Counts_Illuminaseq-Salmon.csv,7216,11739336,0.0614307926274876
Individual_Gene_countsX1.Decanol_0.0001_B_Gene_Counts_Illuminaseq-Salmon.csv,9637,16013188,0.0601454487582558
Individual_Gene_countsX1.Decanol_0.0001_C_Gene_Counts_Illuminaseq-Salmon.csv,9619,16290090,0.0590133234893948
Individual_Gene_countsX1.Decanol_0.001_A_Gene_Counts_Illuminaseq-Salmon.csv,8369,14533886,0.0575495340990789
Individual_Gene_countsX1.Decanol_0.001_B_Gene_Counts_Illuminaseq-Salmon.csv,7574,12630130,0.0599317724168884
Individual_Gene_countsX1.Decanol_0.001_C_Gene_Counts_Illuminaseq-Salmon.csv,8477,14131925,0.0599487907062331
Individual_Gene_countsX1.Decanol_0.01_A_Gene_Counts_Illuminaseq-Salmon.csv,8405,15546382,0.0540348125628464
Individual_Gene_countsX1.Decanol_0.01_B_Gene_Counts_Illuminaseq-Salmon.csv,7545,13890778,0.0542871251445228
Individual_Gene_countsX1.Decanol_0.01_C_Gene_Counts_Illuminaseq-Salmon.csv,10937,16504906,0.0662212640311488
Individual_Gene_countsX1.Decanol_0.1_A_Gene_Counts_Illuminaseq-Salmon.csv,5475,10576740,0.0517377505560036
Individual_Gene_countsX1.Decanol_0.1_B_Gene_Counts_Illuminaseq-Salmon.csv,7768,13412698,0.0578817456860291
Individual_Gene_countsX1.Decanol_0.1_C_Gene_Counts_Illuminaseq-Salmon.csv,7486,14760373,0.0506911665394422
Individual_Gene_countsX1.Decanol_0_A_Gene_Counts_Illuminaseq-Salmon.csv,9399,12258327,0.0766156661796979
