"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",15
"Nme1_29042",1103
"Ctsd_29043",32
"Camk1_29044",157
"Epb41l2_29045",11
"Rbfox1_29046",1
"Mup16_29047",2
"Mup13_29048",5
"Eef1a2_29049",0
"Phlda3_29050",275
"Yars2_29051",21
"Tmem109_29052",323
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",333
"Metrn_29056",0
"Serpina9_29057",0
"Sgo1_29058",63
"Degs1_29059",940
"Snx7_29060",63
"H2-Q7_29061",0
"Cdkn2b_29062",7
"Snap25_29063",0
"Atf1_29064",507
"Lrat_29065",0
"Dmtf1_29066",29
"Psmb8_29067",3
"Procr_29068",3
"Ppox_29069",43
"Smc2_29071",3
"Cyp4a12a_29072",0
"Prss23_29074",98
"Ero1l_29075",2451
"Panx1_29076",26
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",11
"Scg2_29080",0
"Prkg1_29081",2
"Cyp2f2_29082",0
"Pdgfb_29083",1
"Pdhx_29085",3
"Try5_29086",0
"Ifitm3_29087",2564
"Cyp11b1_29088",0
"Cdk6_29089",145
"Fgf21_29090",0
"Ghr_29091",322
"Ugt2b35_29092",0
"Nup93_29093",90
"Actn3_29094",0
"Cat_29095",431
"Cyb561_29096",0
"Wfs1_29097",16
"Gstm2_29098",675
"Fhl2_29099",39
"Nat1_29100",0
"Zmym2_29101",1396
"Il6_29102",1
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",0
"Cep57_29107",22
"Slc5a5_29108",0
"Gadd45a_29109",516
"Zfp131_29110",17
"Cavin4_29112",11
"Cct6a_29113",1057
"Abl1_29114",515
"Appbp2_29115",50
"Mcm4_29116",4
"Nck1_29117",13
"Reg1_29118",0
"Eif4g1_29119",982
"Tgtp2_29120",8
"Triap1_29121",9
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",13
"Cflar_29126",23
"Asah1_29127",1162
"Sele_29128",0
"Kif11_29129",32
"Chp1_29131",160
"B3gnt9_29132",10
"Bcl7b_29133",23
"Cul1_29134",510
"Lmod2_29135",0
"Arl1_29136",485
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",715
"B930025B16RIK_29140",12
"Gli1_29141",3
"Ddit3_29142",91
"Prr15l_29143",0
"Cltc_29144",15
"Arnt2_29145",0
"Slc27a1_29146",5
"Nup88_29147",562
"Ndufv3_29149",82
"Srd5a1_29150",1
"Ube3c_29151",0
"Obscn_29152",2
"Il20_29153",0
"Klhl9_29154",685
"Dlx1_29155",1
"Nrcam_29156",0
"Tab2_29157",19
"Stmn1_29158",0
"Glul_29159",0
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",114
"Tomm34_29163",177
"Eapp_29164",709
"Zeb2_29165",12
"Ugt1a6b_29166",7
"Cybb_29167",0
"Clk1_29168",176
"Sumo1_29169",81
"Ugt1a6a_29170",696
"Ugt1a7c_29171",751
"Slco2b1_29172",0
"Cops5_29173",1674
"Csk_29174",31
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",4
"Zzz3_29178",126
"Tnnt3_29180",3
"Mest_29181",1
"Ifi35_29182",4
"Psmd9_29183",103
"B4galt1_29184",25
"Gabrg2_29185",0
"Chtf18_29186",8
"2210016H18RIK_29188",7
"Cmpk2_29189",21
"Dynll1_29190",0
"Kctd10_29191",475
"Pebp1_29192",114
"Cfh_29193",103
"Sdc1_29194",27
"Sccpdh_29195",46
"Arhgef12_29196",22
"Ccnc_29197",39
"Zfp318_29198",0
"Ndc80_29199",56
"Plod3_29200",0
"Xpc_29201",1
"Mrps16_29202",915
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",1
"H2bc4_29206",679
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",93
"Bid_29213",64
"Mcm2_29214",17
"Ralb_29215",223
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",148
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",66
"Evl_29224",58
"Deptor_29225",0
"Ptger2_29226",0
"Hspa2_29227",53
"Cblb_29228",507
"Ptprk_29229",424
"Dner_29230",0
"Pik3c2a_29231",215
"Vasp_29232",45
"Nup85_29233",104
"Mex3d_29234",188
"St3gal1_29235",1
"Zfp110_29236",104
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",339
"Parpbp_29241",41
"Pfkp_29242",17
"Lamp3_29243",0
"Stx16_29244",83
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",0
"Trp53bp2_29248",19
"Uchl3_29249",54
"Prl2c2_29250",2
"Pcna-ps2_29251",1
"Kctd5_29252",21
"Map3k4_29253",13
"Spib_29254",0
"Snrpg_29255",5
"Topors_29256",145
"Cdc25b_29257",8
"Gclm_29258",17
"Myot_29259",0
"Myom2_29260",1
"Nfkbie_29261",12
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",2
"Npdc1_29266",60
"Pbx1_29267",23
"Unc5c_29268",0
"Dhx29_29269",9
"Copb2_29270",295
"Cbln1_29271",3
"Nipsnap1_29272",4
"Tm9sf3_29274",229
"Casq1_29275",0
"Slc2a10_29276",0
"Cdh2_29277",0
"Ecd_29278",124
"Dnajc9_29279",6
"Isoc1_29280",70
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",56
"Strbp_29284",379
"Fabp5_29285",157
"C9_29286",0
"S100a11_29287",491
"Psmc3ip_29288",11
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",9
"Ncor2_29294",375
"Sult1b1_29295",0
"Dipk1a_29296",19
"Glod4_29298",99
"Gulp1_29299",1245
"Arpp19_29300",0
"Fbl_29301",0
"Wdhd1_29302",57
"Rpa3_29303",184
"Wars_29304",14
"Hao2_29305",0
"Fdft1_29306",521
"Chka_29307",36
"Nefm_29308",1
"Mypn_29309",0
"Cpne6_29310",0
