A4,Counts
ENSDARG00000000001,8
ENSDARG00000000002,118
ENSDARG00000000018,37
ENSDARG00000000019,144
ENSDARG00000000068,52
ENSDARG00000000069,293
ENSDARG00000000086,186
ENSDARG00000000103,452
ENSDARG00000000142,7
ENSDARG00000000151,72
ENSDARG00000000161,44
ENSDARG00000000175,13
ENSDARG00000000183,170
ENSDARG00000000189,247
ENSDARG00000000212,1298
ENSDARG00000000229,45
ENSDARG00000000241,121
ENSDARG00000000349,4
ENSDARG00000000369,4
ENSDARG00000000370,258
ENSDARG00000000380,58
ENSDARG00000000394,147
ENSDARG00000000423,32
ENSDARG00000000442,12
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,19
ENSDARG00000000489,69
ENSDARG00000000503,620
ENSDARG00000000516,5
ENSDARG00000000529,11
ENSDARG00000000540,50
ENSDARG00000000542,14
ENSDARG00000000551,55
ENSDARG00000000563,19300
ENSDARG00000000567,45
ENSDARG00000000568,44
ENSDARG00000000588,6
ENSDARG00000000606,0
ENSDARG00000000631,69
ENSDARG00000000638,0
ENSDARG00000000651,5
ENSDARG00000000656,0
ENSDARG00000000666,50
ENSDARG00000000690,10
ENSDARG00000000729,98
ENSDARG00000000730,35
ENSDARG00000000747,16
ENSDARG00000000760,36
ENSDARG00000000767,6
ENSDARG00000000779,164
ENSDARG00000000796,39
ENSDARG00000000804,24
ENSDARG00000000830,15
ENSDARG00000000837,143
ENSDARG00000000853,66
ENSDARG00000000857,35
ENSDARG00000000861,178
ENSDARG00000000887,14
ENSDARG00000000906,15
ENSDARG00000000935,16
ENSDARG00000000943,58
ENSDARG00000000966,674
ENSDARG00000001014,934
ENSDARG00000001015,97
ENSDARG00000001057,93
ENSDARG00000001127,58
ENSDARG00000001129,229
ENSDARG00000001154,40
ENSDARG00000001162,154
ENSDARG00000001169,8
ENSDARG00000001210,17
ENSDARG00000001220,284
ENSDARG00000001234,121
ENSDARG00000001241,146
ENSDARG00000001244,488
ENSDARG00000001249,11
ENSDARG00000001259,10
ENSDARG00000001303,0
ENSDARG00000001313,8
ENSDARG00000001354,8
ENSDARG00000001414,18
ENSDARG00000001431,1628
ENSDARG00000001437,73
ENSDARG00000001442,25
ENSDARG00000001447,38
ENSDARG00000001452,8
ENSDARG00000001463,53
ENSDARG00000001470,113
ENSDARG00000001498,0
ENSDARG00000001549,96
ENSDARG00000001557,13
ENSDARG00000001558,33
ENSDARG00000001559,239
ENSDARG00000001572,0
ENSDARG00000001578,66
ENSDARG00000001621,23
ENSDARG00000001634,127
ENSDARG00000001656,0
ENSDARG00000001676,49
ENSDARG00000001686,9
ENSDARG00000001710,189
ENSDARG00000001712,5
ENSDARG00000001721,0
ENSDARG00000001729,242
ENSDARG00000001733,47
ENSDARG00000001734,21
ENSDARG00000001754,103
ENSDARG00000001760,67
ENSDARG00000001767,10
ENSDARG00000001769,94
ENSDARG00000001771,0
ENSDARG00000001776,36
ENSDARG00000001777,99
ENSDARG00000001781,0
ENSDARG00000001782,2
ENSDARG00000001785,70
ENSDARG00000001788,343
ENSDARG00000001803,9
ENSDARG00000001804,2
ENSDARG00000001807,48
ENSDARG00000001817,25
ENSDARG00000001818,436
ENSDARG00000001825,3
ENSDARG00000001829,275
ENSDARG00000001835,54
ENSDARG00000001857,494
ENSDARG00000001859,4
ENSDARG00000001870,2424
ENSDARG00000001873,25
ENSDARG00000001879,148
ENSDARG00000001880,18
ENSDARG00000001881,13
ENSDARG00000001882,29
ENSDARG00000001888,74
ENSDARG00000001889,222
ENSDARG00000001890,200
ENSDARG00000001891,8
ENSDARG00000001897,79
ENSDARG00000001898,25
ENSDARG00000001906,8
ENSDARG00000001909,12
ENSDARG00000001910,196
ENSDARG00000001912,9
ENSDARG00000001913,47
ENSDARG00000001929,43
ENSDARG00000001930,32
ENSDARG00000001933,11
ENSDARG00000001937,18
ENSDARG00000001939,21
ENSDARG00000001940,59
ENSDARG00000001950,1223
ENSDARG00000001953,118
ENSDARG00000001968,236
ENSDARG00000001969,48
ENSDARG00000001971,14
ENSDARG00000001975,56
ENSDARG00000001976,19
ENSDARG00000001993,764
ENSDARG00000001994,419
ENSDARG00000001999,49
ENSDARG00000002002,9
ENSDARG00000002006,170
ENSDARG00000002013,78
ENSDARG00000002016,24
ENSDARG00000002020,34
ENSDARG00000002021,42
ENSDARG00000002026,145
ENSDARG00000002031,0
ENSDARG00000002037,5
ENSDARG00000002060,9
ENSDARG00000002071,139
ENSDARG00000002077,12
ENSDARG00000002082,110
ENSDARG00000002084,271
ENSDARG00000002097,23
ENSDARG00000002127,112
ENSDARG00000002128,28
ENSDARG00000002131,190
ENSDARG00000002165,11
ENSDARG00000002167,125
ENSDARG00000002168,35
ENSDARG00000002172,23
ENSDARG00000002174,7
ENSDARG00000002184,18
ENSDARG00000002190,171
ENSDARG00000002192,63
ENSDARG00000002193,1448
ENSDARG00000002194,0
ENSDARG00000002196,66
ENSDARG00000002197,184
ENSDARG00000002204,24
ENSDARG00000002210,31
ENSDARG00000002213,28
ENSDARG00000002215,31
ENSDARG00000002216,25
ENSDARG00000002217,92
ENSDARG00000002219,17
ENSDARG00000002220,6
ENSDARG00000002230,49
ENSDARG00000002231,52
ENSDARG00000002235,205
ENSDARG00000002240,86
ENSDARG00000002241,8
ENSDARG00000002249,59
ENSDARG00000002255,86
ENSDARG00000002259,2
ENSDARG00000002264,30
ENSDARG00000002267,54
ENSDARG00000002271,247
ENSDARG00000002285,59
ENSDARG00000002293,2
ENSDARG00000002295,5
ENSDARG00000002298,2
ENSDARG00000002299,22
ENSDARG00000002300,1
ENSDARG00000002304,14
ENSDARG00000002305,256
ENSDARG00000002311,14
ENSDARG00000002330,14
ENSDARG00000002332,95
ENSDARG00000002333,75
ENSDARG00000002336,90
ENSDARG00000002339,19
ENSDARG00000002344,802
ENSDARG00000002347,0
ENSDARG00000002353,8
ENSDARG00000002355,7
ENSDARG00000002362,94
ENSDARG00000002365,48
ENSDARG00000002369,134
ENSDARG00000002377,7
ENSDARG00000002385,72
ENSDARG00000002391,7
ENSDARG00000002394,26
ENSDARG00000002396,240
ENSDARG00000002401,46
ENSDARG00000002402,57
ENSDARG00000002403,52
ENSDARG00000002405,47
ENSDARG00000002406,0
ENSDARG00000002411,59
ENSDARG00000002445,28
ENSDARG00000002463,29
ENSDARG00000002467,23
ENSDARG00000002479,54
ENSDARG00000002483,3
ENSDARG00000002487,55
ENSDARG00000002494,57
ENSDARG00000002506,9
ENSDARG00000002507,21
ENSDARG00000002508,22
ENSDARG00000002509,1
ENSDARG00000002510,5
ENSDARG00000002523,131
ENSDARG00000002533,13
ENSDARG00000002536,87
ENSDARG00000002538,99
ENSDARG00000002546,35
ENSDARG00000002549,39
ENSDARG00000002552,169
ENSDARG00000002564,64
ENSDARG00000002571,85
ENSDARG00000002576,26
ENSDARG00000002582,47
ENSDARG00000002587,338
ENSDARG00000002589,671
ENSDARG00000002591,94
ENSDARG00000002593,26
ENSDARG00000002597,0
ENSDARG00000002600,95
ENSDARG00000002601,9
ENSDARG00000002607,25
ENSDARG00000002609,15
ENSDARG00000002613,0
ENSDARG00000002632,106
ENSDARG00000002634,34
ENSDARG00000002635,139
ENSDARG00000002642,27
ENSDARG00000002644,65
ENSDARG00000002656,106
ENSDARG00000002659,94
ENSDARG00000002663,37
ENSDARG00000002666,9
ENSDARG00000002670,57
ENSDARG00000002682,79
ENSDARG00000002685,0
ENSDARG00000002690,40
ENSDARG00000002696,337
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,1163
ENSDARG00000002720,29
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,251
ENSDARG00000002732,13
ENSDARG00000002745,444
ENSDARG00000002748,53
ENSDARG00000002750,20
ENSDARG00000002754,19
ENSDARG00000002758,979
ENSDARG00000002760,3
ENSDARG00000002764,23
ENSDARG00000002768,4456
ENSDARG00000002771,40
ENSDARG00000002779,25
ENSDARG00000002787,129
ENSDARG00000002790,318
ENSDARG00000002791,1313
ENSDARG00000002792,160
ENSDARG00000002795,16
ENSDARG00000002797,0
ENSDARG00000002798,18
ENSDARG00000002816,46
ENSDARG00000002826,14
ENSDARG00000002830,4
ENSDARG00000002831,7
ENSDARG00000002840,116
ENSDARG00000002847,35
ENSDARG00000002872,28
ENSDARG00000002877,109
ENSDARG00000002880,107
ENSDARG00000002894,16
ENSDARG00000002897,28
ENSDARG00000002909,83
ENSDARG00000002912,33
ENSDARG00000002916,115
ENSDARG00000002917,9
ENSDARG00000002933,23
ENSDARG00000002937,129
ENSDARG00000002945,40
ENSDARG00000002947,49
ENSDARG00000002949,165
ENSDARG00000002952,94
ENSDARG00000002956,13
ENSDARG00000002959,0
ENSDARG00000002967,89
ENSDARG00000002968,215
ENSDARG00000002970,96
ENSDARG00000002971,38
ENSDARG00000002986,22
ENSDARG00000002988,262
ENSDARG00000002991,20
ENSDARG00000002994,59
ENSDARG00000003008,103
ENSDARG00000003017,49
ENSDARG00000003020,24
ENSDARG00000003021,9
ENSDARG00000003022,12
ENSDARG00000003027,9
ENSDARG00000003032,1078
ENSDARG00000003035,447
ENSDARG00000003041,17
ENSDARG00000003046,69
ENSDARG00000003054,6
ENSDARG00000003058,84
ENSDARG00000003061,9
ENSDARG00000003068,102
ENSDARG00000003069,37
ENSDARG00000003077,24
ENSDARG00000003081,7026
ENSDARG00000003084,32
ENSDARG00000003085,47
ENSDARG00000003087,146
ENSDARG00000003090,0
ENSDARG00000003091,83
ENSDARG00000003098,308
ENSDARG00000003109,28
ENSDARG00000003113,274
ENSDARG00000003127,96
ENSDARG00000003132,54
ENSDARG00000003142,65
ENSDARG00000003144,6
ENSDARG00000003146,9
ENSDARG00000003151,333
ENSDARG00000003153,32
ENSDARG00000003157,10
ENSDARG00000003165,87
ENSDARG00000003167,22
ENSDARG00000003169,368
ENSDARG00000003175,32
ENSDARG00000003181,3
ENSDARG00000003189,164
ENSDARG00000003193,8
ENSDARG00000003197,2
ENSDARG00000003200,31
ENSDARG00000003203,398
ENSDARG00000003205,42
ENSDARG00000003206,24
ENSDARG00000003207,25
ENSDARG00000003208,25
ENSDARG00000003210,22
ENSDARG00000003213,325
ENSDARG00000003216,223
ENSDARG00000003217,60
ENSDARG00000003219,159
ENSDARG00000003229,0
ENSDARG00000003235,24
ENSDARG00000003244,1
ENSDARG00000003250,27
ENSDARG00000003251,23
ENSDARG00000003257,6
ENSDARG00000003259,26
ENSDARG00000003269,138
ENSDARG00000003270,76
ENSDARG00000003281,82
ENSDARG00000003287,21
ENSDARG00000003290,26
ENSDARG00000003293,140
ENSDARG00000003303,0
ENSDARG00000003307,152
ENSDARG00000003308,80
ENSDARG00000003311,92
ENSDARG00000003313,23
ENSDARG00000003320,118
ENSDARG00000003326,4
ENSDARG00000003328,51
ENSDARG00000003344,2
ENSDARG00000003373,8
ENSDARG00000003375,7
ENSDARG00000003380,3
ENSDARG00000003381,41
ENSDARG00000003382,70
ENSDARG00000003383,55
ENSDARG00000003395,16
ENSDARG00000003398,22
ENSDARG00000003399,10
ENSDARG00000003403,86
ENSDARG00000003411,87
ENSDARG00000003414,1
ENSDARG00000003420,8
ENSDARG00000003421,109
