C2,Counts
ENSDARG00000000001,6
ENSDARG00000000002,60
ENSDARG00000000018,20
ENSDARG00000000019,194
ENSDARG00000000068,41
ENSDARG00000000069,113
ENSDARG00000000086,238
ENSDARG00000000103,355
ENSDARG00000000142,42
ENSDARG00000000151,46
ENSDARG00000000161,100
ENSDARG00000000175,15
ENSDARG00000000183,167
ENSDARG00000000189,278
ENSDARG00000000212,357
ENSDARG00000000229,28
ENSDARG00000000241,83
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,240
ENSDARG00000000380,58
ENSDARG00000000394,147
ENSDARG00000000423,5
ENSDARG00000000442,11
ENSDARG00000000460,0
ENSDARG00000000472,27
ENSDARG00000000474,0
ENSDARG00000000476,18
ENSDARG00000000489,52
ENSDARG00000000503,933
ENSDARG00000000516,0
ENSDARG00000000529,15
ENSDARG00000000540,46
ENSDARG00000000542,29
ENSDARG00000000551,49
ENSDARG00000000563,49215
ENSDARG00000000567,63
ENSDARG00000000568,20
ENSDARG00000000588,10
ENSDARG00000000606,35
ENSDARG00000000631,52
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,39
ENSDARG00000000690,14
ENSDARG00000000729,76
ENSDARG00000000730,4
ENSDARG00000000747,0
ENSDARG00000000760,69
ENSDARG00000000767,3
ENSDARG00000000779,82
ENSDARG00000000796,17
ENSDARG00000000804,7
ENSDARG00000000830,0
ENSDARG00000000837,28
ENSDARG00000000853,90
ENSDARG00000000857,15
ENSDARG00000000861,413
ENSDARG00000000887,0
ENSDARG00000000906,0
ENSDARG00000000935,11
ENSDARG00000000943,32
ENSDARG00000000966,683
ENSDARG00000001014,526
ENSDARG00000001015,89
ENSDARG00000001057,26
ENSDARG00000001127,119
ENSDARG00000001129,315
ENSDARG00000001154,112
ENSDARG00000001162,188
ENSDARG00000001169,0
ENSDARG00000001210,6
ENSDARG00000001220,351
ENSDARG00000001234,64
ENSDARG00000001241,85
ENSDARG00000001244,256
ENSDARG00000001249,7
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,7
ENSDARG00000001354,7
ENSDARG00000001414,20
ENSDARG00000001431,1095
ENSDARG00000001437,52
ENSDARG00000001442,0
ENSDARG00000001447,28
ENSDARG00000001452,3
ENSDARG00000001463,56
ENSDARG00000001470,71
ENSDARG00000001498,0
ENSDARG00000001549,83
ENSDARG00000001557,24
ENSDARG00000001558,20
ENSDARG00000001559,320
ENSDARG00000001572,0
ENSDARG00000001578,49
ENSDARG00000001621,12
ENSDARG00000001634,92
ENSDARG00000001656,0
ENSDARG00000001676,110
ENSDARG00000001686,5
ENSDARG00000001710,126
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,222
ENSDARG00000001733,23
ENSDARG00000001734,40
ENSDARG00000001754,42
ENSDARG00000001760,89
ENSDARG00000001767,20
ENSDARG00000001769,36
ENSDARG00000001771,0
ENSDARG00000001776,12
ENSDARG00000001777,92
ENSDARG00000001781,7
ENSDARG00000001782,0
ENSDARG00000001785,30
ENSDARG00000001788,134
ENSDARG00000001803,4
ENSDARG00000001804,0
ENSDARG00000001807,46
ENSDARG00000001817,5
ENSDARG00000001818,112
ENSDARG00000001825,3
ENSDARG00000001829,133
ENSDARG00000001835,73
ENSDARG00000001857,168
ENSDARG00000001859,2
ENSDARG00000001870,764
ENSDARG00000001873,25
ENSDARG00000001879,104
ENSDARG00000001880,133
ENSDARG00000001881,7
ENSDARG00000001882,21
ENSDARG00000001888,48
ENSDARG00000001889,194
ENSDARG00000001890,171
ENSDARG00000001891,7
ENSDARG00000001897,23
ENSDARG00000001898,3
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,250
ENSDARG00000001912,28
ENSDARG00000001913,67
ENSDARG00000001929,24
ENSDARG00000001930,38
ENSDARG00000001933,10
ENSDARG00000001937,46
ENSDARG00000001939,9
ENSDARG00000001940,75
ENSDARG00000001950,926
ENSDARG00000001953,24
ENSDARG00000001968,102
ENSDARG00000001969,41
ENSDARG00000001971,5
ENSDARG00000001975,19
ENSDARG00000001976,26
ENSDARG00000001993,28
ENSDARG00000001994,584
ENSDARG00000001999,74
ENSDARG00000002002,11
ENSDARG00000002006,7
ENSDARG00000002013,61
ENSDARG00000002016,0
ENSDARG00000002020,38
ENSDARG00000002021,3
ENSDARG00000002026,76
ENSDARG00000002031,0
ENSDARG00000002037,16
ENSDARG00000002060,4
ENSDARG00000002071,100
ENSDARG00000002077,18
ENSDARG00000002082,158
ENSDARG00000002084,130
ENSDARG00000002097,7
ENSDARG00000002127,120
ENSDARG00000002128,13
ENSDARG00000002131,143
ENSDARG00000002165,5
ENSDARG00000002167,98
ENSDARG00000002168,49
ENSDARG00000002172,8
ENSDARG00000002174,0
ENSDARG00000002184,37
ENSDARG00000002190,95
ENSDARG00000002192,22
ENSDARG00000002193,1356
ENSDARG00000002194,0
ENSDARG00000002196,93
ENSDARG00000002197,41
ENSDARG00000002204,12
ENSDARG00000002210,59
ENSDARG00000002213,20
ENSDARG00000002215,14
ENSDARG00000002216,13
ENSDARG00000002217,180
ENSDARG00000002219,0
ENSDARG00000002220,31
ENSDARG00000002230,141
ENSDARG00000002231,38
ENSDARG00000002235,115
ENSDARG00000002240,29
ENSDARG00000002241,0
ENSDARG00000002249,40
ENSDARG00000002255,36
ENSDARG00000002259,0
ENSDARG00000002264,10
ENSDARG00000002267,14
ENSDARG00000002271,52
ENSDARG00000002285,54
ENSDARG00000002293,0
ENSDARG00000002295,22
ENSDARG00000002298,5
ENSDARG00000002299,25
ENSDARG00000002300,3
ENSDARG00000002304,13
ENSDARG00000002305,45
ENSDARG00000002311,0
ENSDARG00000002330,14
ENSDARG00000002332,78
ENSDARG00000002333,37
ENSDARG00000002336,60
ENSDARG00000002339,7
ENSDARG00000002344,393
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,36
ENSDARG00000002365,23
ENSDARG00000002369,97
ENSDARG00000002377,8
ENSDARG00000002385,42
ENSDARG00000002391,4
ENSDARG00000002394,0
ENSDARG00000002396,124
ENSDARG00000002401,7
ENSDARG00000002402,46
ENSDARG00000002403,26
ENSDARG00000002405,64
ENSDARG00000002406,0
ENSDARG00000002411,18
ENSDARG00000002445,22
ENSDARG00000002463,21
ENSDARG00000002467,21
ENSDARG00000002479,9
ENSDARG00000002483,19
ENSDARG00000002487,36
ENSDARG00000002494,11
ENSDARG00000002506,27
ENSDARG00000002507,26
ENSDARG00000002508,28
ENSDARG00000002509,0
ENSDARG00000002510,8
ENSDARG00000002523,146
ENSDARG00000002533,23
ENSDARG00000002536,55
ENSDARG00000002538,21
ENSDARG00000002546,21
ENSDARG00000002549,3
ENSDARG00000002552,105
ENSDARG00000002564,36
ENSDARG00000002571,47
ENSDARG00000002576,19
ENSDARG00000002582,17
ENSDARG00000002587,426
ENSDARG00000002589,305
ENSDARG00000002591,115
ENSDARG00000002593,1
ENSDARG00000002597,0
ENSDARG00000002600,126
ENSDARG00000002601,0
ENSDARG00000002607,60
ENSDARG00000002609,35
ENSDARG00000002613,0
ENSDARG00000002632,55
ENSDARG00000002634,6
ENSDARG00000002635,147
ENSDARG00000002642,23
ENSDARG00000002644,37
ENSDARG00000002656,67
ENSDARG00000002659,85
ENSDARG00000002663,25
ENSDARG00000002666,0
ENSDARG00000002670,104
ENSDARG00000002682,69
ENSDARG00000002685,0
ENSDARG00000002690,24
ENSDARG00000002696,617
ENSDARG00000002701,1
ENSDARG00000002707,0
ENSDARG00000002710,776
ENSDARG00000002720,4
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,104
ENSDARG00000002732,5
ENSDARG00000002745,138
ENSDARG00000002748,73
ENSDARG00000002750,39
ENSDARG00000002754,6
ENSDARG00000002758,847
ENSDARG00000002760,6
ENSDARG00000002764,0
ENSDARG00000002768,1934
ENSDARG00000002771,22
ENSDARG00000002779,0
ENSDARG00000002787,78
ENSDARG00000002790,163
ENSDARG00000002791,1228
ENSDARG00000002792,67
ENSDARG00000002795,30
ENSDARG00000002797,0
ENSDARG00000002798,7
ENSDARG00000002816,72
ENSDARG00000002826,5
ENSDARG00000002830,12
ENSDARG00000002831,17
ENSDARG00000002840,98
ENSDARG00000002847,6
ENSDARG00000002872,9
ENSDARG00000002877,134
ENSDARG00000002880,118
ENSDARG00000002894,14
ENSDARG00000002897,46
ENSDARG00000002909,31
ENSDARG00000002912,21
ENSDARG00000002916,103
ENSDARG00000002917,36
ENSDARG00000002933,11
ENSDARG00000002937,79
ENSDARG00000002945,27
ENSDARG00000002947,29
ENSDARG00000002949,89
ENSDARG00000002952,65
ENSDARG00000002956,2
ENSDARG00000002959,0
ENSDARG00000002967,86
ENSDARG00000002968,95
ENSDARG00000002970,61
ENSDARG00000002971,41
ENSDARG00000002986,10
ENSDARG00000002988,67
ENSDARG00000002991,22
ENSDARG00000002994,34
ENSDARG00000003008,143
ENSDARG00000003017,45
ENSDARG00000003020,90
ENSDARG00000003021,3
ENSDARG00000003022,7
ENSDARG00000003027,10
ENSDARG00000003032,561
ENSDARG00000003035,391
ENSDARG00000003041,1
ENSDARG00000003046,70
ENSDARG00000003054,5
ENSDARG00000003058,50
ENSDARG00000003061,12
ENSDARG00000003068,80
ENSDARG00000003069,15
ENSDARG00000003077,10
ENSDARG00000003081,4858
ENSDARG00000003084,24
ENSDARG00000003085,29
ENSDARG00000003087,69
ENSDARG00000003090,0
ENSDARG00000003091,20
ENSDARG00000003098,238
ENSDARG00000003109,17
ENSDARG00000003113,71
ENSDARG00000003127,101
ENSDARG00000003132,14
ENSDARG00000003142,43
ENSDARG00000003144,0
ENSDARG00000003146,26
ENSDARG00000003151,271
ENSDARG00000003153,21
ENSDARG00000003157,0
ENSDARG00000003165,35
ENSDARG00000003167,9
ENSDARG00000003169,529
ENSDARG00000003175,23
ENSDARG00000003181,4
ENSDARG00000003189,261
ENSDARG00000003193,0
ENSDARG00000003197,1
ENSDARG00000003200,26
ENSDARG00000003203,1
ENSDARG00000003205,22
ENSDARG00000003206,76
ENSDARG00000003207,38
ENSDARG00000003208,18
ENSDARG00000003210,30
ENSDARG00000003213,168
ENSDARG00000003216,72
ENSDARG00000003217,46
ENSDARG00000003219,39
ENSDARG00000003229,0
ENSDARG00000003235,32
ENSDARG00000003244,8
ENSDARG00000003250,19
ENSDARG00000003251,20
ENSDARG00000003257,0
ENSDARG00000003259,2
ENSDARG00000003269,286
ENSDARG00000003270,44
ENSDARG00000003281,50
ENSDARG00000003287,5
ENSDARG00000003290,29
ENSDARG00000003293,123
ENSDARG00000003303,4
ENSDARG00000003307,78
ENSDARG00000003308,64
ENSDARG00000003311,58
ENSDARG00000003313,1
ENSDARG00000003320,72
ENSDARG00000003326,0
ENSDARG00000003328,75
ENSDARG00000003344,0
ENSDARG00000003373,6
ENSDARG00000003375,0
ENSDARG00000003380,3
ENSDARG00000003381,4
ENSDARG00000003382,38
ENSDARG00000003383,78
ENSDARG00000003395,7
ENSDARG00000003398,17
ENSDARG00000003399,7
ENSDARG00000003403,162
ENSDARG00000003411,27
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,106
ENSDARG00000003429,66
ENSDARG00000003444,8
ENSDARG00000003446,27
ENSDARG00000003449,33
ENSDARG00000003462,118
ENSDARG00000003469,42
ENSDARG00000003475,0
ENSDARG00000003486,178
ENSDARG00000003487,109
ENSDARG00000003495,98
ENSDARG00000003512,157
ENSDARG00000003517,11
ENSDARG00000003519,8
ENSDARG00000003520,57
ENSDARG00000003523,0
ENSDARG00000003526,95
ENSDARG00000003527,40
ENSDARG00000003531,103
ENSDARG00000003533,14
ENSDARG00000003544,26
ENSDARG00000003553,0
ENSDARG00000003564,11
ENSDARG00000003570,141
ENSDARG00000003573,30
ENSDARG00000003576,20
ENSDARG00000003584,37
ENSDARG00000003592,18
ENSDARG00000003599,2143
ENSDARG00000003607,85
ENSDARG00000003615,8
ENSDARG00000003616,47
ENSDARG00000003631,240
ENSDARG00000003632,0
ENSDARG00000003635,2
ENSDARG00000003641,10
ENSDARG00000003642,16
ENSDARG00000003655,357
ENSDARG00000003675,1
ENSDARG00000003680,210
ENSDARG00000003681,246
ENSDARG00000003684,53
ENSDARG00000003693,33
ENSDARG00000003695,421
ENSDARG00000003697,1
ENSDARG00000003699,89
ENSDARG00000003701,0
ENSDARG00000003705,212
ENSDARG00000003706,15
ENSDARG00000003732,15
