"gene","count"
"Bcat1_29039",7
"Laptm5_29040",0
"Skp2_29041",25
"Nme1_29042",2270
"Ctsd_29043",26
"Camk1_29044",164
"Epb41l2_29045",20
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",412
"Yars2_29051",30
"Tmem109_29052",517
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",784
"Metrn_29056",6
"Serpina9_29057",3
"Sgo1_29058",133
"Degs1_29059",541
"Snx7_29060",90
"H2-Q7_29061",0
"Cdkn2b_29062",7
"Snap25_29063",0
"Atf1_29064",538
"Lrat_29065",0
"Dmtf1_29066",46
"Psmb8_29067",1
"Procr_29068",17
"Ppox_29069",13
"Smc2_29071",13
"Cyp4a12a_29072",0
"Prss23_29074",269
"Ero1l_29075",868
"Panx1_29076",67
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",19
"Scg2_29080",0
"Prkg1_29081",8
"Cyp2f2_29082",0
"Pdgfb_29083",2
"Pdhx_29085",5
"Try5_29086",0
"Ifitm3_29087",1657
"Cyp11b1_29088",0
"Cdk6_29089",190
"Fgf21_29090",5
"Ghr_29091",152
"Ugt2b35_29092",0
"Nup93_29093",203
"Actn3_29094",0
"Cat_29095",641
"Cyb561_29096",0
"Wfs1_29097",24
"Gstm2_29098",367
"Fhl2_29099",155
"Nat1_29100",0
"Zmym2_29101",728
"Il6_29102",6
"Hmgcr_29103",9
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",24
"Cep57_29107",25
"Slc5a5_29108",11
"Gadd45a_29109",170
"Zfp131_29110",27
"Cavin4_29112",17
"Cct6a_29113",2073
"Abl1_29114",543
"Appbp2_29115",50
"Mcm4_29116",34
"Nck1_29117",38
"Reg1_29118",0
"Eif4g1_29119",1553
"Tgtp2_29120",8
"Triap1_29121",15
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",3
"Cflar_29126",13
"Asah1_29127",1024
"Sele_29128",0
"Kif11_29129",188
"Chp1_29131",328
"B3gnt9_29132",20
"Bcl7b_29133",7
"Cul1_29134",502
"Lmod2_29135",0
"Arl1_29136",660
"Ptpn1_29137",1
"Slc51a_29138",0
"Senp6_29139",749
"B930025B16RIK_29140",24
"Gli1_29141",0
"Ddit3_29142",72
"Prr15l_29143",0
"Cltc_29144",18
"Arnt2_29145",1
"Slc27a1_29146",9
"Nup88_29147",655
"Ndufv3_29149",89
"Srd5a1_29150",3
"Ube3c_29151",3
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",361
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",50
"Stmn1_29158",0
"Glul_29159",6
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",217
"Tomm34_29163",137
"Eapp_29164",436
"Zeb2_29165",12
"Ugt1a6b_29166",2
"Cybb_29167",0
"Clk1_29168",143
"Sumo1_29169",70
"Ugt1a6a_29170",407
"Ugt1a7c_29171",237
"Slco2b1_29172",0
"Cops5_29173",1462
"Csk_29174",56
"Cyp1a2_29175",0
"Thap11_29176",4
"Cd55_29177",4
"Zzz3_29178",119
"Tnnt3_29180",0
"Mest_29181",1
"Ifi35_29182",9
"Psmd9_29183",178
"B4galt1_29184",14
"Gabrg2_29185",0
"Chtf18_29186",37
"2210016H18RIK_29188",6
"Cmpk2_29189",10
"Dynll1_29190",0
"Kctd10_29191",706
"Pebp1_29192",133
"Cfh_29193",6
"Sdc1_29194",29
"Sccpdh_29195",42
"Arhgef12_29196",22
"Ccnc_29197",36
"Zfp318_29198",0
"Ndc80_29199",285
"Plod3_29200",4
"Xpc_29201",1
"Mrps16_29202",957
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",35
"H2bc4_29206",140
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",1
"Zg16_29210",0
"Exosc7_29212",228
"Bid_29213",28
"Mcm2_29214",69
"Ralb_29215",251
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",1
"Prkx_29220",47
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",169
"Evl_29224",83
"Deptor_29225",1
"Ptger2_29226",0
"Hspa2_29227",75
"Cblb_29228",323
"Ptprk_29229",449
"Dner_29230",0
"Pik3c2a_29231",94
"Vasp_29232",134
"Nup85_29233",513
"Mex3d_29234",292
"St3gal1_29235",12
"Zfp110_29236",79
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",331
"Parpbp_29241",216
"Pfkp_29242",21
"Lamp3_29243",0
"Stx16_29244",119
"Cyp11b2_29245",0
"Dera_29246",2
"Ptger4_29247",0
"Trp53bp2_29248",36
"Uchl3_29249",52
"Prl2c2_29250",39
"Pcna-ps2_29251",5
"Kctd5_29252",44
"Map3k4_29253",34
"Spib_29254",2
"Snrpg_29255",1
"Topors_29256",64
"Cdc25b_29257",67
"Gclm_29258",45
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",14
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",2
"Npdc1_29266",82
"Pbx1_29267",21
"Unc5c_29268",0
"Dhx29_29269",36
"Copb2_29270",460
"Cbln1_29271",1
"Nipsnap1_29272",29
"Tm9sf3_29274",270
"Casq1_29275",1
"Slc2a10_29276",2
"Cdh2_29277",9
"Ecd_29278",241
"Dnajc9_29279",14
"Isoc1_29280",88
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",68
"Strbp_29284",235
"Fabp5_29285",1606
"C9_29286",1
"S100a11_29287",1292
"Psmc3ip_29288",31
"Fabp4_29289",2
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",32
"Ncor2_29294",497
"Sult1b1_29295",0
"Dipk1a_29296",14
"Glod4_29298",113
"Gulp1_29299",283
"Arpp19_29300",8
"Fbl_29301",21
"Wdhd1_29302",221
"Rpa3_29303",337
"Wars_29304",49
"Hao2_29305",0
"Fdft1_29306",781
"Chka_29307",45
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
"Klhl13_29312",19
"Casp3_29313",183
"Man2b1_29315",196
"Prl2c3_29316",456
"Lamp1_29317",1176
"Atg3_29318",63
"S100a8_29319",0
"Mmp1a_29320",0
"Klhl14_29321",2
"Slc25a13_29322",224
"Nup133_29323",79
"Grin1_29324",3
"Kat6a_29325",366
"Pcdhac1_29326",0
"Slc10a2_29328",0
"Asna1_29329",35
"Alyref2_29330",7
"Hba-a2_29332",0
"Hba-a1_29333",0
"Banf1_29334",1201
"Kif1bp_29335",141
"Snrpb_29336",1329
"Mrps17_29337",77
"Car4_29338",0
"Rpl22_29339",1677
"Hsd17b6_29340",0
"Dynlrb1_29341",785
"Gins2_29342",0
"Col2a1_29343",0
"Sult2a1_29344",0
"Smc1a_29345",184
"Xlr4b_29346",0
"Slc47a1_29347",0
"Sult2a5_29348",0
"Pde4c_29349",0
"Cyp4a31_29350",0
"Cyp4a14_29351",0
"Mcm6_29352",93
"Tbc1d10c_29353",0
"Arfip2_29354",144
"Cryba1_29355",0
"Cxcl2_29356",0
"Sumf2_29357",12
"Gabra1_29358",0
"Btg2_29359",47
"Mtx2_29360",307
"Cyp11a1_29361",0
"Tspan3_29362",265
"Eno2_29363",6
"Tceal9_29364",2879
"Apoa5_29365",0
"Acot10_29366",0
"Serpina3n_29367",1
"Saa1_29368",0
"Tcfl5_29369",1
"Klrb1a_29370",0
"Dtl_29371",175
"Hbb-y_29372",3
"Yap1_29373",212
"Ripk3_29374",237
"Tert_29375",0
"Acadvl_29377",79
"Nos1_29378",0
"F2r_29379",542
"Sh3bp5_29381",170
"Fabp1_29382",0
"Hoxb5_29383",147
"Ccne2_29384",53
"Rrp8_29385",34
"Slc18a2_29386",0
"Mllt11_29387",36
"Tfdp1_29388",623
"Clic4_29389",433
"Birc2_29390",86
"Aqp1_29391",0
"Cela2a_29392",0
"Gxylt1_29393",178
"Arxes2_29394",50
"Cog7_29395",12
"Hp_29396",0
"Slc22a7_29397",0
"Pbdc1_29398",519
"Ubr7_29399",170
"H2bc7_29400",60
"Mrps6_29401",628
"Mylk4_29402",0
"Armcx4_29403",26
"Fbxo5_29404",256
"Exosc4_29405",34
"Msh6_29406",142
"Entpd8_29407",0
"Ext1_29408",749
"Asb14_29409",0
"Mast2_29410",45
"Fgfr2_29411",30
"Samd9l_29412",32
"Abcd1_29413",32
"Smarcc1_29414",1133
"Slc6a8_29415",155
"Hoxb6_29416",36
"Ces2f_29417",1
"Prr7_29418",20
"Pafah1b1_29419",9
"Grb2_29420",0
"Clstn1_29421",596
"Rgs2_29422",0
"Slc22a1_29423",0
"Ei24_29424",0
"Rbm6_29425",79
"Slc7a6_29426",93
"Col1a1_29427",6496
"Acaa1a_29428",100
"Orc6_29429",922
"Igf2r_29430",13
"Cxcl10_29431",10
"Ndufa5_29432",0
"Psme2_29433",0
"Ddit4_29434",17
"Abcb1a_29435",11
"Lef1_29436",0
"Hadh_29437",374
"Tmprss6_29438",0
"Capg_29439",268
"Kng1_29440",0
"Grwd1_29441",2
"Prdx1_29442",1738
"Hdc_29443",0
"Ano10_29445",91
"Mcm8_29446",31
"Igfbp7_29447",51
"Cela3a_29448",0
"Prkag1_29449",281
"Ceacam1_29450",1
"Mapkapk3_29451",0
"Tor1a_29452",196
"Ephx1_29453",621
"Relb_29454",37
"E2f1_29455",174
"Pcdh8_29456",0
"Col8a1_29457",603
"St7_29458",83
"Eno3_29459",92
"Irf6_29460",0
"Trav9d-3_29461",0
"Mmp9_29462",0
"Pcdha1_29463",1
"AA415038_29464",103
"Sorbs3_29465",51
"Cyp3a44_29466",0
"Elac2_29467",8
"Cd5_29468",0
"Gli2_29469",0
"Cpsf1_29470",147
"Prps1l3_29471",10
"Spcs3_29472",3290
"Tsku_29473",7
"Zfp960_29475",55
"Plcxd3_29476",0
"Ccnb2_29477",333
"Egr2_29478",0
"Dennd2d_29479",0
"Atp5e_29480",904
"Cryz_29482",128
"Arhgap11a_29483",4
"Oxa1l_29484",0
"Rad51c_29485",83
"Sycn_29486",0
"Mapkapk5_29487",12
"Hs6st2_29488",2187
"Fis1_29489",67
"Cd300lb_29490",1
"Cgrrf1_29491",70
"Tcf19_29492",33
"Pnkp_29493",52
"Trp53inp2_29494",9
"Parp1_29495",63
"Dclre1c_29496",0
"Sept5_29497",390
"Fstl5_29498",0
"Pf4_29499",1
"Cxcl3_29500",0
"Cxcl1_29501",4
"Pde6b_29502",0
"Nqo1_29503",871
"Puf60_29504",1217
"F5_29505",0
"Vegfa_29506",13
"Fkbp4_29507",2131
"Cox6b1_29508",263
"Decr1_29509",67
"Oosp1_29510",0
"Baat_29511",0
"Serpina3k_29512",0
"Cog2_29513",24
"Syt11_29514",1
"Stxbp2_29515",1
"Ska3_29516",19
"Aldob_29517",0
"Iglc2_29518",0
"Hspa1l_29519",0
"Dbh_29520",0
"Igfbp6_29521",33
"Plk4_29522",29
"Cyp2w1_29523",1
"Grm1_29524",0
"Krt18_29525",0
"Mpc2_29526",28
"Tuba4a_29527",213
"F11_29528",0
"Slc39a7_29529",427
"Gzme_29530",0
"Klf4_29531",60
"Stap2_29532",0
"Ctnnal1_29533",469
"Prss2_29534",0
"Gpm6b_29535",0
"Pde6g_29536",2
"Gm20831_29537",1
"Mip_29538",0
"Acot9_29539",523
"Rad51ap1_29540",144
"Atp5b_29541",416
"Clk2_29542",57
"Usp14_29543",151
"Skp1a_29544",956
"Sgcb_29545",192
"Stil_29546",27
"Maob_29547",0
"Cdh7_29548",0
"Lyn_29549",23
"Sprr2a3_29550",0
"Psen1_29551",43
"Kif18b_29552",266
"Gemin6_29553",115
"Mtmr2_29554",83
"Sox17_29555",0
"Lypla1_29556",92
"Krt1_29557",0
"Dffa_29558",4
"Mup3_29559",0
"Mup19_29560",1
"Trib3_29561",206
"Gdf7_29562",0
"Pdha1_29563",535
"Fen1_29564",85
"Bst2_29565",49
"Scrn1_29566",392
"Iars2_29567",20
"Ccl9_29568",0
"Elp1_29569",67
"Xiap_29570",0
"Rpa2_29571",31
"Crp_29572",1
"Rfc5_29573",12
"Nucb2_29574",291
"Fbxo11_29575",4
"Polr1c_29576",384
"Foxo4_29577",24
"Slc2a2_29578",0
"Stx1a_29579",44
"Rbp3_29580",0
"Cacybp_29581",650
"Tslp_29582",290
"Sgcg_29583",0
"Ruvbl1_29584",524
"Htr5a_29585",0
"Rassf5_29586",49
"Tsen2_29587",5
"Mapk1_29588",25
"Ncbp2_29589",23
"Abcf1_29590",99
"Atp2c1_29591",72
"Scp2_29592",139
"Vbp1_29593",927
"Plg_29594",0
"Snrpe_29595",14
"Hk1_29596",145
"Bloc1s1_29597",505
"Nmt1_29598",176
"Prkacb_29599",37
"Pdlim2_29600",0
"Pkig_29601",0
"Edn1_29602",6
"Rrm2_29603",116
"Elovl2_29604",0
"Lgals8_29605",92
"Nr2f2_29606",363
"Pex11a_29607",0
"Gdpd3_29608",0
"Pik3r3_29609",119
"Opn1sw_29610",0
"Bsg_29611",0
"Sytl2_29612",3
"Pdcd11_29613",15
"Insl3_29614",0
"Hmgcs2_29615",0
"Aaas_29616",7
"Dck_29617",10
"Pramel3_29618",0
"Phpt1_29619",0
"Aspn_29620",0
"Il1f9_29621",0
"4833414E09RIK_29622",696
"Clec4e_29623",0
"Atad3a_29624",222
"Klhdc8b_29625",1
"Znrd1_29627",192
"Ins2_29628",0
"Pantr1_29629",0
"S100a13_29630",0
"Nsun2_29631",484
"Atp5md_29632",392
"Xlr3a_29633",24
"P4htm_29634",0
"Cd44_29635",455
"AW112010_29636",1
"Aimp1_29637",268
"Col6a2_29638",98
"Capn1_29639",40
"Apol7c_29640",0
"Fzd2_29641",59
"Cyp19a1_29642",0
"Crkl_29643",146
"Pik3c2b_29644",0
"Fat1_29645",1210
"Cherp_29646",11
"Por_29647",22
"Ngb_29648",2
"Cd320_29649",11
"H2-T3_29650",0
"Hspa5_29651",3143
"Zfp980_29652",0
"Cnksr3_29653",14
"Dcpp3_29654",2
"Prdx3_29656",283
"Steap4_29657",1
"Hells_29658",966
"Ube2a_29659",141
"Dnm1_29660",1
"Cyp2c55_29661",2
"Dusp14_29663",13
"Lsm2_29664",229
"Chgb_29666",0
"Gas5_29667",0
"Greb1_29668",1
"Csprs_29669",0
"Fkbp5_29670",359
"Ugt2b35_29671",0
"G6pc_29672",0
"Car1_29673",0
"Trdn_29674",0
"Rps6_29675",1125
"Gap43_29676",4
"Tubg1_29677",244
"Ccnh_29679",95
"Casp7_29680",11
"Ces2d-ps_29681",0
"Eci1_29682",156
"Fzd7_29683",24
"Suz12_29684",38
"Rfc4_29685",40
"Npm1_29686",1
"Eif2b1_29687",20
"Atad5_29688",0
"Gon4l_29689",25
"Sds_29690",0
"Hectd2_29691",8
"Adcy7_29692",56
"Grm2_29693",0
"Itih1_29694",0
"Scarb1_29696",4
"Got1_29697",21
"Ccl4_29698",0
"St14_29699",0
"Rnps1_29700",57
"Abcc2_29701",0
"Wdr61_29702",54
"Psmd6_29703",219
"Cpne3_29704",78
"Birc5_29705",466
"Lig1_29706",171
"Vapb_29707",522
"Tax1bp3_29708",4
"Amdhd1_29709",0
"Tk1_29710",9
