"gene","count"
"Bcat1_29039",3
"Laptm5_29040",0
"Skp2_29041",21
"Nme1_29042",3050
"Ctsd_29043",44
"Camk1_29044",242
"Epb41l2_29045",36
"Rbfox1_29046",3
"Mup16_29047",0
"Mup13_29048",2
"Eef1a2_29049",0
"Phlda3_29050",341
"Yars2_29051",25
"Tmem109_29052",628
"Pcna_29053",0
"Abcg1_29054",1
"Tes_29055",968
"Metrn_29056",8
"Serpina9_29057",0
"Sgo1_29058",318
"Degs1_29059",915
"Snx7_29060",144
"H2-Q7_29061",0
"Cdkn2b_29062",9
"Snap25_29063",0
"Atf1_29064",831
"Lrat_29065",0
"Dmtf1_29066",69
"Psmb8_29067",3
"Procr_29068",6
"Ppox_29069",27
"Smc2_29071",7
"Cyp4a12a_29072",1
"Prss23_29074",213
"Ero1l_29075",1807
"Panx1_29076",85
"Pnliprp1_29077",0
"Inmt_29078",3
"Atp6v1f_29079",9
"Scg2_29080",0
"Prkg1_29081",19
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",18
"Try5_29086",1
"Ifitm3_29087",2998
"Cyp11b1_29088",5
"Cdk6_29089",266
"Fgf21_29090",1
"Ghr_29091",251
"Ugt2b35_29092",0
"Nup93_29093",311
"Actn3_29094",0
"Cat_29095",1141
"Cyb561_29096",0
"Wfs1_29097",9
"Gstm2_29098",685
"Fhl2_29099",119
"Nat1_29100",4
"Zmym2_29101",1218
"Il6_29102",4
"Hmgcr_29103",9
"Hbb-bh1_29104",0
"Pxmp2_29105",2
"Wrb_29106",20
"Cep57_29107",42
"Slc5a5_29108",4
"Gadd45a_29109",533
"Zfp131_29110",34
"Cavin4_29112",25
"Cct6a_29113",2378
"Abl1_29114",755
"Appbp2_29115",94
"Mcm4_29116",32
"Nck1_29117",55
"Reg1_29118",0
"Eif4g1_29119",1615
"Tgtp2_29120",3
"Triap1_29121",31
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",1
"Fabp2_29125",12
"Cflar_29126",12
"Asah1_29127",1597
"Sele_29128",0
"Kif11_29129",183
"Chp1_29131",354
"B3gnt9_29132",25
"Bcl7b_29133",14
"Cul1_29134",703
"Lmod2_29135",0
"Arl1_29136",793
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",914
"B930025B16RIK_29140",21
"Gli1_29141",1
"Ddit3_29142",180
"Prr15l_29143",0
"Cltc_29144",19
"Arnt2_29145",0
"Slc27a1_29146",13
"Nup88_29147",900
"Ndufv3_29149",131
"Srd5a1_29150",1
"Ube3c_29151",5
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",612
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",69
"Stmn1_29158",0
"Glul_29159",8
"Iglc2_29160",1
"Ikzf1_29161",0
"Ankrd10_29162",297
"Tomm34_29163",191
"Eapp_29164",897
"Zeb2_29165",21
"Ugt1a6b_29166",5
"Cybb_29167",0
"Clk1_29168",228
"Sumo1_29169",100
"Ugt1a6a_29170",608
"Ugt1a7c_29171",234
"Slco2b1_29172",0
"Cops5_29173",2179
"Csk_29174",60
"Cyp1a2_29175",0
"Thap11_29176",1
"Cd55_29177",0
"Zzz3_29178",151
"Tnnt3_29180",4
"Mest_29181",0
"Ifi35_29182",24
"Psmd9_29183",262
"B4galt1_29184",25
"Gabrg2_29185",0
"Chtf18_29186",45
"2210016H18RIK_29188",9
"Cmpk2_29189",31
"Dynll1_29190",0
"Kctd10_29191",885
"Pebp1_29192",219
"Cfh_29193",22
"Sdc1_29194",25
"Sccpdh_29195",46
"Arhgef12_29196",43
"Ccnc_29197",47
"Zfp318_29198",3
"Ndc80_29199",477
"Plod3_29200",14
"Xpc_29201",5
"Mrps16_29202",1435
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",46
"H2bc4_29206",399
"Snurf_29207",6
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",242
"Bid_29213",49
"Mcm2_29214",72
"Ralb_29215",293
"Cpb1_29216",0
"Tcl1_29217",5
"Lhcgr_29218",3
"Cdca8_29219",8
"Prkx_29220",90
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",128
"Evl_29224",120
"Deptor_29225",2
"Ptger2_29226",0
"Hspa2_29227",110
"Cblb_29228",420
"Ptprk_29229",720
"Dner_29230",0
"Pik3c2a_29231",172
"Vasp_29232",105
"Nup85_29233",592
"Mex3d_29234",326
"St3gal1_29235",9
"Zfp110_29236",128
"Ramp2_29237",1
"Cyp2e1_29238",0
"Tbpl1_29239",524
"Parpbp_29241",326
"Pfkp_29242",45
"Lamp3_29243",0
"Stx16_29244",222
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",3
"Trp53bp2_29248",67
"Uchl3_29249",50
"Prl2c2_29250",27
"Pcna-ps2_29251",10
"Kctd5_29252",47
"Map3k4_29253",34
"Spib_29254",0
"Snrpg_29255",1
"Topors_29256",104
"Cdc25b_29257",70
"Gclm_29258",85
"Myot_29259",0
"Myom2_29260",5
"Nfkbie_29261",25
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",14
"Npdc1_29266",92
"Pbx1_29267",21
"Unc5c_29268",0
"Dhx29_29269",47
"Copb2_29270",532
"Cbln1_29271",3
"Nipsnap1_29272",26
"Tm9sf3_29274",379
"Casq1_29275",0
"Slc2a10_29276",2
"Cdh2_29277",1
"Ecd_29278",328
"Dnajc9_29279",32
"Isoc1_29280",170
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",95
"Strbp_29284",408
"Fabp5_29285",1314
"C9_29286",2
"S100a11_29287",1879
"Psmc3ip_29288",56
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",4
"Gdnf_29292",0
"Pin1_29293",21
"Ncor2_29294",615
"Sult1b1_29295",0
"Dipk1a_29296",21
"Glod4_29298",142
"Gulp1_29299",641
"Arpp19_29300",14
"Fbl_29301",9
"Wdhd1_29302",340
"Rpa3_29303",471
"Wars_29304",50
"Hao2_29305",0
"Fdft1_29306",482
"Chka_29307",35
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
"Klhl13_29312",22
"Casp3_29313",219
"Man2b1_29315",519
"Prl2c3_29316",343
"Lamp1_29317",2463
"Atg3_29318",142
"S100a8_29319",0
"Mmp1a_29320",1
"Klhl14_29321",0
"Slc25a13_29322",360
"Nup133_29323",92
"Grin1_29324",0
"Kat6a_29325",692
"Pcdhac1_29326",0
"Slc10a2_29328",1
"Asna1_29329",60
"Alyref2_29330",3
"Hba-a2_29332",0
"Hba-a1_29333",0
"Banf1_29334",1377
"Kif1bp_29335",220
"Snrpb_29336",1372
"Mrps17_29337",129
"Car4_29338",0
"Rpl22_29339",2506
"Hsd17b6_29340",0
"Dynlrb1_29341",1121
"Gins2_29342",2
"Col2a1_29343",0
"Sult2a1_29344",0
"Smc1a_29345",318
"Xlr4b_29346",0
"Slc47a1_29347",0
"Sult2a5_29348",0
"Pde4c_29349",0
"Cyp4a31_29350",0
"Cyp4a14_29351",0
"Mcm6_29352",162
"Tbc1d10c_29353",2
"Arfip2_29354",169
"Cryba1_29355",2
"Cxcl2_29356",0
"Sumf2_29357",19
"Gabra1_29358",0
"Btg2_29359",45
"Mtx2_29360",477
"Cyp11a1_29361",0
"Tspan3_29362",342
"Eno2_29363",11
"Tceal9_29364",4867
"Apoa5_29365",0
"Acot10_29366",1
"Serpina3n_29367",2
"Saa1_29368",0
"Tcfl5_29369",0
"Klrb1a_29370",0
"Dtl_29371",242
"Hbb-y_29372",0
"Yap1_29373",229
"Ripk3_29374",345
"Tert_29375",3
"Acadvl_29377",78
"Nos1_29378",0
"F2r_29379",760
"Sh3bp5_29381",134
"Fabp1_29382",0
"Hoxb5_29383",151
"Ccne2_29384",40
"Rrp8_29385",35
"Slc18a2_29386",0
"Mllt11_29387",34
"Tfdp1_29388",634
"Clic4_29389",552
"Birc2_29390",134
"Aqp1_29391",0
"Cela2a_29392",5
"Gxylt1_29393",268
"Arxes2_29394",40
"Cog7_29395",40
"Hp_29396",0
"Slc22a7_29397",0
"Pbdc1_29398",960
"Ubr7_29399",326
"H2bc7_29400",60
"Mrps6_29401",645
"Mylk4_29402",0
"Armcx4_29403",13
"Fbxo5_29404",391
"Exosc4_29405",51
"Msh6_29406",167
"Entpd8_29407",0
"Ext1_29408",1160
"Asb14_29409",0
"Mast2_29410",74
"Fgfr2_29411",43
"Samd9l_29412",84
"Abcd1_29413",51
"Smarcc1_29414",1239
"Slc6a8_29415",408
"Hoxb6_29416",48
"Ces2f_29417",0
"Prr7_29418",5
"Pafah1b1_29419",8
"Grb2_29420",0
"Clstn1_29421",1083
"Rgs2_29422",1
"Slc22a1_29423",0
"Ei24_29424",4
"Rbm6_29425",166
"Slc7a6_29426",99
"Col1a1_29427",5535
"Acaa1a_29428",206
"Orc6_29429",1448
"Igf2r_29430",20
"Cxcl10_29431",10
"Ndufa5_29432",0
"Psme2_29433",2
"Ddit4_29434",18
"Abcb1a_29435",20
"Lef1_29436",0
"Hadh_29437",635
"Tmprss6_29438",0
"Capg_29439",354
"Kng1_29440",0
"Grwd1_29441",0
"Prdx1_29442",2838
"Hdc_29443",1
"Ano10_29445",107
"Mcm8_29446",81
"Igfbp7_29447",87
"Cela3a_29448",0
"Prkag1_29449",381
"Ceacam1_29450",0
"Mapkapk3_29451",0
"Tor1a_29452",245
"Ephx1_29453",822
"Relb_29454",88
"E2f1_29455",214
"Pcdh8_29456",0
"Col8a1_29457",558
"St7_29458",104
"Eno3_29459",81
"Irf6_29460",0
"Trav9d-3_29461",0
"Mmp9_29462",0
"Pcdha1_29463",2
"AA415038_29464",195
"Sorbs3_29465",37
"Cyp3a44_29466",1
"Elac2_29467",3
"Cd5_29468",0
"Gli2_29469",0
"Cpsf1_29470",155
"Prps1l3_29471",13
"Spcs3_29472",3255
"Tsku_29473",9
"Zfp960_29475",126
"Plcxd3_29476",0
"Ccnb2_29477",407
"Egr2_29478",0
"Dennd2d_29479",0
"Atp5e_29480",1394
"Cryz_29482",280
"Arhgap11a_29483",10
"Oxa1l_29484",0
"Rad51c_29485",152
"Sycn_29486",0
"Mapkapk5_29487",11
"Hs6st2_29488",2526
"Fis1_29489",149
"Cd300lb_29490",0
"Cgrrf1_29491",157
"Tcf19_29492",65
"Pnkp_29493",60
"Trp53inp2_29494",14
"Parp1_29495",91
"Dclre1c_29496",0
"Sept5_29497",584
"Fstl5_29498",0
"Pf4_29499",0
"Cxcl3_29500",0
"Cxcl1_29501",0
"Pde6b_29502",0
"Nqo1_29503",1448
"Puf60_29504",1544
"F5_29505",0
"Vegfa_29506",10
"Fkbp4_29507",2279
"Cox6b1_29508",321
"Decr1_29509",154
"Oosp1_29510",0
"Baat_29511",1
"Serpina3k_29512",1
"Cog2_29513",33
"Syt11_29514",13
"Stxbp2_29515",8
"Ska3_29516",7
"Aldob_29517",0
"Iglc2_29518",1
"Hspa1l_29519",0
"Dbh_29520",0
"Igfbp6_29521",28
"Plk4_29522",24
"Cyp2w1_29523",0
"Grm1_29524",0
"Krt18_29525",1
"Mpc2_29526",47
"Tuba4a_29527",222
"F11_29528",0
"Slc39a7_29529",465
"Gzme_29530",5
"Klf4_29531",33
"Stap2_29532",0
"Ctnnal1_29533",574
"Prss2_29534",0
"Gpm6b_29535",0
"Pde6g_29536",0
"Gm20831_29537",18
"Mip_29538",0
"Acot9_29539",604
"Rad51ap1_29540",230
"Atp5b_29541",735
"Clk2_29542",58
"Usp14_29543",221
"Skp1a_29544",1638
"Sgcb_29545",543
"Stil_29546",60
"Maob_29547",0
"Cdh7_29548",0
"Lyn_29549",48
"Sprr2a3_29550",0
"Psen1_29551",96
"Kif18b_29552",337
"Gemin6_29553",130
"Mtmr2_29554",146
"Sox17_29555",0
"Lypla1_29556",159
"Krt1_29557",0
"Dffa_29558",4
"Mup3_29559",0
"Mup19_29560",0
"Trib3_29561",160
"Gdf7_29562",0
"Pdha1_29563",797
"Fen1_29564",122
"Bst2_29565",59
"Scrn1_29566",555
"Iars2_29567",29
"Ccl9_29568",0
"Elp1_29569",69
"Xiap_29570",0
"Rpa2_29571",29
"Crp_29572",0
"Rfc5_29573",9
"Nucb2_29574",491
"Fbxo11_29575",15
"Polr1c_29576",500
"Foxo4_29577",46
"Slc2a2_29578",0
"Stx1a_29579",50
"Rbp3_29580",0
"Cacybp_29581",947
"Tslp_29582",271
"Sgcg_29583",0
"Ruvbl1_29584",641
"Htr5a_29585",0
"Rassf5_29586",76
"Tsen2_29587",17
"Mapk1_29588",53
"Ncbp2_29589",28
"Abcf1_29590",144
"Atp2c1_29591",56
"Scp2_29592",134
"Vbp1_29593",1433
"Plg_29594",0
"Snrpe_29595",19
"Hk1_29596",277
"Bloc1s1_29597",711
"Nmt1_29598",234
"Prkacb_29599",93
"Pdlim2_29600",0
"Pkig_29601",2
"Edn1_29602",3
"Rrm2_29603",84
"Elovl2_29604",0
"Lgals8_29605",204
"Nr2f2_29606",324
"Pex11a_29607",0
"Gdpd3_29608",0
"Pik3r3_29609",179
"Opn1sw_29610",0
"Bsg_29611",0
"Sytl2_29612",0
"Pdcd11_29613",19
"Insl3_29614",0
"Hmgcs2_29615",0
"Aaas_29616",4
"Dck_29617",10
"Pramel3_29618",3
"Phpt1_29619",0
"Aspn_29620",1
"Il1f9_29621",2
"4833414E09RIK_29622",1343
"Clec4e_29623",0
"Atad3a_29624",236
"Klhdc8b_29625",4
"Znrd1_29627",262
"Ins2_29628",0
"Pantr1_29629",0
"S100a13_29630",0
"Nsun2_29631",561
"Atp5md_29632",660
"Xlr3a_29633",81
"P4htm_29634",1
"Cd44_29635",321
"AW112010_29636",8
"Aimp1_29637",465
"Col6a2_29638",85
"Capn1_29639",105
"Apol7c_29640",0
"Fzd2_29641",79
"Cyp19a1_29642",0
"Crkl_29643",156
"Pik3c2b_29644",12
"Fat1_29645",1361
"Cherp_29646",6
"Por_29647",54
"Ngb_29648",7
"Cd320_29649",11
"H2-T3_29650",0
"Hspa5_29651",4086
"Zfp980_29652",0
"Cnksr3_29653",23
"Dcpp3_29654",0
"Prdx3_29656",431
"Steap4_29657",0
"Hells_29658",1212
"Ube2a_29659",219
"Dnm1_29660",3
"Cyp2c55_29661",3
"Dusp14_29663",13
"Lsm2_29664",287
"Chgb_29666",0
"Gas5_29667",3
"Greb1_29668",0
"Csprs_29669",3
"Fkbp5_29670",548
"Ugt2b35_29671",0
"G6pc_29672",0
"Car1_29673",0
"Trdn_29674",0
"Rps6_29675",1855
"Gap43_29676",2
"Tubg1_29677",336
"Ccnh_29679",243
"Casp7_29680",12
"Ces2d-ps_29681",4
