"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",30
"Nme1_29042",2595
"Ctsd_29043",34
"Camk1_29044",174
"Epb41l2_29045",39
"Rbfox1_29046",0
"Mup16_29047",3
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",240
"Yars2_29051",28
"Tmem109_29052",346
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",529
"Metrn_29056",8
"Serpina9_29057",0
"Sgo1_29058",302
"Degs1_29059",1251
"Snx7_29060",124
"H2-Q7_29061",0
"Cdkn2b_29062",14
"Snap25_29063",0
"Atf1_29064",630
"Lrat_29065",0
"Dmtf1_29066",48
"Psmb8_29067",3
"Procr_29068",16
"Ppox_29069",33
"Smc2_29071",13
"Cyp4a12a_29072",0
"Prss23_29074",329
"Ero1l_29075",1975
"Panx1_29076",123
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",25
"Scg2_29080",0
"Prkg1_29081",5
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",6
"Try5_29086",0
"Ifitm3_29087",2765
"Cyp11b1_29088",0
"Cdk6_29089",249
"Fgf21_29090",10
"Ghr_29091",274
"Ugt2b35_29092",0
"Nup93_29093",305
"Actn3_29094",0
"Cat_29095",785
"Cyb561_29096",1
"Wfs1_29097",62
"Gstm2_29098",719
"Fhl2_29099",87
"Nat1_29100",0
"Zmym2_29101",1064
"Il6_29102",3
"Hmgcr_29103",5
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",16
"Cep57_29107",85
"Slc5a5_29108",0
"Gadd45a_29109",394
"Zfp131_29110",26
"Cavin4_29112",7
"Cct6a_29113",2180
"Abl1_29114",503
"Appbp2_29115",145
"Mcm4_29116",43
"Nck1_29117",48
"Reg1_29118",0
"Eif4g1_29119",1566
"Tgtp2_29120",14
"Triap1_29121",26
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",2
"Cflar_29126",27
"Asah1_29127",1820
"Sele_29128",3
"Kif11_29129",231
"Chp1_29131",414
"B3gnt9_29132",51
"Bcl7b_29133",14
"Cul1_29134",769
"Lmod2_29135",0
"Arl1_29136",309
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",819
"B930025B16RIK_29140",24
"Gli1_29141",0
"Ddit3_29142",156
"Prr15l_29143",3
"Cltc_29144",47
"Arnt2_29145",2
"Slc27a1_29146",14
"Nup88_29147",806
"Ndufv3_29149",213
"Srd5a1_29150",7
"Ube3c_29151",5
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",820
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",82
"Stmn1_29158",0
"Glul_29159",3
"Iglc2_29160",3
"Ikzf1_29161",0
"Ankrd10_29162",177
"Tomm34_29163",203
"Eapp_29164",649
"Zeb2_29165",28
"Ugt1a6b_29166",17
"Cybb_29167",0
"Clk1_29168",382
"Sumo1_29169",50
"Ugt1a6a_29170",542
"Ugt1a7c_29171",250
"Slco2b1_29172",0
"Cops5_29173",1656
"Csk_29174",48
"Cyp1a2_29175",0
"Thap11_29176",4
"Cd55_29177",4
"Zzz3_29178",105
"Tnnt3_29180",6
"Mest_29181",0
"Ifi35_29182",9
"Psmd9_29183",254
"B4galt1_29184",45
"Gabrg2_29185",0
"Chtf18_29186",40
"2210016H18RIK_29188",9
"Cmpk2_29189",14
"Dynll1_29190",2
"Kctd10_29191",824
"Pebp1_29192",265
"Cfh_29193",38
"Sdc1_29194",37
"Sccpdh_29195",91
"Arhgef12_29196",35
"Ccnc_29197",49
"Zfp318_29198",0
"Ndc80_29199",362
"Plod3_29200",9
"Xpc_29201",2
"Mrps16_29202",1093
"Gm43302_29203",6
"Serpina3m_29204",2
"Spdl1_29205",37
"H2bc4_29206",504
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",238
"Bid_29213",63
"Mcm2_29214",138
"Ralb_29215",192
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",13
"Prkx_29220",107
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",107
"Evl_29224",183
"Deptor_29225",2
"Ptger2_29226",0
"Hspa2_29227",88
"Cblb_29228",427
"Ptprk_29229",711
"Dner_29230",0
"Pik3c2a_29231",119
"Vasp_29232",77
"Nup85_29233",525
"Mex3d_29234",298
"St3gal1_29235",8
"Zfp110_29236",101
"Ramp2_29237",2
"Cyp2e1_29238",0
"Tbpl1_29239",447
"Parpbp_29241",538
"Pfkp_29242",24
"Lamp3_29243",0
"Stx16_29244",140
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",2
"Trp53bp2_29248",63
"Uchl3_29249",99
"Prl2c2_29250",39
"Pcna-ps2_29251",14
"Kctd5_29252",42
"Map3k4_29253",42
"Spib_29254",0
"Snrpg_29255",0
"Topors_29256",78
"Cdc25b_29257",109
"Gclm_29258",42
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",16
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",6
"Npdc1_29266",94
"Pbx1_29267",37
"Unc5c_29268",0
"Dhx29_29269",53
"Copb2_29270",452
"Cbln1_29271",1
"Nipsnap1_29272",23
"Tm9sf3_29274",585
"Casq1_29275",0
"Slc2a10_29276",5
"Cdh2_29277",6
"Ecd_29278",216
"Dnajc9_29279",65
"Isoc1_29280",96
"Rbm22_29281",3
"Zfp82_29282",0
"Creb1_29283",86
"Strbp_29284",364
"Fabp5_29285",1493
"C9_29286",2
"S100a11_29287",1690
"Psmc3ip_29288",79
"Fabp4_29289",2
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",8
"Ncor2_29294",561
"Sult1b1_29295",0
"Dipk1a_29296",82
"Glod4_29298",139
"Gulp1_29299",636
"Arpp19_29300",5
"Fbl_29301",9
"Wdhd1_29302",261
"Rpa3_29303",408
"Wars_29304",36
"Hao2_29305",0
"Fdft1_29306",892
"Chka_29307",53
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
