E5,Counts
ENSDARG00000000001,2
ENSDARG00000000002,27
ENSDARG00000000018,10
ENSDARG00000000019,62
ENSDARG00000000068,15
ENSDARG00000000069,113
ENSDARG00000000086,90
ENSDARG00000000103,260
ENSDARG00000000142,13
ENSDARG00000000151,25
ENSDARG00000000161,18
ENSDARG00000000175,0
ENSDARG00000000183,64
ENSDARG00000000189,88
ENSDARG00000000212,331
ENSDARG00000000229,11
ENSDARG00000000241,60
ENSDARG00000000349,0
ENSDARG00000000369,2
ENSDARG00000000370,118
ENSDARG00000000380,13
ENSDARG00000000394,123
ENSDARG00000000423,17
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,29
ENSDARG00000000474,0
ENSDARG00000000476,5
ENSDARG00000000489,35
ENSDARG00000000503,278
ENSDARG00000000516,0
ENSDARG00000000529,18
ENSDARG00000000540,37
ENSDARG00000000542,5
ENSDARG00000000551,16
ENSDARG00000000563,20255
ENSDARG00000000567,30
ENSDARG00000000568,22
ENSDARG00000000588,3
ENSDARG00000000606,0
ENSDARG00000000631,33
ENSDARG00000000638,0
ENSDARG00000000651,6
ENSDARG00000000656,0
ENSDARG00000000666,21
ENSDARG00000000690,5
ENSDARG00000000729,84
ENSDARG00000000730,15
ENSDARG00000000747,2
ENSDARG00000000760,19
ENSDARG00000000767,2
ENSDARG00000000779,54
ENSDARG00000000796,0
ENSDARG00000000804,7
ENSDARG00000000830,10
ENSDARG00000000837,95
ENSDARG00000000853,25
ENSDARG00000000857,3
ENSDARG00000000861,295
ENSDARG00000000887,3
ENSDARG00000000906,1
ENSDARG00000000935,33
ENSDARG00000000943,25
ENSDARG00000000966,374
ENSDARG00000001014,430
ENSDARG00000001015,39
ENSDARG00000001057,22
ENSDARG00000001127,31
ENSDARG00000001129,169
ENSDARG00000001154,21
ENSDARG00000001162,52
ENSDARG00000001169,0
ENSDARG00000001210,7
ENSDARG00000001220,143
ENSDARG00000001234,21
ENSDARG00000001241,56
ENSDARG00000001244,137
ENSDARG00000001249,1
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,7
ENSDARG00000001354,4
ENSDARG00000001414,2
ENSDARG00000001431,772
ENSDARG00000001437,12
ENSDARG00000001442,16
ENSDARG00000001447,13
ENSDARG00000001452,6
ENSDARG00000001463,9
ENSDARG00000001470,52
ENSDARG00000001498,0
ENSDARG00000001549,37
ENSDARG00000001557,27
ENSDARG00000001558,16
ENSDARG00000001559,25
ENSDARG00000001572,0
ENSDARG00000001578,36
ENSDARG00000001621,20
ENSDARG00000001634,93
ENSDARG00000001656,0
ENSDARG00000001676,28
ENSDARG00000001686,17
ENSDARG00000001710,65
ENSDARG00000001712,2
ENSDARG00000001721,0
ENSDARG00000001729,92
ENSDARG00000001733,2
ENSDARG00000001734,11
ENSDARG00000001754,53
ENSDARG00000001760,68
ENSDARG00000001767,0
ENSDARG00000001769,36
ENSDARG00000001771,0
ENSDARG00000001776,10
ENSDARG00000001777,66
ENSDARG00000001781,0
ENSDARG00000001782,2
ENSDARG00000001785,9
ENSDARG00000001788,130
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,18
ENSDARG00000001817,7
ENSDARG00000001818,191
ENSDARG00000001825,2
ENSDARG00000001829,70
ENSDARG00000001835,3
ENSDARG00000001857,212
ENSDARG00000001859,0
ENSDARG00000001870,805
ENSDARG00000001873,19
ENSDARG00000001879,37
ENSDARG00000001880,9
ENSDARG00000001881,5
ENSDARG00000001882,16
ENSDARG00000001888,30
ENSDARG00000001889,97
ENSDARG00000001890,115
ENSDARG00000001891,2
ENSDARG00000001897,27
ENSDARG00000001898,9
ENSDARG00000001906,0
ENSDARG00000001909,2
ENSDARG00000001910,70
ENSDARG00000001912,7
ENSDARG00000001913,12
ENSDARG00000001929,24
ENSDARG00000001930,11
ENSDARG00000001933,0
ENSDARG00000001937,5
ENSDARG00000001939,22
ENSDARG00000001940,30
ENSDARG00000001950,657
ENSDARG00000001953,11
ENSDARG00000001968,103
ENSDARG00000001969,14
ENSDARG00000001971,10
ENSDARG00000001975,13
ENSDARG00000001976,16
ENSDARG00000001993,141
ENSDARG00000001994,168
ENSDARG00000001999,13
ENSDARG00000002002,8
ENSDARG00000002006,7
ENSDARG00000002013,25
ENSDARG00000002016,14
ENSDARG00000002020,22
ENSDARG00000002021,2
ENSDARG00000002026,37
ENSDARG00000002031,0
ENSDARG00000002037,4
ENSDARG00000002060,4
ENSDARG00000002071,60
ENSDARG00000002077,9
ENSDARG00000002082,40
ENSDARG00000002084,90
ENSDARG00000002097,8
ENSDARG00000002127,67
ENSDARG00000002128,10
ENSDARG00000002131,92
ENSDARG00000002165,7
ENSDARG00000002167,31
ENSDARG00000002168,9
ENSDARG00000002172,14
ENSDARG00000002174,5
ENSDARG00000002184,25
ENSDARG00000002190,79
ENSDARG00000002192,39
ENSDARG00000002193,514
ENSDARG00000002194,1
ENSDARG00000002196,36
ENSDARG00000002197,28
ENSDARG00000002204,20
ENSDARG00000002210,23
ENSDARG00000002213,6
ENSDARG00000002215,23
ENSDARG00000002216,16
ENSDARG00000002217,50
ENSDARG00000002219,2
ENSDARG00000002220,10
ENSDARG00000002230,46
ENSDARG00000002231,22
ENSDARG00000002235,102
