E10,Counts
ENSDARG00000000001,0
ENSDARG00000000002,3
ENSDARG00000000018,0
ENSDARG00000000019,12
ENSDARG00000000068,0
ENSDARG00000000069,30
ENSDARG00000000086,27
ENSDARG00000000103,15
ENSDARG00000000142,0
ENSDARG00000000151,4
ENSDARG00000000161,0
ENSDARG00000000175,3
ENSDARG00000000183,14
ENSDARG00000000189,7
ENSDARG00000000212,29
ENSDARG00000000229,0
ENSDARG00000000241,7
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,10
ENSDARG00000000380,0
ENSDARG00000000394,5
ENSDARG00000000423,0
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,6
ENSDARG00000000503,20
ENSDARG00000000516,0
ENSDARG00000000529,2
ENSDARG00000000540,0
ENSDARG00000000542,0
ENSDARG00000000551,0
ENSDARG00000000563,2084
ENSDARG00000000567,0
ENSDARG00000000568,0
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,0
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,3
ENSDARG00000000690,4
ENSDARG00000000729,0
ENSDARG00000000730,1
ENSDARG00000000747,0
ENSDARG00000000760,0
ENSDARG00000000767,0
ENSDARG00000000779,16
ENSDARG00000000796,5
ENSDARG00000000804,0
ENSDARG00000000830,0
ENSDARG00000000837,4
ENSDARG00000000853,0
ENSDARG00000000857,0
ENSDARG00000000861,29
ENSDARG00000000887,3
ENSDARG00000000906,0
ENSDARG00000000935,0
ENSDARG00000000943,0
ENSDARG00000000966,29
ENSDARG00000001014,28
ENSDARG00000001015,2
ENSDARG00000001057,6
ENSDARG00000001127,2
ENSDARG00000001129,12
ENSDARG00000001154,1
ENSDARG00000001162,4
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,3
ENSDARG00000001234,14
ENSDARG00000001241,30
ENSDARG00000001244,6
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,0
ENSDARG00000001354,0
ENSDARG00000001414,8
ENSDARG00000001431,47
ENSDARG00000001437,1
ENSDARG00000001442,0
ENSDARG00000001447,3
ENSDARG00000001452,4
ENSDARG00000001463,0
ENSDARG00000001470,2
ENSDARG00000001498,0
ENSDARG00000001549,0
ENSDARG00000001557,0
ENSDARG00000001558,0
ENSDARG00000001559,2
ENSDARG00000001572,0
ENSDARG00000001578,0
ENSDARG00000001621,0
ENSDARG00000001634,3
ENSDARG00000001656,0
ENSDARG00000001676,0
ENSDARG00000001686,0
ENSDARG00000001710,2
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,0
ENSDARG00000001733,3
ENSDARG00000001734,0
ENSDARG00000001754,0
ENSDARG00000001760,4
ENSDARG00000001767,0
ENSDARG00000001769,6
ENSDARG00000001771,0
ENSDARG00000001776,0
ENSDARG00000001777,1
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,0
ENSDARG00000001788,6
ENSDARG00000001803,0
ENSDARG00000001804,0
ENSDARG00000001807,0
ENSDARG00000001817,0
ENSDARG00000001818,17
ENSDARG00000001825,0
ENSDARG00000001829,6
ENSDARG00000001835,0
ENSDARG00000001857,3
ENSDARG00000001859,0
ENSDARG00000001870,28
ENSDARG00000001873,0
ENSDARG00000001879,1
ENSDARG00000001880,3
ENSDARG00000001881,0
ENSDARG00000001882,4
ENSDARG00000001888,2
ENSDARG00000001889,1
ENSDARG00000001890,2
ENSDARG00000001891,0
ENSDARG00000001897,0
ENSDARG00000001898,0
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,14
ENSDARG00000001912,0
ENSDARG00000001913,1
ENSDARG00000001929,0
ENSDARG00000001930,0
ENSDARG00000001933,0
ENSDARG00000001937,0
ENSDARG00000001939,0
ENSDARG00000001940,0
ENSDARG00000001950,35
ENSDARG00000001953,12
ENSDARG00000001968,2
ENSDARG00000001969,0
ENSDARG00000001971,0
ENSDARG00000001975,0
ENSDARG00000001976,0
ENSDARG00000001993,0
ENSDARG00000001994,25
ENSDARG00000001999,3
ENSDARG00000002002,0
ENSDARG00000002006,0
ENSDARG00000002013,8
ENSDARG00000002016,0
ENSDARG00000002020,42
ENSDARG00000002021,0
ENSDARG00000002026,0
ENSDARG00000002031,0
ENSDARG00000002037,0
ENSDARG00000002060,0
ENSDARG00000002071,0
ENSDARG00000002077,0
ENSDARG00000002082,8
ENSDARG00000002084,5
ENSDARG00000002097,0
ENSDARG00000002127,0
ENSDARG00000002128,0
ENSDARG00000002131,30
ENSDARG00000002165,0
ENSDARG00000002167,4
ENSDARG00000002168,0
ENSDARG00000002172,0
ENSDARG00000002174,0
ENSDARG00000002184,0
ENSDARG00000002190,12
ENSDARG00000002192,0
ENSDARG00000002193,74
ENSDARG00000002194,0
ENSDARG00000002196,0
ENSDARG00000002197,2
ENSDARG00000002204,0
ENSDARG00000002210,0
ENSDARG00000002213,0
ENSDARG00000002215,2
ENSDARG00000002216,4
ENSDARG00000002217,8
ENSDARG00000002219,0
ENSDARG00000002220,0
ENSDARG00000002230,0
ENSDARG00000002231,13
ENSDARG00000002235,0
ENSDARG00000002240,10
ENSDARG00000002241,0
ENSDARG00000002249,0
ENSDARG00000002255,0
ENSDARG00000002259,0
ENSDARG00000002264,0
ENSDARG00000002267,0
ENSDARG00000002271,5
ENSDARG00000002285,0
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,5
ENSDARG00000002299,0
ENSDARG00000002300,0
ENSDARG00000002304,0
ENSDARG00000002305,5
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,2
ENSDARG00000002333,2
ENSDARG00000002336,2
ENSDARG00000002339,0
ENSDARG00000002344,39
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,5
ENSDARG00000002365,1
ENSDARG00000002369,0
ENSDARG00000002377,0
ENSDARG00000002385,12
ENSDARG00000002391,0
ENSDARG00000002394,0
ENSDARG00000002396,1
ENSDARG00000002401,0
ENSDARG00000002402,0
ENSDARG00000002403,0
ENSDARG00000002405,1
ENSDARG00000002406,0
ENSDARG00000002411,0
ENSDARG00000002445,4
ENSDARG00000002463,0
ENSDARG00000002467,0
ENSDARG00000002479,2
ENSDARG00000002483,0
ENSDARG00000002487,0
ENSDARG00000002494,0
ENSDARG00000002506,0
ENSDARG00000002507,2
ENSDARG00000002508,1
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,0
ENSDARG00000002533,0
ENSDARG00000002536,3
ENSDARG00000002538,1
ENSDARG00000002546,0
ENSDARG00000002549,0
ENSDARG00000002552,5
ENSDARG00000002564,4
