F9,Counts
ENSDARG00000000001,0
ENSDARG00000000002,33
ENSDARG00000000018,57
ENSDARG00000000019,164
ENSDARG00000000068,22
ENSDARG00000000069,147
ENSDARG00000000086,287
ENSDARG00000000103,536
ENSDARG00000000142,9
ENSDARG00000000151,48
ENSDARG00000000161,32
ENSDARG00000000175,20
ENSDARG00000000183,247
ENSDARG00000000189,191
ENSDARG00000000212,730
ENSDARG00000000229,59
ENSDARG00000000241,134
ENSDARG00000000349,0
ENSDARG00000000369,24
ENSDARG00000000370,209
ENSDARG00000000380,30
ENSDARG00000000394,138
ENSDARG00000000423,33
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,16
ENSDARG00000000489,79
ENSDARG00000000503,752
ENSDARG00000000516,0
ENSDARG00000000529,27
ENSDARG00000000540,105
ENSDARG00000000542,19
ENSDARG00000000551,29
ENSDARG00000000563,51805
ENSDARG00000000567,108
ENSDARG00000000568,52
ENSDARG00000000588,9
ENSDARG00000000606,25
ENSDARG00000000631,63
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,74
ENSDARG00000000690,17
ENSDARG00000000729,75
ENSDARG00000000730,12
ENSDARG00000000747,1
ENSDARG00000000760,33
ENSDARG00000000767,1
ENSDARG00000000779,107
ENSDARG00000000796,27
ENSDARG00000000804,3
ENSDARG00000000830,16
ENSDARG00000000837,55
ENSDARG00000000853,84
ENSDARG00000000857,23
ENSDARG00000000861,349
ENSDARG00000000887,3
ENSDARG00000000906,3
ENSDARG00000000935,21
ENSDARG00000000943,106
ENSDARG00000000966,768
ENSDARG00000001014,775
ENSDARG00000001015,129
ENSDARG00000001057,65
ENSDARG00000001127,124
ENSDARG00000001129,288
ENSDARG00000001154,76
ENSDARG00000001162,123
ENSDARG00000001169,0
ENSDARG00000001210,11
ENSDARG00000001220,471
ENSDARG00000001234,65
ENSDARG00000001241,81
ENSDARG00000001244,327
ENSDARG00000001249,13
ENSDARG00000001259,6
ENSDARG00000001303,0
ENSDARG00000001313,46
ENSDARG00000001354,22
ENSDARG00000001414,18
ENSDARG00000001431,1518
ENSDARG00000001437,56
ENSDARG00000001442,7
ENSDARG00000001447,20
ENSDARG00000001452,11
ENSDARG00000001463,101
ENSDARG00000001470,59
ENSDARG00000001498,1
ENSDARG00000001549,277
ENSDARG00000001557,22
ENSDARG00000001558,73
ENSDARG00000001559,395
ENSDARG00000001572,0
ENSDARG00000001578,66
ENSDARG00000001621,39
ENSDARG00000001634,214
ENSDARG00000001656,0
ENSDARG00000001676,117
ENSDARG00000001686,5
ENSDARG00000001710,130
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,244
ENSDARG00000001733,35
ENSDARG00000001734,22
ENSDARG00000001754,59
