"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",21
"Nme1_29042",1807
"Ctsd_29043",10
"Camk1_29044",169
"Epb41l2_29045",60
"Rbfox1_29046",0
"Mup16_29047",2
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",230
"Yars2_29051",5
"Tmem109_29052",359
"Pcna_29053",1
"Abcg1_29054",0
"Tes_29055",564
"Metrn_29056",15
"Serpina9_29057",0
"Sgo1_29058",153
"Degs1_29059",708
"Snx7_29060",106
"H2-Q7_29061",1
"Cdkn2b_29062",6
"Snap25_29063",0
"Atf1_29064",388
"Lrat_29065",0
"Dmtf1_29066",30
"Psmb8_29067",1
"Procr_29068",11
"Ppox_29069",40
"Smc2_29071",6
"Cyp4a12a_29072",0
"Prss23_29074",168
"Ero1l_29075",1027
"Panx1_29076",70
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",14
"Scg2_29080",0
"Prkg1_29081",5
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",0
"Try5_29086",1
"Ifitm3_29087",1741
"Cyp11b1_29088",0
"Cdk6_29089",148
"Fgf21_29090",2
"Ghr_29091",190
"Ugt2b35_29092",0
"Nup93_29093",184
"Actn3_29094",0
"Cat_29095",629
"Cyb561_29096",0
"Wfs1_29097",6
"Gstm2_29098",522
"Fhl2_29099",62
"Nat1_29100",0
"Zmym2_29101",719
"Il6_29102",5
"Hmgcr_29103",2
"Hbb-bh1_29104",0
"Pxmp2_29105",2
"Wrb_29106",13
"Cep57_29107",32
"Slc5a5_29108",0
"Gadd45a_29109",192
"Zfp131_29110",23
"Cavin4_29112",15
"Cct6a_29113",1531
"Abl1_29114",509
"Appbp2_29115",56
"Mcm4_29116",38
"Nck1_29117",46
"Reg1_29118",0
"Eif4g1_29119",1185
"Tgtp2_29120",10
"Triap1_29121",13
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",0
"Cflar_29126",26
"Asah1_29127",1043
"Sele_29128",0
"Kif11_29129",185
"Chp1_29131",287
"B3gnt9_29132",20
"Bcl7b_29133",15
"Cul1_29134",447
"Lmod2_29135",0
"Arl1_29136",367
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",675
"B930025B16RIK_29140",7
"Gli1_29141",3
"Ddit3_29142",125
"Prr15l_29143",0
"Cltc_29144",22
"Arnt2_29145",3
"Slc27a1_29146",2
"Nup88_29147",583
"Ndufv3_29149",78
"Srd5a1_29150",5
"Ube3c_29151",0
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",526
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",40
"Stmn1_29158",2
"Glul_29159",7
"Iglc2_29160",2
"Ikzf1_29161",0
"Ankrd10_29162",163
"Tomm34_29163",141
"Eapp_29164",481
"Zeb2_29165",12
"Ugt1a6b_29166",1
"Cybb_29167",0
"Clk1_29168",179
"Sumo1_29169",46
"Ugt1a6a_29170",213
"Ugt1a7c_29171",172
"Slco2b1_29172",0
"Cops5_29173",1358
"Csk_29174",40
"Cyp1a2_29175",0
"Thap11_29176",4
"Cd55_29177",1
"Zzz3_29178",99
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",7
"Psmd9_29183",141
"B4galt1_29184",19
"Gabrg2_29185",0
"Chtf18_29186",30
"2210016H18RIK_29188",7
"Cmpk2_29189",11
"Dynll1_29190",0
"Kctd10_29191",581
"Pebp1_29192",186
"Cfh_29193",25
"Sdc1_29194",22
"Sccpdh_29195",51
"Arhgef12_29196",32
"Ccnc_29197",33
"Zfp318_29198",0
"Ndc80_29199",238
"Plod3_29200",3
"Xpc_29201",4
"Mrps16_29202",889
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",40
"H2bc4_29206",265
"Snurf_29207",5
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",173
"Bid_29213",49
"Mcm2_29214",63
"Ralb_29215",140
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",4
"Prkx_29220",71
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",72
"Evl_29224",92
"Deptor_29225",8
"Ptger2_29226",0
"Hspa2_29227",42
"Cblb_29228",292
"Ptprk_29229",485
"Dner_29230",0
"Pik3c2a_29231",68
"Vasp_29232",63
"Nup85_29233",376
"Mex3d_29234",175
"St3gal1_29235",12
"Zfp110_29236",91
"Ramp2_29237",1
"Cyp2e1_29238",0
"Tbpl1_29239",315
"Parpbp_29241",275
"Pfkp_29242",27
"Lamp3_29243",0
"Stx16_29244",123
"Cyp11b2_29245",0
"Dera_29246",1
"Ptger4_29247",5
"Trp53bp2_29248",46
"Uchl3_29249",51
"Prl2c2_29250",14
"Pcna-ps2_29251",8
"Kctd5_29252",36
"Map3k4_29253",29
"Spib_29254",0
"Snrpg_29255",2
"Topors_29256",35
"Cdc25b_29257",55
"Gclm_29258",36
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",24
"Myoz1_29262",0
"Rpe65_29263",2
"Eng_29264",9
"Npdc1_29266",81
"Pbx1_29267",10
"Unc5c_29268",0
"Dhx29_29269",28
"Copb2_29270",291
"Cbln1_29271",2
"Nipsnap1_29272",27
"Tm9sf3_29274",329
"Casq1_29275",0
"Slc2a10_29276",4
"Cdh2_29277",0
"Ecd_29278",153
"Dnajc9_29279",29
"Isoc1_29280",133
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",63
"Strbp_29284",262
"Fabp5_29285",1065
"C9_29286",5
"S100a11_29287",1043
"Psmc3ip_29288",38
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",22
"Ncor2_29294",328
"Sult1b1_29295",0
"Dipk1a_29296",23
"Glod4_29298",84
"Gulp1_29299",296
"Arpp19_29300",5
"Fbl_29301",2
"Wdhd1_29302",150
"Rpa3_29303",352
"Wars_29304",26
"Hao2_29305",0
"Fdft1_29306",613
"Chka_29307",45
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
