"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",37
"Nme1_29042",2859
"Ctsd_29043",13
"Camk1_29044",207
"Epb41l2_29045",40
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",700
"Yars2_29051",29
"Tmem109_29052",743
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",775
"Metrn_29056",1
"Serpina9_29057",0
"Sgo1_29058",131
"Degs1_29059",575
"Snx7_29060",117
"H2-Q7_29061",0
"Cdkn2b_29062",2
"Snap25_29063",0
"Atf1_29064",521
"Lrat_29065",0
"Dmtf1_29066",39
"Psmb8_29067",8
"Procr_29068",11
"Ppox_29069",22
"Smc2_29071",16
"Cyp4a12a_29072",0
"Prss23_29074",382
"Ero1l_29075",1062
"Panx1_29076",41
"Pnliprp1_29077",0
"Inmt_29078",1
"Atp6v1f_29079",2
"Scg2_29080",0
"Prkg1_29081",0
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",2
"Try5_29086",1
"Ifitm3_29087",2362
"Cyp11b1_29088",0
"Cdk6_29089",329
"Fgf21_29090",12
"Ghr_29091",176
"Ugt2b35_29092",0
"Nup93_29093",397
"Actn3_29094",0
"Cat_29095",624
"Cyb561_29096",0
"Wfs1_29097",3
"Gstm2_29098",410
"Fhl2_29099",205
"Nat1_29100",0
"Zmym2_29101",879
"Il6_29102",7
"Hmgcr_29103",11
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",35
"Cep57_29107",27
"Slc5a5_29108",1
"Gadd45a_29109",158
"Zfp131_29110",31
"Cavin4_29112",3
"Cct6a_29113",2195
"Abl1_29114",681
"Appbp2_29115",52
"Mcm4_29116",58
"Nck1_29117",73
"Reg1_29118",0
"Eif4g1_29119",1604
"Tgtp2_29120",3
"Triap1_29121",16
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",9
"Cflar_29126",19
"Asah1_29127",1722
"Sele_29128",0
"Kif11_29129",145
"Chp1_29131",365
"B3gnt9_29132",22
"Bcl7b_29133",18
"Cul1_29134",539
"Lmod2_29135",0
"Arl1_29136",709
"Ptpn1_29137",2
"Slc51a_29138",1
"Senp6_29139",1139
"B930025B16RIK_29140",21
"Gli1_29141",1
"Ddit3_29142",132
"Prr15l_29143",0
"Cltc_29144",34
"Arnt2_29145",0
"Slc27a1_29146",4
"Nup88_29147",760
"Ndufv3_29149",99
"Srd5a1_29150",0
"Ube3c_29151",1
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",386
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",89
"Stmn1_29158",0
"Glul_29159",3
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",403
"Tomm34_29163",177
"Eapp_29164",570
"Zeb2_29165",10
"Ugt1a6b_29166",1
"Cybb_29167",0
"Clk1_29168",212
"Sumo1_29169",100
"Ugt1a6a_29170",786
"Ugt1a7c_29171",418
"Slco2b1_29172",0
"Cops5_29173",1738
"Csk_29174",94
"Cyp1a2_29175",0
"Thap11_29176",1
"Cd55_29177",0
"Zzz3_29178",161
"Tnnt3_29180",0
"Mest_29181",1
"Ifi35_29182",10
"Psmd9_29183",181
"B4galt1_29184",30
"Gabrg2_29185",0
"Chtf18_29186",26
"2210016H18RIK_29188",11
"Cmpk2_29189",10
"Dynll1_29190",2
"Kctd10_29191",1025
"Pebp1_29192",150
"Cfh_29193",31
"Sdc1_29194",36
"Sccpdh_29195",55
"Arhgef12_29196",36
"Ccnc_29197",14
"Zfp318_29198",0
"Ndc80_29199",324
"Plod3_29200",7
"Xpc_29201",5
"Mrps16_29202",946
"Gm43302_29203",0
"Serpina3m_29204",1
"Spdl1_29205",44
"H2bc4_29206",193
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",2
"Zg16_29210",0
"Exosc7_29212",278
"Bid_29213",55
"Mcm2_29214",76
"Ralb_29215",231
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",6
"Prkx_29220",37
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",171
"Evl_29224",112
"Deptor_29225",1
"Ptger2_29226",0
"Hspa2_29227",74
"Cblb_29228",343
"Ptprk_29229",466
"Dner_29230",0
"Pik3c2a_29231",97
"Vasp_29232",333
"Nup85_29233",859
"Mex3d_29234",327
"St3gal1_29235",18
"Zfp110_29236",88
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",221
"Parpbp_29241",187
"Pfkp_29242",27
"Lamp3_29243",0
"Stx16_29244",158
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",1
"Trp53bp2_29248",83
"Uchl3_29249",59
"Prl2c2_29250",12
"Pcna-ps2_29251",6
"Kctd5_29252",72
"Map3k4_29253",45
"Spib_29254",3
"Snrpg_29255",0
"Topors_29256",76
"Cdc25b_29257",67
"Gclm_29258",33
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",17
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",14
"Npdc1_29266",146
"Pbx1_29267",30
"Unc5c_29268",0
"Dhx29_29269",35
"Copb2_29270",466
"Cbln1_29271",0
"Nipsnap1_29272",35
"Tm9sf3_29274",327
"Casq1_29275",0
"Slc2a10_29276",1
"Cdh2_29277",13
"Ecd_29278",317
"Dnajc9_29279",25
"Isoc1_29280",114
"Rbm22_29281",2
"Zfp82_29282",0
"Creb1_29283",44
"Strbp_29284",281
"Fabp5_29285",1374
"C9_29286",0
"S100a11_29287",1133
"Psmc3ip_29288",49
"Fabp4_29289",1
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",27
"Ncor2_29294",870
"Sult1b1_29295",0
"Dipk1a_29296",24
"Glod4_29298",159
"Gulp1_29299",310
"Arpp19_29300",8
"Fbl_29301",20
"Wdhd1_29302",434
"Rpa3_29303",374
"Wars_29304",30
"Hao2_29305",0
"Fdft1_29306",1074
"Chka_29307",54
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
