"gene","count"
"Bcat1_29039",1
"Laptm5_29040",0
"Skp2_29041",4
"Nme1_29042",1644
"Ctsd_29043",85
"Camk1_29044",310
"Epb41l2_29045",16
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",1
"Eef1a2_29049",0
"Phlda3_29050",542
"Yars2_29051",13
"Tmem109_29052",473
"Pcna_29053",0
"Abcg1_29054",2
"Tes_29055",664
"Metrn_29056",4
"Serpina9_29057",6
"Sgo1_29058",9
"Degs1_29059",309
"Snx7_29060",48
"H2-Q7_29061",2
"Cdkn2b_29062",9
"Snap25_29063",0
"Atf1_29064",464
"Lrat_29065",0
"Dmtf1_29066",87
"Psmb8_29067",5
"Procr_29068",2
"Ppox_29069",53
"Smc2_29071",0
"Cyp4a12a_29072",0
"Prss23_29074",123
"Ero1l_29075",922
"Panx1_29076",38
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",7
"Scg2_29080",2
"Prkg1_29081",7
"Cyp2f2_29082",0
"Pdgfb_29083",1
"Pdhx_29085",6
"Try5_29086",1
"Ifitm3_29087",749
"Cyp11b1_29088",0
"Cdk6_29089",209
"Fgf21_29090",10
"Ghr_29091",190
"Ugt2b35_29092",0
"Nup93_29093",120
"Actn3_29094",0
"Cat_29095",1802
"Cyb561_29096",0
"Wfs1_29097",31
"Gstm2_29098",169
"Fhl2_29099",68
"Nat1_29100",0
"Zmym2_29101",1058
"Il6_29102",4
"Hmgcr_29103",9
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",44
"Cep57_29107",13
"Slc5a5_29108",0
"Gadd45a_29109",1595
"Zfp131_29110",33
"Cavin4_29112",4
"Cct6a_29113",810
"Abl1_29114",631
"Appbp2_29115",37
"Mcm4_29116",13
"Nck1_29117",68
"Reg1_29118",0
"Eif4g1_29119",756
"Tgtp2_29120",2
"Triap1_29121",7
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",2
"Cflar_29126",25
"Asah1_29127",1378
"Sele_29128",1
"Kif11_29129",12
"Chp1_29131",272
