"gene","count"
"Bcat1_29039",2
"Laptm5_29040",0
"Skp2_29041",11
"Nme1_29042",809
"Ctsd_29043",20
"Camk1_29044",166
"Epb41l2_29045",8
"Rbfox1_29046",0
"Mup16_29047",1
"Mup13_29048",9
"Eef1a2_29049",1
"Phlda3_29050",338
"Yars2_29051",19
"Tmem109_29052",135
"Pcna_29053",1
"Abcg1_29054",0
"Tes_29055",362
"Metrn_29056",15
"Serpina9_29057",1
"Sgo1_29058",18
"Degs1_29059",283
"Snx7_29060",33
"H2-Q7_29061",2
"Cdkn2b_29062",0
"Snap25_29063",0
"Atf1_29064",368
"Lrat_29065",0
"Dmtf1_29066",69
"Psmb8_29067",2
"Procr_29068",8
"Ppox_29069",56
"Smc2_29071",2
"Cyp4a12a_29072",0
"Prss23_29074",63
"Ero1l_29075",1112
"Panx1_29076",35
"Pnliprp1_29077",2
"Inmt_29078",0
"Atp6v1f_29079",6
"Scg2_29080",0
"Prkg1_29081",14
"Cyp2f2_29082",0
"Pdgfb_29083",1
"Pdhx_29085",0
"Try5_29086",11
"Ifitm3_29087",492
"Cyp11b1_29088",0
"Cdk6_29089",194
"Fgf21_29090",10
"Ghr_29091",133
"Ugt2b35_29092",4
"Nup93_29093",74
"Actn3_29094",0
"Cat_29095",722
"Cyb561_29096",0
"Wfs1_29097",21
"Gstm2_29098",150
"Fhl2_29099",55
"Nat1_29100",0
"Zmym2_29101",482
"Il6_29102",14
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",52
"Cep57_29107",22
"Slc5a5_29108",0
"Gadd45a_29109",1045
"Zfp131_29110",31
"Cavin4_29112",13
"Cct6a_29113",1032
"Abl1_29114",303
"Appbp2_29115",28
"Mcm4_29116",9
"Nck1_29117",35
"Reg1_29118",0
"Eif4g1_29119",561
"Tgtp2_29120",7
"Triap1_29121",29
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",3
"Cflar_29126",28
"Asah1_29127",711
"Sele_29128",0
"Kif11_29129",3
"Chp1_29131",178
"B3gnt9_29132",25
"Bcl7b_29133",25
"Cul1_29134",256
"Lmod2_29135",0
"Arl1_29136",473
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",871
"B930025B16RIK_29140",12
"Gli1_29141",0
"Ddit3_29142",2462
"Prr15l_29143",0
"Cltc_29144",13
"Arnt2_29145",2
"Slc27a1_29146",25
"Nup88_29147",396
"Ndufv3_29149",67
"Srd5a1_29150",2
"Ube3c_29151",3
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",266
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",56
"Stmn1_29158",0
"Glul_29159",1
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",249
"Tomm34_29163",103
"Eapp_29164",406
"Zeb2_29165",9
"Ugt1a6b_29166",1
"Cybb_29167",1
"Clk1_29168",217
"Sumo1_29169",14
"Ugt1a6a_29170",513
"Ugt1a7c_29171",197
"Slco2b1_29172",0
"Cops5_29173",690
"Csk_29174",20
"Cyp1a2_29175",5
"Thap11_29176",5
"Cd55_29177",0
"Zzz3_29178",112
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",6
"Psmd9_29183",126
"B4galt1_29184",1
"Gabrg2_29185",0
"Chtf18_29186",10
"2210016H18RIK_29188",3
"Cmpk2_29189",12
"Dynll1_29190",2
"Kctd10_29191",1354
"Pebp1_29192",83
"Cfh_29193",41
"Sdc1_29194",20
"Sccpdh_29195",46
"Arhgef12_29196",51
"Ccnc_29197",13
"Zfp318_29198",0
"Ndc80_29199",62
"Plod3_29200",6
"Xpc_29201",6
"Mrps16_29202",696
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",6
"H2bc4_29206",399
"Snurf_29207",3
"Ly86_29208",0
"Cog4_29209",2
"Zg16_29210",0
"Exosc7_29212",115
"Bid_29213",31
"Mcm2_29214",7
"Ralb_29215",220
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",25
"Slco1c1_29221",1
"Mybpc2_29222",0
"AI506816_29223",152
"Evl_29224",49
"Deptor_29225",1
"Ptger2_29226",0
"Hspa2_29227",90
"Cblb_29228",258
"Ptprk_29229",247
