"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",16
"Nme1_29042",1194
"Ctsd_29043",45
"Camk1_29044",240
"Epb41l2_29045",6
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",450
"Yars2_29051",13
"Tmem109_29052",388
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",568
"Metrn_29056",1
"Serpina9_29057",2
"Sgo1_29058",28
"Degs1_29059",481
"Snx7_29060",58
"H2-Q7_29061",0
"Cdkn2b_29062",9
"Snap25_29063",0
"Atf1_29064",626
"Lrat_29065",0
"Dmtf1_29066",30
"Psmb8_29067",2
"Procr_29068",13
"Ppox_29069",48
"Smc2_29071",0
"Cyp4a12a_29072",0
"Prss23_29074",128
"Ero1l_29075",2087
"Panx1_29076",31
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",3
"Scg2_29080",0
"Prkg1_29081",6
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",2
"Try5_29086",5
"Ifitm3_29087",2192
"Cyp11b1_29088",0
"Cdk6_29089",180
"Fgf21_29090",0
"Ghr_29091",240
"Ugt2b35_29092",0
"Nup93_29093",84
"Actn3_29094",0
"Cat_29095",774
"Cyb561_29096",0
"Wfs1_29097",11
"Gstm2_29098",442
"Fhl2_29099",70
"Nat1_29100",0
"Zmym2_29101",1394
"Il6_29102",3
"Hmgcr_29103",14
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",23
"Cep57_29107",8
"Slc5a5_29108",6
"Gadd45a_29109",1120
"Zfp131_29110",25
"Cavin4_29112",2
"Cct6a_29113",866
"Abl1_29114",742
"Appbp2_29115",33
"Mcm4_29116",6
"Nck1_29117",37
"Reg1_29118",0
"Eif4g1_29119",899
"Tgtp2_29120",5
"Triap1_29121",11
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",10
"Cflar_29126",15
"Asah1_29127",1770
"Sele_29128",0
"Kif11_29129",8
"Chp1_29131",175
"B3gnt9_29132",13
"Bcl7b_29133",15
"Cul1_29134",399
"Lmod2_29135",0
"Arl1_29136",669
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",1026
"B930025B16RIK_29140",11
"Gli1_29141",0
"Ddit3_29142",172
"Prr15l_29143",0
"Cltc_29144",14
"Arnt2_29145",0
"Slc27a1_29146",12
"Nup88_29147",520
"Ndufv3_29149",120
"Srd5a1_29150",0
"Ube3c_29151",0
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",424
"Dlx1_29155",2
"Nrcam_29156",0
"Tab2_29157",32
"Stmn1_29158",0
"Glul_29159",3
"Iglc2_29160",0
"Ikzf1_29161",1
"Ankrd10_29162",308
"Tomm34_29163",160
"Eapp_29164",777
"Zeb2_29165",15
"Ugt1a6b_29166",8
"Cybb_29167",0
"Clk1_29168",160
"Sumo1_29169",79
"Ugt1a6a_29170",1148
"Ugt1a7c_29171",623
"Slco2b1_29172",0
"Cops5_29173",1308
"Csk_29174",60
"Cyp1a2_29175",0
"Thap11_29176",8
"Cd55_29177",1
"Zzz3_29178",142
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",14
"Psmd9_29183",154
"B4galt1_29184",20
"Gabrg2_29185",0
"Chtf18_29186",0
"2210016H18RIK_29188",6
"Cmpk2_29189",25
"Dynll1_29190",0
"Kctd10_29191",532
"Pebp1_29192",103
"Cfh_29193",64
"Sdc1_29194",16
"Sccpdh_29195",25
"Arhgef12_29196",33
"Ccnc_29197",19
"Zfp318_29198",1
"Ndc80_29199",52
"Plod3_29200",1
"Xpc_29201",4
"Mrps16_29202",1011
"Gm43302_29203",0
"Serpina3m_29204",4
"Spdl1_29205",0
"H2bc4_29206",629
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",115
"Bid_29213",41
"Mcm2_29214",11
"Ralb_29215",283
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",1
"Prkx_29220",37
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",83
"Evl_29224",49
"Deptor_29225",0
"Ptger2_29226",0
"Hspa2_29227",90
"Cblb_29228",418
"Ptprk_29229",354
"Dner_29230",2
"Pik3c2a_29231",125
"Vasp_29232",94
"Nup85_29233",143
"Mex3d_29234",278
"St3gal1_29235",24
"Zfp110_29236",90
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",224
"Parpbp_29241",20
"Pfkp_29242",33
"Lamp3_29243",0
"Stx16_29244",144
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",2
"Trp53bp2_29248",22
"Uchl3_29249",51
"Prl2c2_29250",0
"Pcna-ps2_29251",1
"Kctd5_29252",15
"Map3k4_29253",29
"Spib_29254",0
"Snrpg_29255",8
"Topors_29256",101
"Cdc25b_29257",3
"Gclm_29258",26
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",15
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",5
"Npdc1_29266",121
"Pbx1_29267",11
"Unc5c_29268",0
"Dhx29_29269",14
"Copb2_29270",353
"Cbln1_29271",0
"Nipsnap1_29272",22
"Tm9sf3_29274",140
"Casq1_29275",0
"Slc2a10_29276",0
"Cdh2_29277",8
"Ecd_29278",227
"Dnajc9_29279",3
"Isoc1_29280",73
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",47
"Strbp_29284",375
"Fabp5_29285",119
"C9_29286",0
"S100a11_29287",537
"Psmc3ip_29288",11
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",8
"Ncor2_29294",588
"Sult1b1_29295",0
"Dipk1a_29296",14
"Glod4_29298",140
"Gulp1_29299",573
"Arpp19_29300",1
"Fbl_29301",10
"Wdhd1_29302",34
"Rpa3_29303",120
"Wars_29304",13
"Hao2_29305",0
"Fdft1_29306",287
"Chka_29307",44
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
