"gene","count"
"Bcat1_29039",8
"Laptm5_29040",0
"Skp2_29041",19
"Nme1_29042",1176
"Ctsd_29043",60
"Camk1_29044",221
"Epb41l2_29045",20
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",396
"Yars2_29051",27
"Tmem109_29052",304
"Pcna_29053",0
"Abcg1_29054",4
"Tes_29055",480
"Metrn_29056",4
"Serpina9_29057",0
"Sgo1_29058",37
"Degs1_29059",1075
"Snx7_29060",67
"H2-Q7_29061",0
"Cdkn2b_29062",1
"Snap25_29063",0
"Atf1_29064",620
"Lrat_29065",0
"Dmtf1_29066",47
"Psmb8_29067",3
"Procr_29068",15
"Ppox_29069",44
"Smc2_29071",1
"Cyp4a12a_29072",0
"Prss23_29074",163
"Ero1l_29075",4783
"Panx1_29076",67
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",7
"Scg2_29080",0
"Prkg1_29081",10
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",2
"Try5_29086",10
"Ifitm3_29087",1946
"Cyp11b1_29088",0
"Cdk6_29089",143
"Fgf21_29090",8
"Ghr_29091",270
"Ugt2b35_29092",0
"Nup93_29093",109
"Actn3_29094",0
"Cat_29095",990
"Cyb561_29096",0
"Wfs1_29097",16
"Gstm2_29098",681
"Fhl2_29099",121
"Nat1_29100",0
"Zmym2_29101",1302
"Il6_29102",3
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",18
"Cep57_29107",40
"Slc5a5_29108",0
"Gadd45a_29109",1431
"Zfp131_29110",24
"Cavin4_29112",9
"Cct6a_29113",1612
"Abl1_29114",504
"Appbp2_29115",84
"Mcm4_29116",15
"Nck1_29117",40
"Reg1_29118",0
"Eif4g1_29119",1157
"Tgtp2_29120",5
"Triap1_29121",12
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",4
"Cflar_29126",28
"Asah1_29127",2096
"Sele_29128",1
"Kif11_29129",13
"Chp1_29131",282
"B3gnt9_29132",16
"Bcl7b_29133",37
"Cul1_29134",561
"Lmod2_29135",0
"Arl1_29136",593
"Ptpn1_29137",2
"Slc51a_29138",0
"Senp6_29139",1186
"B930025B16RIK_29140",20
"Gli1_29141",0
"Ddit3_29142",609
"Prr15l_29143",0
"Cltc_29144",25
"Arnt2_29145",0
"Slc27a1_29146",8
"Nup88_29147",744
"Ndufv3_29149",105
"Srd5a1_29150",3
"Ube3c_29151",1
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",777
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",80
"Stmn1_29158",0
"Glul_29159",4
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",332
"Tomm34_29163",220
"Eapp_29164",745
"Zeb2_29165",15
"Ugt1a6b_29166",7
"Cybb_29167",0
"Clk1_29168",315
"Sumo1_29169",51
"Ugt1a6a_29170",830
"Ugt1a7c_29171",484
"Slco2b1_29172",0
"Cops5_29173",1529
"Csk_29174",38
"Cyp1a2_29175",0
"Thap11_29176",5
"Cd55_29177",5
"Zzz3_29178",151
"Tnnt3_29180",1
"Mest_29181",0
"Ifi35_29182",5
"Psmd9_29183",227
"B4galt1_29184",37
"Gabrg2_29185",0
"Chtf18_29186",5
"2210016H18RIK_29188",2
"Cmpk2_29189",8
"Dynll1_29190",0
"Kctd10_29191",790
"Pebp1_29192",271
"Cfh_29193",57
"Sdc1_29194",18
"Sccpdh_29195",99
"Arhgef12_29196",57
"Ccnc_29197",13
"Zfp318_29198",0
"Ndc80_29199",39
"Plod3_29200",12
"Xpc_29201",1
"Mrps16_29202",1031
"Gm43302_29203",0
"Serpina3m_29204",2
"Spdl1_29205",3
"H2bc4_29206",806
"Snurf_29207",6
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",157
"Bid_29213",63
"Mcm2_29214",65
"Ralb_29215",134
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",138
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",107
"Evl_29224",104
"Deptor_29225",0
"Ptger2_29226",0
"Hspa2_29227",74
"Cblb_29228",459
"Ptprk_29229",635
"Dner_29230",0
"Pik3c2a_29231",140
"Vasp_29232",114
"Nup85_29233",195
"Mex3d_29234",300
"St3gal1_29235",12
"Zfp110_29236",117
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",543
"Parpbp_29241",25
"Pfkp_29242",25
"Lamp3_29243",0
"Stx16_29244",146
"Cyp11b2_29245",0
"Dera_29246",2
"Ptger4_29247",4
"Trp53bp2_29248",60
"Uchl3_29249",33
"Prl2c2_29250",13
"Pcna-ps2_29251",5
"Kctd5_29252",25
"Map3k4_29253",26
"Spib_29254",2
"Snrpg_29255",2
"Topors_29256",125
"Cdc25b_29257",18
"Gclm_29258",71
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",49
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",8
"Npdc1_29266",110
"Pbx1_29267",26
"Unc5c_29268",0
"Dhx29_29269",29
"Copb2_29270",502
"Cbln1_29271",0
"Nipsnap1_29272",3
"Tm9sf3_29274",460
"Casq1_29275",0
"Slc2a10_29276",6
"Cdh2_29277",11
"Ecd_29278",222
"Dnajc9_29279",14
"Isoc1_29280",133
"Rbm22_29281",1
"Zfp82_29282",0
"Creb1_29283",109
"Strbp_29284",529
"Fabp5_29285",711
"C9_29286",0
"S100a11_29287",498
"Psmc3ip_29288",6
"Fabp4_29289",10
"Slc16a7_29290",0
"Rnase1_29291",1
"Gdnf_29292",0
"Pin1_29293",11
"Ncor2_29294",522
"Sult1b1_29295",0
"Dipk1a_29296",29
"Glod4_29298",146
"Gulp1_29299",383
"Arpp19_29300",0
"Fbl_29301",7
"Wdhd1_29302",47
"Rpa3_29303",193
"Wars_29304",34
"Hao2_29305",0
"Fdft1_29306",263
"Chka_29307",57
"Nefm_29308",4
"Mypn_29309",0
"Cpne6_29310",0
"Klhl13_29312",21
"Casp3_29313",159
"Man2b1_29315",1181
"Prl2c3_29316",174
"Lamp1_29317",3957
"Atg3_29318",113
"S100a8_29319",0
"Mmp1a_29320",0
"Klhl14_29321",0
"Slc25a13_29322",227
"Nup133_29323",32
"Grin1_29324",4
"Kat6a_29325",855
"Pcdhac1_29326",0
"Slc10a2_29328",0
"Asna1_29329",73
"Alyref2_29330",0
"Hba-a2_29332",0
"Hba-a1_29333",0
"Banf1_29334",802
"Kif1bp_29335",201
"Snrpb_29336",666
"Mrps17_29337",141
"Car4_29338",0
"Rpl22_29339",2279
"Hsd17b6_29340",0
"Dynlrb1_29341",1124
"Gins2_29342",0
"Col2a1_29343",0
"Sult2a1_29344",0
"Smc1a_29345",166
"Xlr4b_29346",0
"Slc47a1_29347",0
"Sult2a5_29348",0
"Pde4c_29349",5
"Cyp4a31_29350",0
"Cyp4a14_29351",0
"Mcm6_29352",33
"Tbc1d10c_29353",0
"Arfip2_29354",254
"Cryba1_29355",0
"Cxcl2_29356",0
"Sumf2_29357",17
"Gabra1_29358",0
"Btg2_29359",47
"Mtx2_29360",417
"Cyp11a1_29361",0
"Tspan3_29362",347
"Eno2_29363",21
"Tceal9_29364",3915
"Apoa5_29365",0
"Acot10_29366",2
"Serpina3n_29367",1
"Saa1_29368",0
"Tcfl5_29369",0
"Klrb1a_29370",0
"Dtl_29371",54
"Hbb-y_29372",0
"Yap1_29373",253
"Ripk3_29374",131
"Tert_29375",0
"Acadvl_29377",84
"Nos1_29378",0
"F2r_29379",802
"Sh3bp5_29381",87
"Fabp1_29382",0
"Hoxb5_29383",108
"Ccne2_29384",15
"Rrp8_29385",49
"Slc18a2_29386",0
"Mllt11_29387",37
"Tfdp1_29388",423
"Clic4_29389",388
"Birc2_29390",188
"Aqp1_29391",0
"Cela2a_29392",0
"Gxylt1_29393",186
"Arxes2_29394",10
"Cog7_29395",9
"Hp_29396",0
"Slc22a7_29397",0
"Pbdc1_29398",1007
"Ubr7_29399",274
"H2bc7_29400",28
"Mrps6_29401",1021
"Mylk4_29402",0
"Armcx4_29403",35
"Fbxo5_29404",59
"Exosc4_29405",65
"Msh6_29406",157
"Entpd8_29407",0
"Ext1_29408",666
"Asb14_29409",0
"Mast2_29410",66
"Fgfr2_29411",39
"Samd9l_29412",20
"Abcd1_29413",38
"Smarcc1_29414",1052
"Slc6a8_29415",401
"Hoxb6_29416",29
"Ces2f_29417",3
"Prr7_29418",6
"Pafah1b1_29419",1
"Grb2_29420",0
"Clstn1_29421",1106
"Rgs2_29422",2
"Slc22a1_29423",0
"Ei24_29424",0
"Rbm6_29425",190
"Slc7a6_29426",264
"Col1a1_29427",3790
"Acaa1a_29428",201
"Orc6_29429",643
"Igf2r_29430",74
"Cxcl10_29431",12
"Ndufa5_29432",0
"Psme2_29433",1
"Ddit4_29434",10
"Abcb1a_29435",6
"Lef1_29436",0
"Hadh_29437",320
"Tmprss6_29438",0
"Capg_29439",169
"Kng1_29440",0
"Grwd1_29441",0
"Prdx1_29442",2014
"Hdc_29443",0
"Ano10_29445",133
"Mcm8_29446",17
"Igfbp7_29447",42
"Cela3a_29448",0
"Prkag1_29449",291
"Ceacam1_29450",0
"Mapkapk3_29451",3
"Tor1a_29452",170
"Ephx1_29453",811
"Relb_29454",122
"E2f1_29455",43
"Pcdh8_29456",0
"Col8a1_29457",176
"St7_29458",173
"Eno3_29459",13
"Irf6_29460",0
"Trav9d-3_29461",0
"Mmp9_29462",0
"Pcdha1_29463",1
"AA415038_29464",161
"Sorbs3_29465",7
"Cyp3a44_29466",0
"Elac2_29467",4
"Cd5_29468",0
"Gli2_29469",0
"Cpsf1_29470",154
"Prps1l3_29471",13
"Spcs3_29472",2824
"Tsku_29473",8
"Zfp960_29475",74
"Plcxd3_29476",0
"Ccnb2_29477",49
"Egr2_29478",3
"Dennd2d_29479",0
"Atp5e_29480",1046
"Cryz_29482",189
"Arhgap11a_29483",5
"Oxa1l_29484",0
"Rad51c_29485",85
"Sycn_29486",0
"Mapkapk5_29487",17
"Hs6st2_29488",799
"Fis1_29489",124
"Cd300lb_29490",0
"Cgrrf1_29491",151
"Tcf19_29492",11
"Pnkp_29493",30
"Trp53inp2_29494",5
"Parp1_29495",27
"Dclre1c_29496",0
"Sept5_29497",180
"Fstl5_29498",0
"Pf4_29499",0
"Cxcl3_29500",0
"Cxcl1_29501",6
"Pde6b_29502",0
"Nqo1_29503",762
"Puf60_29504",1191
"F5_29505",0
"Vegfa_29506",18
"Fkbp4_29507",1101
"Cox6b1_29508",229
"Decr1_29509",154
"Oosp1_29510",2
"Baat_29511",3
"Serpina3k_29512",1
"Cog2_29513",29
"Syt11_29514",4
"Stxbp2_29515",5
"Ska3_29516",0
"Aldob_29517",0
"Iglc2_29518",0
"Hspa1l_29519",0
"Dbh_29520",0
"Igfbp6_29521",5
"Plk4_29522",3
"Cyp2w1_29523",0
"Grm1_29524",0
"Krt18_29525",0
"Mpc2_29526",46
"Tuba4a_29527",157
"F11_29528",0
"Slc39a7_29529",561
"Gzme_29530",0
"Klf4_29531",108
"Stap2_29532",0
"Ctnnal1_29533",395
"Prss2_29534",0
"Gpm6b_29535",1
"Pde6g_29536",1
"Gm20831_29537",9
"Mip_29538",0
"Acot9_29539",599
"Rad51ap1_29540",15
"Atp5b_29541",558
"Clk2_29542",78
"Usp14_29543",187
"Skp1a_29544",1189
"Sgcb_29545",821
"Stil_29546",5
"Maob_29547",7
"Cdh7_29548",0
"Lyn_29549",30
"Sprr2a3_29550",1
"Psen1_29551",88
"Kif18b_29552",26
"Gemin6_29553",59
"Mtmr2_29554",133
"Sox17_29555",0
"Lypla1_29556",137
"Krt1_29557",0
"Dffa_29558",5
"Mup3_29559",0
"Mup19_29560",4
"Trib3_29561",346
"Gdf7_29562",0
"Pdha1_29563",683
"Fen1_29564",32
"Bst2_29565",103
"Scrn1_29566",431
"Iars2_29567",34
"Ccl9_29568",0
"Elp1_29569",77
"Xiap_29570",0
"Rpa2_29571",13
"Crp_29572",0
"Rfc5_29573",5
"Nucb2_29574",597
"Fbxo11_29575",4
"Polr1c_29576",686
"Foxo4_29577",41
"Slc2a2_29578",0
"Stx1a_29579",53
"Rbp3_29580",0
"Cacybp_29581",637
"Tslp_29582",347
"Sgcg_29583",0
"Ruvbl1_29584",539
"Htr5a_29585",0
"Rassf5_29586",136
"Tsen2_29587",14
"Mapk1_29588",6
"Ncbp2_29589",12
"Abcf1_29590",100
"Atp2c1_29591",40
"Scp2_29592",93
"Vbp1_29593",673
"Plg_29594",0
"Snrpe_29595",9
"Hk1_29596",152
"Bloc1s1_29597",808
"Nmt1_29598",186
"Prkacb_29599",121
"Pdlim2_29600",0
"Pkig_29601",0
"Edn1_29602",1
"Rrm2_29603",9
"Elovl2_29604",0
"Lgals8_29605",230
"Nr2f2_29606",205
"Pex11a_29607",0
"Gdpd3_29608",0
"Pik3r3_29609",74
"Opn1sw_29610",0
"Bsg_29611",5
"Sytl2_29612",0
"Pdcd11_29613",20
"Insl3_29614",0
"Hmgcs2_29615",0
"Aaas_29616",0
"Dck_29617",5
"Pramel3_29618",0
"Phpt1_29619",1
"Aspn_29620",0
"Il1f9_29621",0
"4833414E09RIK_29622",982
"Clec4e_29623",0
"Atad3a_29624",271
"Klhdc8b_29625",1
"Znrd1_29627",217
"Ins2_29628",0
"Pantr1_29629",0
"S100a13_29630",0
"Nsun2_29631",516
"Atp5md_29632",534
"Xlr3a_29633",96
"P4htm_29634",0
"Cd44_29635",271
"AW112010_29636",1
"Aimp1_29637",332
"Col6a2_29638",56
"Capn1_29639",57
"Apol7c_29640",0
"Fzd2_29641",49
"Cyp19a1_29642",0
"Crkl_29643",164
"Pik3c2b_29644",6
"Fat1_29645",1414
"Cherp_29646",15
"Por_29647",41
"Ngb_29648",9
"Cd320_29649",19
"H2-T3_29650",0
"Hspa5_29651",7000
"Zfp980_29652",0
"Cnksr3_29653",16
"Dcpp3_29654",0
"Prdx3_29656",344
"Steap4_29657",0
"Hells_29658",233
"Ube2a_29659",183
"Dnm1_29660",13
"Cyp2c55_29661",2
"Dusp14_29663",4
"Lsm2_29664",97
"Chgb_29666",0
"Gas5_29667",0
"Greb1_29668",0
"Csprs_29669",9
"Fkbp5_29670",146
"Ugt2b35_29671",0
"G6pc_29672",0
"Car1_29673",0
"Trdn_29674",0
"Rps6_29675",1921
"Gap43_29676",5
"Tubg1_29677",158
"Ccnh_29679",170
"Casp7_29680",1
"Ces2d-ps_29681",0
"Eci1_29682",280
"Fzd7_29683",19
"Suz12_29684",88
"Rfc4_29685",14
"Npm1_29686",0
"Eif2b1_29687",3
"Atad5_29688",0
"Gon4l_29689",13
"Sds_29690",0
"Hectd2_29691",22
"Adcy7_29692",43
"Grm2_29693",0
"Itih1_29694",0
"Scarb1_29696",8
"Got1_29697",22
"Ccl4_29698",0
"St14_29699",0
"Rnps1_29700",34
"Abcc2_29701",1
"Wdr61_29702",56
"Psmd6_29703",201
"Cpne3_29704",198
"Birc5_29705",56
"Lig1_29706",37
"Vapb_29707",1103
"Tax1bp3_29708",0
"Amdhd1_29709",2
"Tk1_29710",2
"Apcs_29711",0
"Abcb11_29712",0
"Hnf1a_29713",0
"Nos3_29714",5
"Rad54l_29715",1
"Exosc3_29716",221
"Ptpn12_29717",964
"Prc1_29718",41
"Cyp1a1_29719",9
"Lgals1_29720",192
"Grb10_29721",10
"Isg15_29722",103
"Star_29723",2
"Adgrl4_29724",0
"Tubb2a_29725",217
"Mt1_29726",67
"Mt2_29727",2
"Rbm34_29728",153
"Acaa1b_29729",0
"Il11_29730",0
"Ppid_29731",184
"Gm15128_29732",0
"Selenon_29733",398
"Nifk_29734",131
"Tdp1_29735",7
"Dnmt1_29736",2
"Ppargc1a_29737",2
"Prr9_29738",0
"Crim1_29739",243
"Fabp7_29740",0
"Upp1_29741",5
"Mpi_29742",4
"Acd_29743",465
"Chrna3_29744",0
"Ugt1a10_29745",0
"Ina_29746",0
"Zfp36_29747",0
"Tcp1_29748",465
"Dut_29749",1
"Fbxo22_29750",470
"Cdkn2a_29751",15
"Gdpd5_29752",9
"Fcho1_29753",0
"Slc6a20a_29754",0
"Gzmb_29755",0
"Ctsg_29756",0
"Zfp369_29757",102
"Bmp4_29758",145
"Atp5o_29759",42
"Tmed10_29760",538
"F12_29761",0
"Nfkbia_29762",117
"Hnrnpu_29763",173
"Gxylt2_29764",3227
"Gm3776_29765",27
"2610507B11Rik_29766",15
"Gm44502_29767",3
"Slc37a4_29768",1
"Arxes1_29769",18
"Ces2b_29770",3
"Dpy30_29771",138
"Aldh3a2_29772",0
"Pfkl_29773",20
"Ddr1_29774",2
"Txlna_29775",166
"Pigb_29777",53
"Tfap2a_29779",0
"Plk1_29780",12
"Aldoa_29781",13
"Col6a1_29782",20
"Gstm7_29783",0
"Gstm3_29784",0
"Gstm5_29785",47
"Ikbke_29786",22
"App_29787",291
"Cnn1_29788",0
"Psmf1_29789",133
"Cab39_29790",1633
"Slc1a4_29791",16
"Tpd52l2_29792",64
"Pacsin3_29793",87
"Eprs_29794",1349
"Atf5_29795",1946
"Ret_29796",0
"A2m_29797",0
"Atf4_29798",1013
"Ide_29799",531
"Ndn_29800",9
"Hoxc8_29801",18
"H1f0_29802",7
"Rab11a_29803",1184
"Hmbs_29804",0
"Plbd1_29805",0
"Dusp22_29806",1
"Lama3_29807",0
"Net1_29808",334
"Dnajb6_29809",387
"Chmp2a_29810",2
"Kif5c_29811",14
"Egfr_29812",32
"Ifi44_29813",44
"Ace_29814",0
"Itpr3_29815",100
"Cks1b_29816",2
"Rab3a_29817",36
"Ggh_29818",62
"Nolc1_29819",220
"Trim13_29820",0
"Prdx2_29821",198
"H2az2_29822",0
"Rnaseh2a_29823",229
"Iyd_29824",0
"Agmat_29825",0
"Lum_29826",0
"Opn3_29827",0
"C3ar1_29828",0
"C8a_29829",0
"Oaz1_29830",630
"Utp3_29831",585
"Lect2_29832",2
"Atp1a2_29833",0
"Ykt6_29834",346
"Bgn_29835",6633
"Cdk5r1_29836",0
"Cask_29837",275
"Rnf217_29838",38
"Cnpy3_29839",250
"Pigf_29840",246
"Ttc17_29841",181
"Paf1_29842",99
"Hoxd8_29844",0
"Ms4a1_29845",1
"Dusp6_29846",452
"Papss1_29847",0
"Ccna2_29848",5
"Isg20_29849",62
"Ell3_29850",0
"Ier3_29851",43
"Bub1_29853",96
"Scn3b_29854",0
"Car3_29855",0
"Hs2st1_29856",845
"Bub1b_29857",45
"Tsc22d3_29858",65
"Ifit1_29859",45
"Ifit3_29860",113
"Ifit2_29861",359
"Stk10_29862",248
"Uxt_29864",14
"Creg1_29865",218
"Mpzl1_29866",39
"Myo1g_29867",0
"Trpc7_29868",0
"Arhgef39_29869",1
"Txndc9_29870",924
"Selp_29871",0
"Acat2_29872",44
"Slco4c1_29873",5
"Mtnr1a_29874",0
"Rassf1_29875",216
"Lyrm1_29876",22
"Amy1_29877",0
"Rac2_29878",0
"Slc22a30_29879",0
"Jun_29880",59
"Tnip1_29881",4
"Sgca_29882",0
"Fap_29883",0
"Irf7_29884",22
"Gbp10_29885",0
"Rheb_29886",152
"Prkag2_29887",31
"Celf6_29888",4
"Hoxb8_29889",19
"Camp_29890",0
"St3gal2_29891",309
"Dag1_29892",141
"Aars_29893",685
"Mterf3_29894",45
"Epn2_29895",30
"Cr2_29896",0
"Cdk19_29897",472
"Naca_29898",0
"Oasl1_29900",5
"Rbks_29901",6
"Fgf4_29902",5
"Ncbp1_29903",38
"Gm45753_29904",0
"Camsap2_29905",334
"Cirbp_29906",44
"Serpinf1_29907",0
"Tbx2_29908",0
"Gm15107_29909",0
"Icam1_29910",0
"Gm15080_29911",0
"Paics_29912",1
"Dhdds_29913",21
"Bcl2l1_29914",132
"Hebp1_29916",20
"Itpkc_29917",6
"Bex4_29918",0
"Slc26a2_29919",27
"Gale_29920",4
"Rcc2_29921",308
"Idh3a_29922",144
"Adam8_29923",0
"Ets1_29924",14
"Pole_29925",0
"Fez2_29926",7
"Ptpn6_29927",0
"Gm5128_29928",0
"Pcm1_29929",515
"Hspd1_29930",0
"Col4a1_29931",438
"Col4a2_29932",1335
"Haus3_29933",342
"Atf3_29935",26
"Acly_29936",389
"Daam1_29937",119
"Cenpk_29938",53
"Timm17a_29939",171
"Stk25_29940",1
"Bcl2l2_29941",28
