"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",29
"Nme1_29042",2211
"Ctsd_29043",33
"Camk1_29044",180
"Epb41l2_29045",23
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",263
"Yars2_29051",39
"Tmem109_29052",510
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",829
"Metrn_29056",3
"Serpina9_29057",0
"Sgo1_29058",310
"Degs1_29059",799
"Snx7_29060",118
"H2-Q7_29061",1
"Cdkn2b_29062",5
"Snap25_29063",0
"Atf1_29064",966
"Lrat_29065",0
"Dmtf1_29066",71
"Psmb8_29067",0
"Procr_29068",15
"Ppox_29069",32
"Smc2_29071",9
"Cyp4a12a_29072",0
"Prss23_29074",100
"Ero1l_29075",4113
"Panx1_29076",108
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",10
"Scg2_29080",0
"Prkg1_29081",7
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",8
"Try5_29086",3
"Ifitm3_29087",1986
"Cyp11b1_29088",5
"Cdk6_29089",178
"Fgf21_29090",10
"Ghr_29091",273
"Ugt2b35_29092",0
"Nup93_29093",247
"Actn3_29094",0
"Cat_29095",1209
"Cyb561_29096",2
"Wfs1_29097",20
"Gstm2_29098",482
"Fhl2_29099",149
"Nat1_29100",0
"Zmym2_29101",1074
"Il6_29102",9
"Hmgcr_29103",7
"Hbb-bh1_29104",0
"Pxmp2_29105",2
"Wrb_29106",22
"Cep57_29107",37
"Slc5a5_29108",2
"Gadd45a_29109",1731
"Zfp131_29110",32
"Cavin4_29112",15
"Cct6a_29113",2243
"Abl1_29114",613
"Appbp2_29115",100
"Mcm4_29116",33
"Nck1_29117",51
"Reg1_29118",0
"Eif4g1_29119",1516
"Tgtp2_29120",1
"Triap1_29121",13
"Zcchc12_29122",1
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",5
"Cflar_29126",10
"Asah1_29127",1322
"Sele_29128",0
"Kif11_29129",182
"Chp1_29131",292
"B3gnt9_29132",28
"Bcl7b_29133",13
"Cul1_29134",557
"Lmod2_29135",0
"Arl1_29136",939
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",1225
"B930025B16RIK_29140",15
"Gli1_29141",0
"Ddit3_29142",1289
"Prr15l_29143",0
"Cltc_29144",15
"Arnt2_29145",0
"Slc27a1_29146",14
"Nup88_29147",869
"Ndufv3_29149",113
"Srd5a1_29150",8
"Ube3c_29151",3
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",548
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",81
"Stmn1_29158",0
"Glul_29159",9
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",235
"Tomm34_29163",187
"Eapp_29164",806
"Zeb2_29165",20
"Ugt1a6b_29166",1
"Cybb_29167",0
"Clk1_29168",223
"Sumo1_29169",87
"Ugt1a6a_29170",402
"Ugt1a7c_29171",237
"Slco2b1_29172",0
"Cops5_29173",1731
"Csk_29174",37
"Cyp1a2_29175",0
"Thap11_29176",1
"Cd55_29177",0
"Zzz3_29178",163
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",2
"Psmd9_29183",236
"B4galt1_29184",9
"Gabrg2_29185",0
"Chtf18_29186",26
"2210016H18RIK_29188",8
"Cmpk2_29189",17
"Dynll1_29190",0
"Kctd10_29191",699
"Pebp1_29192",142
"Cfh_29193",6
"Sdc1_29194",16
"Sccpdh_29195",65
"Arhgef12_29196",52
"Ccnc_29197",22
"Zfp318_29198",0
"Ndc80_29199",474
"Plod3_29200",3
"Xpc_29201",10
"Mrps16_29202",1326
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",42
"H2bc4_29206",414
"Snurf_29207",4
"Ly86_29208",1
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",211
"Bid_29213",58
"Mcm2_29214",64
"Ralb_29215",209
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",4
"Prkx_29220",69
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",147
"Evl_29224",123
"Deptor_29225",2
"Ptger2_29226",0
"Hspa2_29227",103
"Cblb_29228",403
"Ptprk_29229",710
"Dner_29230",6
"Pik3c2a_29231",115
"Vasp_29232",103
"Nup85_29233",604
"Mex3d_29234",358
"St3gal1_29235",14
"Zfp110_29236",124
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",610
"Parpbp_29241",334
"Pfkp_29242",47
"Lamp3_29243",0
"Stx16_29244",150
"Cyp11b2_29245",0
"Dera_29246",5
"Ptger4_29247",1
"Trp53bp2_29248",49
"Uchl3_29249",55
"Prl2c2_29250",12
"Pcna-ps2_29251",6
"Kctd5_29252",59
"Map3k4_29253",49
"Spib_29254",2
"Snrpg_29255",5
"Topors_29256",75
"Cdc25b_29257",76
"Gclm_29258",131
"Myot_29259",0
"Myom2_29260",1
"Nfkbie_29261",21
"Myoz1_29262",0
"Rpe65_29263",4
"Eng_29264",5
"Npdc1_29266",136
"Pbx1_29267",23
"Unc5c_29268",1
"Dhx29_29269",44
"Copb2_29270",719
"Cbln1_29271",0
"Nipsnap1_29272",25
"Tm9sf3_29274",400
"Casq1_29275",0
"Slc2a10_29276",9
"Cdh2_29277",7
"Ecd_29278",382
"Dnajc9_29279",34
"Isoc1_29280",120
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",98
"Strbp_29284",386
"Fabp5_29285",985
"C9_29286",4
"S100a11_29287",921
"Psmc3ip_29288",37
"Fabp4_29289",3
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",16
"Ncor2_29294",492
"Sult1b1_29295",0
"Dipk1a_29296",23
"Glod4_29298",105
"Gulp1_29299",443
"Arpp19_29300",9
"Fbl_29301",14
"Wdhd1_29302",283
"Rpa3_29303",383
"Wars_29304",46
"Hao2_29305",1
"Fdft1_29306",292
"Chka_29307",88
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
