"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",22
"Nme1_29042",2483
"Ctsd_29043",33
"Camk1_29044",289
"Epb41l2_29045",21
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",2
"Eef1a2_29049",0
"Phlda3_29050",309
"Yars2_29051",22
"Tmem109_29052",677
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",981
"Metrn_29056",8
"Serpina9_29057",2
"Sgo1_29058",548
"Degs1_29059",1231
"Snx7_29060",134
"H2-Q7_29061",0
"Cdkn2b_29062",3
"Snap25_29063",0
"Atf1_29064",1325
"Lrat_29065",0
"Dmtf1_29066",56
"Psmb8_29067",2
"Procr_29068",5
"Ppox_29069",16
"Smc2_29071",5
"Cyp4a12a_29072",0
"Prss23_29074",44
"Ero1l_29075",9899
"Panx1_29076",85
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",14
"Scg2_29080",0
"Prkg1_29081",2
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",15
"Try5_29086",0
"Ifitm3_29087",2597
"Cyp11b1_29088",0
"Cdk6_29089",206
"Fgf21_29090",29
"Ghr_29091",243
"Ugt2b35_29092",0
"Nup93_29093",169
"Actn3_29094",0
"Cat_29095",1238
"Cyb561_29096",0
"Wfs1_29097",5
"Gstm2_29098",492
"Fhl2_29099",118
"Nat1_29100",0
"Zmym2_29101",1690
"Il6_29102",20
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",10
"Cep57_29107",25
"Slc5a5_29108",2
"Gadd45a_29109",2431
"Zfp131_29110",32
"Cavin4_29112",21
"Cct6a_29113",2612
"Abl1_29114",680
"Appbp2_29115",79
"Mcm4_29116",10
"Nck1_29117",26
"Reg1_29118",1
"Eif4g1_29119",1998
"Tgtp2_29120",0
"Triap1_29121",11
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",9
"Cflar_29126",25
"Asah1_29127",961
"Sele_29128",0
"Kif11_29129",111
"Chp1_29131",256
"B3gnt9_29132",25
"Bcl7b_29133",40
"Cul1_29134",693
"Lmod2_29135",0
"Arl1_29136",1316
"Ptpn1_29137",0
"Slc51a_29138",1
"Senp6_29139",1210
"B930025B16RIK_29140",10
"Gli1_29141",0
"Ddit3_29142",1143
"Prr15l_29143",0
"Cltc_29144",24
"Arnt2_29145",0
"Slc27a1_29146",14
"Nup88_29147",1056
"Ndufv3_29149",103
"Srd5a1_29150",0
"Ube3c_29151",1
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",544
"Dlx1_29155",1
"Nrcam_29156",0
"Tab2_29157",44
"Stmn1_29158",0
"Glul_29159",2
"Iglc2_29160",0
"Ikzf1_29161",2
"Ankrd10_29162",161
"Tomm34_29163",188
"Eapp_29164",1088
"Zeb2_29165",26
"Ugt1a6b_29166",4
"Cybb_29167",0
"Clk1_29168",220
"Sumo1_29169",106
"Ugt1a6a_29170",438
"Ugt1a7c_29171",435
"Slco2b1_29172",0
"Cops5_29173",2553
"Csk_29174",52
"Cyp1a2_29175",0
"Thap11_29176",1
"Cd55_29177",6
"Zzz3_29178",201
"Tnnt3_29180",1
"Mest_29181",0
"Ifi35_29182",5
"Psmd9_29183",145
"B4galt1_29184",25
"Gabrg2_29185",0
"Chtf18_29186",15
"2210016H18RIK_29188",5
"Cmpk2_29189",38
"Dynll1_29190",0
"Kctd10_29191",554
"Pebp1_29192",148
"Cfh_29193",22
"Sdc1_29194",22
"Sccpdh_29195",66
"Arhgef12_29196",30
"Ccnc_29197",39
"Zfp318_29198",0
"Ndc80_29199",476
"Plod3_29200",0
"Xpc_29201",0
"Mrps16_29202",1355
"Gm43302_29203",1
"Serpina3m_29204",2
"Spdl1_29205",36
"H2bc4_29206",574
"Snurf_29207",3
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",164
"Bid_29213",66
"Mcm2_29214",58
"Ralb_29215",365
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",5
"Prkx_29220",185
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",206
"Evl_29224",92
"Deptor_29225",4
"Ptger2_29226",0
"Hspa2_29227",147
"Cblb_29228",517
"Ptprk_29229",969
"Dner_29230",0
"Pik3c2a_29231",271
"Vasp_29232",69
"Nup85_29233",434
"Mex3d_29234",340
"St3gal1_29235",5
"Zfp110_29236",219
"Ramp2_29237",3
"Cyp2e1_29238",0
"Tbpl1_29239",794
"Parpbp_29241",232
"Pfkp_29242",47
"Lamp3_29243",0
"Stx16_29244",118
"Cyp11b2_29245",0
"Dera_29246",2
"Ptger4_29247",0
"Trp53bp2_29248",40
"Uchl3_29249",65
"Prl2c2_29250",22
"Pcna-ps2_29251",5
"Kctd5_29252",23
"Map3k4_29253",25
"Spib_29254",12
"Snrpg_29255",13
"Topors_29256",204
"Cdc25b_29257",46
"Gclm_29258",85
"Myot_29259",0
"Myom2_29260",4
"Nfkbie_29261",54
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",6
"Npdc1_29266",70
"Pbx1_29267",11
"Unc5c_29268",1
"Dhx29_29269",38
"Copb2_29270",721
"Cbln1_29271",0
"Nipsnap1_29272",19
"Tm9sf3_29274",305
"Casq1_29275",0
"Slc2a10_29276",7
"Cdh2_29277",0
"Ecd_29278",332
"Dnajc9_29279",30
"Isoc1_29280",153
"Rbm22_29281",1
"Zfp82_29282",0
"Creb1_29283",105
"Strbp_29284",762
"Fabp5_29285",677
"C9_29286",1
"S100a11_29287",621
"Psmc3ip_29288",41
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",6
"Ncor2_29294",404
"Sult1b1_29295",0
"Dipk1a_29296",22
"Glod4_29298",130
"Gulp1_29299",804
"Arpp19_29300",7
"Fbl_29301",6
"Wdhd1_29302",231
"Rpa3_29303",405
"Wars_29304",37
"Hao2_29305",0
"Fdft1_29306",250
"Chka_29307",94
"Nefm_29308",2
"Mypn_29309",0
