"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",29
"Nme1_29042",2130
"Ctsd_29043",3
"Camk1_29044",163
"Epb41l2_29045",33
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",221
"Yars2_29051",27
"Tmem109_29052",409
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",534
"Metrn_29056",10
"Serpina9_29057",1
"Sgo1_29058",288
"Degs1_29059",1222
"Snx7_29060",84
"H2-Q7_29061",1
"Cdkn2b_29062",7
"Snap25_29063",0
"Atf1_29064",627
"Lrat_29065",0
"Dmtf1_29066",26
"Psmb8_29067",0
"Procr_29068",9
"Ppox_29069",12
"Smc2_29071",16
"Cyp4a12a_29072",0
"Prss23_29074",115
"Ero1l_29075",2694
"Panx1_29076",104
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",11
"Scg2_29080",0
"Prkg1_29081",8
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",3
"Try5_29086",0
"Ifitm3_29087",2897
"Cyp11b1_29088",0
"Cdk6_29089",203
"Fgf21_29090",5
"Ghr_29091",248
"Ugt2b35_29092",0
"Nup93_29093",196
"Actn3_29094",1
"Cat_29095",630
"Cyb561_29096",0
"Wfs1_29097",13
"Gstm2_29098",447
"Fhl2_29099",76
"Nat1_29100",2
"Zmym2_29101",1034
"Il6_29102",3
"Hmgcr_29103",1
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",10
"Cep57_29107",41
"Slc5a5_29108",2
"Gadd45a_29109",386
"Zfp131_29110",18
"Cavin4_29112",18
"Cct6a_29113",1873
"Abl1_29114",424
"Appbp2_29115",57
"Mcm4_29116",19
"Nck1_29117",14
"Reg1_29118",0
"Eif4g1_29119",1669
"Tgtp2_29120",6
"Triap1_29121",16
"Zcchc12_29122",2
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",0
"Cflar_29126",8
"Asah1_29127",1069
"Sele_29128",0
"Kif11_29129",150
"Chp1_29131",201
"B3gnt9_29132",26
"Bcl7b_29133",12
"Cul1_29134",625
"Lmod2_29135",0
"Arl1_29136",334
"Ptpn1_29137",3
"Slc51a_29138",0
"Senp6_29139",623
"B930025B16RIK_29140",4
"Gli1_29141",0
"Ddit3_29142",122
"Prr15l_29143",3
"Cltc_29144",35
"Arnt2_29145",0
"Slc27a1_29146",6
"Nup88_29147",762
"Ndufv3_29149",128
"Srd5a1_29150",1
"Ube3c_29151",2
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",771
"Dlx1_29155",1
"Nrcam_29156",0
"Tab2_29157",32
"Stmn1_29158",0
"Glul_29159",4
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",139
"Tomm34_29163",197
"Eapp_29164",673
"Zeb2_29165",11
"Ugt1a6b_29166",7
"Cybb_29167",0
"Clk1_29168",199
"Sumo1_29169",59
"Ugt1a6a_29170",360
"Ugt1a7c_29171",282
"Slco2b1_29172",0
"Cops5_29173",1709
"Csk_29174",38
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",0
"Zzz3_29178",80
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",3
"Psmd9_29183",150
"B4galt1_29184",15
"Gabrg2_29185",0
"Chtf18_29186",22
"2210016H18RIK_29188",9
"Cmpk2_29189",29
"Dynll1_29190",3
"Kctd10_29191",579
"Pebp1_29192",158
"Cfh_29193",25
"Sdc1_29194",32
"Sccpdh_29195",64
"Arhgef12_29196",25
"Ccnc_29197",32
"Zfp318_29198",0
"Ndc80_29199",325
"Plod3_29200",4
"Xpc_29201",1
"Mrps16_29202",1006
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",27
"H2bc4_29206",370
"Snurf_29207",1
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",230
"Bid_29213",67
"Mcm2_29214",89
"Ralb_29215",212
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",3
"Prkx_29220",135
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",138
"Evl_29224",88
"Deptor_29225",6
"Ptger2_29226",0
"Hspa2_29227",65
"Cblb_29228",395
"Ptprk_29229",683
"Dner_29230",0
"Pik3c2a_29231",136
"Vasp_29232",34
"Nup85_29233",336
"Mex3d_29234",257
"St3gal1_29235",5
"Zfp110_29236",118
"Ramp2_29237",1
"Cyp2e1_29238",0
"Tbpl1_29239",365
"Parpbp_29241",329
"Pfkp_29242",24
"Lamp3_29243",0
"Stx16_29244",69
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",2
"Trp53bp2_29248",46
"Uchl3_29249",47
"Prl2c2_29250",36
"Pcna-ps2_29251",5
"Kctd5_29252",20
"Map3k4_29253",26
"Spib_29254",5
"Snrpg_29255",1
"Topors_29256",111
"Cdc25b_29257",47
"Gclm_29258",35
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",33
"Myoz1_29262",1
"Rpe65_29263",0
"Eng_29264",1
"Npdc1_29266",74
"Pbx1_29267",17
"Unc5c_29268",0
"Dhx29_29269",20
"Copb2_29270",348
"Cbln1_29271",0
"Nipsnap1_29272",17
"Tm9sf3_29274",371
"Casq1_29275",0
"Slc2a10_29276",6
"Cdh2_29277",5
"Ecd_29278",197
"Dnajc9_29279",33
"Isoc1_29280",77
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",100
"Strbp_29284",382
"Fabp5_29285",879
"C9_29286",0
"S100a11_29287",1154
"Psmc3ip_29288",40
"Fabp4_29289",2
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",5
"Ncor2_29294",377
"Sult1b1_29295",0
"Dipk1a_29296",47
"Glod4_29298",97
"Gulp1_29299",691
"Arpp19_29300",3
"Fbl_29301",10
"Wdhd1_29302",217
"Rpa3_29303",326
"Wars_29304",34
"Hao2_29305",0
"Fdft1_29306",491
"Chka_29307",54
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",1
