"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",15
"Nme1_29042",2362
"Ctsd_29043",28
"Camk1_29044",195
"Epb41l2_29045",10
"Rbfox1_29046",0
"Mup16_29047",1
"Mup13_29048",2
"Eef1a2_29049",0
"Phlda3_29050",235
"Yars2_29051",8
"Tmem109_29052",514
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",784
"Metrn_29056",10
"Serpina9_29057",0
"Sgo1_29058",256
"Degs1_29059",587
"Snx7_29060",132
"H2-Q7_29061",2
"Cdkn2b_29062",6
"Snap25_29063",0
"Atf1_29064",627
"Lrat_29065",0
"Dmtf1_29066",37
"Psmb8_29067",6
"Procr_29068",3
"Ppox_29069",22
"Smc2_29071",9
"Cyp4a12a_29072",0
"Prss23_29074",78
"Ero1l_29075",1332
"Panx1_29076",59
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",8
"Scg2_29080",0
"Prkg1_29081",4
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",4
"Try5_29086",1
"Ifitm3_29087",1975
"Cyp11b1_29088",0
"Cdk6_29089",172
"Fgf21_29090",0
"Ghr_29091",174
"Ugt2b35_29092",0
"Nup93_29093",171
"Actn3_29094",0
"Cat_29095",972
"Cyb561_29096",0
"Wfs1_29097",26
"Gstm2_29098",335
"Fhl2_29099",73
"Nat1_29100",0
"Zmym2_29101",899
"Il6_29102",3
"Hmgcr_29103",4
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",25
"Cep57_29107",22
"Slc5a5_29108",1
"Gadd45a_29109",437
"Zfp131_29110",22
"Cavin4_29112",10
"Cct6a_29113",1676
"Abl1_29114",520
"Appbp2_29115",35
"Mcm4_29116",18
"Nck1_29117",24
"Reg1_29118",0
"Eif4g1_29119",1263
"Tgtp2_29120",0
"Triap1_29121",8
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",0
"Cflar_29126",10
"Asah1_29127",899
"Sele_29128",0
"Kif11_29129",95
"Chp1_29131",236
"B3gnt9_29132",15
"Bcl7b_29133",16
"Cul1_29134",438
"Lmod2_29135",0
"Arl1_29136",660
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",766
"B930025B16RIK_29140",6
"Gli1_29141",1
"Ddit3_29142",132
"Prr15l_29143",0
"Cltc_29144",21
"Arnt2_29145",0
"Slc27a1_29146",4
"Nup88_29147",572
"Ndufv3_29149",87
"Srd5a1_29150",3
"Ube3c_29151",3
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",350
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",32
"Stmn1_29158",0
"Glul_29159",3
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",165
"Tomm34_29163",183
"Eapp_29164",684
"Zeb2_29165",12
"Ugt1a6b_29166",2
"Cybb_29167",0
"Clk1_29168",125
"Sumo1_29169",63
"Ugt1a6a_29170",320
"Ugt1a7c_29171",212
"Slco2b1_29172",0
"Cops5_29173",1702
"Csk_29174",48
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",0
"Zzz3_29178",100
"Tnnt3_29180",2
"Mest_29181",0
"Ifi35_29182",8
"Psmd9_29183",172
"B4galt1_29184",20
"Gabrg2_29185",0
"Chtf18_29186",22
"2210016H18RIK_29188",7
"Cmpk2_29189",22
"Dynll1_29190",0
"Kctd10_29191",541
"Pebp1_29192",105
"Cfh_29193",16
"Sdc1_29194",29
"Sccpdh_29195",40
"Arhgef12_29196",24
"Ccnc_29197",21
"Zfp318_29198",1
"Ndc80_29199",398
"Plod3_29200",0
"Xpc_29201",5
"Mrps16_29202",1118
"Gm43302_29203",0
"Serpina3m_29204",1
"Spdl1_29205",24
"H2bc4_29206",274
"Snurf_29207",2
"Ly86_29208",0
"Cog4_29209",3
"Zg16_29210",0
"Exosc7_29212",134
"Bid_29213",32
"Mcm2_29214",51
"Ralb_29215",240
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",4
"Prkx_29220",53
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",82
"Evl_29224",70
"Deptor_29225",2
"Ptger2_29226",0
"Hspa2_29227",84
"Cblb_29228",301
"Ptprk_29229",478
"Dner_29230",0
"Pik3c2a_29231",97
"Vasp_29232",64
"Nup85_29233",361
"Mex3d_29234",278
"St3gal1_29235",3
"Zfp110_29236",94
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",317
"Parpbp_29241",200
"Pfkp_29242",29
"Lamp3_29243",0
"Stx16_29244",99
"Cyp11b2_29245",0
"Dera_29246",2
"Ptger4_29247",0
"Trp53bp2_29248",61
"Uchl3_29249",40
"Prl2c2_29250",14
"Pcna-ps2_29251",0
"Kctd5_29252",33
"Map3k4_29253",24
"Spib_29254",0
"Snrpg_29255",4
"Topors_29256",69
"Cdc25b_29257",37
"Gclm_29258",67
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",16
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",0
"Npdc1_29266",102
"Pbx1_29267",18
"Unc5c_29268",0
"Dhx29_29269",29
"Copb2_29270",378
"Cbln1_29271",0
"Nipsnap1_29272",28
"Tm9sf3_29274",175
"Casq1_29275",0
"Slc2a10_29276",2
"Cdh2_29277",3
"Ecd_29278",184
"Dnajc9_29279",13
"Isoc1_29280",116
"Rbm22_29281",1
"Zfp82_29282",0
"Creb1_29283",80
"Strbp_29284",350
"Fabp5_29285",879
"C9_29286",0
"S100a11_29287",1136
"Psmc3ip_29288",28
"Fabp4_29289",0
"Slc16a7_29290",1
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",11
"Ncor2_29294",444
"Sult1b1_29295",0
"Dipk1a_29296",12
"Glod4_29298",119
"Gulp1_29299",379
"Arpp19_29300",10
"Fbl_29301",5
"Wdhd1_29302",205
"Rpa3_29303",312
"Wars_29304",20
"Hao2_29305",3
"Fdft1_29306",219
"Chka_29307",61
"Nefm_29308",1
"Mypn_29309",0
"Cpne6_29310",0
