"gene","count"
"Bcat1_29039",4
"Laptm5_29040",0
"Skp2_29041",30
"Nme1_29042",2351
"Ctsd_29043",11
"Camk1_29044",162
"Epb41l2_29045",0
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",404
"Yars2_29051",4
"Tmem109_29052",654
"Pcna_29053",1
"Abcg1_29054",0
"Tes_29055",689
"Metrn_29056",0
"Serpina9_29057",8
"Sgo1_29058",133
"Degs1_29059",244
"Snx7_29060",69
"H2-Q7_29061",0
"Cdkn2b_29062",4
"Snap25_29063",0
"Atf1_29064",592
"Lrat_29065",0
"Dmtf1_29066",20
"Psmb8_29067",2
"Procr_29068",0
"Ppox_29069",9
"Smc2_29071",0
"Cyp4a12a_29072",0
"Prss23_29074",60
"Ero1l_29075",1621
"Panx1_29076",32
"Pnliprp1_29077",2
"Inmt_29078",0
"Atp6v1f_29079",1
"Scg2_29080",0
"Prkg1_29081",0
"Cyp2f2_29082",0
"Pdgfb_29083",1
"Pdhx_29085",0
"Try5_29086",0
"Ifitm3_29087",1646
"Cyp11b1_29088",0
"Cdk6_29089",205
"Fgf21_29090",12
"Ghr_29091",52
"Ugt2b35_29092",0
"Nup93_29093",104
"Actn3_29094",0
"Cat_29095",266
"Cyb561_29096",0
"Wfs1_29097",0
"Gstm2_29098",112
"Fhl2_29099",98
"Nat1_29100",0
"Zmym2_29101",986
"Il6_29102",16
"Hmgcr_29103",2
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",6
"Cep57_29107",0
"Slc5a5_29108",2
"Gadd45a_29109",153
"Zfp131_29110",11
"Cavin4_29112",2
"Cct6a_29113",1381
"Abl1_29114",570
"Appbp2_29115",17
"Mcm4_29116",8
"Nck1_29117",24
"Reg1_29118",1
"Eif4g1_29119",1102
"Tgtp2_29120",0
"Triap1_29121",1
"Zcchc12_29122",0
"Zfp600_29123",1
"Sell_29124",0
"Fabp2_29125",0
"Cflar_29126",7
"Asah1_29127",305
"Sele_29128",0
"Kif11_29129",39
"Chp1_29131",82
"B3gnt9_29132",11
"Bcl7b_29133",11
"Cul1_29134",242
"Lmod2_29135",0
"Arl1_29136",909
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",749
"B930025B16RIK_29140",6
"Gli1_29141",0
"Ddit3_29142",75
"Prr15l_29143",2
"Cltc_29144",10
"Arnt2_29145",2
"Slc27a1_29146",2
"Nup88_29147",408
"Ndufv3_29149",32
"Srd5a1_29150",2
"Ube3c_29151",0
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",173
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",11
"Stmn1_29158",0
"Glul_29159",0
"Iglc2_29160",0
"Ikzf1_29161",4
"Ankrd10_29162",108
"Tomm34_29163",90
"Eapp_29164",628
"Zeb2_29165",2
"Ugt1a6b_29166",0
"Cybb_29167",0
"Clk1_29168",36
"Sumo1_29169",71
"Ugt1a6a_29170",265
"Ugt1a7c_29171",321
"Slco2b1_29172",0
"Cops5_29173",1519
"Csk_29174",40
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",0
"Zzz3_29178",79
"Tnnt3_29180",2
"Mest_29181",0
"Ifi35_29182",0
"Psmd9_29183",56
"B4galt1_29184",0
"Gabrg2_29185",0
"Chtf18_29186",11
"2210016H18RIK_29188",8
"Cmpk2_29189",14
"Dynll1_29190",0
"Kctd10_29191",331
"Pebp1_29192",35
"Cfh_29193",16
"Sdc1_29194",18
"Sccpdh_29195",20
"Arhgef12_29196",16
"Ccnc_29197",7
"Zfp318_29198",1
"Ndc80_29199",187
"Plod3_29200",1
"Xpc_29201",0
"Mrps16_29202",674
