"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",11
"Nme1_29042",991
"Ctsd_29043",15
"Camk1_29044",105
"Epb41l2_29045",16
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",5
"Eef1a2_29049",0
"Phlda3_29050",150
"Yars2_29051",3
"Tmem109_29052",229
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",253
"Metrn_29056",0
"Serpina9_29057",1
"Sgo1_29058",52
"Degs1_29059",867
"Snx7_29060",25
"H2-Q7_29061",1
"Cdkn2b_29062",1
"Snap25_29063",0
"Atf1_29064",300
"Lrat_29065",0
"Dmtf1_29066",10
"Psmb8_29067",2
"Procr_29068",7
"Ppox_29069",23
"Smc2_29071",2
"Cyp4a12a_29072",0
"Prss23_29074",87
"Ero1l_29075",2373
"Panx1_29076",41
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",21
"Scg2_29080",0
"Prkg1_29081",0
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",1
"Try5_29086",1
"Ifitm3_29087",1889
"Cyp11b1_29088",0
"Cdk6_29089",166
"Fgf21_29090",0
"Ghr_29091",162
"Ugt2b35_29092",0
"Nup93_29093",38
"Actn3_29094",0
"Cat_29095",271
"Cyb561_29096",0
"Wfs1_29097",9
"Gstm2_29098",506
"Fhl2_29099",22
"Nat1_29100",0
"Zmym2_29101",1210
"Il6_29102",6
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",5
"Cep57_29107",12
"Slc5a5_29108",0
"Gadd45a_29109",329
"Zfp131_29110",12
"Cavin4_29112",10
"Cct6a_29113",1013
"Abl1_29114",322
"Appbp2_29115",35
"Mcm4_29116",1
"Nck1_29117",12
"Reg1_29118",0
"Eif4g1_29119",884
"Tgtp2_29120",6
"Triap1_29121",10
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",2
"Fabp2_29125",20
"Cflar_29126",9
"Asah1_29127",718
"Sele_29128",0
"Kif11_29129",24
"Chp1_29131",108
"B3gnt9_29132",21
"Bcl7b_29133",24
"Cul1_29134",445
"Lmod2_29135",0
"Arl1_29136",358
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",580
"B930025B16RIK_29140",8
"Gli1_29141",1
"Ddit3_29142",66
"Prr15l_29143",0
"Cltc_29144",23
"Arnt2_29145",0
"Slc27a1_29146",2
"Nup88_29147",553
"Ndufv3_29149",139
"Srd5a1_29150",3
"Ube3c_29151",8
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",610
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",4
"Stmn1_29158",1
"Glul_29159",2
"Iglc2_29160",1
"Ikzf1_29161",0
"Ankrd10_29162",72
"Tomm34_29163",115
"Eapp_29164",652
"Zeb2_29165",9
"Ugt1a6b_29166",15
"Cybb_29167",0
"Clk1_29168",107
"Sumo1_29169",49
"Ugt1a6a_29170",535
"Ugt1a7c_29171",654
"Slco2b1_29172",0
"Cops5_29173",1346
"Csk_29174",17
"Cyp1a2_29175",2
"Thap11_29176",0
"Cd55_29177",6
"Zzz3_29178",97
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",1
"Psmd9_29183",45
"B4galt1_29184",17
"Gabrg2_29185",0
"Chtf18_29186",0
"2210016H18RIK_29188",10
"Cmpk2_29189",21
"Dynll1_29190",0
"Kctd10_29191",307
"Pebp1_29192",86
"Cfh_29193",74
"Sdc1_29194",17
"Sccpdh_29195",51
"Arhgef12_29196",11
"Ccnc_29197",41
"Zfp318_29198",0
"Ndc80_29199",25
"Plod3_29200",1
"Xpc_29201",2
"Mrps16_29202",670
"Gm43302_29203",1
"Serpina3m_29204",3
"Spdl1_29205",0
"H2bc4_29206",530
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",2
"Zg16_29210",0
"Exosc7_29212",60
"Bid_29213",130
"Mcm2_29214",58
"Ralb_29215",171
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",129
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",43
"Evl_29224",25
"Deptor_29225",0
"Ptger2_29226",0
"Hspa2_29227",50
"Cblb_29228",436
"Ptprk_29229",283
"Dner_29230",0
"Pik3c2a_29231",163
"Vasp_29232",26
"Nup85_29233",71
"Mex3d_29234",85
"St3gal1_29235",6
"Zfp110_29236",71
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",254
"Parpbp_29241",54
"Pfkp_29242",15
"Lamp3_29243",0
"Stx16_29244",26
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",0
"Trp53bp2_29248",10
"Uchl3_29249",22
"Prl2c2_29250",6
"Pcna-ps2_29251",1
"Kctd5_29252",17
"Map3k4_29253",9
"Spib_29254",0
"Snrpg_29255",1
"Topors_29256",105
"Cdc25b_29257",12
"Gclm_29258",3
"Myot_29259",0
"Myom2_29260",8
"Nfkbie_29261",7
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",5
"Npdc1_29266",54
"Pbx1_29267",13
"Unc5c_29268",0
"Dhx29_29269",5
"Copb2_29270",134
"Cbln1_29271",0
"Nipsnap1_29272",11
"Tm9sf3_29274",193
"Casq1_29275",0
"Slc2a10_29276",0
"Cdh2_29277",1
"Ecd_29278",79
"Dnajc9_29279",0
"Isoc1_29280",41
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",26
"Strbp_29284",268
"Fabp5_29285",92
"C9_29286",0
"S100a11_29287",300
"Psmc3ip_29288",11
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",4
"Gdnf_29292",0
"Pin1_29293",3
"Ncor2_29294",359
"Sult1b1_29295",0
"Dipk1a_29296",24
"Glod4_29298",95
"Gulp1_29299",864
"Arpp19_29300",6
"Fbl_29301",1
"Wdhd1_29302",31
"Rpa3_29303",113
"Wars_29304",5
"Hao2_29305",0
"Fdft1_29306",567
"Chka_29307",27
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
