"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",13
"Nme1_29042",1161
"Ctsd_29043",17
"Camk1_29044",97
"Epb41l2_29045",8
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",100
"Yars2_29051",12
"Tmem109_29052",266
"Pcna_29053",2
"Abcg1_29054",0
"Tes_29055",294
"Metrn_29056",1
"Serpina9_29057",1
"Sgo1_29058",97
"Degs1_29059",696
"Snx7_29060",35
"H2-Q7_29061",0
"Cdkn2b_29062",0
"Snap25_29063",0
"Atf1_29064",265
"Lrat_29065",0
"Dmtf1_29066",9
"Psmb8_29067",2
"Procr_29068",5
"Ppox_29069",13
"Smc2_29071",3
"Cyp4a12a_29072",0
"Prss23_29074",82
"Ero1l_29075",2048
"Panx1_29076",45
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",19
"Scg2_29080",0
"Prkg1_29081",8
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",0
"Try5_29086",0
"Ifitm3_29087",2076
"Cyp11b1_29088",0
"Cdk6_29089",193
"Fgf21_29090",0
"Ghr_29091",128
"Ugt2b35_29092",0
"Nup93_29093",40
"Actn3_29094",0
"Cat_29095",264
"Cyb561_29096",0
"Wfs1_29097",10
"Gstm2_29098",531
"Fhl2_29099",46
"Nat1_29100",0
"Zmym2_29101",1302
"Il6_29102",4
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",9
"Cep57_29107",26
"Slc5a5_29108",0
"Gadd45a_29109",264
"Zfp131_29110",24
"Cavin4_29112",7
"Cct6a_29113",844
"Abl1_29114",407
"Appbp2_29115",32
"Mcm4_29116",8
"Nck1_29117",19
"Reg1_29118",0
"Eif4g1_29119",875
"Tgtp2_29120",13
"Triap1_29121",6
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",3
"Fabp2_29125",10
"Cflar_29126",16
"Asah1_29127",782
"Sele_29128",0
"Kif11_29129",22
"Chp1_29131",116
"B3gnt9_29132",14
"Bcl7b_29133",25
"Cul1_29134",501
"Lmod2_29135",0
"Arl1_29136",351
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",555
"B930025B16RIK_29140",5
"Gli1_29141",0
"Ddit3_29142",50
"Prr15l_29143",0
"Cltc_29144",18
"Arnt2_29145",0
"Slc27a1_29146",0
"Nup88_29147",526
"Ndufv3_29149",86
"Srd5a1_29150",4
"Ube3c_29151",0
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",733
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",14
"Stmn1_29158",0
"Glul_29159",0
"Iglc2_29160",1
"Ikzf1_29161",0
"Ankrd10_29162",91
"Tomm34_29163",133
"Eapp_29164",785
"Zeb2_29165",5
"Ugt1a6b_29166",7
"Cybb_29167",0
"Clk1_29168",73
"Sumo1_29169",49
"Ugt1a6a_29170",517
"Ugt1a7c_29171",591
"Slco2b1_29172",0
"Cops5_29173",1599
"Csk_29174",19
"Cyp1a2_29175",0
"Thap11_29176",2
"Cd55_29177",10
"Zzz3_29178",82
"Tnnt3_29180",4
"Mest_29181",0
"Ifi35_29182",1
"Psmd9_29183",72
"B4galt1_29184",21
"Gabrg2_29185",0
"Chtf18_29186",1
"2210016H18RIK_29188",3
"Cmpk2_29189",18
"Dynll1_29190",0
"Kctd10_29191",416
"Pebp1_29192",61
"Cfh_29193",43
"Sdc1_29194",15
"Sccpdh_29195",28
"Arhgef12_29196",8
"Ccnc_29197",39
"Zfp318_29198",0
"Ndc80_29199",49
"Plod3_29200",3
"Xpc_29201",0
"Mrps16_29202",751
"Gm43302_29203",1
"Serpina3m_29204",0
"Spdl1_29205",2
"H2bc4_29206",546
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",2
"Zg16_29210",0
"Exosc7_29212",85
"Bid_29213",102
"Mcm2_29214",21
"Ralb_29215",150
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",94
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",70
"Evl_29224",61
"Deptor_29225",4
"Ptger2_29226",0
"Hspa2_29227",56
"Cblb_29228",525
"Ptprk_29229",338
"Dner_29230",0
"Pik3c2a_29231",259
"Vasp_29232",24
"Nup85_29233",115
"Mex3d_29234",88
"St3gal1_29235",1
"Zfp110_29236",57
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",209
"Parpbp_29241",28
"Pfkp_29242",15
"Lamp3_29243",0
"Stx16_29244",27
"Cyp11b2_29245",0
"Dera_29246",0
"Ptger4_29247",2
"Trp53bp2_29248",15
"Uchl3_29249",30
"Prl2c2_29250",1
"Pcna-ps2_29251",0
"Kctd5_29252",19
"Map3k4_29253",5
"Spib_29254",1
"Snrpg_29255",1
"Topors_29256",120
"Cdc25b_29257",9
"Gclm_29258",12
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",17
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",0
"Npdc1_29266",44
"Pbx1_29267",2
"Unc5c_29268",1
"Dhx29_29269",10
"Copb2_29270",207
"Cbln1_29271",0
"Nipsnap1_29272",9
"Tm9sf3_29274",148
"Casq1_29275",1
"Slc2a10_29276",0
"Cdh2_29277",0
"Ecd_29278",69
"Dnajc9_29279",11
"Isoc1_29280",28
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",18
"Strbp_29284",338
"Fabp5_29285",99
"C9_29286",1
"S100a11_29287",361
"Psmc3ip_29288",14
"Fabp4_29289",0
"Slc16a7_29290",1
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",1
"Ncor2_29294",330
"Sult1b1_29295",0
"Dipk1a_29296",18
"Glod4_29298",100
"Gulp1_29299",982
"Arpp19_29300",4
"Fbl_29301",1
"Wdhd1_29302",52
"Rpa3_29303",162
"Wars_29304",4
"Hao2_29305",0
"Fdft1_29306",465
"Chka_29307",18
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
