"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",27
"Nme1_29042",1481
"Ctsd_29043",71
"Camk1_29044",267
"Epb41l2_29045",40
"Rbfox1_29046",0
"Mup16_29047",2
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",383
"Yars2_29051",14
"Tmem109_29052",430
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",391
"Metrn_29056",3
"Serpina9_29057",7
"Sgo1_29058",75
"Degs1_29059",1302
"Snx7_29060",83
"H2-Q7_29061",5
"Cdkn2b_29062",4
"Snap25_29063",0
"Atf1_29064",738
"Lrat_29065",0
"Dmtf1_29066",19
"Psmb8_29067",4
"Procr_29068",6
"Ppox_29069",34
"Smc2_29071",1
"Cyp4a12a_29072",0
"Prss23_29074",132
"Ero1l_29075",4052
"Panx1_29076",78
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",15
"Scg2_29080",1
"Prkg1_29081",2
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",0
"Try5_29086",2
"Ifitm3_29087",3451
"Cyp11b1_29088",0
"Cdk6_29089",203
"Fgf21_29090",1
"Ghr_29091",414
"Ugt2b35_29092",0
"Nup93_29093",108
"Actn3_29094",0
"Cat_29095",569
"Cyb561_29096",0
"Wfs1_29097",14
"Gstm2_29098",1000
"Fhl2_29099",85
"Nat1_29100",0
"Zmym2_29101",1728
"Il6_29102",2
"Hmgcr_29103",5
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",11
"Cep57_29107",28
"Slc5a5_29108",0
"Gadd45a_29109",613
"Zfp131_29110",23
"Cavin4_29112",17
"Cct6a_29113",1412
"Abl1_29114",658
"Appbp2_29115",60
"Mcm4_29116",0
"Nck1_29117",33
"Reg1_29118",0
"Eif4g1_29119",1414
"Tgtp2_29120",6
"Triap1_29121",15
"Zcchc12_29122",1
"Zfp600_29123",1
"Sell_29124",0
"Fabp2_29125",2
"Cflar_29126",24
"Asah1_29127",1809
"Sele_29128",0
"Kif11_29129",24
"Chp1_29131",255
"B3gnt9_29132",25
"Bcl7b_29133",40
"Cul1_29134",687
"Lmod2_29135",3
"Arl1_29136",582
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",887
"B930025B16RIK_29140",12
"Gli1_29141",0
"Ddit3_29142",149
"Prr15l_29143",0
"Cltc_29144",35
"Arnt2_29145",4
"Slc27a1_29146",14
"Nup88_29147",645
"Ndufv3_29149",108
"Srd5a1_29150",2
"Ube3c_29151",1
"Obscn_29152",5
"Il20_29153",0
"Klhl9_29154",915
"Dlx1_29155",0
"Nrcam_29156",1
"Tab2_29157",31
"Stmn1_29158",0
"Glul_29159",0
"Iglc2_29160",0
"Ikzf1_29161",3
"Ankrd10_29162",175
"Tomm34_29163",211
"Eapp_29164",778
"Zeb2_29165",7
"Ugt1a6b_29166",8
"Cybb_29167",0
"Clk1_29168",246
"Sumo1_29169",125
"Ugt1a6a_29170",863
"Ugt1a7c_29171",882
"Slco2b1_29172",0
"Cops5_29173",1792
"Csk_29174",46
"Cyp1a2_29175",0
"Thap11_29176",3
"Cd55_29177",3
"Zzz3_29178",165
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",2
"Psmd9_29183",106
"B4galt1_29184",31
"Gabrg2_29185",0
"Chtf18_29186",2
"2210016H18RIK_29188",15
"Cmpk2_29189",48
"Dynll1_29190",1
"Kctd10_29191",631
"Pebp1_29192",189
"Cfh_29193",106
"Sdc1_29194",13
"Sccpdh_29195",47
"Arhgef12_29196",35
"Ccnc_29197",39
"Zfp318_29198",0
"Ndc80_29199",43
"Plod3_29200",0
"Xpc_29201",3
"Mrps16_29202",1155
"Gm43302_29203",0
"Serpina3m_29204",5
"Spdl1_29205",0
"H2bc4_29206",1043
"Snurf_29207",1
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",136
"Bid_29213",99
"Mcm2_29214",20
"Ralb_29215",264
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",153
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",81
"Evl_29224",75
"Deptor_29225",2
"Ptger2_29226",0
"Hspa2_29227",97
"Cblb_29228",619
"Ptprk_29229",631
"Dner_29230",0
"Pik3c2a_29231",265
"Vasp_29232",75
"Nup85_29233",127
"Mex3d_29234",207
"St3gal1_29235",7
"Zfp110_29236",121
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",501
"Parpbp_29241",21
"Pfkp_29242",31
"Lamp3_29243",0
"Stx16_29244",71
"Cyp11b2_29245",0
"Dera_29246",1
"Ptger4_29247",1
"Trp53bp2_29248",52
"Uchl3_29249",62
"Prl2c2_29250",9
"Pcna-ps2_29251",1
"Kctd5_29252",15
"Map3k4_29253",23
"Spib_29254",0
"Snrpg_29255",3
"Topors_29256",157
"Cdc25b_29257",10
"Gclm_29258",9
"Myot_29259",0
"Myom2_29260",5
"Nfkbie_29261",27
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",10
"Npdc1_29266",85
"Pbx1_29267",32
"Unc5c_29268",0
"Dhx29_29269",30
"Copb2_29270",404
"Cbln1_29271",0
"Nipsnap1_29272",5
"Tm9sf3_29274",309
"Casq1_29275",0
"Slc2a10_29276",0
"Cdh2_29277",0
"Ecd_29278",168
"Dnajc9_29279",7
"Isoc1_29280",119
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",68
"Strbp_29284",487
"Fabp5_29285",233
"C9_29286",1
"S100a11_29287",632
"Psmc3ip_29288",16
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",15
"Ncor2_29294",470
"Sult1b1_29295",0
"Dipk1a_29296",54
"Glod4_29298",85
"Gulp1_29299",1110
"Arpp19_29300",7
"Fbl_29301",6
"Wdhd1_29302",71
"Rpa3_29303",177
"Wars_29304",21
"Hao2_29305",0
"Fdft1_29306",637
"Chka_29307",46
"Nefm_29308",2
"Mypn_29309",1
"Cpne6_29310",1
