"gene","count"
"Bcat1_29039",2
"Laptm5_29040",0
"Skp2_29041",35
"Nme1_29042",1324
"Ctsd_29043",29
"Camk1_29044",156
"Epb41l2_29045",31
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",2
"Eef1a2_29049",0
"Phlda3_29050",262
"Yars2_29051",20
"Tmem109_29052",494
"Pcna_29053",2
"Abcg1_29054",0
"Tes_29055",430
"Metrn_29056",5
"Serpina9_29057",4
"Sgo1_29058",152
"Degs1_29059",734
"Snx7_29060",80
"H2-Q7_29061",0
"Cdkn2b_29062",4
"Snap25_29063",0
"Atf1_29064",452
"Lrat_29065",0
"Dmtf1_29066",30
"Psmb8_29067",0
"Procr_29068",5
"Ppox_29069",29
"Smc2_29071",4
"Cyp4a12a_29072",0
"Prss23_29074",270
"Ero1l_29075",1284
"Panx1_29076",49
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",9
"Scg2_29080",0
"Prkg1_29081",0
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",0
"Try5_29086",0
"Ifitm3_29087",2207
"Cyp11b1_29088",0
"Cdk6_29089",216
"Fgf21_29090",7
"Ghr_29091",236
"Ugt2b35_29092",0
"Nup93_29093",165
"Actn3_29094",0
"Cat_29095",452
"Cyb561_29096",0
"Wfs1_29097",0
"Gstm2_29098",756
"Fhl2_29099",136
"Nat1_29100",0
"Zmym2_29101",811
"Il6_29102",9
"Hmgcr_29103",6
"Hbb-bh1_29104",0
"Pxmp2_29105",1
"Wrb_29106",21
"Cep57_29107",35
"Slc5a5_29108",0
"Gadd45a_29109",161
"Zfp131_29110",23
"Cavin4_29112",2
"Cct6a_29113",1733
"Abl1_29114",436
"Appbp2_29115",65
"Mcm4_29116",30
"Nck1_29117",31
"Reg1_29118",0
"Eif4g1_29119",1169
"Tgtp2_29120",5
"Triap1_29121",10
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",5
"Cflar_29126",13
"Asah1_29127",1429
"Sele_29128",0
"Kif11_29129",103
"Chp1_29131",330
"B3gnt9_29132",33
"Bcl7b_29133",7
"Cul1_29134",520
"Lmod2_29135",0
"Arl1_29136",485
"Ptpn1_29137",1
"Slc51a_29138",0
"Senp6_29139",700
"B930025B16RIK_29140",15
"Gli1_29141",1
"Ddit3_29142",62
"Prr15l_29143",2
"Cltc_29144",23
"Arnt2_29145",0
"Slc27a1_29146",1
"Nup88_29147",529
"Ndufv3_29149",98
"Srd5a1_29150",2
"Ube3c_29151",1
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",633
"Dlx1_29155",5
"Nrcam_29156",0
"Tab2_29157",44
"Stmn1_29158",0
"Glul_29159",0
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",189
"Tomm34_29163",129
"Eapp_29164",541
"Zeb2_29165",5
"Ugt1a6b_29166",3
"Cybb_29167",0
"Clk1_29168",183
"Sumo1_29169",67
"Ugt1a6a_29170",334
"Ugt1a7c_29171",230
"Slco2b1_29172",0
"Cops5_29173",1498
"Csk_29174",61
"Cyp1a2_29175",0
"Thap11_29176",7
"Cd55_29177",14
"Zzz3_29178",104
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",2
"Psmd9_29183",181
"B4galt1_29184",30
"Gabrg2_29185",0
"Chtf18_29186",14
"2210016H18RIK_29188",4
"Cmpk2_29189",15
"Dynll1_29190",4
"Kctd10_29191",751
"Pebp1_29192",161
"Cfh_29193",50
"Sdc1_29194",27
"Sccpdh_29195",47
"Arhgef12_29196",35
"Ccnc_29197",27
"Zfp318_29198",0
"Ndc80_29199",176
"Plod3_29200",8
"Xpc_29201",0
"Mrps16_29202",898
"Gm43302_29203",0
"Serpina3m_29204",3
"Spdl1_29205",24
"H2bc4_29206",740
"Snurf_29207",2
"Ly86_29208",0
"Cog4_29209",2
"Zg16_29210",0
"Exosc7_29212",198
"Bid_29213",36
"Mcm2_29214",56
"Ralb_29215",124
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",2
"Prkx_29220",89
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",172
"Evl_29224",66
"Deptor_29225",6
"Ptger2_29226",0
"Hspa2_29227",54
"Cblb_29228",381
"Ptprk_29229",479
