"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",10
"Nme1_29042",1383
"Ctsd_29043",35
"Camk1_29044",304
"Epb41l2_29045",12
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",0
"Eef1a2_29049",0
"Phlda3_29050",385
"Yars2_29051",11
"Tmem109_29052",437
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",450
"Metrn_29056",7
"Serpina9_29057",6
"Sgo1_29058",36
"Degs1_29059",578
"Snx7_29060",59
"H2-Q7_29061",0
"Cdkn2b_29062",6
"Snap25_29063",0
"Atf1_29064",544
"Lrat_29065",0
"Dmtf1_29066",59
"Psmb8_29067",2
"Procr_29068",2
"Ppox_29069",29
"Smc2_29071",4
"Cyp4a12a_29072",0
"Prss23_29074",156
"Ero1l_29075",1018
"Panx1_29076",54
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",8
"Scg2_29080",2
"Prkg1_29081",0
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",7
"Try5_29086",0
"Ifitm3_29087",2024
"Cyp11b1_29088",0
"Cdk6_29089",186
"Fgf21_29090",0
"Ghr_29091",313
"Ugt2b35_29092",0
"Nup93_29093",138
"Actn3_29094",0
"Cat_29095",868
"Cyb561_29096",1
"Wfs1_29097",13
"Gstm2_29098",555
"Fhl2_29099",51
"Nat1_29100",0
"Zmym2_29101",1077
"Il6_29102",2
"Hmgcr_29103",2
"Hbb-bh1_29104",0
"Pxmp2_29105",8
"Wrb_29106",27
"Cep57_29107",18
"Slc5a5_29108",0
"Gadd45a_29109",519
"Zfp131_29110",30
"Cavin4_29112",14
"Cct6a_29113",1326
"Abl1_29114",692
"Appbp2_29115",44
"Mcm4_29116",10
"Nck1_29117",43
"Reg1_29118",0
"Eif4g1_29119",1085
"Tgtp2_29120",4
"Triap1_29121",17
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",6
"Cflar_29126",13
"Asah1_29127",1740
"Sele_29128",0
"Kif11_29129",35
"Chp1_29131",254
"B3gnt9_29132",37
"Bcl7b_29133",16
"Cul1_29134",591
"Lmod2_29135",0
"Arl1_29136",765
"Ptpn1_29137",3
"Slc51a_29138",0
"Senp6_29139",1127
"B930025B16RIK_29140",11
"Gli1_29141",2
"Ddit3_29142",183
"Prr15l_29143",1
"Cltc_29144",27
"Arnt2_29145",0
"Slc27a1_29146",3
"Nup88_29147",663
"Ndufv3_29149",166
"Srd5a1_29150",3
"Ube3c_29151",0
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",473
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",37
"Stmn1_29158",0
"Glul_29159",8
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",252
"Tomm34_29163",186
"Eapp_29164",776
"Zeb2_29165",6
"Ugt1a6b_29166",1
"Cybb_29167",0
"Clk1_29168",193
"Sumo1_29169",86
"Ugt1a6a_29170",1145
"Ugt1a7c_29171",711
"Slco2b1_29172",0
"Cops5_29173",1637
"Csk_29174",61
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",5
"Zzz3_29178",152
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",5
"Psmd9_29183",174
"B4galt1_29184",15
"Gabrg2_29185",0
"Chtf18_29186",8
"2210016H18RIK_29188",17
"Cmpk2_29189",10
"Dynll1_29190",0
"Kctd10_29191",813
"Pebp1_29192",154
"Cfh_29193",83
"Sdc1_29194",27
"Sccpdh_29195",53
"Arhgef12_29196",34
"Ccnc_29197",11
"Zfp318_29198",0
"Ndc80_29199",78
"Plod3_29200",9
"Xpc_29201",5
"Mrps16_29202",1035
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",1
"H2bc4_29206",767
"Snurf_29207",4
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",178
"Bid_29213",54
"Mcm2_29214",36
"Ralb_29215",260
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",0
"Prkx_29220",50
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",101
"Evl_29224",53
"Deptor_29225",3
"Ptger2_29226",0
"Hspa2_29227",73
"Cblb_29228",505
"Ptprk_29229",360
"Dner_29230",0
"Pik3c2a_29231",97
"Vasp_29232",190
"Nup85_29233",261
"Mex3d_29234",229
"St3gal1_29235",9
"Zfp110_29236",82
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",264
"Parpbp_29241",51
"Pfkp_29242",34
"Lamp3_29243",0
"Stx16_29244",146
"Cyp11b2_29245",0
"Dera_29246",2
"Ptger4_29247",8
"Trp53bp2_29248",44
"Uchl3_29249",38
"Prl2c2_29250",1
"Pcna-ps2_29251",0
"Kctd5_29252",32
"Map3k4_29253",25
"Spib_29254",3
"Snrpg_29255",1
"Topors_29256",100
"Cdc25b_29257",20
"Gclm_29258",23
"Myot_29259",0
"Myom2_29260",1
"Nfkbie_29261",30
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",4
"Npdc1_29266",106
"Pbx1_29267",17
"Unc5c_29268",1
"Dhx29_29269",34
"Copb2_29270",401
"Cbln1_29271",1
"Nipsnap1_29272",11
"Tm9sf3_29274",214
"Casq1_29275",0
"Slc2a10_29276",0
"Cdh2_29277",7
"Ecd_29278",225
"Dnajc9_29279",4
"Isoc1_29280",105
"Rbm22_29281",1
"Zfp82_29282",0
"Creb1_29283",54
"Strbp_29284",373
"Fabp5_29285",209
"C9_29286",0
"S100a11_29287",709
"Psmc3ip_29288",21
"Fabp4_29289",0
"Slc16a7_29290",1
"Rnase1_29291",0
"Gdnf_29292",1
"Pin1_29293",9
"Ncor2_29294",775
"Sult1b1_29295",0
"Dipk1a_29296",28
"Glod4_29298",182
"Gulp1_29299",586
"Arpp19_29300",2
"Fbl_29301",0
"Wdhd1_29302",100
"Rpa3_29303",143
"Wars_29304",24
"Hao2_29305",0
"Fdft1_29306",445
"Chka_29307",29
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",2
