"gene","count"
"Bcat1_29039",3
"Laptm5_29040",0
"Skp2_29041",0
"Nme1_29042",3944
"Ctsd_29043",56
"Camk1_29044",74
"Epb41l2_29045",18
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",4
"Eef1a2_29049",0
"Phlda3_29050",161
"Yars2_29051",176
"Tmem109_29052",454
"Pcna_29053",7
"Abcg1_29054",54
"Tes_29055",700
"Metrn_29056",48
"Serpina9_29057",0
"Sgo1_29058",85
"Degs1_29059",490
"Snx7_29060",43
"H2-Q7_29061",8
"Cdkn2b_29062",35
"Snap25_29063",0
"Atf1_29064",235
"Lrat_29065",1
"Dmtf1_29066",135
"Psmb8_29067",5
"Procr_29068",4
"Ppox_29069",158
"Smc2_29071",8
"Cyp4a12a_29072",0
"Prss23_29074",106
"Ero1l_29075",708
"Panx1_29076",17
"Pnliprp1_29077",0
"Inmt_29078",31
"Atp6v1f_29079",4
"Scg2_29080",7
"Prkg1_29081",9
"Cyp2f2_29082",0
"Pdgfb_29083",55
"Pdhx_29085",0
"Try5_29086",0
"Ifitm3_29087",911
"Cyp11b1_29088",0
"Cdk6_29089",146
"Fgf21_29090",0
"Ghr_29091",68
"Ugt2b35_29092",0
"Nup93_29093",85
"Actn3_29094",3
"Cat_29095",9
"Cyb561_29096",13
"Wfs1_29097",69
"Gstm2_29098",44
"Fhl2_29099",80
"Nat1_29100",0
"Zmym2_29101",94
"Il6_29102",0
"Hmgcr_29103",7
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",30
"Cep57_29107",86
"Slc5a5_29108",0
"Gadd45a_29109",318
"Zfp131_29110",120
"Cavin4_29112",33
"Cct6a_29113",3739
"Abl1_29114",6
"Appbp2_29115",331
"Mcm4_29116",12
"Nck1_29117",0
"Reg1_29118",4
"Eif4g1_29119",1050
"Tgtp2_29120",7
"Triap1_29121",24
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",0
"Cflar_29126",5
"Asah1_29127",0
"Sele_29128",0
"Kif11_29129",0
"Chp1_29131",1621
"B3gnt9_29132",1
"Bcl7b_29133",4
"Cul1_29134",55
"Lmod2_29135",0
"Arl1_29136",42
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",291
"B930025B16RIK_29140",0
"Gli1_29141",5
"Ddit3_29142",151
"Prr15l_29143",0
"Cltc_29144",170
"Arnt2_29145",0
"Slc27a1_29146",33
"Nup88_29147",391
"Ndufv3_29149",39
"Srd5a1_29150",14
"Ube3c_29151",52
"Obscn_29152",2
"Il20_29153",0
"Klhl9_29154",70
"Dlx1_29155",7
"Nrcam_29156",0
"Tab2_29157",15
"Stmn1_29158",0
"Glul_29159",58
"Iglc2_29160",9
"Ikzf1_29161",20
"Ankrd10_29162",273
"Tomm34_29163",1111
"Eapp_29164",47
"Zeb2_29165",7
"Ugt1a6b_29166",5
"Cybb_29167",32
"Clk1_29168",8
"Sumo1_29169",0
"Ugt1a6a_29170",29
"Ugt1a7c_29171",10
"Slco2b1_29172",0
"Cops5_29173",29
"Csk_29174",41
"Cyp1a2_29175",19
"Thap11_29176",7
"Cd55_29177",0
"Zzz3_29178",62
"Tnnt3_29180",44
"Mest_29181",5
"Ifi35_29182",6
"Psmd9_29183",236
"B4galt1_29184",39
"Gabrg2_29185",0
"Chtf18_29186",190
"2210016H18RIK_29188",0
"Cmpk2_29189",0
"Dynll1_29190",0
"Kctd10_29191",545
"Pebp1_29192",128
"Cfh_29193",58
"Sdc1_29194",24
"Sccpdh_29195",177
"Arhgef12_29196",81
"Ccnc_29197",0
"Zfp318_29198",0
"Ndc80_29199",105
"Plod3_29200",33
"Xpc_29201",0
"Mrps16_29202",141
"Gm43302_29203",5
"Serpina3m_29204",0
"Spdl1_29205",12
"H2bc4_29206",134
"Snurf_29207",0
"Ly86_29208",18
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",840
"Bid_29213",0
"Mcm2_29214",1215
"Ralb_29215",10
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",29
"Prkx_29220",6
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",112
"Evl_29224",579
"Deptor_29225",53
"Ptger2_29226",0
"Hspa2_29227",91
"Cblb_29228",326
"Ptprk_29229",143
"Dner_29230",7
"Pik3c2a_29231",11
"Vasp_29232",162
"Nup85_29233",972
"Mex3d_29234",165
"St3gal1_29235",14
"Zfp110_29236",63
"Ramp2_29237",27
"Cyp2e1_29238",0
"Tbpl1_29239",77
"Parpbp_29241",26
"Pfkp_29242",52
"Lamp3_29243",0
"Stx16_29244",26
"Cyp11b2_29245",0
"Dera_29246",5
"Ptger4_29247",28
"Trp53bp2_29248",125
"Uchl3_29249",0
"Prl2c2_29250",36
"Pcna-ps2_29251",0
"Kctd5_29252",61
"Map3k4_29253",32
"Spib_29254",10
"Snrpg_29255",8
"Topors_29256",0
"Cdc25b_29257",904
"Gclm_29258",7
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",14
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",0
"Npdc1_29266",14
"Pbx1_29267",46
"Unc5c_29268",12
"Dhx29_29269",25
"Copb2_29270",802
"Cbln1_29271",0
"Nipsnap1_29272",46
"Tm9sf3_29274",97
"Casq1_29275",0
"Slc2a10_29276",3
"Cdh2_29277",2
"Ecd_29278",665
"Dnajc9_29279",268
"Isoc1_29280",34
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",95
"Strbp_29284",98
"Fabp5_29285",227
"C9_29286",0
"S100a11_29287",3066
"Psmc3ip_29288",33
"Fabp4_29289",4
"Slc16a7_29290",0
"Rnase1_29291",3
"Gdnf_29292",44
"Pin1_29293",6
"Ncor2_29294",1082
"Sult1b1_29295",0
"Dipk1a_29296",11
"Glod4_29298",0
"Gulp1_29299",5
"Arpp19_29300",3
"Fbl_29301",3
"Wdhd1_29302",527
"Rpa3_29303",433
"Wars_29304",242
"Hao2_29305",8
"Fdft1_29306",439
"Chka_29307",12
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
"Klhl13_29312",0
"Casp3_29313",837
"Man2b1_29315",218
"Prl2c3_29316",12
"Lamp1_29317",1719
"Atg3_29318",105
"S100a8_29319",3
"Mmp1a_29320",0
"Klhl14_29321",0
"Slc25a13_29322",9
"Nup133_29323",0
"Grin1_29324",0
"Kat6a_29325",357
"Pcdhac1_29326",0
"Slc10a2_29328",0
"Asna1_29329",131
"Alyref2_29330",0
"Hba-a2_29332",17
"Hba-a1_29333",7
"Banf1_29334",175
"Kif1bp_29335",39
"Snrpb_29336",2215
"Mrps17_29337",379
"Car4_29338",0
"Rpl22_29339",9475
"Hsd17b6_29340",0
"Dynlrb1_29341",256
"Gins2_29342",10
"Col2a1_29343",0
"Sult2a1_29344",8
"Smc1a_29345",98
"Xlr4b_29346",456
"Slc47a1_29347",10
"Sult2a5_29348",0
"Pde4c_29349",43
"Cyp4a31_29350",0
"Cyp4a14_29351",0
"Mcm6_29352",33
"Tbc1d10c_29353",8
"Arfip2_29354",8
"Cryba1_29355",0
"Cxcl2_29356",0
"Sumf2_29357",35
"Gabra1_29358",0
"Btg2_29359",961
"Mtx2_29360",77
"Cyp11a1_29361",0
"Tspan3_29362",1138
"Eno2_29363",430
"Tceal9_29364",99
"Apoa5_29365",0
"Acot10_29366",0
"Serpina3n_29367",6
"Saa1_29368",0
"Tcfl5_29369",0
"Klrb1a_29370",0
"Dtl_29371",14
"Hbb-y_29372",0
"Yap1_29373",4
"Ripk3_29374",203
"Tert_29375",9
"Acadvl_29377",236
"Nos1_29378",0
"F2r_29379",216
"Sh3bp5_29381",89
"Fabp1_29382",9
"Hoxb5_29383",0
"Ccne2_29384",2
"Rrp8_29385",7
"Slc18a2_29386",0
"Mllt11_29387",106
"Tfdp1_29388",431
"Clic4_29389",1709
"Birc2_29390",8
"Aqp1_29391",137
"Cela2a_29392",0
"Gxylt1_29393",118
"Arxes2_29394",174
"Cog7_29395",17
"Hp_29396",0
"Slc22a7_29397",0
"Pbdc1_29398",3354
"Ubr7_29399",139
"H2bc7_29400",40
"Mrps6_29401",143
"Mylk4_29402",0
"Armcx4_29403",0
"Fbxo5_29404",163
"Exosc4_29405",143
"Msh6_29406",184
"Entpd8_29407",4
"Ext1_29408",424
"Asb14_29409",0
"Mast2_29410",96
"Fgfr2_29411",0
"Samd9l_29412",0
"Abcd1_29413",17
"Smarcc1_29414",61
"Slc6a8_29415",143
"Hoxb6_29416",9
"Ces2f_29417",0
"Prr7_29418",7
"Pafah1b1_29419",2
"Grb2_29420",6
"Clstn1_29421",1374
"Rgs2_29422",8
"Slc22a1_29423",4
"Ei24_29424",0
"Rbm6_29425",30
"Slc7a6_29426",32
"Col1a1_29427",8411
"Acaa1a_29428",57
"Orc6_29429",757
"Igf2r_29430",86
"Cxcl10_29431",17
"Ndufa5_29432",0
"Psme2_29433",44
"Ddit4_29434",83
"Abcb1a_29435",4
"Lef1_29436",51
"Hadh_29437",24
"Tmprss6_29438",10
"Capg_29439",46
"Kng1_29440",0
"Grwd1_29441",28
"Prdx1_29442",132
"Hdc_29443",16
"Ano10_29445",35
"Mcm8_29446",143
"Igfbp7_29447",112
"Cela3a_29448",0
"Prkag1_29449",153
"Ceacam1_29450",0
"Mapkapk3_29451",66
"Tor1a_29452",14
"Ephx1_29453",49
"Relb_29454",114
"E2f1_29455",0
"Pcdh8_29456",0
"Col8a1_29457",77
"St7_29458",2
"Eno3_29459",92
"Irf6_29460",0
"Trav9d-3_29461",0
"Mmp9_29462",5
"Pcdha1_29463",22
"AA415038_29464",13
"Sorbs3_29465",27
"Cyp3a44_29466",0
"Elac2_29467",7
"Cd5_29468",7
"Gli2_29469",6
"Cpsf1_29470",579
"Prps1l3_29471",20
"Spcs3_29472",3212
"Tsku_29473",7
"Zfp960_29475",4
"Plcxd3_29476",0
"Ccnb2_29477",185
"Egr2_29478",56
"Dennd2d_29479",5
"Atp5e_29480",73
"Cryz_29482",874
"Arhgap11a_29483",0
"Oxa1l_29484",6
"Rad51c_29485",79
"Sycn_29486",0
"Mapkapk5_29487",40
"Hs6st2_29488",0
"Fis1_29489",61
"Cd300lb_29490",23
"Cgrrf1_29491",101
"Tcf19_29492",40
"Pnkp_29493",31
"Trp53inp2_29494",5
"Parp1_29495",150
"Dclre1c_29496",0
"Sept5_29497",107
"Fstl5_29498",15
"Pf4_29499",78
"Cxcl3_29500",0
"Cxcl1_29501",27
"Pde6b_29502",4
"Nqo1_29503",101
"Puf60_29504",4212
"F5_29505",0
"Vegfa_29506",184
"Fkbp4_29507",2013
"Cox6b1_29508",380
"Decr1_29509",0
"Oosp1_29510",0
"Baat_29511",0
"Serpina3k_29512",0
"Cog2_29513",11
"Syt11_29514",0
"Stxbp2_29515",0
"Ska3_29516",6
"Aldob_29517",0
"Iglc2_29518",56
"Hspa1l_29519",15
"Dbh_29520",0
"Igfbp6_29521",443
"Plk4_29522",227
"Cyp2w1_29523",21
"Grm1_29524",0
"Krt18_29525",1103
"Mpc2_29526",128
"Tuba4a_29527",1052
"F11_29528",3
"Slc39a7_29529",679
"Gzme_29530",0
"Klf4_29531",5
"Stap2_29532",7
"Ctnnal1_29533",7
"Prss2_29534",0
"Gpm6b_29535",0
"Pde6g_29536",14
"Gm20831_29537",0
"Mip_29538",0
"Acot9_29539",78
"Rad51ap1_29540",71
"Atp5b_29541",2783
"Clk2_29542",27
"Usp14_29543",17
"Skp1a_29544",1471
"Sgcb_29545",769
"Stil_29546",0
"Maob_29547",0
"Cdh7_29548",6
"Lyn_29549",0
"Sprr2a3_29550",6
"Psen1_29551",14
"Kif18b_29552",92
"Gemin6_29553",442
"Mtmr2_29554",0
"Sox17_29555",0
"Lypla1_29556",117
"Krt1_29557",23
"Dffa_29558",13
"Mup3_29559",0
"Mup19_29560",0
"Trib3_29561",577
"Gdf7_29562",12
"Pdha1_29563",65
"Fen1_29564",96
"Bst2_29565",72
"Scrn1_29566",31
"Iars2_29567",113
"Ccl9_29568",3
"Elp1_29569",232
"Xiap_29570",0
"Rpa2_29571",62
"Crp_29572",0
"Rfc5_29573",40
"Nucb2_29574",449
"Fbxo11_29575",71
"Polr1c_29576",387
"Foxo4_29577",208
"Slc2a2_29578",0
"Stx1a_29579",38
"Rbp3_29580",0
"Cacybp_29581",556
"Tslp_29582",31
"Sgcg_29583",0
"Ruvbl1_29584",212
"Htr5a_29585",0
"Rassf5_29586",279
"Tsen2_29587",188
"Mapk1_29588",20
"Ncbp2_29589",41
"Abcf1_29590",187
"Atp2c1_29591",12
"Scp2_29592",12
"Vbp1_29593",0
"Plg_29594",11
"Snrpe_29595",43
"Hk1_29596",248
"Bloc1s1_29597",600
"Nmt1_29598",193
"Prkacb_29599",0
"Pdlim2_29600",0
"Pkig_29601",0
"Edn1_29602",6
"Rrm2_29603",745
"Elovl2_29604",0
"Lgals8_29605",7
"Nr2f2_29606",417
"Pex11a_29607",0
"Gdpd3_29608",14
"Pik3r3_29609",12
"Opn1sw_29610",0
"Bsg_29611",0
"Sytl2_29612",6
"Pdcd11_29613",28
"Insl3_29614",2
"Hmgcs2_29615",0
"Aaas_29616",33
"Dck_29617",14
"Pramel3_29618",0
"Phpt1_29619",0
"Aspn_29620",19
"Il1f9_29621",0
"4833414E09RIK_29622",102
"Clec4e_29623",0
"Atad3a_29624",28
"Klhdc8b_29625",8
"Znrd1_29627",18
"Ins2_29628",2
"Pantr1_29629",0
"S100a13_29630",0
"Nsun2_29631",583
"Atp5md_29632",0
"Xlr3a_29633",230
"P4htm_29634",13
"Cd44_29635",3851
"AW112010_29636",0
"Aimp1_29637",398
"Col6a2_29638",28
"Capn1_29639",58
"Apol7c_29640",0
"Fzd2_29641",23
"Cyp19a1_29642",0
"Crkl_29643",55
"Pik3c2b_29644",0
"Fat1_29645",791
"Cherp_29646",6
"Por_29647",100
"Ngb_29648",0
"Cd320_29649",0
"H2-T3_29650",0
"Hspa5_29651",2348
"Zfp980_29652",4
"Cnksr3_29653",74
"Dcpp3_29654",0
"Prdx3_29656",111
"Steap4_29657",0
"Hells_29658",423
"Ube2a_29659",550
"Dnm1_29660",0
"Cyp2c55_29661",23
"Dusp14_29663",18
"Lsm2_29664",208
"Chgb_29666",0
"Gas5_29667",0
"Greb1_29668",12
"Csprs_29669",0
"Fkbp5_29670",301
"Ugt2b35_29671",0
"G6pc_29672",0
"Car1_29673",0
"Trdn_29674",0
"Rps6_29675",2689
"Gap43_29676",5
"Tubg1_29677",812
"Ccnh_29679",13
"Casp7_29680",6
"Ces2d-ps_29681",5
"Eci1_29682",323
