"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",59
"Nme1_29042",2693
"Ctsd_29043",30
"Camk1_29044",157
"Epb41l2_29045",44
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",6
"Eef1a2_29049",0
"Phlda3_29050",241
"Yars2_29051",35
"Tmem109_29052",319
"Pcna_29053",2
"Abcg1_29054",0
"Tes_29055",555
"Metrn_29056",7
"Serpina9_29057",0
"Sgo1_29058",348
"Degs1_29059",1547
"Snx7_29060",68
"H2-Q7_29061",0
"Cdkn2b_29062",0
"Snap25_29063",0
"Atf1_29064",756
"Lrat_29065",0
"Dmtf1_29066",24
"Psmb8_29067",3
"Procr_29068",10
"Ppox_29069",41
"Smc2_29071",11
"Cyp4a12a_29072",0
"Prss23_29074",193
"Ero1l_29075",3179
"Panx1_29076",98
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",19
"Scg2_29080",0
"Prkg1_29081",1
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",3
"Try5_29086",2
"Ifitm3_29087",2856
"Cyp11b1_29088",6
"Cdk6_29089",218
"Fgf21_29090",0
"Ghr_29091",276
"Ugt2b35_29092",0
"Nup93_29093",240
"Actn3_29094",0
"Cat_29095",548
"Cyb561_29096",0
"Wfs1_29097",4
"Gstm2_29098",422
"Fhl2_29099",90
"Nat1_29100",0
"Zmym2_29101",1323
"Il6_29102",6
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",0
"Wrb_29106",7
"Cep57_29107",43
"Slc5a5_29108",4
"Gadd45a_29109",405
"Zfp131_29110",21
"Cavin4_29112",10
"Cct6a_29113",2209
"Abl1_29114",452
"Appbp2_29115",93
"Mcm4_29116",33
"Nck1_29117",9
"Reg1_29118",0
"Eif4g1_29119",1718
"Tgtp2_29120",4
"Triap1_29121",8
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",1
"Cflar_29126",21
"Asah1_29127",846
"Sele_29128",0
"Kif11_29129",215
"Chp1_29131",198
"B3gnt9_29132",6
"Bcl7b_29133",38
"Cul1_29134",684
"Lmod2_29135",0
"Arl1_29136",344
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",631
"B930025B16RIK_29140",25
"Gli1_29141",0
"Ddit3_29142",62
"Prr15l_29143",0
"Cltc_29144",33
"Arnt2_29145",7
"Slc27a1_29146",11
"Nup88_29147",765
"Ndufv3_29149",157
"Srd5a1_29150",0
"Ube3c_29151",2
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",818
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",16
"Stmn1_29158",0
"Glul_29159",5
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",91
"Tomm34_29163",178
"Eapp_29164",732
"Zeb2_29165",14
"Ugt1a6b_29166",26
"Cybb_29167",0
"Clk1_29168",183
"Sumo1_29169",90
"Ugt1a6a_29170",402
"Ugt1a7c_29171",295
"Slco2b1_29172",0
"Cops5_29173",1845
"Csk_29174",26
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",5
"Zzz3_29178",110
"Tnnt3_29180",3
"Mest_29181",2
"Ifi35_29182",7
"Psmd9_29183",126
"B4galt1_29184",36
"Gabrg2_29185",0
"Chtf18_29186",33
"2210016H18RIK_29188",3
"Cmpk2_29189",22
"Dynll1_29190",3
"Kctd10_29191",546
"Pebp1_29192",187
"Cfh_29193",28
"Sdc1_29194",25
"Sccpdh_29195",74
"Arhgef12_29196",26
"Ccnc_29197",39
"Zfp318_29198",0
"Ndc80_29199",331
"Plod3_29200",1
"Xpc_29201",2
"Mrps16_29202",1172
"Gm43302_29203",8
"Serpina3m_29204",0
"Spdl1_29205",22
"H2bc4_29206",520
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",3
"Zg16_29210",0
"Exosc7_29212",186
"Bid_29213",93
"Mcm2_29214",123
"Ralb_29215",178
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",5
"Prkx_29220",202
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",92
"Evl_29224",85
"Deptor_29225",4
"Ptger2_29226",0
"Hspa2_29227",110
"Cblb_29228",493
"Ptprk_29229",692
"Dner_29230",0
"Pik3c2a_29231",253
"Vasp_29232",25
"Nup85_29233",332
"Mex3d_29234",218
"St3gal1_29235",14
"Zfp110_29236",132
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",423
"Parpbp_29241",301
"Pfkp_29242",21
"Lamp3_29243",0
"Stx16_29244",72
"Cyp11b2_29245",0
"Dera_29246",1
"Ptger4_29247",0
"Trp53bp2_29248",42
"Uchl3_29249",107
"Prl2c2_29250",76
"Pcna-ps2_29251",1
"Kctd5_29252",28
"Map3k4_29253",21
"Spib_29254",3
"Snrpg_29255",3
"Topors_29256",82
"Cdc25b_29257",35
"Gclm_29258",26
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",18
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",2
"Npdc1_29266",43
"Pbx1_29267",20
"Unc5c_29268",0
"Dhx29_29269",25
"Copb2_29270",356
"Cbln1_29271",0
"Nipsnap1_29272",17
"Tm9sf3_29274",389
"Casq1_29275",0
"Slc2a10_29276",7
"Cdh2_29277",2
"Ecd_29278",147
"Dnajc9_29279",28
"Isoc1_29280",68
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",113
"Strbp_29284",393
"Fabp5_29285",827
"C9_29286",0
"S100a11_29287",1597
"Psmc3ip_29288",71
"Fabp4_29289",2
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",0
"Ncor2_29294",446
"Sult1b1_29295",0
"Dipk1a_29296",43
"Glod4_29298",92
"Gulp1_29299",848
"Arpp19_29300",16
"Fbl_29301",4
"Wdhd1_29302",165
"Rpa3_29303",361
"Wars_29304",12
"Hao2_29305",0
"Fdft1_29306",836
"Chka_29307",32
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",1
