"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",34
"Nme1_29042",1905
"Ctsd_29043",46
"Camk1_29044",141
"Epb41l2_29045",52
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",1
"Eef1a2_29049",0
"Phlda3_29050",211
"Yars2_29051",37
"Tmem109_29052",332
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",412
"Metrn_29056",8
"Serpina9_29057",0
"Sgo1_29058",203
"Degs1_29059",1253
"Snx7_29060",94
"H2-Q7_29061",0
"Cdkn2b_29062",5
"Snap25_29063",0
"Atf1_29064",552
"Lrat_29065",0
"Dmtf1_29066",27
"Psmb8_29067",3
"Procr_29068",12
"Ppox_29069",32
"Smc2_29071",11
"Cyp4a12a_29072",0
"Prss23_29074",177
"Ero1l_29075",2153
"Panx1_29076",85
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",25
"Scg2_29080",0
"Prkg1_29081",5
"Cyp2f2_29082",0
"Pdgfb_29083",2
"Pdhx_29085",2
"Try5_29086",0
"Ifitm3_29087",2230
"Cyp11b1_29088",0
"Cdk6_29089",203
"Fgf21_29090",0
"Ghr_29091",221
"Ugt2b35_29092",0
"Nup93_29093",237
"Actn3_29094",0
"Cat_29095",711
"Cyb561_29096",0
"Wfs1_29097",32
"Gstm2_29098",442
"Fhl2_29099",57
"Nat1_29100",0
"Zmym2_29101",921
"Il6_29102",0
"Hmgcr_29103",0
"Hbb-bh1_29104",0
"Pxmp2_29105",5
"Wrb_29106",6
"Cep57_29107",51
"Slc5a5_29108",2
"Gadd45a_29109",351
"Zfp131_29110",15
"Cavin4_29112",11
"Cct6a_29113",1709
"Abl1_29114",402
"Appbp2_29115",90
"Mcm4_29116",12
"Nck1_29117",27
"Reg1_29118",0
"Eif4g1_29119",1284
"Tgtp2_29120",4
"Triap1_29121",6
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",1
"Cflar_29126",25
"Asah1_29127",1252
"Sele_29128",0
"Kif11_29129",188
"Chp1_29131",293
"B3gnt9_29132",33
"Bcl7b_29133",18
"Cul1_29134",587
"Lmod2_29135",0
"Arl1_29136",251
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",660
"B930025B16RIK_29140",12
"Gli1_29141",0
"Ddit3_29142",152
"Prr15l_29143",1
"Cltc_29144",55
"Arnt2_29145",3
"Slc27a1_29146",14
"Nup88_29147",687
"Ndufv3_29149",147
"Srd5a1_29150",9
"Ube3c_29151",15
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",722
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",53
"Stmn1_29158",0
"Glul_29159",11
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",165
"Tomm34_29163",190
"Eapp_29164",545
"Zeb2_29165",10
"Ugt1a6b_29166",19
"Cybb_29167",0
"Clk1_29168",220
"Sumo1_29169",42
"Ugt1a6a_29170",413
"Ugt1a7c_29171",238
"Slco2b1_29172",0
"Cops5_29173",1438
"Csk_29174",30
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",0
"Zzz3_29178",107
"Tnnt3_29180",3
"Mest_29181",0
"Ifi35_29182",0
"Psmd9_29183",144
"B4galt1_29184",32
"Gabrg2_29185",0
"Chtf18_29186",17
"2210016H18RIK_29188",7
"Cmpk2_29189",30
"Dynll1_29190",1
"Kctd10_29191",537
"Pebp1_29192",187
"Cfh_29193",36
"Sdc1_29194",29
"Sccpdh_29195",34
"Arhgef12_29196",23
"Ccnc_29197",45
"Zfp318_29198",0
"Ndc80_29199",289
"Plod3_29200",4
"Xpc_29201",3
"Mrps16_29202",884
"Gm43302_29203",1
"Serpina3m_29204",0
"Spdl1_29205",19
"H2bc4_29206",443
"Snurf_29207",3
"Ly86_29208",0
"Cog4_29209",0
"Zg16_29210",0
"Exosc7_29212",202
"Bid_29213",72
"Mcm2_29214",126
"Ralb_29215",139
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",5
"Prkx_29220",121
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",98
"Evl_29224",98
"Deptor_29225",0
"Ptger2_29226",0
"Hspa2_29227",64
"Cblb_29228",376
"Ptprk_29229",642
"Dner_29230",0
"Pik3c2a_29231",93
"Vasp_29232",43
"Nup85_29233",375
"Mex3d_29234",217
"St3gal1_29235",5
"Zfp110_29236",96
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",407
"Parpbp_29241",355
"Pfkp_29242",18
"Lamp3_29243",0
"Stx16_29244",113
"Cyp11b2_29245",0
"Dera_29246",1
"Ptger4_29247",2
"Trp53bp2_29248",41
"Uchl3_29249",75
"Prl2c2_29250",32
"Pcna-ps2_29251",9
"Kctd5_29252",31
"Map3k4_29253",25
"Spib_29254",0
"Snrpg_29255",0
"Topors_29256",73
"Cdc25b_29257",55
"Gclm_29258",31
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",15
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",7
"Npdc1_29266",72
"Pbx1_29267",33
"Unc5c_29268",0
"Dhx29_29269",17
"Copb2_29270",354
"Cbln1_29271",1
"Nipsnap1_29272",15
"Tm9sf3_29274",405
"Casq1_29275",0
"Slc2a10_29276",4
"Cdh2_29277",1
"Ecd_29278",166
"Dnajc9_29279",41
"Isoc1_29280",82
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",108
"Strbp_29284",315
"Fabp5_29285",841
"C9_29286",1
"S100a11_29287",1144
"Psmc3ip_29288",48
"Fabp4_29289",1
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",9
"Ncor2_29294",375
"Sult1b1_29295",0
"Dipk1a_29296",61
"Glod4_29298",131
"Gulp1_29299",548
"Arpp19_29300",7
"Fbl_29301",9
"Wdhd1_29302",169
"Rpa3_29303",366
"Wars_29304",23
"Hao2_29305",1
"Fdft1_29306",523
"Chka_29307",57
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
