"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",43
"Nme1_29042",2396
"Ctsd_29043",20
"Camk1_29044",163
"Epb41l2_29045",53
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",1
"Eef1a2_29049",0
"Phlda3_29050",261
"Yars2_29051",29
"Tmem109_29052",369
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",575
"Metrn_29056",3
"Serpina9_29057",0
"Sgo1_29058",292
"Degs1_29059",1400
"Snx7_29060",85
"H2-Q7_29061",0
"Cdkn2b_29062",10
"Snap25_29063",0
"Atf1_29064",723
"Lrat_29065",0
"Dmtf1_29066",50
"Psmb8_29067",2
"Procr_29068",19
"Ppox_29069",32
"Smc2_29071",18
"Cyp4a12a_29072",0
"Prss23_29074",257
"Ero1l_29075",2239
"Panx1_29076",78
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",27
"Scg2_29080",0
"Prkg1_29081",12
"Cyp2f2_29082",0
"Pdgfb_29083",0
"Pdhx_29085",21
"Try5_29086",0
"Ifitm3_29087",2826
"Cyp11b1_29088",0
"Cdk6_29089",288
"Fgf21_29090",0
"Ghr_29091",232
"Ugt2b35_29092",0
"Nup93_29093",248
"Actn3_29094",0
"Cat_29095",715
"Cyb561_29096",0
"Wfs1_29097",27
"Gstm2_29098",709
"Fhl2_29099",62
"Nat1_29100",0
"Zmym2_29101",1138
"Il6_29102",6
"Hmgcr_29103",5
"Hbb-bh1_29104",0
"Pxmp2_29105",2
"Wrb_29106",3
"Cep57_29107",75
"Slc5a5_29108",2
"Gadd45a_29109",322
"Zfp131_29110",35
"Cavin4_29112",15
"Cct6a_29113",2053
"Abl1_29114",466
"Appbp2_29115",79
"Mcm4_29116",32
"Nck1_29117",35
"Reg1_29118",0
"Eif4g1_29119",1488
"Tgtp2_29120",8
"Triap1_29121",14
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",3
"Cflar_29126",19
"Asah1_29127",1371
"Sele_29128",0
"Kif11_29129",240
"Chp1_29131",320
"B3gnt9_29132",41
"Bcl7b_29133",23
"Cul1_29134",680
"Lmod2_29135",0
"Arl1_29136",351
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",828
"B930025B16RIK_29140",23
"Gli1_29141",0
"Ddit3_29142",169
"Prr15l_29143",0
"Cltc_29144",43
"Arnt2_29145",0
"Slc27a1_29146",11
"Nup88_29147",802
"Ndufv3_29149",198
"Srd5a1_29150",1
"Ube3c_29151",3
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",875
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",63
"Stmn1_29158",1
"Glul_29159",6
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",188
"Tomm34_29163",208
"Eapp_29164",689
"Zeb2_29165",12
"Ugt1a6b_29166",11
"Cybb_29167",0
"Clk1_29168",258
"Sumo1_29169",75
"Ugt1a6a_29170",391
"Ugt1a7c_29171",248
"Slco2b1_29172",1
"Cops5_29173",1704
"Csk_29174",36
"Cyp1a2_29175",0
"Thap11_29176",2
"Cd55_29177",0
"Zzz3_29178",114
"Tnnt3_29180",0
"Mest_29181",0
"Ifi35_29182",7
"Psmd9_29183",176
"B4galt1_29184",12
"Gabrg2_29185",0
"Chtf18_29186",44
"2210016H18RIK_29188",5
"Cmpk2_29189",46
"Dynll1_29190",0
"Kctd10_29191",718
"Pebp1_29192",228
"Cfh_29193",24
"Sdc1_29194",15
"Sccpdh_29195",65
"Arhgef12_29196",35
"Ccnc_29197",37
"Zfp318_29198",0
"Ndc80_29199",343
"Plod3_29200",4
"Xpc_29201",6
"Mrps16_29202",1075
"Gm43302_29203",1
"Serpina3m_29204",1
"Spdl1_29205",45
"H2bc4_29206",497
"Snurf_29207",3
"Ly86_29208",0
"Cog4_29209",1
"Zg16_29210",0
"Exosc7_29212",219
"Bid_29213",88
"Mcm2_29214",133
"Ralb_29215",206
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",0
"Cdca8_29219",5
"Prkx_29220",154
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",119
"Evl_29224",98
"Deptor_29225",6
"Ptger2_29226",0
"Hspa2_29227",86
"Cblb_29228",424
"Ptprk_29229",751
"Dner_29230",0
"Pik3c2a_29231",98
"Vasp_29232",56
"Nup85_29233",448
"Mex3d_29234",204
"St3gal1_29235",7
"Zfp110_29236",75
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",563
"Parpbp_29241",396
"Pfkp_29242",32
"Lamp3_29243",0
"Stx16_29244",122
"Cyp11b2_29245",0
"Dera_29246",4
"Ptger4_29247",9
"Trp53bp2_29248",78
"Uchl3_29249",86
"Prl2c2_29250",25
"Pcna-ps2_29251",18
"Kctd5_29252",27
"Map3k4_29253",43
"Spib_29254",1
"Snrpg_29255",0
"Topors_29256",75
"Cdc25b_29257",58
"Gclm_29258",29
"Myot_29259",0
"Myom2_29260",0
"Nfkbie_29261",11
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",10
"Npdc1_29266",94
"Pbx1_29267",32
"Unc5c_29268",0
"Dhx29_29269",34
"Copb2_29270",387
"Cbln1_29271",1
"Nipsnap1_29272",16
"Tm9sf3_29274",438
"Casq1_29275",0
"Slc2a10_29276",17
"Cdh2_29277",7
"Ecd_29278",231
"Dnajc9_29279",49
"Isoc1_29280",103
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",123
"Strbp_29284",431
"Fabp5_29285",1199
"C9_29286",2
"S100a11_29287",1601
"Psmc3ip_29288",82
"Fabp4_29289",4
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",0
"Pin1_29293",9
"Ncor2_29294",428
"Sult1b1_29295",0
"Dipk1a_29296",71
"Glod4_29298",115
"Gulp1_29299",683
"Arpp19_29300",9
"Fbl_29301",0
"Wdhd1_29302",232
"Rpa3_29303",454
"Wars_29304",17
"Hao2_29305",0
"Fdft1_29306",717
"Chka_29307",56
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
