"gene","count"
"Bcat1_29039",0
"Laptm5_29040",0
"Skp2_29041",28
"Nme1_29042",3053
"Ctsd_29043",35
"Camk1_29044",209
"Epb41l2_29045",60
"Rbfox1_29046",0
"Mup16_29047",0
"Mup13_29048",1
"Eef1a2_29049",0
"Phlda3_29050",335
"Yars2_29051",27
"Tmem109_29052",616
"Pcna_29053",0
"Abcg1_29054",0
"Tes_29055",1020
"Metrn_29056",11
"Serpina9_29057",0
"Sgo1_29058",336
"Degs1_29059",1197
"Snx7_29060",169
"H2-Q7_29061",0
"Cdkn2b_29062",6
"Snap25_29063",0
"Atf1_29064",856
"Lrat_29065",0
"Dmtf1_29066",57
"Psmb8_29067",0
"Procr_29068",15
"Ppox_29069",49
"Smc2_29071",24
"Cyp4a12a_29072",0
"Prss23_29074",207
"Ero1l_29075",1889
"Panx1_29076",95
"Pnliprp1_29077",0
"Inmt_29078",0
"Atp6v1f_29079",8
"Scg2_29080",0
"Prkg1_29081",11
"Cyp2f2_29082",0
"Pdgfb_29083",4
"Pdhx_29085",5
"Try5_29086",0
"Ifitm3_29087",3499
"Cyp11b1_29088",0
"Cdk6_29089",308
"Fgf21_29090",0
"Ghr_29091",283
"Ugt2b35_29092",0
"Nup93_29093",331
"Actn3_29094",0
"Cat_29095",1094
"Cyb561_29096",0
"Wfs1_29097",14
"Gstm2_29098",756
"Fhl2_29099",138
"Nat1_29100",0
"Zmym2_29101",1316
"Il6_29102",3
"Hmgcr_29103",12
"Hbb-bh1_29104",0
"Pxmp2_29105",5
"Wrb_29106",19
"Cep57_29107",53
"Slc5a5_29108",4
"Gadd45a_29109",411
"Zfp131_29110",41
"Cavin4_29112",17
"Cct6a_29113",2547
"Abl1_29114",718
"Appbp2_29115",95
"Mcm4_29116",20
"Nck1_29117",25
"Reg1_29118",0
"Eif4g1_29119",1741
"Tgtp2_29120",2
"Triap1_29121",42
"Zcchc12_29122",0
"Zfp600_29123",0
"Sell_29124",0
"Fabp2_29125",1
"Cflar_29126",19
"Asah1_29127",1681
"Sele_29128",0
"Kif11_29129",215
"Chp1_29131",458
"B3gnt9_29132",25
"Bcl7b_29133",37
"Cul1_29134",758
"Lmod2_29135",0
"Arl1_29136",708
"Ptpn1_29137",0
"Slc51a_29138",0
"Senp6_29139",997
"B930025B16RIK_29140",19
"Gli1_29141",0
"Ddit3_29142",188
"Prr15l_29143",0
"Cltc_29144",25
"Arnt2_29145",0
"Slc27a1_29146",14
"Nup88_29147",936
"Ndufv3_29149",174
"Srd5a1_29150",8
"Ube3c_29151",2
"Obscn_29152",0
"Il20_29153",0
"Klhl9_29154",795
"Dlx1_29155",0
"Nrcam_29156",0
"Tab2_29157",57
"Stmn1_29158",3
"Glul_29159",17
"Iglc2_29160",0
"Ikzf1_29161",0
"Ankrd10_29162",230
"Tomm34_29163",234
"Eapp_29164",975
"Zeb2_29165",15
"Ugt1a6b_29166",4
"Cybb_29167",0
"Clk1_29168",293
"Sumo1_29169",72
"Ugt1a6a_29170",406
"Ugt1a7c_29171",239
"Slco2b1_29172",0
"Cops5_29173",2359
"Csk_29174",65
"Cyp1a2_29175",0
"Thap11_29176",0
"Cd55_29177",0
"Zzz3_29178",140
"Tnnt3_29180",2
"Mest_29181",0
"Ifi35_29182",12
"Psmd9_29183",211
"B4galt1_29184",17
"Gabrg2_29185",0
"Chtf18_29186",92
"2210016H18RIK_29188",8
"Cmpk2_29189",48
"Dynll1_29190",2
"Kctd10_29191",880
"Pebp1_29192",212
"Cfh_29193",24
"Sdc1_29194",44
"Sccpdh_29195",69
"Arhgef12_29196",58
"Ccnc_29197",52
"Zfp318_29198",0
"Ndc80_29199",450
"Plod3_29200",5
"Xpc_29201",0
"Mrps16_29202",1492
"Gm43302_29203",0
"Serpina3m_29204",0
"Spdl1_29205",50
"H2bc4_29206",453
"Snurf_29207",0
"Ly86_29208",0
"Cog4_29209",6
"Zg16_29210",0
"Exosc7_29212",270
"Bid_29213",60
"Mcm2_29214",140
"Ralb_29215",263
"Cpb1_29216",0
"Tcl1_29217",0
"Lhcgr_29218",5
"Cdca8_29219",3
"Prkx_29220",146
"Slco1c1_29221",0
"Mybpc2_29222",0
"AI506816_29223",114
"Evl_29224",151
"Deptor_29225",4
"Ptger2_29226",0
"Hspa2_29227",89
"Cblb_29228",517
"Ptprk_29229",772
"Dner_29230",0
"Pik3c2a_29231",179
"Vasp_29232",73
"Nup85_29233",534
"Mex3d_29234",349
"St3gal1_29235",6
"Zfp110_29236",118
"Ramp2_29237",0
"Cyp2e1_29238",0
"Tbpl1_29239",490
"Parpbp_29241",431
"Pfkp_29242",40
"Lamp3_29243",0
"Stx16_29244",168
"Cyp11b2_29245",0
"Dera_29246",5
"Ptger4_29247",0
"Trp53bp2_29248",86
"Uchl3_29249",57
"Prl2c2_29250",18
"Pcna-ps2_29251",9
"Kctd5_29252",64
"Map3k4_29253",44
"Spib_29254",3
"Snrpg_29255",0
"Topors_29256",97
"Cdc25b_29257",69
"Gclm_29258",68
"Myot_29259",0
"Myom2_29260",1
"Nfkbie_29261",24
"Myoz1_29262",0
"Rpe65_29263",0
"Eng_29264",8
"Npdc1_29266",125
"Pbx1_29267",18
"Unc5c_29268",0
"Dhx29_29269",40
"Copb2_29270",471
"Cbln1_29271",4
"Nipsnap1_29272",25
"Tm9sf3_29274",479
"Casq1_29275",0
"Slc2a10_29276",13
"Cdh2_29277",10
"Ecd_29278",307
"Dnajc9_29279",86
"Isoc1_29280",146
"Rbm22_29281",0
"Zfp82_29282",0
"Creb1_29283",103
"Strbp_29284",376
"Fabp5_29285",1458
"C9_29286",0
"S100a11_29287",1695
"Psmc3ip_29288",50
"Fabp4_29289",0
"Slc16a7_29290",0
"Rnase1_29291",0
"Gdnf_29292",2
"Pin1_29293",12
"Ncor2_29294",567
"Sult1b1_29295",0
"Dipk1a_29296",34
"Glod4_29298",167
"Gulp1_29299",659
"Arpp19_29300",18
"Fbl_29301",9
"Wdhd1_29302",308
"Rpa3_29303",568
"Wars_29304",24
"Hao2_29305",0
"Fdft1_29306",887
"Chka_29307",50
"Nefm_29308",0
"Mypn_29309",0
"Cpne6_29310",0
