Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: BPA_DESeq_normData
Work Source: BPA_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/24/2022 10:20.08
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 3251
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	13000	18951	441	319	156	311	311	269	441	82	82	0	18869	0	1.0	1.0	1.0	0.43	101886869;100536832;100334830;100334190;100333269;100148477;100144551;100073343;100073331;100034580;100004613;100004272;100002738;100002256;100001267;795658;793570;792160;791580;791150;751737;751721;678555;619520;619252;566858;565914;565399;564852;564250;563117;561882;560102;559710;559137;559072;558420;558261;557112;556307;555987;555304;555190;553750;552931;550361;550274;550229;550133;504088;450039;449857;449661;449555;445244;415147;406716;405880;402961;394148;394027;394006;393447;386658;378478;373140;368433;338248;335736;335732;335495;327127;326706;326088;323197;321552;114421;58038;30692;30445;30384;30071	si:ch211-252f13.5;si:dkeyp-123h10.2;kynu;ttf1;aldh1l2;zfand4;scaper;rapgef5b;birc7;cacng6a;tmeff2a;slc15a1a;hhipl1;pik3ap1;mast2;si:ch211-147a11.3;btr07;irf1b;hspb8;gripap1;ctdspla;cort;bach1a;ihha;cep19;mov10a;plekhh1;emc1;pfkfb2b;lctlb;si:dkey-174m14.3;alms1;ano5b;tapt1b;si:dkey-109l4.3;gba;peli1b;ociad2;ccdc186;prss16;jakmip1;clasrp;fbxo31;mtmr1a;cetn3;cpt1cb;zgc:110269;sncga;tor4aa;enpep;chga;ankrd50l;tars1;zgc:101858;ap1m3;gnptg;zranb2;zgc:85843;ppa2;cyp7a1;rpsa;stoml2;slc35d1b;ndnl2;egfra;slc2a8;inppl1b;si:ch211-282b22.1;usp14;elovl4b;parp3;otud4;lgals1l1;ccnl1b;racgap1;smyhc1;angptl3;stx1b;ebf2;brd2a;th;tbx5a	ENSDARG00000097535;ENSDARG00000075043;ENSDARG00000099546;ENSDARG00000091967;ENSDARG00000070230;ENSDARG00000076703;ENSDARG00000023104;ENSDARG00000074307;ENSDARG00000058082;ENSDARG00000036457;ENSDARG00000051824;ENSDARG00000100315;ENSDARG00000062501;ENSDARG00000078285;ENSDARG00000074311;ENSDARG00000069009;ENSDARG00000105558;ENSDARG00000043249;ENSDARG00000058365;ENSDARG00000063069;ENSDARG00000071673;ENSDARG00000031649;ENSDARG00000062553;ENSDARG00000058733;ENSDARG00000059175;ENSDARG00000015829;ENSDARG00000053835;ENSDARG00000057255;ENSDARG00000002037;ENSDARG00000016337;ENSDARG00000043673;ENSDARG00000074779;ENSDARG00000036147;ENSDARG00000061143;ENSDARG00000102753;ENSDARG00000076058;ENSDARG00000044083;ENSDARG00000052336;ENSDARG00000061020;ENSDARG00000076602;ENSDARG00000076090;ENSDARG00000061742;ENSDARG00000062195;ENSDARG00000056690;ENSDARG00000011825;ENSDARG00000037943;ENSDARG00000012325;ENSDARG00000034423;ENSDARG00000010145;ENSDARG00000057064;ENSDARG00000008829;ENSDARG00000007077;ENSDARG00000013250;ENSDARG00000035129;ENSDARG00000039512;ENSDARG00000038566;ENSDARG00000044332;ENSDARG00000105208;ENSDARG00000009685;ENSDARG00000069018;ENSDARG00000019181;ENSDARG00000103135;ENSDARG00000027986;ENSDARG00000058212;ENSDARG00000013847;ENSDARG00000104278;ENSDARG00000001442;ENSDARG00000097630;ENSDARG00000025889;ENSDARG00000027495;ENSDARG00000003961;ENSDARG00000077810;ENSDARG00000088711;ENSDARG00000012140;ENSDARG00000015460;ENSDARG00000099959;ENSDARG00000044365;ENSDARG00000000503;ENSDARG00000042525;ENSDARG00000022280;ENSDARG00000030621;ENSDARG00000024894	100334190(0.02034)	459.0525426829269	478.139	1.09432	199.61554004677737	394.6108528717326	201.1283172914555	243.53691907317065	268.903	0.206675	86.12180754475128	218.22083359698928	99.98397140995178	888.1349186585364	850.1845000000001	5.79423	525.1200793423984	728.7952960874363	447.08308221144875					634.743;528.618;459.906;573.128;477.029;333.652;456.947;497.953;594.133;410.571;545.635;1.09432;566.857;357.272;434.529;527.711;457.05;443.427;554.162;460.522;445.804;535.181;408.408;685.906;481.623;412.79;517.767;751.386;357.267;584.389;434.141;406.866;466.529;999.48;517.791;555.131;639.862;672.828;412.22;209.458;406.689;408.7;385.381;546.613;472.733;498.619;522.203;731.485;407.778;304.042;56.431;946.855;6.33546;675.67;10.0056;298.815;490.42;576.236;527.114;364.114;441.002;10.4421;545.445;481.815;339.403;945.954;481.519;707.848;505.103;524.764;479.249;8.00325;394.328;320.812;561.995;537.04;400.684;4.00514;377.866;9.60763;480.17;639.248	306.878;283.372;263.025;294.513;268.587;213.425;262.007;274.935;299.193;245.651;287.834;0.206675;293.089;224.055;254.351;283.082;262.009;257.344;289.953;263.167;258.361;285.356;244.734;315.758;269.902;246.484;280.311;323.988;223.934;297.028;254.175;244.153;265.124;334.802;280.756;290.263;308.159;313.228;246.196;147.208;244.056;244.809;235.759;288.141;267.167;274.891;281.437;321.742;244.509;199.25;11.6285;335.117;1.03015;314.548;8.71948;196.5;272.628;295.656;282.787;226.901;256.615;2.76859;287.738;270.053;215.964;335.607;269.875;318.684;277.011;282.365;269.219;1.51495;239.358;207.374;291.93;285.641;241.829;0.700669;232.337;2.15135;269.55;307.869	1312.9;986.117;804.156;1115.32;847.236;521.606;796.927;901.877;1179.82;686.211;1034.34;5.79423;1096.35;569.696;742.343;983.74;797.281;764.065;1059.13;805.878;769.238;1003.73;681.544;1489.96;859.426;691.304;956.379;1742.6;569.99;1149.76;741.528;678.017;820.933;2983.74;954.947;1061.69;1328.61;1445.27;690.202;298.032;677.696;682.311;629.959;1036.94;836.468;904.435;968.94;1663.04;680.069;463.946;273.849;2675.29;38.9635;1451.39;11.4815;454.404;882.198;1123.09;982.538;584.304;757.876;39.3839;1033.96;859.632;533.397;2666.3;859.142;1572.25;921.007;975.253;853.133;42.2798;649.632;496.302;1081.9;1009.7;663.889;22.8941;614.552;42.9063;855.365;1327.31	63	19	63	101886869;100536832;100334830;100334190;100333269;100148477;100144551;100073343;100034580;100002738;100002256;100001267;795658;793570;792160;791580;791150;751737;678555;619252;566858;565914;564852;563117;561882;560102;559710;559137;559072;558261;557112;556307;555987;555304;555190;553750;550361;550274;550229;550133;504088;449857;445244;415147;406716;405880;402961;394148;394027;393447;386658;378478;368433;338248;335495;327127;326706;326088;323197;114421;30692;30445;30071	ENSDARG00000097535;ENSDARG00000075043;ENSDARG00000099546;ENSDARG00000091967;ENSDARG00000070230;ENSDARG00000076703;ENSDARG00000023104;ENSDARG00000074307;ENSDARG00000036457;ENSDARG00000062501;ENSDARG00000078285;ENSDARG00000074311;ENSDARG00000069009;ENSDARG00000105558;ENSDARG00000043249;ENSDARG00000058365;ENSDARG00000063069;ENSDARG00000071673;ENSDARG00000062553;ENSDARG00000059175;ENSDARG00000015829;ENSDARG00000053835;ENSDARG00000002037;ENSDARG00000043673;ENSDARG00000074779;ENSDARG00000036147;ENSDARG00000061143;ENSDARG00000102753;ENSDARG00000076058;ENSDARG00000052336;ENSDARG00000061020;ENSDARG00000076602;ENSDARG00000076090;ENSDARG00000061742;ENSDARG00000062195;ENSDARG00000056690;ENSDARG00000037943;ENSDARG00000012325;ENSDARG00000034423;ENSDARG00000010145;ENSDARG00000057064;ENSDARG00000007077;ENSDARG00000039512;ENSDARG00000038566;ENSDARG00000044332;ENSDARG00000105208;ENSDARG00000009685;ENSDARG00000069018;ENSDARG00000019181;ENSDARG00000027986;ENSDARG00000058212;ENSDARG00000013847;ENSDARG00000001442;ENSDARG00000097630;ENSDARG00000003961;ENSDARG00000077810;ENSDARG00000088711;ENSDARG00000012140;ENSDARG00000015460;ENSDARG00000044365;ENSDARG00000042525;ENSDARG00000022280;ENSDARG00000024894	461.6837219047621	459.906	166.94628694847032	250.86488539682537	263.025	65.2491546380252	869.8710412698413	804.156	474.98612045588914	634.743;528.618;459.906;573.128;477.029;333.652;456.947;497.953;410.571;566.857;357.272;434.529;527.711;457.05;443.427;554.162;460.522;445.804;408.408;481.623;412.79;517.767;357.267;434.141;406.866;466.529;999.48;517.791;555.131;672.828;412.22;209.458;406.689;408.7;385.381;546.613;498.619;522.203;731.485;407.778;304.042;946.855;10.0056;298.815;490.42;576.236;527.114;364.114;441.002;545.445;481.815;339.403;481.519;707.848;479.249;8.00325;394.328;320.812;561.995;400.684;377.866;9.60763;639.248	306.878;283.372;263.025;294.513;268.587;213.425;262.007;274.935;245.651;293.089;224.055;254.351;283.082;262.009;257.344;289.953;263.167;258.361;244.734;269.902;246.484;280.311;223.934;254.175;244.153;265.124;334.802;280.756;290.263;313.228;246.196;147.208;244.056;244.809;235.759;288.141;274.891;281.437;321.742;244.509;199.25;335.117;8.71948;196.5;272.628;295.656;282.787;226.901;256.615;287.738;270.053;215.964;269.875;318.684;269.219;1.51495;239.358;207.374;291.93;241.829;232.337;2.15135;307.869	1312.9;986.117;804.156;1115.32;847.236;521.606;796.927;901.877;686.211;1096.35;569.696;742.343;983.74;797.281;764.065;1059.13;805.878;769.238;681.544;859.426;691.304;956.379;569.99;741.528;678.017;820.933;2983.74;954.947;1061.69;1445.27;690.202;298.032;677.696;682.311;629.959;1036.94;904.435;968.94;1663.04;680.069;463.946;2675.29;11.4815;454.404;882.198;1123.09;982.538;584.304;757.876;1033.96;859.632;533.397;859.142;1572.25;853.133;42.2798;649.632;496.302;1081.9;663.889;614.552;42.9063;1327.31	19	100073331;100004613;100004272;751721;619520;565399;564250;558420;552931;450039;449661;449555;394006;373140;335736;335732;321552;58038;30384	ENSDARG00000058082;ENSDARG00000051824;ENSDARG00000100315;ENSDARG00000031649;ENSDARG00000058733;ENSDARG00000057255;ENSDARG00000016337;ENSDARG00000044083;ENSDARG00000011825;ENSDARG00000008829;ENSDARG00000013250;ENSDARG00000035129;ENSDARG00000103135;ENSDARG00000104278;ENSDARG00000025889;ENSDARG00000027495;ENSDARG00000099959;ENSDARG00000000503;ENSDARG00000030621	450.32810631578946	535.181	288.4505759234413	219.23892547368428	285.356	133.79330850901786	948.6940910526316	1003.73	677.2989941537458	594.133;545.635;1.09432;535.181;685.906;751.386;584.389;639.862;472.733;56.431;6.33546;675.67;10.4421;945.954;505.103;524.764;537.04;4.00514;480.17	299.193;287.834;0.206675;285.356;315.758;323.988;297.028;308.159;267.167;11.6285;1.03015;314.548;2.76859;335.607;277.011;282.365;285.641;0.700669;269.55	1179.82;1034.34;5.79423;1003.73;1489.96;1742.6;1149.76;1328.61;836.468;273.849;38.9635;1451.39;39.3839;2666.3;921.007;975.253;1009.7;22.8941;855.365	0						Exp 5,3(0.04);Hill,5(0.07);Linear,74(0.91)	2.164060049330709	187.85747802257538	1.537749171257019	6.696079254150391	0.9293301821274863	2.005532681941986	415.84659920031106	502.25848616554254	224.89621630760817	262.1776218387332	774.4748876592586	1001.7949496578148	UP	0.7682926829268293	0.23170731707317074	0.0	
GO:0000018	7	regulation of DNA recombination	32	40	4	2	1	3	3	3	4	0	0	82	40	18829	0.84061	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000028	8	ribosomal small subunit assembly	12	14	1	1	1	1	1	1	1	1	1	81	13	18856	0.99837	0.058922	0.058922	7.14	394027	rpsa	ENSDARG00000019181		441.002	441.002	441.002		441.002		256.615	256.615	256.615		256.615		757.876	757.876	757.876		757.876		0.0	441.002			441.002	256.615	757.876	1	0	1	394027	ENSDARG00000019181	441.002	441.002		256.615	256.615		757.876	757.876		441.002	256.615	757.876	0															0						Linear,1(1)	1.660507082939148	1.660507082939148	1.660507082939148	1.660507082939148	0.0	1.660507082939148	441.002	441.002	256.615	256.615	757.876	757.876	UP	1.0	0.0	0.0	
GO:0000030	6	mannosyltransferase activity	14	20	1	1	1	0	0	0	1	0	0	82	20	18849	0.91689	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000038	7	very long-chain fatty acid metabolic process	19	28	2	2	2	1	1	1	2	1	1	81	27	18842	0.9935	0.11441	0.11441	3.57	335732	elovl4b	ENSDARG00000027495		524.764	524.764	524.764		524.764		282.365	282.365	282.365		282.365		975.253	975.253	975.253		975.253						524.764	282.365	975.253	0	1	0															1	335732	ENSDARG00000027495	524.764	524.764		282.365	282.365		975.253	975.253		524.764	282.365	975.253	0						Linear,1(1)	2.181926727294922	2.181926727294922	2.181926727294922	2.181926727294922	0.0	2.181926727294922	524.764	524.764	282.365	282.365	975.253	975.253	DOWN	0.0	1.0	0.0	
GO:0000041	8	transition metal ion transport	48	69	3	1	0	2	2	2	3	0	0	82	69	18800	0.74101	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000049	6	tRNA binding	30	40	1	1	1	0	0	0	1	0	0	82	40	18829	0.84061	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000075	6	cell cycle checkpoint signaling	39	62	2	1	1	2	2	1	2	1	1	81	61	18808	0.97042	0.23608	0.23608	1.61	555190	fbxo31	ENSDARG00000062195		385.381	385.381	385.381		385.381		235.759	235.759	235.759		235.759		629.959	629.959	629.959		629.959						385.381	235.759	629.959	1	0	1	555190	ENSDARG00000062195	385.381	385.381		235.759	235.759		629.959	629.959		385.381	235.759	629.959	0															0						Linear,1(1)	2.2916767597198486	2.2916767597198486	2.2916767597198486	2.2916767597198486	0.0	2.2916767597198486	385.381	385.381	235.759	235.759	629.959	629.959	UP	1.0	0.0	0.0	
GO:0000077	8	DNA damage checkpoint signaling	19	33	1	1	1	1	1	1	1	1	1	81	32	18837	0.99105	0.13344	0.13344	3.03	555190	fbxo31	ENSDARG00000062195		385.381	385.381	385.381		385.381		235.759	235.759	235.759		235.759		629.959	629.959	629.959		629.959						385.381	235.759	629.959	1	0	1	555190	ENSDARG00000062195	385.381	385.381		235.759	235.759		629.959	629.959		385.381	235.759	629.959	0															0						Linear,1(1)	2.2916767597198486	2.2916767597198486	2.2916767597198486	2.2916767597198486	0.0	2.2916767597198486	385.381	385.381	235.759	235.759	629.959	629.959	UP	1.0	0.0	0.0	
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	25	34	2	2	1	2	2	2	2	1	1	81	33	18836	0.99051	0.13719	0.13719	2.94	326088	ccnl1b	ENSDARG00000012140		320.812	320.812	320.812		320.812		207.374	207.374	207.374		207.374		496.302	496.302	496.302		496.302						320.812	207.374	496.302	1	0	1	326088	ENSDARG00000012140	320.812	320.812		207.374	207.374		496.302	496.302		320.812	207.374	496.302	0															0						Linear,1(1)	1.7309203147888184	1.7309203147888184	1.7309203147888184	1.7309203147888184	0.0	1.7309203147888184	320.812	320.812	207.374	207.374	496.302	496.302	UP	1.0	0.0	0.0	
