A6,Counts
ENSDARG00000000001,1
ENSDARG00000000002,23
ENSDARG00000000018,11
ENSDARG00000000019,52
ENSDARG00000000068,19
ENSDARG00000000069,107
ENSDARG00000000086,68
ENSDARG00000000103,139
ENSDARG00000000142,4
ENSDARG00000000151,8
ENSDARG00000000161,15
ENSDARG00000000175,7
ENSDARG00000000183,56
ENSDARG00000000189,92
ENSDARG00000000212,343
ENSDARG00000000229,18
ENSDARG00000000241,41
ENSDARG00000000349,0
ENSDARG00000000369,6
ENSDARG00000000370,83
ENSDARG00000000380,35
ENSDARG00000000394,50
ENSDARG00000000423,13
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,1
ENSDARG00000000489,41
ENSDARG00000000503,142
ENSDARG00000000516,0
ENSDARG00000000529,9
ENSDARG00000000540,22
ENSDARG00000000542,8
ENSDARG00000000551,22
ENSDARG00000000563,6585
ENSDARG00000000567,35
ENSDARG00000000568,23
ENSDARG00000000588,0
ENSDARG00000000606,1
ENSDARG00000000631,34
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,13
ENSDARG00000000690,2
ENSDARG00000000729,47
ENSDARG00000000730,8
ENSDARG00000000747,0
ENSDARG00000000760,9
ENSDARG00000000767,30
ENSDARG00000000779,43
ENSDARG00000000796,6
ENSDARG00000000804,13
ENSDARG00000000830,0
ENSDARG00000000837,24
ENSDARG00000000853,45
ENSDARG00000000857,19
ENSDARG00000000861,213
ENSDARG00000000887,1
ENSDARG00000000906,0
ENSDARG00000000935,4
ENSDARG00000000943,28
ENSDARG00000000966,253
ENSDARG00000001014,288
ENSDARG00000001015,23
ENSDARG00000001057,40
ENSDARG00000001127,28
ENSDARG00000001129,112
ENSDARG00000001154,29
ENSDARG00000001162,46
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,166
ENSDARG00000001234,56
ENSDARG00000001241,39
ENSDARG00000001244,150
ENSDARG00000001249,2
ENSDARG00000001259,1
ENSDARG00000001303,0
ENSDARG00000001313,5
ENSDARG00000001354,4
ENSDARG00000001414,6
ENSDARG00000001431,610
ENSDARG00000001437,11
ENSDARG00000001442,4
ENSDARG00000001447,11
ENSDARG00000001452,1
ENSDARG00000001463,18
ENSDARG00000001470,73
ENSDARG00000001498,0
ENSDARG00000001549,34
ENSDARG00000001557,4
ENSDARG00000001558,27
ENSDARG00000001559,24
ENSDARG00000001572,0
ENSDARG00000001578,56
ENSDARG00000001621,10
ENSDARG00000001634,25
ENSDARG00000001656,0
ENSDARG00000001676,46
ENSDARG00000001686,2
ENSDARG00000001710,107
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,68
ENSDARG00000001733,17
ENSDARG00000001734,3
ENSDARG00000001754,48
ENSDARG00000001760,28
ENSDARG00000001767,0
ENSDARG00000001769,32
ENSDARG00000001771,0
ENSDARG00000001776,3
ENSDARG00000001777,63
