B4,Counts
ENSDARG00000000001,7
ENSDARG00000000002,167
ENSDARG00000000018,80
ENSDARG00000000019,365
ENSDARG00000000068,63
ENSDARG00000000069,658
ENSDARG00000000086,475
ENSDARG00000000103,942
ENSDARG00000000142,14
ENSDARG00000000151,175
ENSDARG00000000161,69
ENSDARG00000000175,36
ENSDARG00000000183,300
ENSDARG00000000189,443
ENSDARG00000000212,2339
ENSDARG00000000229,58
ENSDARG00000000241,256
ENSDARG00000000349,0
ENSDARG00000000369,22
ENSDARG00000000370,457
ENSDARG00000000380,65
ENSDARG00000000394,337
ENSDARG00000000423,71
ENSDARG00000000442,21
ENSDARG00000000460,1
ENSDARG00000000472,77
ENSDARG00000000474,0
ENSDARG00000000476,37
ENSDARG00000000489,161
ENSDARG00000000503,1743
ENSDARG00000000516,2
ENSDARG00000000529,31
ENSDARG00000000540,148
ENSDARG00000000542,9
ENSDARG00000000551,154
ENSDARG00000000563,32487
ENSDARG00000000567,119
ENSDARG00000000568,101
ENSDARG00000000588,17
ENSDARG00000000606,25
ENSDARG00000000631,140
ENSDARG00000000638,0
ENSDARG00000000651,11
ENSDARG00000000656,0
ENSDARG00000000666,75
ENSDARG00000000690,18
ENSDARG00000000729,188
ENSDARG00000000730,29
ENSDARG00000000747,16
ENSDARG00000000760,41
ENSDARG00000000767,22
ENSDARG00000000779,367
ENSDARG00000000796,38
ENSDARG00000000804,29
ENSDARG00000000830,40
ENSDARG00000000837,129
ENSDARG00000000853,174
ENSDARG00000000857,63
ENSDARG00000000861,823
ENSDARG00000000887,9
ENSDARG00000000906,24
ENSDARG00000000935,48
ENSDARG00000000943,109
ENSDARG00000000966,1307
ENSDARG00000001014,2033
ENSDARG00000001015,219
ENSDARG00000001057,157
ENSDARG00000001127,182
ENSDARG00000001129,396
ENSDARG00000001154,146
ENSDARG00000001162,245
ENSDARG00000001169,19
ENSDARG00000001210,25
ENSDARG00000001220,490
ENSDARG00000001234,166
ENSDARG00000001241,295
ENSDARG00000001244,649
ENSDARG00000001249,14
ENSDARG00000001259,28
ENSDARG00000001303,0
ENSDARG00000001313,41
ENSDARG00000001354,36
ENSDARG00000001414,33
ENSDARG00000001431,3733
ENSDARG00000001437,134
ENSDARG00000001442,25
ENSDARG00000001447,36
ENSDARG00000001452,18
ENSDARG00000001463,116
ENSDARG00000001470,200
ENSDARG00000001498,0
ENSDARG00000001549,214
ENSDARG00000001557,39
ENSDARG00000001558,137
ENSDARG00000001559,306
ENSDARG00000001572,1
ENSDARG00000001578,169
ENSDARG00000001621,39
