C3,Counts
ENSDARG00000000001,0
ENSDARG00000000002,40
ENSDARG00000000018,48
ENSDARG00000000019,116
ENSDARG00000000068,23
ENSDARG00000000069,147
ENSDARG00000000086,235
ENSDARG00000000103,374
ENSDARG00000000142,7
ENSDARG00000000151,48
ENSDARG00000000161,50
ENSDARG00000000175,4
ENSDARG00000000183,180
ENSDARG00000000189,152
ENSDARG00000000212,313
ENSDARG00000000229,32
ENSDARG00000000241,69
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,243
ENSDARG00000000380,34
ENSDARG00000000394,161
ENSDARG00000000423,20
ENSDARG00000000442,3
ENSDARG00000000460,0
ENSDARG00000000472,132
ENSDARG00000000474,0
ENSDARG00000000476,1
ENSDARG00000000489,41
ENSDARG00000000503,809
ENSDARG00000000516,0
ENSDARG00000000529,24
ENSDARG00000000540,52
ENSDARG00000000542,45
ENSDARG00000000551,31
ENSDARG00000000563,38013
ENSDARG00000000567,33
ENSDARG00000000568,18
ENSDARG00000000588,21
ENSDARG00000000606,0
ENSDARG00000000631,73
ENSDARG00000000638,0
ENSDARG00000000651,4
ENSDARG00000000656,0
ENSDARG00000000666,26
ENSDARG00000000690,2
ENSDARG00000000729,29
ENSDARG00000000730,1
ENSDARG00000000747,0
ENSDARG00000000760,12
ENSDARG00000000767,0
ENSDARG00000000779,110
ENSDARG00000000796,13
ENSDARG00000000804,0
ENSDARG00000000830,7
ENSDARG00000000837,42
ENSDARG00000000853,45
ENSDARG00000000857,22
ENSDARG00000000861,235
ENSDARG00000000887,8
ENSDARG00000000906,0
ENSDARG00000000935,30
ENSDARG00000000943,35
ENSDARG00000000966,642
ENSDARG00000001014,425
ENSDARG00000001015,265
ENSDARG00000001057,38
ENSDARG00000001127,100
ENSDARG00000001129,219
ENSDARG00000001154,84
ENSDARG00000001162,94
ENSDARG00000001169,9
ENSDARG00000001210,31
ENSDARG00000001220,363
ENSDARG00000001234,32
ENSDARG00000001241,98
ENSDARG00000001244,266
ENSDARG00000001249,14
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,13
ENSDARG00000001354,0
ENSDARG00000001414,9
ENSDARG00000001431,922
ENSDARG00000001437,30
