E4,Counts
ENSDARG00000000001,14
ENSDARG00000000002,181
ENSDARG00000000018,123
ENSDARG00000000019,419
ENSDARG00000000068,146
ENSDARG00000000069,719
ENSDARG00000000086,614
ENSDARG00000000103,1040
ENSDARG00000000142,8
ENSDARG00000000151,204
ENSDARG00000000161,160
ENSDARG00000000175,20
ENSDARG00000000183,272
ENSDARG00000000189,507
ENSDARG00000000212,3500
ENSDARG00000000229,68
ENSDARG00000000241,244
ENSDARG00000000349,5
ENSDARG00000000369,23
ENSDARG00000000370,544
ENSDARG00000000380,161
ENSDARG00000000394,390
ENSDARG00000000423,22
ENSDARG00000000442,40
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,3
ENSDARG00000000476,48
ENSDARG00000000489,203
ENSDARG00000000503,991
ENSDARG00000000516,0
ENSDARG00000000529,71
ENSDARG00000000540,254
ENSDARG00000000542,18
ENSDARG00000000551,73
ENSDARG00000000563,74188
ENSDARG00000000567,196
ENSDARG00000000568,137
ENSDARG00000000588,18
ENSDARG00000000606,39
ENSDARG00000000631,186
ENSDARG00000000638,0
ENSDARG00000000651,17
ENSDARG00000000656,0
ENSDARG00000000666,148
ENSDARG00000000690,19
ENSDARG00000000729,173
ENSDARG00000000730,42
ENSDARG00000000747,8
ENSDARG00000000760,47
ENSDARG00000000767,16
ENSDARG00000000779,333
ENSDARG00000000796,30
ENSDARG00000000804,47
ENSDARG00000000830,35
ENSDARG00000000837,253
ENSDARG00000000853,125
ENSDARG00000000857,18
ENSDARG00000000861,3195
ENSDARG00000000887,12
ENSDARG00000000906,23
ENSDARG00000000935,53
ENSDARG00000000943,75
ENSDARG00000000966,1677
ENSDARG00000001014,1853
ENSDARG00000001015,503
ENSDARG00000001057,204
ENSDARG00000001127,92
ENSDARG00000001129,663
ENSDARG00000001154,132
ENSDARG00000001162,400
ENSDARG00000001169,22
ENSDARG00000001210,45
ENSDARG00000001220,924
ENSDARG00000001234,226
ENSDARG00000001241,291
ENSDARG00000001244,1536
ENSDARG00000001249,32
ENSDARG00000001259,32
ENSDARG00000001303,0
ENSDARG00000001313,43
ENSDARG00000001354,30
ENSDARG00000001414,44
ENSDARG00000001431,3061
ENSDARG00000001437,96
ENSDARG00000001442,100
ENSDARG00000001447,66
ENSDARG00000001452,22
ENSDARG00000001463,134
ENSDARG00000001470,195
ENSDARG00000001498,2
ENSDARG00000001549,207
ENSDARG00000001557,34
ENSDARG00000001558,76
ENSDARG00000001559,698
ENSDARG00000001572,0
ENSDARG00000001578,187
ENSDARG00000001621,77
ENSDARG00000001634,342
ENSDARG00000001656,0
ENSDARG00000001676,194
ENSDARG00000001686,10
ENSDARG00000001710,234
ENSDARG00000001712,47
ENSDARG00000001721,9
ENSDARG00000001729,652
ENSDARG00000001733,119
ENSDARG00000001734,47
ENSDARG00000001754,208
ENSDARG00000001760,195
ENSDARG00000001767,24
ENSDARG00000001769,171
ENSDARG00000001771,0
