G7,Counts
ENSDARG00000000001,0
ENSDARG00000000002,22
ENSDARG00000000018,22
ENSDARG00000000019,106
ENSDARG00000000068,1
ENSDARG00000000069,42
ENSDARG00000000086,87
ENSDARG00000000103,268
ENSDARG00000000142,5
ENSDARG00000000151,17
ENSDARG00000000161,37
ENSDARG00000000175,10
ENSDARG00000000183,147
ENSDARG00000000189,83
ENSDARG00000000212,487
ENSDARG00000000229,4
ENSDARG00000000241,78
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,130
ENSDARG00000000380,74
ENSDARG00000000394,75
ENSDARG00000000423,2
ENSDARG00000000442,4
ENSDARG00000000460,0
ENSDARG00000000472,22
ENSDARG00000000474,0
ENSDARG00000000476,3
ENSDARG00000000489,50
ENSDARG00000000503,315
ENSDARG00000000516,1
ENSDARG00000000529,31
ENSDARG00000000540,28
ENSDARG00000000542,0
ENSDARG00000000551,44
ENSDARG00000000563,28508
ENSDARG00000000567,56
ENSDARG00000000568,20
ENSDARG00000000588,0
ENSDARG00000000606,14
ENSDARG00000000631,51
ENSDARG00000000638,0
ENSDARG00000000651,4
ENSDARG00000000656,0
ENSDARG00000000666,39
ENSDARG00000000690,0
ENSDARG00000000729,105
ENSDARG00000000730,11
ENSDARG00000000747,0
ENSDARG00000000760,22
ENSDARG00000000767,29
ENSDARG00000000779,64
ENSDARG00000000796,16
ENSDARG00000000804,4
ENSDARG00000000830,8
ENSDARG00000000837,29
ENSDARG00000000853,27
ENSDARG00000000857,5
ENSDARG00000000861,335
ENSDARG00000000887,0
ENSDARG00000000906,7
ENSDARG00000000935,4
ENSDARG00000000943,35
ENSDARG00000000966,438
ENSDARG00000001014,231
ENSDARG00000001015,73
ENSDARG00000001057,41
ENSDARG00000001127,26
ENSDARG00000001129,132
ENSDARG00000001154,25
ENSDARG00000001162,101
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,317
ENSDARG00000001234,17
ENSDARG00000001241,46
ENSDARG00000001244,340
ENSDARG00000001249,0
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,4
ENSDARG00000001354,1
ENSDARG00000001414,0
ENSDARG00000001431,650
ENSDARG00000001437,56
ENSDARG00000001442,11
ENSDARG00000001447,9
ENSDARG00000001452,0
ENSDARG00000001463,20
ENSDARG00000001470,20
ENSDARG00000001498,25
ENSDARG00000001549,48
ENSDARG00000001557,77
ENSDARG00000001558,12
ENSDARG00000001559,74
ENSDARG00000001572,0
ENSDARG00000001578,69
ENSDARG00000001621,14
ENSDARG00000001634,76
ENSDARG00000001656,0
ENSDARG00000001676,74
ENSDARG00000001686,9
ENSDARG00000001710,85
ENSDARG00000001712,12
ENSDARG00000001721,0
ENSDARG00000001729,135
ENSDARG00000001733,19
ENSDARG00000001734,13
ENSDARG00000001754,5
ENSDARG00000001760,43
ENSDARG00000001767,6
ENSDARG00000001769,54
ENSDARG00000001771,0
ENSDARG00000001776,11
ENSDARG00000001777,15
ENSDARG00000001781,0
ENSDARG00000001782,3
ENSDARG00000001785,16
ENSDARG00000001788,126
ENSDARG00000001803,10
ENSDARG00000001804,0
ENSDARG00000001807,23
ENSDARG00000001817,7
ENSDARG00000001818,224
ENSDARG00000001825,0
ENSDARG00000001829,141
ENSDARG00000001835,22
ENSDARG00000001857,67
ENSDARG00000001859,0
ENSDARG00000001870,1020
ENSDARG00000001873,24
ENSDARG00000001879,59
ENSDARG00000001880,13
ENSDARG00000001881,19
ENSDARG00000001882,7
ENSDARG00000001888,55
ENSDARG00000001889,168
ENSDARG00000001890,61
ENSDARG00000001891,14
ENSDARG00000001897,36
ENSDARG00000001898,2
ENSDARG00000001906,1
ENSDARG00000001909,2
ENSDARG00000001910,99
ENSDARG00000001912,10
ENSDARG00000001913,22
ENSDARG00000001929,13
ENSDARG00000001930,6
ENSDARG00000001933,19
ENSDARG00000001937,10
ENSDARG00000001939,36
ENSDARG00000001940,23
ENSDARG00000001950,607
ENSDARG00000001953,45
ENSDARG00000001968,76
ENSDARG00000001969,53
ENSDARG00000001971,0
ENSDARG00000001975,4
ENSDARG00000001976,6
ENSDARG00000001993,77
ENSDARG00000001994,350
ENSDARG00000001999,64
ENSDARG00000002002,12
ENSDARG00000002006,110
ENSDARG00000002013,34
ENSDARG00000002016,0
ENSDARG00000002020,13
ENSDARG00000002021,8
ENSDARG00000002026,63
ENSDARG00000002031,0
ENSDARG00000002037,26
ENSDARG00000002060,20
ENSDARG00000002071,57
ENSDARG00000002077,5
ENSDARG00000002082,61
ENSDARG00000002084,92
ENSDARG00000002097,0
ENSDARG00000002127,41
ENSDARG00000002128,14
ENSDARG00000002131,151
ENSDARG00000002165,0
ENSDARG00000002167,39
ENSDARG00000002168,29
ENSDARG00000002172,4
ENSDARG00000002174,0
ENSDARG00000002184,25
ENSDARG00000002190,64
ENSDARG00000002192,1
ENSDARG00000002193,895
ENSDARG00000002194,0
ENSDARG00000002196,7
ENSDARG00000002197,88
ENSDARG00000002204,18
ENSDARG00000002210,6
ENSDARG00000002213,1
ENSDARG00000002215,9
ENSDARG00000002216,16
ENSDARG00000002217,48
ENSDARG00000002219,8
ENSDARG00000002220,0
ENSDARG00000002230,36
ENSDARG00000002231,25
ENSDARG00000002235,108
ENSDARG00000002240,9
ENSDARG00000002241,0
ENSDARG00000002249,30
ENSDARG00000002255,69
ENSDARG00000002259,0
ENSDARG00000002264,0
ENSDARG00000002267,7
ENSDARG00000002271,119
ENSDARG00000002285,30
ENSDARG00000002293,0
ENSDARG00000002295,0
ENSDARG00000002298,2
ENSDARG00000002299,1
ENSDARG00000002300,0
ENSDARG00000002304,0
ENSDARG00000002305,63
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,69
ENSDARG00000002333,20
ENSDARG00000002336,88
ENSDARG00000002339,19
ENSDARG00000002344,348
ENSDARG00000002347,0
ENSDARG00000002353,8
ENSDARG00000002355,0
ENSDARG00000002362,15
ENSDARG00000002365,42
ENSDARG00000002369,152
ENSDARG00000002377,6
ENSDARG00000002385,39
ENSDARG00000002391,3
ENSDARG00000002394,0
ENSDARG00000002396,35
ENSDARG00000002401,0
ENSDARG00000002402,8
ENSDARG00000002403,15
ENSDARG00000002405,33
ENSDARG00000002406,0
ENSDARG00000002411,28
ENSDARG00000002445,20
ENSDARG00000002463,0
ENSDARG00000002467,32
ENSDARG00000002479,17
ENSDARG00000002483,0
ENSDARG00000002487,32
ENSDARG00000002494,24
ENSDARG00000002506,10
ENSDARG00000002507,0
ENSDARG00000002508,22
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,39
ENSDARG00000002533,9
ENSDARG00000002536,62
ENSDARG00000002538,33
ENSDARG00000002546,2
ENSDARG00000002549,2
ENSDARG00000002552,55
ENSDARG00000002564,65
ENSDARG00000002571,50
ENSDARG00000002576,2
ENSDARG00000002582,35
ENSDARG00000002587,135
ENSDARG00000002589,225
ENSDARG00000002591,51
ENSDARG00000002593,4
ENSDARG00000002597,0
ENSDARG00000002600,86
ENSDARG00000002601,0
ENSDARG00000002607,8
ENSDARG00000002609,2
ENSDARG00000002613,0
ENSDARG00000002632,28
ENSDARG00000002634,2
ENSDARG00000002635,78
ENSDARG00000002642,0
ENSDARG00000002644,50
ENSDARG00000002656,121
ENSDARG00000002659,59
ENSDARG00000002663,29
ENSDARG00000002666,0
ENSDARG00000002670,37
ENSDARG00000002682,56
ENSDARG00000002685,0
ENSDARG00000002690,9
ENSDARG00000002696,274
ENSDARG00000002701,4
ENSDARG00000002707,0
ENSDARG00000002710,300
ENSDARG00000002720,10
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,108
ENSDARG00000002732,0
ENSDARG00000002745,192
ENSDARG00000002748,63
ENSDARG00000002750,29
ENSDARG00000002754,0
ENSDARG00000002758,778
ENSDARG00000002760,5
