chemical	first_mode	10th_percentile	20th_gene
Analine	-0.170094205691489	-0.409849374675896	-0.282146499569165
Decanol	-1.35522215562245	-1.79987813036388	-2.47837426294831
EE2	-4.48179092740188	-4.59508592923681	-4.68429828685189
Fadrozole	-1.22950721717682	-1.25186750419552	-1.25121213041638
Fenitrothion	-1.29840175584667	-1.46944174054835	-1.5219691277661
Glyphosate	-1.19263386892862	-1.24862888769523	-1.00307393198984
Malathion	-1.12693173972181	-1.27516277850217	-1.37194125924377
Prochloraz	-1.2146365706291	-1.46985103650503	-2.26017696043259
TGSH	-1.34905230375203	-1.49114411035481	-3.11808891627826
Trenbolone	-2.34337890908051	-2.46859939075759	-2.3832892850865
