TXID,GENEID,GENENAME,BIOTYPE,Malathion_0.001_B
ENSDART00000159824,ENSDARG00000104518,tcrg,IG_C_gene,1
ENSDART00000171098,ENSDARG00000104684,trdc,IG_C_gene,7
ENSDART00000129015,ENSDARG00000089547,BX571825.5,IG_C_pseudogene,0
ENSDART00000134118,ENSDARG00000092446,BX571825.7,IG_C_pseudogene,0
ENSDART00000151900,ENSDARG00000096477,BX571825.14,IG_C_pseudogene,0
ENSDART00000110311,ENSDARG00000076788,BX571825.4,IG_J_pseudogene,0
ENSDART00000151828,ENSDARG00000096483,BX571825.15,IG_J_pseudogene,0
ENSDART00000152076,ENSDARG00000096494,BX571825.16,IG_J_pseudogene,0
ENSDART00000142183,ENSDARG00000074426,BX571825.1,IG_V_pseudogene,0
ENSDART00000111696,ENSDARG00000074762,BX571825.2,IG_V_pseudogene,0
ENSDART00000112764,ENSDARG00000075407,BX571825.3,IG_V_pseudogene,0
ENSDART00000143546,ENSDARG00000092053,BX649502.2,IG_V_pseudogene,0
ENSDART00000136121,ENSDARG00000092232,BX571825.6,IG_V_pseudogene,0
ENSDART00000142616,ENSDARG00000092437,BX649502.4,IG_V_pseudogene,0
ENSDART00000142994,ENSDARG00000092537,BX571825.8,IG_V_pseudogene,0
ENSDART00000133670,ENSDARG00000092540,BX649502.5,IG_V_pseudogene,0
ENSDART00000145372,ENSDARG00000092742,BX571825.9,IG_V_pseudogene,0
ENSDART00000147828,ENSDARG00000093086,BX649502.6,IG_V_pseudogene,0
ENSDART00000146334,ENSDARG00000093446,BX649502.7,IG_V_pseudogene,0
ENSDART00000147088,ENSDARG00000093479,BX571825.10,IG_V_pseudogene,0
ENSDART00000131464,ENSDARG00000093692,BX649502.8,IG_V_pseudogene,0
ENSDART00000139651,ENSDARG00000093840,BX571825.11,IG_V_pseudogene,0
ENSDART00000142299,ENSDARG00000093965,BX571825.12,IG_V_pseudogene,0
ENSDART00000138092,ENSDARG00000094241,BX649502.9,IG_V_pseudogene,0
ENSDART00000134110,ENSDARG00000095205,BX649502.11,IG_V_pseudogene,0
ENSDART00000146599,ENSDARG00000094596,BX649502.10,IG_pseudogene,0
ENSDART00000151857,ENSDARG00000096469,BX571825.13,IG_pseudogene,0
ENSDART00000117596,ENSDARG00000080337,NC_002333.4,Mt_rRNA,5265
ENSDART00000115891,ENSDARG00000082753,NC_002333.17,Mt_rRNA,2567
ENSDART00000118615,ENSDARG00000080128,NC_002333.1,Mt_tRNA,0
ENSDART00000115812,ENSDARG00000080151,NC_002333.2,Mt_tRNA,0
ENSDART00000117281,ENSDARG00000080329,NC_002333.3,Mt_tRNA,0
ENSDART00000118299,ENSDARG00000080401,NC_002333.5,Mt_tRNA,0
ENSDART00000116983,ENSDARG00000080630,NC_002333.6,Mt_tRNA,1
ENSDART00000118316,ENSDARG00000080718,NC_002333.7,Mt_tRNA,0
ENSDART00000116461,ENSDARG00000081280,NC_002333.8,Mt_tRNA,0
ENSDART00000117474,ENSDARG00000081369,NC_002333.9,Mt_tRNA,2
ENSDART00000118668,ENSDARG00000081443,NC_002333.10,Mt_tRNA,0
ENSDART00000115546,ENSDARG00000081475,NC_002333.11,Mt_tRNA,0
ENSDART00000116044,ENSDARG00000081758,NC_002333.12,Mt_tRNA,0
ENSDART00000116869,ENSDARG00000081938,NC_002333.13,Mt_tRNA,0
ENSDART00000116751,ENSDARG00000082084,NC_002333.14,Mt_tRNA,0
ENSDART00000117687,ENSDARG00000082123,NC_002333.15,Mt_tRNA,0
ENSDART00000118969,ENSDARG00000082716,NC_002333.16,Mt_tRNA,0
ENSDART00000116146,ENSDARG00000082789,NC_002333.18,Mt_tRNA,0
ENSDART00000118697,ENSDARG00000083046,NC_002333.19,Mt_tRNA,0
ENSDART00000116525,ENSDARG00000083118,NC_002333.20,Mt_tRNA,0
ENSDART00000116823,ENSDARG00000083312,NC_002333.21,Mt_tRNA,0
ENSDART00000116552,ENSDARG00000083462,NC_002333.22,Mt_tRNA,0
ENSDART00000116162,ENSDARG00000083480,NC_002333.23,Mt_tRNA,0
ENSDART00000117438,ENSDARG00000083519,NC_002333.24,Mt_tRNA,0
ENSDART00000161641,ENSDARG00000099573,CR759927.3,TEC,4
ENSDART00000172155,ENSDARG00000100836,CR790380.1,TEC,97
ENSDART00000082147,ENSDARG00000101615,BX469901.1,TEC,0
ENSDART00000169858,ENSDARG00000101745,AL953886.1,TEC,122
ENSDART00000019785,ENSDARG00000103130,BX571960.2,TEC,286
ENSDART00000170965,ENSDARG00000103130,BX571960.2,TEC,286
ENSDART00000160151,ENSDARG00000103358,CU467856.1,TEC,29
ENSDART00000164271,ENSDARG00000103528,FP243383.1,TEC,45
ENSDART00000169163,ENSDARG00000105220,CT573285.1,TEC,0
ENSDART00000173524,ENSDARG00000105520,CU041319.2,TEC,0
ENSDART00000173667,ENSDARG00000105652,BX957297.3,TEC,0
ENSDART00000174343,ENSDARG00000105715,AL772146.1,TEC,0
ENSDART00000174114,ENSDARG00000105738,BX005319.1,TEC,0
ENSDART00000174152,ENSDARG00000105771,BX957362.4,TEC,0
ENSDART00000174025,ENSDARG00000105823,AL772146.2,TEC,6
ENSDART00000189226,ENSDARG00000116470,BX681417.24,TR_D_gene,0
ENSDART00000189431,ENSDARG00000116509,BX681417.25,TR_D_gene,0
ENSDART00000159055,ENSDARG00000075807,traj39,TR_J_gene,0
ENSDART00000113547,ENSDARG00000075807,traj39,TR_J_gene,0
ENSDART00000159979,ENSDARG00000098163,traj56,TR_J_gene,0
ENSDART00000166061,ENSDARG00000098274,si:dkeyp-13d12.16,TR_J_gene,0
ENSDART00000161571,ENSDARG00000098489,traj32,TR_J_gene,0
ENSDART00000159473,ENSDARG00000098498,si:dkey-161l11.79,TR_J_gene,0
ENSDART00000166454,ENSDARG00000098624,traj54,TR_J_gene,0
ENSDART00000162187,ENSDARG00000098675,traj55,TR_J_gene,0
ENSDART00000167576,ENSDARG00000098795,traj7,TR_J_gene,0
ENSDART00000171447,ENSDARG00000098938,trdj1,TR_J_gene,0
ENSDART00000168385,ENSDARG00000099028,trdj2,TR_J_gene,0
ENSDART00000164889,ENSDARG00000099066,si:dkey-161l11.67,TR_J_gene,0
ENSDART00000159092,ENSDARG00000099170,si:dkey-161l11.78,TR_J_gene,0
ENSDART00000161690,ENSDARG00000099239,traj47,TR_J_gene,0
ENSDART00000158609,ENSDARG00000099394,si:dkey-161l11.76,TR_J_gene,0
ENSDART00000161734,ENSDARG00000099504,traj5,TR_J_gene,0
ENSDART00000172223,ENSDARG00000099869,traj4,TR_J_gene,0
ENSDART00000164734,ENSDARG00000100027,si:dkeyp-13d12.21,TR_J_gene,0
ENSDART00000157393,ENSDARG00000100445,si:dkeyp-13d12.17,TR_J_gene,0
ENSDART00000164120,ENSDARG00000100706,traj26,TR_J_gene,0
ENSDART00000162921,ENSDARG00000100765,traj37,TR_J_gene,0
ENSDART00000158148,ENSDARG00000100997,traj11,TR_J_gene,0
ENSDART00000166210,ENSDARG00000101058,traj3,TR_J_gene,0
ENSDART00000170448,ENSDARG00000101121,si:dkey-161l11.62,TR_J_gene,0
ENSDART00000159011,ENSDARG00000101758,traj41,TR_J_gene,0
ENSDART00000167581,ENSDARG00000101820,traj51,TR_J_gene,0
ENSDART00000160161,ENSDARG00000101830,si:dkeyp-13d12.22,TR_J_gene,0
ENSDART00000170206,ENSDARG00000101882,traj58,TR_J_gene,0
ENSDART00000168126,ENSDARG00000102246,traj42,TR_J_gene,0
ENSDART00000170860,ENSDARG00000102250,traj44,TR_J_gene,0
ENSDART00000162964,ENSDARG00000102374,si:dkeyp-13d12.20,TR_J_gene,0
ENSDART00000165172,ENSDARG00000102408,traj46,TR_J_gene,0
ENSDART00000167932,ENSDARG00000102522,si:dkey-161l11.74,TR_J_gene,0
ENSDART00000161350,ENSDARG00000102553,traj6,TR_J_gene,0
ENSDART00000161763,ENSDARG00000102854,traj21,TR_J_gene,0
ENSDART00000170691,ENSDARG00000102880,traj60,TR_J_gene,0
ENSDART00000164894,ENSDARG00000103626,traj43,TR_J_gene,0
ENSDART00000161459,ENSDARG00000103707,traj59,TR_J_gene,0
ENSDART00000160963,ENSDARG00000103885,si:dkey-161l11.75,TR_J_gene,0
ENSDART00000170440,ENSDARG00000103890,si:dkeyp-13d12.18,TR_J_gene,0
ENSDART00000168960,ENSDARG00000103897,traj2,TR_J_gene,0
ENSDART00000159628,ENSDARG00000104132,traj28,TR_J_gene,0
ENSDART00000158978,ENSDARG00000104132,traj28,TR_J_gene,0
ENSDART00000162352,ENSDARG00000104194,traj45,TR_J_gene,0
ENSDART00000163969,ENSDARG00000105200,si:dkeyp-13d12.19,TR_J_gene,0
ENSDART00000170926,ENSDARG00000109231,traj10,TR_J_gene,0
ENSDART00000190928,ENSDARG00000109933,BX681417.4,TR_J_gene,0
ENSDART00000166370,ENSDARG00000110102,traj31,TR_J_gene,0
ENSDART00000160505,ENSDARG00000110275,traj35,TR_J_gene,0
ENSDART00000191315,ENSDARG00000110275,traj35,TR_J_gene,0
ENSDART00000180943,ENSDARG00000110784,BX681417.5,TR_J_gene,0
ENSDART00000171914,ENSDARG00000111335,traj18,TR_J_gene,0
ENSDART00000167303,ENSDARG00000111519,traj15,TR_J_gene,0
ENSDART00000181827,ENSDARG00000111775,BX681417.6,TR_J_gene,0
ENSDART00000191760,ENSDARG00000112754,BX681417.7,TR_J_gene,0
ENSDART00000186687,ENSDARG00000112867,BX681417.8,TR_J_gene,0
ENSDART00000183757,ENSDARG00000113034,BX681417.9,TR_J_gene,0
ENSDART00000180403,ENSDARG00000113108,BX681417.10,TR_J_gene,0
ENSDART00000171681,ENSDARG00000113555,traj23,TR_J_gene,0
ENSDART00000193507,ENSDARG00000113814,BX681417.11,TR_J_gene,0
ENSDART00000185656,ENSDARG00000113818,BX681417.12,TR_J_gene,0
ENSDART00000166020,ENSDARG00000113964,traj17,TR_J_gene,0
ENSDART00000161136,ENSDARG00000114354,traj12,TR_J_gene,0
ENSDART00000182863,ENSDARG00000114580,BX681417.13,TR_J_gene,0
ENSDART00000190235,ENSDARG00000114801,CT867973.1,TR_J_gene,0
ENSDART00000190038,ENSDARG00000114801,CT867973.1,TR_J_gene,0
ENSDART00000193555,ENSDARG00000114873,BX681417.14,TR_J_gene,0
ENSDART00000192804,ENSDARG00000115142,BX681417.15,TR_J_gene,0
ENSDART00000190142,ENSDARG00000115225,BX681417.16,TR_J_gene,0
ENSDART00000186087,ENSDARG00000115241,BX681417.17,TR_J_gene,0
ENSDART00000184586,ENSDARG00000115333,BX681417.18,TR_J_gene,0
ENSDART00000166828,ENSDARG00000115560,traj22,TR_J_gene,0
ENSDART00000191731,ENSDARG00000115580,BX681417.19,TR_J_gene,0
ENSDART00000193441,ENSDARG00000115584,BX681417.20,TR_J_gene,0
ENSDART00000190775,ENSDARG00000115774,BX681417.21,TR_J_gene,0
ENSDART00000185019,ENSDARG00000115889,BX681417.22,TR_J_gene,0
ENSDART00000186681,ENSDARG00000116253,BX681417.23,TR_J_gene,0
ENSDART00000171126,ENSDARG00000116269,traj57,TR_J_gene,0
ENSDART00000192441,ENSDARG00000116308,CT867973.2,TR_J_gene,4
ENSDART00000187002,ENSDARG00000116308,CT867973.2,TR_J_gene,4
ENSDART00000182846,ENSDARG00000116599,BX681417.26,TR_J_gene,0
ENSDART00000114271,ENSDARG00000076803,tradv30.0.1,TR_V_gene,1
ENSDART00000113019,ENSDARG00000077393,tradv27.0,TR_V_gene,0
ENSDART00000171201,ENSDARG00000098172,tradv19.0,TR_V_gene,0
ENSDART00000160625,ENSDARG00000098394,tradv24.0.2,TR_V_gene,0
ENSDART00000170804,ENSDARG00000098423,trgv2,TR_V_gene,1
ENSDART00000169436,ENSDARG00000098496,tradv25.0.1,TR_V_gene,0
ENSDART00000171772,ENSDARG00000098629,tradv6.0.1,TR_V_gene,0
ENSDART00000169864,ENSDARG00000099027,tradv25.0.2,TR_V_gene,0
ENSDART00000161537,ENSDARG00000099052,tradv2.0.3,TR_V_gene,0
ENSDART00000171344,ENSDARG00000099064,tradv6.0.2,TR_V_gene,0
ENSDART00000158772,ENSDARG00000099074,si:ch211-106g8.54,TR_V_gene,0
ENSDART00000161399,ENSDARG00000099140,tradv25.0.3,TR_V_gene,0
ENSDART00000171613,ENSDARG00000099259,tradv15.0,TR_V_gene,4
ENSDART00000172374,ENSDARG00000099268,si:dkeyp-13d12.11,TR_V_gene,0
ENSDART00000163282,ENSDARG00000099434,tradv23.1.1,TR_V_gene,0
ENSDART00000166892,ENSDARG00000099454,tradv14.0,TR_V_gene,0
ENSDART00000158119,ENSDARG00000099526,tradv4.0.2,TR_V_gene,0
ENSDART00000159795,ENSDARG00000099638,tradv8.0,TR_V_gene,0
ENSDART00000158814,ENSDARG00000099769,tradv18.0,TR_V_gene,0
ENSDART00000164309,ENSDARG00000100017,tradv13.0,TR_V_gene,0
ENSDART00000172182,ENSDARG00000100048,tradv25.0.4,TR_V_gene,0
ENSDART00000157830,ENSDARG00000100158,tradv6.0.4,TR_V_gene,0
ENSDART00000165410,ENSDARG00000100191,trgv6,TR_V_gene,0
ENSDART00000167496,ENSDARG00000100237,tradv23.1.2,TR_V_gene,0
ENSDART00000162378,ENSDARG00000100345,tradv24.0.3,TR_V_gene,0
ENSDART00000159235,ENSDARG00000100516,tradv5.0.1,TR_V_gene,0
ENSDART00000162257,ENSDARG00000100541,si:ch211-106g8.62,TR_V_gene,0
ENSDART00000160762,ENSDARG00000100554,trgv1,TR_V_gene,0
ENSDART00000170399,ENSDARG00000100637,tradv26.0,TR_V_gene,0
ENSDART00000160202,ENSDARG00000100801,si:ch211-106g8.20,TR_V_gene,0
ENSDART00000165676,ENSDARG00000100951,tradv22.0,TR_V_gene,0
ENSDART00000166253,ENSDARG00000101033,tradv4.0.3,TR_V_gene,0
ENSDART00000172528,ENSDARG00000101221,tradv3.0.3,TR_V_gene,0
ENSDART00000172037,ENSDARG00000101672,trgv7,TR_V_gene,0
ENSDART00000167404,ENSDARG00000101681,tradv7.0,TR_V_gene,0
ENSDART00000164961,ENSDARG00000101685,tradv16.0,TR_V_gene,0
ENSDART00000163851,ENSDARG00000101709,si:ch211-106g8.56,TR_V_gene,0
ENSDART00000171483,ENSDARG00000101738,tradv24.0.5,TR_V_gene,0
ENSDART00000161368,ENSDARG00000101768,trgv3,TR_V_gene,0
ENSDART00000171132,ENSDARG00000102001,si:dkeyp-13d12.24,TR_V_gene,0
ENSDART00000170523,ENSDARG00000102052,tradv28.0,TR_V_gene,0
ENSDART00000166182,ENSDARG00000102108,tradv2.0.4,TR_V_gene,0
ENSDART00000164110,ENSDARG00000102189,tradv20.0,TR_V_gene,0
ENSDART00000164659,ENSDARG00000102466,tradv24.0.1,TR_V_gene,0
ENSDART00000164492,ENSDARG00000102592,tradv17.0,TR_V_gene,0
ENSDART00000166029,ENSDARG00000102625,tradv21.0,TR_V_gene,0
ENSDART00000167067,ENSDARG00000102757,tradv1,TR_V_gene,0
ENSDART00000160187,ENSDARG00000102809,tradv29.0,TR_V_gene,0
ENSDART00000160996,ENSDARG00000103009,tradv10.0.5,TR_V_gene,0
ENSDART00000159161,ENSDARG00000103096,tradv31.0,TR_V_gene,0
ENSDART00000164489,ENSDARG00000103104,tradv23.1.3,TR_V_gene,0
ENSDART00000169491,ENSDARG00000103150,tradv2.0.2,TR_V_gene,0
ENSDART00000162061,ENSDARG00000103300,tradv23.1.4,TR_V_gene,0
ENSDART00000163938,ENSDARG00000103438,tradv3.0.1,TR_V_gene,0
ENSDART00000167805,ENSDARG00000103506,tradv5.0.2,TR_V_gene,0
ENSDART00000163675,ENSDARG00000103544,trgv5,TR_V_gene,0
ENSDART00000161463,ENSDARG00000103552,tradv10.0.1,TR_V_gene,0
ENSDART00000160204,ENSDARG00000103583,si:ch211-106g8.17,TR_V_gene,0
ENSDART00000168607,ENSDARG00000103772,tradv24.0.4,TR_V_gene,0
ENSDART00000164059,ENSDARG00000103876,tradv23.0.1,TR_V_gene,0
ENSDART00000171356,ENSDARG00000104046,tradv23.0.2,TR_V_gene,0
ENSDART00000161271,ENSDARG00000104481,tradv2.0.1,TR_V_gene,0
ENSDART00000161622,ENSDARG00000104591,tradv4.0.1,TR_V_gene,0
ENSDART00000160948,ENSDARG00000104838,tradv3.0.4,TR_V_gene,0
ENSDART00000168039,ENSDARG00000104867,tradv6.0.3,TR_V_gene,0
ENSDART00000171020,ENSDARG00000105150,tradv10.0.4,TR_V_gene,0
ENSDART00000167409,ENSDARG00000109710,tradv10.0.2,TR_V_gene,0
ENSDART00000166882,ENSDARG00000113032,tradv10.0.3,TR_V_gene,0
ENSDART00000162456,ENSDARG00000114907,tradv11.0.3,TR_V_gene,0
ENSDART00000164491,ENSDARG00000116856,tradv11.0.1,TR_V_gene,0
ENSDART00000171083,ENSDARG00000099914,BX323064.1,TR_V_pseudogene,0
ENSDART00000152068,ENSDARG00000012581,AL590149.1,antisense,164
ENSDART00000151197,ENSDARG00000038009,CT573429.1,antisense,112
ENSDART00000057600,ENSDARG00000039423,AL831745.1,antisense,605
ENSDART00000133911,ENSDARG00000069404,pln,antisense,139
ENSDART00000141159,ENSDARG00000069404,pln,antisense,139
ENSDART00000132012,ENSDARG00000069404,pln,antisense,139
ENSDART00000138789,ENSDARG00000070885,AL953867.1,antisense,9
ENSDART00000118157,ENSDARG00000082451,mir199-3a,antisense,0
ENSDART00000118414,ENSDARG00000083042,mir214a,antisense,0
ENSDART00000125221,ENSDARG00000087939,CR933559.1,antisense,18
ENSDART00000154280,ENSDARG00000087979,CT573433.1,antisense,118
ENSDART00000140899,ENSDARG00000090863,CR847545.1,antisense,0
ENSDART00000172776,ENSDARG00000091144,CR749162.1,antisense,1
ENSDART00000149862,ENSDARG00000091144,CR749162.1,antisense,1
