A11,Counts
ENSDARG00000000001,0
ENSDARG00000000002,14
ENSDARG00000000018,4
ENSDARG00000000019,31
ENSDARG00000000068,2
ENSDARG00000000069,39
ENSDARG00000000086,35
ENSDARG00000000103,69
ENSDARG00000000142,0
ENSDARG00000000151,6
ENSDARG00000000161,12
ENSDARG00000000175,4
ENSDARG00000000183,9
ENSDARG00000000189,37
ENSDARG00000000212,170
ENSDARG00000000229,3
ENSDARG00000000241,15
ENSDARG00000000349,0
ENSDARG00000000369,2
ENSDARG00000000370,40
ENSDARG00000000380,9
ENSDARG00000000394,43
ENSDARG00000000423,9
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,11
ENSDARG00000000489,21
ENSDARG00000000503,149
ENSDARG00000000516,0
ENSDARG00000000529,0
ENSDARG00000000540,7
ENSDARG00000000542,1
ENSDARG00000000551,15
ENSDARG00000000563,3253
ENSDARG00000000567,7
ENSDARG00000000568,11
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,8
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,4
ENSDARG00000000690,2
ENSDARG00000000729,10
ENSDARG00000000730,1
ENSDARG00000000747,0
ENSDARG00000000760,6
ENSDARG00000000767,8
ENSDARG00000000779,22
ENSDARG00000000796,7
ENSDARG00000000804,3
ENSDARG00000000830,0
ENSDARG00000000837,10
ENSDARG00000000853,14
ENSDARG00000000857,1
ENSDARG00000000861,139
ENSDARG00000000887,1
ENSDARG00000000906,3
ENSDARG00000000935,2
ENSDARG00000000943,21
ENSDARG00000000966,106
ENSDARG00000001014,138
ENSDARG00000001015,14
ENSDARG00000001057,15
ENSDARG00000001127,20
ENSDARG00000001129,51
ENSDARG00000001154,9
ENSDARG00000001162,22
ENSDARG00000001169,0
ENSDARG00000001210,17
ENSDARG00000001220,49
ENSDARG00000001234,16
ENSDARG00000001241,26
ENSDARG00000001244,47
ENSDARG00000001249,2
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,3
ENSDARG00000001354,0
ENSDARG00000001414,6
ENSDARG00000001431,241
ENSDARG00000001437,0
ENSDARG00000001442,4
ENSDARG00000001447,6
ENSDARG00000001452,0
ENSDARG00000001463,11
ENSDARG00000001470,9
ENSDARG00000001498,0
ENSDARG00000001549,32
ENSDARG00000001557,0
ENSDARG00000001558,7
ENSDARG00000001559,195
ENSDARG00000001572,0
ENSDARG00000001578,5
ENSDARG00000001621,2
ENSDARG00000001634,20
ENSDARG00000001656,0
ENSDARG00000001676,15
ENSDARG00000001686,0
ENSDARG00000001710,21
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,59
ENSDARG00000001733,2
ENSDARG00000001734,0
ENSDARG00000001754,0
ENSDARG00000001760,19
ENSDARG00000001767,1
ENSDARG00000001769,2
ENSDARG00000001771,0
ENSDARG00000001776,4
ENSDARG00000001777,12
ENSDARG00000001781,14
ENSDARG00000001782,1
ENSDARG00000001785,1
ENSDARG00000001788,46
ENSDARG00000001803,3
ENSDARG00000001804,0
ENSDARG00000001807,9
ENSDARG00000001817,0
ENSDARG00000001818,44
ENSDARG00000001825,4
