B9,Counts
ENSDARG00000000001,3
ENSDARG00000000002,62
ENSDARG00000000018,83
ENSDARG00000000019,260
ENSDARG00000000068,63
ENSDARG00000000069,269
ENSDARG00000000086,468
ENSDARG00000000103,633
ENSDARG00000000142,9
ENSDARG00000000151,63
ENSDARG00000000161,107
ENSDARG00000000175,30
ENSDARG00000000183,213
ENSDARG00000000189,377
ENSDARG00000000212,405
ENSDARG00000000229,74
ENSDARG00000000241,79
ENSDARG00000000349,2
ENSDARG00000000369,13
ENSDARG00000000370,401
ENSDARG00000000380,38
ENSDARG00000000394,232
ENSDARG00000000423,11
ENSDARG00000000442,30
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,35
ENSDARG00000000489,68
ENSDARG00000000503,1448
ENSDARG00000000516,2
ENSDARG00000000529,35
ENSDARG00000000540,156
ENSDARG00000000542,47
ENSDARG00000000551,48
ENSDARG00000000563,72103
ENSDARG00000000567,87
ENSDARG00000000568,45
ENSDARG00000000588,1
ENSDARG00000000606,10
ENSDARG00000000631,173
ENSDARG00000000638,0
ENSDARG00000000651,22
ENSDARG00000000656,0
ENSDARG00000000666,46
ENSDARG00000000690,29
ENSDARG00000000729,75
ENSDARG00000000730,38
ENSDARG00000000747,0
ENSDARG00000000760,14
ENSDARG00000000767,13
ENSDARG00000000779,205
ENSDARG00000000796,12
ENSDARG00000000804,7
ENSDARG00000000830,46
ENSDARG00000000837,61
ENSDARG00000000853,30
ENSDARG00000000857,9
ENSDARG00000000861,320
ENSDARG00000000887,3
ENSDARG00000000906,0
ENSDARG00000000935,33
ENSDARG00000000943,78
ENSDARG00000000966,1238
ENSDARG00000001014,666
ENSDARG00000001015,170
ENSDARG00000001057,66
ENSDARG00000001127,124
ENSDARG00000001129,443
ENSDARG00000001154,91
ENSDARG00000001162,193
ENSDARG00000001169,3
ENSDARG00000001210,23
ENSDARG00000001220,544
ENSDARG00000001234,124
ENSDARG00000001241,171
ENSDARG00000001244,708
ENSDARG00000001249,0
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,14
ENSDARG00000001354,1
ENSDARG00000001414,12
ENSDARG00000001431,1324
ENSDARG00000001437,87
ENSDARG00000001442,21
ENSDARG00000001447,31
ENSDARG00000001452,6
ENSDARG00000001463,124
ENSDARG00000001470,130
ENSDARG00000001498,0
ENSDARG00000001549,107
ENSDARG00000001557,32
ENSDARG00000001558,34
ENSDARG00000001559,1017
ENSDARG00000001572,0
ENSDARG00000001578,88
ENSDARG00000001621,70
ENSDARG00000001634,213
ENSDARG00000001656,0
ENSDARG00000001676,161
ENSDARG00000001686,21
ENSDARG00000001710,239
ENSDARG00000001712,33
ENSDARG00000001721,32
ENSDARG00000001729,261
ENSDARG00000001733,17
ENSDARG00000001734,21
ENSDARG00000001754,134
ENSDARG00000001760,142
ENSDARG00000001767,8
ENSDARG00000001769,84
ENSDARG00000001771,0
ENSDARG00000001776,42
ENSDARG00000001777,100
ENSDARG00000001781,0
ENSDARG00000001782,1
ENSDARG00000001785,57
ENSDARG00000001788,195
ENSDARG00000001803,13
ENSDARG00000001804,0
ENSDARG00000001807,58
ENSDARG00000001817,11
ENSDARG00000001818,137
ENSDARG00000001825,6
ENSDARG00000001829,321
ENSDARG00000001835,95
ENSDARG00000001857,385
ENSDARG00000001859,16
ENSDARG00000001870,796
ENSDARG00000001873,34
ENSDARG00000001879,125
ENSDARG00000001880,36
ENSDARG00000001881,50
ENSDARG00000001882,31
ENSDARG00000001888,103
ENSDARG00000001889,363
ENSDARG00000001890,163
ENSDARG00000001891,19
ENSDARG00000001897,33
ENSDARG00000001898,1
ENSDARG00000001906,3
ENSDARG00000001909,7
ENSDARG00000001910,235
ENSDARG00000001912,4
ENSDARG00000001913,58
ENSDARG00000001929,42
ENSDARG00000001930,71
ENSDARG00000001933,13
ENSDARG00000001937,15
ENSDARG00000001939,46
ENSDARG00000001940,50
ENSDARG00000001950,1059
ENSDARG00000001953,27
ENSDARG00000001968,195
ENSDARG00000001969,51
ENSDARG00000001971,21
ENSDARG00000001975,29
ENSDARG00000001976,46
ENSDARG00000001993,144
ENSDARG00000001994,662
ENSDARG00000001999,51
ENSDARG00000002002,0
ENSDARG00000002006,104
ENSDARG00000002013,72
ENSDARG00000002016,10
ENSDARG00000002020,58
ENSDARG00000002021,84
ENSDARG00000002026,169
ENSDARG00000002031,41
ENSDARG00000002037,29
ENSDARG00000002060,11
ENSDARG00000002071,121
ENSDARG00000002077,24
ENSDARG00000002082,260
ENSDARG00000002084,289
ENSDARG00000002097,3
ENSDARG00000002127,149
ENSDARG00000002128,26
ENSDARG00000002131,367
ENSDARG00000002165,5
ENSDARG00000002167,210
ENSDARG00000002168,108
ENSDARG00000002172,4
ENSDARG00000002174,12
ENSDARG00000002184,24
ENSDARG00000002190,121
ENSDARG00000002192,78
ENSDARG00000002193,2214
ENSDARG00000002194,0
ENSDARG00000002196,41
ENSDARG00000002197,57
ENSDARG00000002204,24
ENSDARG00000002210,53
ENSDARG00000002213,3
ENSDARG00000002215,26
ENSDARG00000002216,22
ENSDARG00000002217,235
ENSDARG00000002219,16
ENSDARG00000002220,0
ENSDARG00000002230,155
ENSDARG00000002231,37
ENSDARG00000002235,139
ENSDARG00000002240,99
ENSDARG00000002241,16
ENSDARG00000002249,63
ENSDARG00000002255,187
ENSDARG00000002259,0
ENSDARG00000002264,18
ENSDARG00000002267,16
ENSDARG00000002271,148
