C7,Counts
ENSDARG00000000001,10
ENSDARG00000000002,83
ENSDARG00000000018,64
ENSDARG00000000019,326
ENSDARG00000000068,58
ENSDARG00000000069,278
ENSDARG00000000086,421
ENSDARG00000000103,841
ENSDARG00000000142,19
ENSDARG00000000151,337
ENSDARG00000000161,99
ENSDARG00000000175,41
ENSDARG00000000183,349
ENSDARG00000000189,400
ENSDARG00000000212,554
ENSDARG00000000229,41
ENSDARG00000000241,179
ENSDARG00000000349,5
ENSDARG00000000369,7
ENSDARG00000000370,670
ENSDARG00000000380,117
ENSDARG00000000394,355
ENSDARG00000000423,35
ENSDARG00000000442,9
ENSDARG00000000460,0
ENSDARG00000000472,163
ENSDARG00000000474,1
ENSDARG00000000476,13
ENSDARG00000000489,84
ENSDARG00000000503,1786
ENSDARG00000000516,0
ENSDARG00000000529,91
ENSDARG00000000540,142
ENSDARG00000000542,54
ENSDARG00000000551,40
ENSDARG00000000563,74384
ENSDARG00000000567,139
ENSDARG00000000568,120
ENSDARG00000000588,10
ENSDARG00000000606,0
ENSDARG00000000631,191
ENSDARG00000000638,0
ENSDARG00000000651,6
ENSDARG00000000656,1
ENSDARG00000000666,106
ENSDARG00000000690,5
ENSDARG00000000729,148
ENSDARG00000000730,45
ENSDARG00000000747,0
ENSDARG00000000760,39
ENSDARG00000000767,25
ENSDARG00000000779,210
ENSDARG00000000796,45
ENSDARG00000000804,2
ENSDARG00000000830,6
ENSDARG00000000837,96
ENSDARG00000000853,76
ENSDARG00000000857,91
ENSDARG00000000861,1213
ENSDARG00000000887,6
ENSDARG00000000906,27
ENSDARG00000000935,56
ENSDARG00000000943,122
ENSDARG00000000966,1694
ENSDARG00000001014,678
ENSDARG00000001015,494
ENSDARG00000001057,145
ENSDARG00000001127,256
ENSDARG00000001129,518
ENSDARG00000001154,206
ENSDARG00000001162,289
ENSDARG00000001169,0
ENSDARG00000001210,35
ENSDARG00000001220,977
ENSDARG00000001234,147
ENSDARG00000001241,228
ENSDARG00000001244,1002
ENSDARG00000001249,12
ENSDARG00000001259,2
ENSDARG00000001303,0
ENSDARG00000001313,69
ENSDARG00000001354,5
ENSDARG00000001414,8
ENSDARG00000001431,1699
ENSDARG00000001437,57
ENSDARG00000001442,43
ENSDARG00000001447,68
ENSDARG00000001452,0
ENSDARG00000001463,241
ENSDARG00000001470,60
ENSDARG00000001498,0
ENSDARG00000001549,127
ENSDARG00000001557,39
ENSDARG00000001558,94
