D5,Counts
ENSDARG00000000001,3
ENSDARG00000000002,143
ENSDARG00000000018,90
ENSDARG00000000019,294
ENSDARG00000000068,97
ENSDARG00000000069,961
ENSDARG00000000086,437
ENSDARG00000000103,1077
ENSDARG00000000142,4
ENSDARG00000000151,139
ENSDARG00000000161,98
ENSDARG00000000175,35
ENSDARG00000000183,271
ENSDARG00000000189,429
ENSDARG00000000212,1914
ENSDARG00000000229,119
ENSDARG00000000241,207
ENSDARG00000000349,2
ENSDARG00000000369,7
ENSDARG00000000370,367
ENSDARG00000000380,108
ENSDARG00000000394,275
ENSDARG00000000423,47
ENSDARG00000000442,19
ENSDARG00000000460,0
ENSDARG00000000472,119
ENSDARG00000000474,2
ENSDARG00000000476,56
ENSDARG00000000489,137
ENSDARG00000000503,1272
ENSDARG00000000516,6
ENSDARG00000000529,68
ENSDARG00000000540,203
ENSDARG00000000542,45
ENSDARG00000000551,72
ENSDARG00000000563,73153
ENSDARG00000000567,97
ENSDARG00000000568,93
ENSDARG00000000588,7
ENSDARG00000000606,22
ENSDARG00000000631,136
ENSDARG00000000638,0
ENSDARG00000000651,3
ENSDARG00000000656,0
ENSDARG00000000666,108
ENSDARG00000000690,31
ENSDARG00000000729,159
ENSDARG00000000730,43
ENSDARG00000000747,11
ENSDARG00000000760,19
ENSDARG00000000767,29
ENSDARG00000000779,358
ENSDARG00000000796,72
ENSDARG00000000804,36
ENSDARG00000000830,34
ENSDARG00000000837,127
ENSDARG00000000853,116
ENSDARG00000000857,57
ENSDARG00000000861,754
ENSDARG00000000887,9
ENSDARG00000000906,27
ENSDARG00000000935,37
ENSDARG00000000943,151
ENSDARG00000000966,1146
ENSDARG00000001014,1564
ENSDARG00000001015,182
ENSDARG00000001057,166
ENSDARG00000001127,90
ENSDARG00000001129,304
ENSDARG00000001154,68
ENSDARG00000001162,258
ENSDARG00000001169,6
ENSDARG00000001210,35
ENSDARG00000001220,586
ENSDARG00000001234,153
ENSDARG00000001241,253
ENSDARG00000001244,910
ENSDARG00000001249,33
ENSDARG00000001259,13
ENSDARG00000001303,0
ENSDARG00000001313,36
ENSDARG00000001354,33
ENSDARG00000001414,25
ENSDARG00000001431,3294
ENSDARG00000001437,66
ENSDARG00000001442,34
ENSDARG00000001447,75
ENSDARG00000001452,14
ENSDARG00000001463,111
ENSDARG00000001470,99
ENSDARG00000001498,4
ENSDARG00000001549,158
ENSDARG00000001557,32
ENSDARG00000001558,117
ENSDARG00000001559,117
ENSDARG00000001572,5
ENSDARG00000001578,124
ENSDARG00000001621,44
ENSDARG00000001634,199
ENSDARG00000001656,0
ENSDARG00000001676,160
ENSDARG00000001686,8
ENSDARG00000001710,289
ENSDARG00000001712,16
ENSDARG00000001721,0
ENSDARG00000001729,558
ENSDARG00000001733,71
ENSDARG00000001734,38
ENSDARG00000001754,167
ENSDARG00000001760,177
ENSDARG00000001767,14
ENSDARG00000001769,206
ENSDARG00000001771,2
ENSDARG00000001776,9
ENSDARG00000001777,222
ENSDARG00000001781,22
ENSDARG00000001782,4
ENSDARG00000001785,128
ENSDARG00000001788,692
ENSDARG00000001803,37
ENSDARG00000001804,4
ENSDARG00000001807,66
ENSDARG00000001817,35
ENSDARG00000001818,803
ENSDARG00000001825,2
ENSDARG00000001829,173
ENSDARG00000001835,83
ENSDARG00000001857,604
ENSDARG00000001859,1
ENSDARG00000001870,3631
ENSDARG00000001873,55
ENSDARG00000001879,244
ENSDARG00000001880,30
ENSDARG00000001881,25
ENSDARG00000001882,78
ENSDARG00000001888,159
ENSDARG00000001889,405
ENSDARG00000001890,416
ENSDARG00000001891,24
ENSDARG00000001897,125
ENSDARG00000001898,47
ENSDARG00000001906,4
ENSDARG00000001909,11
ENSDARG00000001910,348
ENSDARG00000001912,8
ENSDARG00000001913,68
ENSDARG00000001929,66
ENSDARG00000001930,41
ENSDARG00000001933,25
ENSDARG00000001937,6
ENSDARG00000001939,30
ENSDARG00000001940,141
ENSDARG00000001950,2572
ENSDARG00000001953,137
ENSDARG00000001968,301
ENSDARG00000001969,57
ENSDARG00000001971,34
ENSDARG00000001975,30
ENSDARG00000001976,43
ENSDARG00000001993,991
ENSDARG00000001994,692
ENSDARG00000001999,54
ENSDARG00000002002,31
ENSDARG00000002006,106
ENSDARG00000002013,181
ENSDARG00000002016,51
ENSDARG00000002020,69
ENSDARG00000002021,137
ENSDARG00000002026,172
ENSDARG00000002031,0
ENSDARG00000002037,28
ENSDARG00000002060,8
ENSDARG00000002071,270
ENSDARG00000002077,32
ENSDARG00000002082,180
ENSDARG00000002084,427
ENSDARG00000002097,12
ENSDARG00000002127,296
ENSDARG00000002128,64
ENSDARG00000002131,363
ENSDARG00000002165,24
ENSDARG00000002167,232
ENSDARG00000002168,80
ENSDARG00000002172,23
ENSDARG00000002174,37
ENSDARG00000002184,40
ENSDARG00000002190,272
ENSDARG00000002192,85
ENSDARG00000002193,2109
ENSDARG00000002194,11
