E11,Counts
ENSDARG00000000001,18
ENSDARG00000000002,121
ENSDARG00000000018,53
ENSDARG00000000019,236
ENSDARG00000000068,39
ENSDARG00000000069,395
ENSDARG00000000086,335
ENSDARG00000000103,674
ENSDARG00000000142,6
ENSDARG00000000151,96
ENSDARG00000000161,53
ENSDARG00000000175,22
ENSDARG00000000183,238
ENSDARG00000000189,250
ENSDARG00000000212,909
ENSDARG00000000229,57
ENSDARG00000000241,107
ENSDARG00000000349,0
ENSDARG00000000369,10
ENSDARG00000000370,410
ENSDARG00000000380,82
ENSDARG00000000394,223
ENSDARG00000000423,15
ENSDARG00000000442,32
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,31
ENSDARG00000000489,121
ENSDARG00000000503,1403
ENSDARG00000000516,0
ENSDARG00000000529,39
ENSDARG00000000540,110
ENSDARG00000000542,13
ENSDARG00000000551,27
ENSDARG00000000563,86676
ENSDARG00000000567,184
ENSDARG00000000568,53
ENSDARG00000000588,23
ENSDARG00000000606,0
ENSDARG00000000631,155
ENSDARG00000000638,0
ENSDARG00000000651,5
ENSDARG00000000656,0
ENSDARG00000000666,91
ENSDARG00000000690,29
ENSDARG00000000729,177
ENSDARG00000000730,20
ENSDARG00000000747,0
ENSDARG00000000760,21
ENSDARG00000000767,12
ENSDARG00000000779,236
ENSDARG00000000796,44
ENSDARG00000000804,8
ENSDARG00000000830,13
ENSDARG00000000837,93
ENSDARG00000000853,88
ENSDARG00000000857,14
ENSDARG00000000861,503
ENSDARG00000000887,0
ENSDARG00000000906,1
ENSDARG00000000935,29
ENSDARG00000000943,90
ENSDARG00000000966,1059
ENSDARG00000001014,980
ENSDARG00000001015,153
ENSDARG00000001057,113
ENSDARG00000001127,145
ENSDARG00000001129,358
ENSDARG00000001154,94
ENSDARG00000001162,209
ENSDARG00000001169,16
ENSDARG00000001210,36
ENSDARG00000001220,494
ENSDARG00000001234,129
ENSDARG00000001241,169
ENSDARG00000001244,488
ENSDARG00000001249,30
ENSDARG00000001259,21
ENSDARG00000001303,0
ENSDARG00000001313,19
ENSDARG00000001354,2
ENSDARG00000001414,35
ENSDARG00000001431,2385
ENSDARG00000001437,108
ENSDARG00000001442,37
ENSDARG00000001447,31
ENSDARG00000001452,20
ENSDARG00000001463,97
ENSDARG00000001470,73
ENSDARG00000001498,4
ENSDARG00000001549,296
ENSDARG00000001557,34
ENSDARG00000001558,50
ENSDARG00000001559,408
ENSDARG00000001572,1
ENSDARG00000001578,31
ENSDARG00000001621,5
ENSDARG00000001634,209
ENSDARG00000001656,0
ENSDARG00000001676,164
ENSDARG00000001686,0
ENSDARG00000001710,264
ENSDARG00000001712,4
ENSDARG00000001721,1
ENSDARG00000001729,313
ENSDARG00000001733,66
ENSDARG00000001734,29
ENSDARG00000001754,121
ENSDARG00000001760,94
ENSDARG00000001767,10
ENSDARG00000001769,136
ENSDARG00000001771,0
ENSDARG00000001776,42
ENSDARG00000001777,128
ENSDARG00000001781,12
ENSDARG00000001782,7
ENSDARG00000001785,75
