F7,Counts
ENSDARG00000000001,3
ENSDARG00000000002,6
ENSDARG00000000018,10
ENSDARG00000000019,20
ENSDARG00000000068,16
ENSDARG00000000069,12
ENSDARG00000000086,34
ENSDARG00000000103,46
ENSDARG00000000142,0
ENSDARG00000000151,8
ENSDARG00000000161,5
ENSDARG00000000175,0
ENSDARG00000000183,33
ENSDARG00000000189,10
ENSDARG00000000212,71
ENSDARG00000000229,11
ENSDARG00000000241,9
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,66
ENSDARG00000000380,10
ENSDARG00000000394,26
ENSDARG00000000423,3
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,0
ENSDARG00000000503,284
ENSDARG00000000516,0
ENSDARG00000000529,12
ENSDARG00000000540,20
ENSDARG00000000542,0
ENSDARG00000000551,8
ENSDARG00000000563,10065
ENSDARG00000000567,42
ENSDARG00000000568,14
ENSDARG00000000588,8
ENSDARG00000000606,19
ENSDARG00000000631,11
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,0
ENSDARG00000000690,0
ENSDARG00000000729,1
ENSDARG00000000730,0
ENSDARG00000000747,6
ENSDARG00000000760,5
ENSDARG00000000767,0
ENSDARG00000000779,20
ENSDARG00000000796,0
ENSDARG00000000804,0
ENSDARG00000000830,6
ENSDARG00000000837,7
ENSDARG00000000853,7
ENSDARG00000000857,0
ENSDARG00000000861,54
ENSDARG00000000887,0
ENSDARG00000000906,19
ENSDARG00000000935,3
ENSDARG00000000943,0
ENSDARG00000000966,109
ENSDARG00000001014,85
ENSDARG00000001015,14
ENSDARG00000001057,6
ENSDARG00000001127,5
ENSDARG00000001129,50
ENSDARG00000001154,6
ENSDARG00000001162,25
ENSDARG00000001169,0
ENSDARG00000001210,3
ENSDARG00000001220,74
ENSDARG00000001234,4
ENSDARG00000001241,10
ENSDARG00000001244,30
ENSDARG00000001249,0
ENSDARG00000001259,8
ENSDARG00000001303,0
ENSDARG00000001313,5
ENSDARG00000001354,0
ENSDARG00000001414,1
ENSDARG00000001431,226
ENSDARG00000001437,0
ENSDARG00000001442,0
ENSDARG00000001447,2
ENSDARG00000001452,0
ENSDARG00000001463,27
ENSDARG00000001470,8
ENSDARG00000001498,0
ENSDARG00000001549,17
ENSDARG00000001557,0
ENSDARG00000001558,10
ENSDARG00000001559,98
ENSDARG00000001572,0
ENSDARG00000001578,10
ENSDARG00000001621,5
ENSDARG00000001634,69
ENSDARG00000001656,0
ENSDARG00000001676,2
ENSDARG00000001686,0
ENSDARG00000001710,51
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,41
ENSDARG00000001733,3
ENSDARG00000001734,0
ENSDARG00000001754,14
ENSDARG00000001760,10
ENSDARG00000001767,0
ENSDARG00000001769,21
ENSDARG00000001771,0
ENSDARG00000001776,0
ENSDARG00000001777,13
ENSDARG00000001781,0
ENSDARG00000001782,6
ENSDARG00000001785,7
ENSDARG00000001788,3
ENSDARG00000001803,2
ENSDARG00000001804,0
ENSDARG00000001807,15
ENSDARG00000001817,8
ENSDARG00000001818,7
ENSDARG00000001825,0
ENSDARG00000001829,46
ENSDARG00000001835,157
ENSDARG00000001857,40
ENSDARG00000001859,0
ENSDARG00000001870,27
ENSDARG00000001873,12
ENSDARG00000001879,1
ENSDARG00000001880,0
ENSDARG00000001881,7
ENSDARG00000001882,26
ENSDARG00000001888,15
ENSDARG00000001889,60
ENSDARG00000001890,38
ENSDARG00000001891,0
ENSDARG00000001897,10
ENSDARG00000001898,0
ENSDARG00000001906,0
ENSDARG00000001909,0
ENSDARG00000001910,4
ENSDARG00000001912,3
ENSDARG00000001913,2
ENSDARG00000001929,5
ENSDARG00000001930,4
ENSDARG00000001933,0
ENSDARG00000001937,0
ENSDARG00000001939,0
ENSDARG00000001940,8
ENSDARG00000001950,82
ENSDARG00000001953,24
ENSDARG00000001968,27
ENSDARG00000001969,0
ENSDARG00000001971,0
ENSDARG00000001975,4
ENSDARG00000001976,6
ENSDARG00000001993,1
ENSDARG00000001994,65
ENSDARG00000001999,2
ENSDARG00000002002,3
ENSDARG00000002006,18
ENSDARG00000002013,1
ENSDARG00000002016,7
ENSDARG00000002020,4
ENSDARG00000002021,0
ENSDARG00000002026,8
ENSDARG00000002031,3
ENSDARG00000002037,1
ENSDARG00000002060,0
ENSDARG00000002071,8
ENSDARG00000002077,0
ENSDARG00000002082,20
ENSDARG00000002084,28
ENSDARG00000002097,14
ENSDARG00000002127,22
ENSDARG00000002128,1
ENSDARG00000002131,32
ENSDARG00000002165,5
ENSDARG00000002167,17
ENSDARG00000002168,25
ENSDARG00000002172,2
ENSDARG00000002174,1
ENSDARG00000002184,10
ENSDARG00000002190,16
ENSDARG00000002192,0
ENSDARG00000002193,274
ENSDARG00000002194,0
ENSDARG00000002196,9
ENSDARG00000002197,0
ENSDARG00000002204,2
ENSDARG00000002210,1
ENSDARG00000002213,9
ENSDARG00000002215,14
ENSDARG00000002216,0
ENSDARG00000002217,33
ENSDARG00000002219,0
ENSDARG00000002220,0
ENSDARG00000002230,4
ENSDARG00000002231,1
ENSDARG00000002235,15
ENSDARG00000002240,4
ENSDARG00000002241,0
ENSDARG00000002249,0
ENSDARG00000002255,14
ENSDARG00000002259,0
ENSDARG00000002264,0
ENSDARG00000002267,3
ENSDARG00000002271,22
ENSDARG00000002285,4
ENSDARG00000002293,0
ENSDARG00000002295,3
ENSDARG00000002298,0
ENSDARG00000002299,0
ENSDARG00000002300,4
ENSDARG00000002304,2
ENSDARG00000002305,10
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,28
ENSDARG00000002333,11
ENSDARG00000002336,27
ENSDARG00000002339,0
ENSDARG00000002344,85
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,22
ENSDARG00000002365,11
ENSDARG00000002369,6
ENSDARG00000002377,0
ENSDARG00000002385,12
ENSDARG00000002391,0
ENSDARG00000002394,0
ENSDARG00000002396,38
ENSDARG00000002401,0
ENSDARG00000002402,0
ENSDARG00000002403,18
ENSDARG00000002405,4
